rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,,,134000,,-70.7996217956543,0.001,16.222974198937415,133396,1000.0,1000.0
,,,,135000,,-71.40704836273193,0.001,13.793377858996392,134396,1000.0,1000.0
,,,,136000,,-71.5696583404541,0.001,13.103675131320953,135396,1000.0,1000.0
,,,,137000,,-72.91991708374023,0.001,10.775514806687832,136396,1000.0,1000.0
1000.0,740,1466,1000.0,137494,93,,,,,,
,,,,138000,,-73.11364100646972,0.001,15.255605398535728,137396,1000.0,1000.0
,,,,139000,,-73.14518840026855,0.001,14.24617060983181,138396,1000.0,1000.0
,,,,140000,,-72.71929292297364,0.001,12.506494313955306,139396,1000.0,1000.0
,,,,141000,,-73.18332409667968,0.001,9.832986694335938,140396,1000.0,1000.0
1000.0,744,1516,1000.0,141494,93,,,,,,
,,,,142000,,-73.41150651550294,0.001,10.649204641520978,141396,1000.0,1000.0
,,,,143000,,-73.90427926635742,0.001,9.402932260096073,142396,1000.0,1000.0
,,,,144000,,-74.16400253295899,0.001,7.709929747164249,143396,1000.0,1000.0
,,,,145000,,-74.79770498657227,0.001,10.068098843693733,144396,1000.0,1000.0
1000.0,748,1565,1000.0,145494,92,,,,,,
