rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
36.45,16921,29.744315,179,94,520,-41.876580238342285,16804,0.001,20.230511784553528,,
37.27,17059,31.211453639999995,179,95,524,-43.047322591145836,16928,0.001,21.614055335521698,,
37.95,17180,32.450063369999995,179,95,528,-42.0922212600708,17072,0.001,21.653404812018078,,
38.47,17317,33.99048697,179,96,532,-43.16413580853006,17199,0.001,23.690918689078472,,
,17500,,,,,-43.86100440979004,17333,0.001,27.731767602486187,239.05,347.1538402482867
41.46,17692,39.06406278,173,102,536,-45.02848270961216,17582,0.001,21.855439032827103,,
41.5,17791,39.77430839,173,102,540,-45.92904604398287,17681,0.001,24.387126993249964,,
41.52,17907,40.820585189999996,173,103,544,-45.75634082994963,17794,0.001,28.778634316212422,,
41.79,18006,41.56545798,173,103,548,-46.35259819030762,17898,0.001,39.3280520024507,,
42.41,18137,42.86162699,173,104,552,-46.507514317830406,18029,0.001,24.080035362243652,,
46.0,18565,48.92707774,173,106,556,-46.751917882796825,18361,0.001,30.244460495240098,,
58.57,19888,63.52861768,167,118,560,-49.361401062011716,19712,0.001,28.859712025165557,,
,20000,,,,,-49.898925103081595,19803,0.001,32.51581131756961,865.65,861.3877533078194
80.47,22145,88.02068141,137,160,564,-55.75040387240323,21912,0.001,29.781999478646373,,
,22500,,,,,-56.56776736827379,22390,0.001,28.82879590184501,139.4,252.49122597277164
87.66,22974,100.57809794999999,134,170,568,-56.63460885752802,22621,0.001,27.202486484081714,,
99.12,24249,117.89230138,134,180,572,-58.573285821365985,23905,0.001,31.503352039910013,,
,25000,,,,,-61.62440382467734,24841,0.001,29.23909426379848,296.5,429.21310291588304
110.08,25500,134.68380168,128,198,576,-62.38665441564611,25136,0.001,31.448230651273565,,
117.36,26527,145.32697833000003,128,206,580,-65.31529115893177,26340,0.001,32.29993608563217,,
,27500,,,,,-66.16139047796077,26697,0.001,33.819728872992776,578.95,603.1825826466084
128.28,28038,158.66439299,118,236,584,-67.34953604888916,27697,0.001,33.51753711175918,,
,30000,,,,,-70.45375813293457,29607,0.001,34.778703596115115,1000.0,1004.9908400535584
151.19,30692,182.45523343999997,106,287,588,,,,,,
,32500,,,,,-76.85655112888502,31788,0.001,36.18226282937186,727.7,765.3298951655627
169.95,32873,203.23315323,99,329,592,,,,,,
170.23,33218,206.26607470000002,97,339,596,-78.8394546508789,33046,0.001,39.727323296426356,,
183.65,34697,223.07044925000002,98,353,600,-81.532770990168,34422,0.001,33.97440570970861,,
,35000,,,,,-81.46307700872421,34869,0.001,42.74643834741199,264.3,396.74845940172673
193.61,35819,239.02945099000002,96,370,604,-82.10075958251953,35485,0.001,39.39991582968296,,
203.26,36899,253.4735758,96,380,608,-83.13678795950753,36557,0.001,33.323122028320554,,
,37500,,,,,-83.99334919837213,37388,0.001,41.51745258169136,234.25,352.25945331156254
212.22,37902,267.90292501000005,95,397,612,-84.05209574206123,37621,0.001,40.37927373796062,,
219.01,38698,278.98698681999997,95,404,616,-84.60507879638672,38388,0.001,40.439530260591624,,
225.98,39519,290.30183581,96,411,620,-85.17750007415486,39153,0.001,31.79526949150618,,
,40000,,,,,-85.09613172051047,39728,0.001,40.944817684134655,216.1,354.3120941221714
236.58,40717,308.46247803,94,428,624,-85.65163332150306,40352,0.001,37.69850629347342,,
245.17,41697,323.28737405,95,437,628,-85.91618341832728,41295,0.001,36.51881441369757,,
,42500,,,,,-86.67697068861314,42166,0.001,39.255683315383806,294.7,483.3888438373804
253.27,42644,337.48791588,93,456,632,-87.22384098597935,42460,0.001,34.15091858591352,,
255.21,43213,341.7607842399999,93,461,636,-87.09302474975586,43036,0.001,37.392027864456175,,
265.03,44294,359.27722896000006,94,470,640,-87.62441806342657,43961,0.001,33.624874680999696,,
269.32,44839,367.0460936799999,94,475,644,-88.61259401761569,44492,0.001,23.411853493996038,,
,45000,,,,,-88.41536980548888,44754,0.001,35.46642797775851,245.85,372.2214102894068
280.27,46033,384.4626233099999,93,492,648,-88.79675006866455,45574,0.001,20.951730567530582,,
285.4,46677,394.14912625000005,93,499,652,-89.491304917769,46345,0.001,37.10317309518879,,
,47500,,,,,-89.83279418945312,46821,0.001,28.602945069558757,909.95,960.1113623470068
295.76,48141,407.48980092000005,88,541,656,-91.31023885435977,47939,0.001,32.444320702956894,,
298.54,49742,413.68761716,89,556,660,-92.95187516645952,49542,0.001,35.585180295597425,,
,50000,,,,,-93.26604648806014,49880,0.001,23.876205957503547,104.55,231.48009689450265
280.4,50185,398.86492146999996,89,563,664,-93.57175373581221,49986,0.001,21.038835140894044,,
276.78,50652,396.49982965999993,89,567,668,-93.19057113405258,50455,0.001,25.224672937017726,,
268.89,51138,389.7364578,89,571,672,-93.12550246715546,50938,0.001,32.36638565734029,,
264.14,51914,386.0771776099999,89,577,676,-93.1394185959918,51612,0.001,29.85806834735329,,
,52500,,,,,-93.75353609098421,52360,0.001,26.488460579118527,404.05,544.610672751069
