time/total_timesteps,train/std,train/entropy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,train/policy_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/iterations,train/value_loss,eval/mean_ep_length,eval/mean_reward
66000,0.8764013648033142,-25.65073013305664,22.27,199,5.728006362915039e-05,47.352928161621094,0.0007,104.71379667000001,331,13199,13200,3.2439498901367188,,
66500,0.8731710314750671,-25.583789825439453,21.8,199,5.960464477539063e-08,24.15170669555664,0.0007,102.26904326,333,13299,13300,1.1029049158096313,,
67000,0.8722802400588989,-25.560230255126953,22.11,199,0.0,32.29762268066406,0.0007,103.77151749999999,335,13399,13400,1.7989925146102905,,
67500,0.8728836178779602,-25.571117401123047,22.22,199,2.384185791015625e-07,-4416.15185546875,0.0007,104.34937123,337,13499,13500,81757.796875,,
68000,0.872043251991272,-25.550334930419922,22.41,199,-1.1920928955078125e-07,26.973392486572266,0.0007,105.28766116000001,340,13599,13600,1.3198961019515991,,
68500,0.8716201782226562,-25.545080184936523,22.92,199,-2.6226043701171875e-06,-12614.0517578125,0.0007,107.67235577999998,342,13699,13700,202775.71875,,
69000,0.8721885681152344,-25.54460906982422,23.85,200,0.0,25.746326446533203,0.0007,112.14470139,344,13799,13800,1.2363747358322144,,
69500,0.8710080981254578,-25.52289390563965,24.86,199,6.735324859619141e-06,7.808589458465576,0.0007,117.02739098,347,13899,13900,0.1259593814611435,,
70000,0.870330810546875,-25.51424789428711,,,-2.014636993408203e-05,19.492677688598633,0.0007,,,13999,,0.9249120950698853,26.75,128.4180097880773
70000,,,25.45,199,,,,119.76631217999997,351,,14000,,,
70500,0.8708087801933289,-25.515409469604492,25.8,199,1.1920928955078125e-07,-2181.227294921875,0.0007,121.58754678000001,354,14099,14100,44511.32421875,,
71000,0.8681192398071289,-25.454736709594727,25.94,198,6.99758529663086e-05,23.14049530029297,0.0007,122.56457913,356,14199,14200,0.9321349263191223,,
71500,0.8672444224357605,-25.434545516967773,26.04,199,0.0,11.501176834106445,0.0007,123.21431806000001,359,14299,14300,0.3161158263683319,,
72000,0.8679758310317993,-25.44923210144043,25.32,199,0.0,7.049054145812988,0.0007,119.63413790999999,361,14399,14400,0.10955067723989487,,
72500,0.8673152327537537,-25.427104949951172,25.21,199,-0.00013720989227294922,5.972107887268066,0.0007,119.07816663999998,363,14499,14500,0.058896590024232864,,
73000,0.8676105737686157,-25.43750762939453,25.08,199,0.00018846988677978516,12.808768272399902,0.0007,118.24962996999999,366,14599,14600,0.32026150822639465,,
73500,0.8659696578979492,-25.400131225585938,24.83,199,0.0,14.644909858703613,0.0007,116.70890442999999,368,14699,14700,0.4324379563331604,,
74000,0.8647462725639343,-25.362354278564453,24.33,199,3.5762786865234375e-07,-6671.81201171875,0.0007,114.13990901,371,14799,14800,137786.125,,
74500,0.864349365234375,-25.35665512084961,24.16,199,0.0,-0.1356554925441742,0.0007,113.35310268,373,14899,14900,4.894491212326102e-05,,
75000,0.8651029467582703,-25.370153427124023,,,0.00015866756439208984,9.644533157348633,0.0007,,,14999,,0.1529671847820282,20.9,97.469324631989
75000,,,23.94,198,,,,112.09577662000001,377,,15000,,,
75500,0.8644715547561646,-25.362308502197266,23.49,198,0.0033249258995056152,0.43596282601356506,0.0007,109.94518389,379,15099,15100,0.0003555588482413441,,
76000,0.863419234752655,-25.347061157226562,23.39,199,0.0,5.491042613983154,0.0007,109.48070228,381,15199,15200,0.07101840525865555,,
76500,0.864750325679779,-25.364540100097656,23.3,199,-7.939338684082031e-05,12.3822660446167,0.0007,108.91926819999999,383,15299,15300,0.2162148505449295,,
77000,0.8635480999946594,-25.350318908691406,23.37,199,-1.1920928955078125e-07,9.202662467956543,0.0007,109.40276506000004,386,15399,15400,0.1825491040945053,,
77500,0.8615091443061829,-25.295873641967773,23.39,199,-0.000263214111328125,5.8371710777282715,0.0007,109.80935663999999,388,15499,15500,0.054529011249542236,,
78000,0.8607901930809021,-25.28911590576172,23.5,199,-0.0002493858337402344,-11.231269836425781,0.0007,110.46495476,391,15599,15600,0.2097182273864746,,
78500,0.8607273101806641,-25.282079696655273,23.34,199,-630.4896850585938,-6445.59521484375,0.0007,109.75343323000001,393,15699,15700,87342.7421875,,
79000,0.8609655499458313,-25.288009643554688,23.72,199,0.764093279838562,-5269.74365234375,0.0007,111.94917464,396,15799,15800,45315.28125,,
79500,0.8618950843811035,-25.30638885498047,23.54,199,0.7699166089296341,-5295.99951171875,0.0007,111.12448474000001,399,15899,15900,58302.33984375,,
80000,0.861291229724884,-25.291242599487305,,,0.09555846452713013,230.9557647705078,0.0007,,,15999,,102.35562896728516,21.15,99.26938743242063
80000,,,23.65,198,,,,111.60319072,403,,16000,,,
80500,0.8616243600845337,-25.29108238220215,24.02,198,0.2358437180519104,-4022.279296875,0.0007,113.51328449,405,16099,16100,42817.7578125,,
81000,0.861744225025177,-25.29408836364746,24.32,198,-9.876199722290039,-625.0226440429688,0.0007,115.23521056,408,16199,16200,569.4202880859375,,
81500,0.8636027574539185,-25.33705711364746,24.59,198,-0.32032597064971924,-326.5725402832031,0.0007,116.64908803999998,410,16299,16300,163.17733764648438,,
82000,0.8644992709159851,-25.356698989868164,25.0,198,0.9470990039408207,-5145.880859375,0.0007,118.73391213000001,413,16399,16400,50847.11328125,,
82500,0.8651018142700195,-25.375974655151367,25.47,198,-1.247809648513794,-253.89060974121094,0.0007,121.24213408,415,16499,16500,134.9727325439453,,
83000,0.8659421801567078,-25.397520065307617,25.91,198,-16.559925079345703,-99.83906555175781,0.0007,123.64312280999998,418,16599,16600,1123.50830078125,,
83500,0.8702742457389832,-25.50042724609375,25.77,198,-14.20967960357666,132.66331481933594,0.0007,122.73414059999999,420,16699,16700,460.7655334472656,,
84000,0.8714216351509094,-25.532142639160156,26.04,198,-0.037323951721191406,292.81964111328125,0.0007,124.07494218,422,16799,16800,194.85658264160156,,
84500,0.8716476559638977,-25.54230499267578,26.07,198,0.8740622699260712,-136.1209716796875,0.0007,124.26660162,425,16899,16900,34.55131149291992,,
85000,0.8703662753105164,-25.51699447631836,,,0.8413592278957367,114.78716278076172,0.0007,,,16999,,27.84866714477539,26.9,128.91205984252738
85000,,,26.16,197,,,,124.63510633999998,429,,17000,,,
85500,0.8725156784057617,-25.56447410583496,26.06,198,0.8436424136161804,52.05849838256836,0.0007,124.03267091999996,431,17099,17100,8.338464736938477,,
86000,0.8763517737388611,-25.651357650756836,26.55,198,0.8966166824102402,191.15792846679688,0.0007,126.58056476999998,433,17199,17200,52.205299377441406,,
86500,0.8779565691947937,-25.68878746032715,26.35,198,-2.535214900970459,-219.81790161132812,0.0007,125.46788637,436,17299,17300,219.3265838623047,,
87000,0.8773741126060486,-25.672895431518555,26.32,198,0.45259130001068115,-300.3711853027344,0.0007,125.20835978000001,438,17399,17400,178.4320068359375,,
87500,0.877046525478363,-25.670202255249023,26.29,198,0.7852133512496948,-104.275390625,0.0007,124.96989733000001,441,17499,17500,25.05337905883789,,
