train/actor_loss,train/critic_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-79.67638142395019,3.1467615158557893,,,0.001,,335000,,334766,,870.8,1533.8967576566852
-80.15509275817871,3.323612000107765,372,121,0.001,969.05,337208,1335.43445243,336208,2777,,
-81.2103810119629,3.460131765961647,,,0.001,,340000,,339208,,841.5,1311.090924387012
-81.10179092407226,3.502616972565651,376,121,0.001,969.05,341208,1372.0208513999999,340208,2808,,
-82.47280647277832,3.3848537240028382,,,0.001,,345000,,344208,,977.1,1691.090820767847
,,380,121,,969.05,345208,1399.4254605699998,,2842,,
-83.57955337524415,3.507491591691971,384,121,0.001,969.05,349208,1438.2926051600004,348208,2867,,
-83.87612951660157,3.8142543251514436,,,0.001,,350000,,349208,,585.2,928.6548422971275
-84.63949532942338,3.7220167467149636,388,121,0.001,952.35,351538,1450.3857993800002,350691,2888,,
-85.14371835031817,3.966218655468315,392,122,0.001,946.07,354910,1473.85815144,353910,2909,,
-85.14816778564453,4.2647905058860776,,,0.001,,355000,,354910,,768.3,1638.9063579072595
-86.647358695666,5.049378389507145,396,121,0.001,939.92,358295,1498.5810546599998,357295,2938,,
-87.88630931091309,4.777245998978615,,,0.001,,360000,,359630,,847.1,1351.1495636153152
-88.43452403259278,5.510332928419113,400,121,0.001,933.27,361630,1520.2232323899996,360630,2970,,
-89.3168117980957,4.691720539450645,,,0.001,,365000,,364630,,976.4,1833.7262683651759
,,404,121,,940.9,365630,1566.72199536,,3004,,
-90.86642646789551,4.48647353053093,408,121,0.001,931.14,368654,1568.0940343099999,367654,3023,,
-90.77873503112792,4.586371033430099,,,0.001,,370000,,369654,,1000.0,2109.298882151753
-91.06441764831543,5.124031808376312,412,121,0.001,931.14,372654,1592.4117243,371654,3060,,
-92.10547608947753,5.219551852464676,,,0.001,,375000,,374654,,850.7,1822.6443568464078
-92.24884121704102,5.184465354204177,416,121,0.001,931.14,376654,1598.4611314500005,375654,3094,,
-92.89223295144957,5.317315763291247,,,0.001,,380000,,379397,,910.5,1765.8446195055033
,,420,121,,928.57,380397,1609.3930923399998,,3127,,
-93.43030986022949,6.153159079551696,424,121,0.001,928.57,384397,1603.8782080800001,383397,3152,,
-93.27432801818847,6.31230750966072,,,0.001,,385000,,384397,,952.1,1913.984008434035
-94.13541250610352,6.336017648935318,428,121,0.001,928.57,388397,1633.77743204,387397,3188,,
-93.9352410736084,6.538879915714264,,,0.001,,390000,,389461,,984.4,1846.2811178428208
-93.56539135742187,6.547796892404556,432,121,0.001,919.21,391461,1615.7583614200005,390461,3219,,
-95.05953009033203,6.739512952327728,,,0.001,,395000,,394461,,878.3,1875.9117052238457
,,436,121,,919.21,395461,1625.8058024400002,,3253,,
-95.48246891784667,7.317963202238083,440,121,0.001,919.21,399461,1632.17085657,398461,3277,,
-95.20649952697754,7.356230524301529,,,0.001,,400000,,399461,,1000.0,2036.0865688697784
-95.33133180236817,7.033248120546341,444,121,0.001,919.21,403461,1642.7442601699995,402461,3313,,
-95.17319906616211,7.381036500930787,,,0.001,,405000,,404461,,733.3,1586.5522386569996
-95.86627305603028,6.9384903182983395,448,121,0.001,918.36,406861,1666.15645904,406461,3344,,
-96.39784037780761,6.796849837064743,,,0.001,,410000,,409515,,442.9,837.9853759628852
,,452,121,,914.9,410515,1685.7195249699998,,3367,,
-96.65969999694825,7.3255285007953646,456,122,0.001,918.85,414515,1723.5679941099997,413515,3391,,
-97.17124586486817,7.441255141973495,,,0.001,,415000,,414515,,878.5,1506.6399101753254
-97.1539906463623,8.191256906986236,460,122,0.001,924.64,418515,1699.3049052499998,417515,3426,,
-97.52585963439941,7.8743593719005585,,,0.001,,420000,,419515,,933.6,2073.183557868679
-97.55186614990234,7.685417758703232,464,122,0.001,924.64,422515,1712.9478088200003,421515,3459,,
-98.29816877746582,8.218557790756226,,,0.001,,425000,,424515,,960.9,1721.96992176575
-98.28068435668945,8.286705312252044,468,122,0.001,927.49,426515,1732.06323229,425515,3492,,
-99.59170530700683,8.073629938602448,,,0.001,,430000,,429515,,906.3,2025.0098944734782
,,472,122,,933.07,430515,1760.6409108500002,,3526,,
-100.37125056457519,7.897427918195724,476,122,0.001,933.07,434515,1758.19917476,433515,3550,,
-101.6327109866672,9.039827624956766,,,0.001,,435000,,434587,,982.6,2123.3976410531322
-101.18155436706543,8.231551595449448,480,122,0.001,923.79,437587,1755.3078195399999,436587,3578,,
-101.76109017944336,7.745759005308151,,,0.001,,440000,,439587,,1000.0,2186.8238079910793
-101.8872236328125,7.340988471031189,484,122,0.001,923.79,441587,1767.29190042,440587,3614,,
-102.17926023864746,8.248801297664642,,,0.001,,445000,,444587,,855.6,2001.4158148794668
,,488,122,,940.49,445587,1814.4855256499995,,3650,,
-103.31867240905761,8.05676344370842,492,122,0.001,939.69,448879,1824.6366466099998,448587,3674,,
-103.98081327819824,8.205464223861695,,,0.001,,450000,,449909,,925.6,1932.1050119095949
