time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
68,66218,988.5,414.52688426470587,0.47779101863503454,149,448,0.001,-27.191441440582274,67218,,
,69218,,,0.5006462298333645,,,0.001,-28.128772468566893,70000,854.7479100293946,1000.0
72,70218,989.1388888888889,437.9280590833333,0.5306820684224367,149,477,0.001,-28.374430145263673,71218,,
,74218,,,0.5537574561834335,,,0.001,-29.49376428604126,75000,769.5494047907181,1000.0
76,,989.7105263157895,454.3209618289473,,148,506,,,75218,,
80,78218,990.225,467.8341108375001,0.5322141667902469,150,526,0.001,-30.727625354766847,79218,,
,79218,,,0.5259284348189831,,,0.001,-31.079030330657957,80000,878.3640268360265,1000.0
84,82218,990.6904761904761,489.18669354761914,0.537332955121994,150,554,0.001,-31.99741870880127,83218,,
,84218,,,0.5716799895465374,,,0.001,-32.4822048034668,85000,865.1725100562617,1000.0
88,86218,991.1136363636364,504.250829125,0.5215006401687861,149,583,0.001,-32.99729270172119,87218,,
,89218,,,0.4865523187667131,,,0.001,-33.81943981933594,90000,845.4565831455402,1000.0
92,90218,991.5,519.5304121847824,0.4800429083108902,148,613,0.001,-34.028051620483396,91218,,
,94218,,,0.4631295059621334,,,0.001,-35.20456813430786,95000,787.038945495023,1000.0
96,,991.8541666666666,532.81795115625,,148,641,,,95218,,
100,98218,992.18,535.2879905200001,0.526896379455924,149,661,0.001,-36.037341270446774,99218,,
,99218,,,0.5203093538582325,,,0.001,-36.40071682739258,100000,860.2270475479775,1000.0
104,102218,992.18,611.2442746,0.5211548956632615,149,690,0.001,-37.39305313873291,103218,,
,104218,,,0.5439980476945638,,,0.001,-37.99774589538574,105000,600.3870219521457,1000.0
108,106218,992.18,715.10392862,0.4449418259561062,149,719,0.001,-38.77049916839599,107218,,
,109218,,,0.4410300829857588,,,0.001,-39.66235765075684,110000,855.8157079659402,1000.0
112,110218,992.18,788.4381126000001,0.4312315593659878,148,746,0.001,-40.029890327453614,111218,,
,114218,,,0.43894848991930485,,,0.001,-41.27488707733154,115000,921.171675351914,1000.0
116,,992.18,802.3603411700002,,148,776,,,115218,,
120,118218,992.18,813.3200789000002,0.4446962353289127,149,796,0.001,-42.446820739746094,119218,,
,119218,,,0.4448654532134533,,,0.001,-42.62020760345459,120000,901.6102780306712,1000.0
124,122218,992.18,816.8676154900002,0.507224497884512,149,825,0.001,-43.11347470092773,123218,,
,124218,,,0.5128191582411528,,,0.001,-43.466500022888184,125000,843.5229740502546,992.2
128,126218,992.18,819.59964301,0.49955029937624934,148,854,0.001,-43.82074873352051,127218,,
,129218,,,0.48556186947226526,,,0.001,-44.34361489868164,130000,917.2684196541217,1000.0
132,130218,1000.0,828.9902592900002,0.4647837119996548,148,883,0.001,-44.50399855041504,131218,,
,134218,,,0.4922774260789156,,,0.001,-44.97754147338867,135000,895.2250298183411,1000.0
136,,1000.0,833.4496193,,148,912,,,135218,,
140,138218,1000.0,834.21561724,0.4476391764134169,149,931,0.001,-45.42284380340576,139218,,
,139218,,,0.4477454918026924,,,0.001,-45.561253677368164,140000,935.336163617298,1000.0
144,142218,1000.0,836.2979168099998,0.4107470188885927,148,964,0.001,-46.133189743041996,143218,,
,144218,,,0.4087069730013609,,,0.001,-46.51200255584717,145000,903.6002816379071,1000.0
148,146218,1000.0,840.51710842,0.41570932008326056,147,997,0.001,-46.75147494506836,147218,,
,149218,,,0.41703958867490293,,,0.001,-47.204402862548825,150000,930.8495667867362,1000.0
152,150218,1000.0,845.86050601,0.4146027582734823,146,1031,0.001,-47.39189786529541,151218,,
