time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
106723,-52.04744338989258,0.0003,0.8033243417739868,2.829332113265991,72,224,0.014210297726094723,467.13191882,106622,579.37,1464,,
108293,-53.82538604736328,0.0003,-1.6701914072036743,5.272031784057617,73,228,0.014410206116735935,477.25345969999995,108192,575.46,1481,,
110000,-53.3376350402832,0.0003,-1.0983418226242065,2.963993549346924,,,0.014153647236526012,,109899,,,485.0725776131483,390.2
111081,-55.52180099487305,0.0003,-1.6495333909988403,2.7493464946746826,73,232,0.01416352391242981,493.44829446000006,110980,583.01,1516,,
112654,-56.680965423583984,0.0003,-0.17411094903945923,2.4761314392089844,73,236,0.0144967557862401,498.97367208000003,112553,575.48,1533,,
115000,-60.406524658203125,0.0003,0.43380090594291687,3.222797393798828,,,0.014508863911032677,,114899,,,723.4602124358528,616.4
115367,-60.51818084716797,0.0003,-0.7868903875350952,4.409235000610352,73,240,0.014586097560822964,511.15394358,115266,571.39,1572,,
115790,-57.1255989074707,0.0003,0.25140178203582764,3.569195508956909,73,244,0.014506809413433075,505.24772719,115689,553.29,1576,,
118856,-61.62872314453125,0.0003,-1.1203482151031494,3.096982955932617,73,248,0.014449949376285076,523.80713288,118755,575.98,1611,,
120000,-60.487770080566406,0.0003,0.9306696057319641,3.771963119506836,,,0.014414514414966106,,119899,,,510.144450623577,507.7
121771,-61.653900146484375,0.0003,1.4510793685913086,3.56333065032959,73,252,0.01447273325175047,539.94502434,121670,586.67,1650,,
123366,-60.08513641357422,0.0003,-2.7070560455322266,3.6841659545898438,73,256,0.014564746990799904,543.2864606300001,123265,588.39,1668,,
125000,-61.335575103759766,0.0003,1.013010025024414,7.719998359680176,,,0.014500102028250694,,124899,,,608.3739652942284,575.6
125808,-64.74788665771484,0.0003,-1.2123428583145142,4.81779670715332,73,260,0.014741274528205395,554.30592647,125707,580.77,1704,,
126805,-64.49230194091797,0.0003,-0.7915915846824646,3.4918150901794434,73,264,0.014589200727641582,556.32485471,126704,565.62,1715,,
129893,-63.20819091796875,0.0003,0.3583638668060303,4.116674423217773,74,268,0.014518622308969498,573.58786784,129792,566.15,1750,,
130000,-65.48670959472656,0.0003,0.21476861834526062,3.9113001823425293,,,0.014535697177052498,,129899,,,720.0011750384525,654.8
132144,-65.91439819335938,0.0003,1.3055171966552734,4.063401222229004,74,272,0.01454074401408434,571.97581736,132043,557.87,1784,,
133636,-65.7322998046875,0.0003,0.17818458378314972,4.002959251403809,74,276,0.014547769911587238,573.25312144,133535,548.24,1800,,
135000,-69.8612060546875,0.0003,1.4761831760406494,4.102389812469482,,,0.01457475870847702,,134899,,,526.8932514682413,500.2
135194,-66.17686462402344,0.0003,-0.6763268709182739,5.368922710418701,74,280,0.014638257212936878,578.9961994299999,135093,533.05,1824,,
136538,-68.7654800415039,0.0003,0.028135031461715698,5.490486145019531,74,284,0.014749465510249138,578.1955051499999,136437,531.07,1839,,
139756,-71.06880187988281,0.0003,0.189680814743042,4.258459091186523,74,288,0.01500406302511692,602.5260705000001,139655,550.92,1876,,
140000,-71.72467803955078,0.0003,0.9993043541908264,4.384467124938965,,,0.014806232415139675,,139899,,,644.5605529267589,653.4
143034,-68.90106964111328,0.0003,-0.48674720525741577,3.40610671043396,74,292,0.014890388585627079,614.9848140900001,142933,547.74,1922,,
