time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
223740,7660,1513,30.08,147,42.487254039999996,-15.877449372235466,223633,5.344470637185233,0.001,,
223931,7664,1514,30.84,147,43.84461908000001,-15.456605546614703,223786,3.6358187619377587,0.001,,
224057,7668,1515,30.8,147,43.98808865,-16.388009452819823,223937,5.9707073127069785,0.001,,
224177,7672,1516,30.58,147,43.31420724,-15.711924658881294,224068,4.437115825925555,0.001,,
224293,7676,1517,30.51,147,43.040342450000004,-15.479606787363688,224181,24.247542220192987,0.001,,
224425,7680,1518,30.66,147,43.458828540000006,-15.444989621639252,224313,3.6414062678813934,0.001,,
224556,7684,1518,30.92,147,44.12431315,-15.700915870666504,224440,6.307023830413819,0.001,,
224706,7688,1519,31.12,147,44.52398219999999,-15.962486076354981,224582,5.63270091188365,0.001,,
224852,7692,1520,31.62,147,45.48406736999999,-15.974864270952013,224737,4.122460739032642,0.001,,
224968,7696,1521,31.74,147,45.663617970000004,-15.539911323123508,224858,3.565733038716846,0.001,,
225000,,,,,,-15.775075912475586,224881,3.2900121730306875,0.001,32.2,48.2012922167778
225131,7700,1523,32.19,147,46.330726999999996,-15.51183021068573,224997,3.1924346958597503,0.001,,
225246,7704,1524,32.31,147,46.48178746000001,-16.023345756530762,225135,4.307370319599059,0.001,,
225381,7708,1525,32.29,147,46.70616893000001,-15.774026115735372,225268,3.9121146723628044,0.001,,
225478,7712,1525,31.8,147,45.69853999,-16.055357933044434,225372,4.227034912109375,0.001,,
225585,7716,1526,31.51,147,44.806201959999996,-15.950278428884653,225475,6.783790782645896,0.001,,
225760,7720,1527,31.84,147,45.29101105000001,-15.99200051830661,225619,3.4670748479904665,0.001,,
225897,7724,1528,32.03,147,45.506979099999995,-16.104140562169693,225785,3.6287042209080287,0.001,,
226015,7728,1529,32.1,147,45.77168659,-15.702931563059488,225904,3.922444110221051,0.001,,
226134,7732,1530,32.3,147,46.00102249,-15.491312980651855,226007,3.195819914340973,0.001,,
226250,7736,1531,32.09,147,45.57551042,-16.344721412658693,226112,3.5883354638752185,0.001,,
226368,7740,1531,32.02,147,45.43081268,-15.996556455438787,226244,4.350749038514637,0.001,,
226462,7744,1532,31.78,147,44.94049875,-15.503961086273193,226355,3.441195561968047,0.001,,
226572,7748,1533,31.93,147,45.26917211000002,-15.299500240999109,226460,3.8101542206371533,0.001,,
226689,7752,1534,31.45,147,44.519150690000004,-15.867849518271054,226570,6.103638130075791,0.001,,
226805,7756,1535,31.71,147,45.00392291999999,-15.391527902512323,226692,3.4908909303386038,0.001,,
226913,7760,1535,31.73,147,44.808294079999996,-15.430452823638916,226798,4.294150776333279,0.001,,
227042,7764,1536,31.11,147,43.66275443000001,-15.770134131113688,226918,3.708181115559169,0.001,,
227207,7768,1537,31.5,147,44.34922211999999,-16.46731604470147,227102,6.93122684614999,0.001,,
227318,7772,1538,31.41,147,44.29778448,-15.628381865365165,227208,4.02500597635905,0.001,,
227473,7776,1539,31.8,147,45.03149742000001,-15.753801005227226,227362,3.515200305868078,0.001,,
227604,7780,1540,31.79,147,45.0253809,-15.542508554458617,227494,4.0247610867023464,0.001,,
227717,7784,1541,31.61,147,44.72195164000001,-15.779547691345215,227609,3.5367455193490693,0.001,,
