rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
,,155000,,,,7.450580596923828e-06,0.8825706243515015,0.3509765625,0.0003,482232.0,750,879738.6876953125,0.2,-21.993038409948348,-0.08472040372435004,0.04008097,68419.0013753891,1000.0
63308.76515248001,127,155648,76,1216,1000.0,,,,,,,,,,,,,
63500.19654446,129,157696,77,1219,1000.0,-9.5367431640625e-07,0.8810999989509583,0.3341796875,0.0003,444492.375,760,986709.3017578125,0.2,-21.959886223077774,-0.08284347581211478,0.038701132,,
63967.95594333,130,159744,78,1223,1000.0,2.485513687133789e-05,0.880254328250885,0.308984375,0.0003,584231.1875,770,1189228.63359375,0.2,-21.943626075983047,-0.08052562424272765,0.03492178,,
,,160000,,,,5.841255187988281e-06,0.8790143132209778,0.34521484375,0.0003,582031.125,780,1119734.698046875,0.2,-21.92134123444557,-0.0885574672196526,0.040875867,73384.37237415314,1000.0
63884.21630035,128,161792,79,1255,1000.0,,,,,,,,,,,,,
63744.222451919995,130,163840,80,1259,1000.0,-5.7220458984375e-06,0.8762488961219788,0.3326171875,0.0003,506662.96875,790,1007549.48515625,0.2,-21.882981294393538,-0.08115914130175952,0.038906287,,
,,165000,,,,-2.0265579223632812e-06,0.8752891421318054,0.359912109375,0.0003,334927.53125,800,706277.0005859375,0.2,-21.84483892917633,-0.08402017276093829,0.043193977,76976.91169281006,1000.0
63449.17071638999,128,165888,81,1289,1000.0,,,,,,,,,,,,,
63631.00881358,129,167936,82,1293,1000.0,-2.0265579223632812e-06,0.8745304346084595,0.331591796875,0.0003,488169.78125,810,1041896.9806640625,0.2,-21.828825062513353,-0.08055156622140203,0.038709544,,
63612.34840515,131,169984,83,1297,1000.0,1.2516975402832031e-06,0.874710738658905,0.359033203125,0.0003,373520.34375,820,784384.37734375,0.2,-21.82908437848091,-0.08509115847409703,0.04157644,,
,,170000,,,,4.947185516357422e-06,0.8731595277786255,0.36123046875,0.0003,497393.21875,830,917377.620703125,0.2,-21.811782616376878,-0.08884895245719235,0.04362517,75748.80915145874,1000.0
63624.44970153,129,172032,84,1329,1000.0,,,,,,,,,,,,,
63618.06746864,130,174080,85,1333,1000.0,2.5033950805664062e-06,0.8724465370178223,0.342138671875,0.0003,544422.25,840,1103034.21796875,0.2,-21.786972975730897,-0.08471539214951918,0.04390289,,
,,175000,,,,2.2351741790771484e-05,0.8731779456138611,0.370068359375,0.0003,588183.25,850,949288.52109375,0.2,-21.796939247846602,-0.09040050668409094,0.046350278,78054.2410982132,1000.0
63802.616684149994,129,176128,86,1363,1000.0,,,,,,,,,,,,,
64436.61877858001,130,178176,87,1367,1000.0,-1.33514404296875e-05,0.8736522793769836,0.32021484375,0.0003,654093.875,860,1266511.3189453124,0.2,-21.803300553560256,-0.07786569100571797,0.039048254,,
,,180000,,,,1.1324882507324219e-06,0.8708444833755493,0.31923828125,0.0003,878275.75,870,1571203.278515625,0.2,-21.771224868297576,-0.07919109691283666,0.04006209,78041.6208808899,1000.0
64737.613400070004,129,180224,88,1396,1000.0,,,,,,,,,,,,,
64845.475347390005,130,182272,89,1400,1000.0,-4.76837158203125e-07,0.8711949586868286,0.31689453125,0.0003,685385.8125,880,1433628.28046875,0.2,-21.757220536470413,-0.07717325365520082,0.039671063,,
65014.98800831,131,184320,90,1404,1000.0,6.467103958129883e-05,0.871120035648346,0.355126953125,0.0003,392717.84375,890,982878.952734375,0.2,-21.751168221235275,-0.08485368680267129,0.04402408,,
