time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
11231,22.13,68,38.915010939999995,508,164,0.001,-21.166650772094727,11113,0.6036594103683125,,
11319,22.12,68,38.89076197,512,165,0.001,-20.65525315024636,11202,0.4858434647321701,,
11406,22.11,69,38.871589719999996,516,165,0.001,-21.403844833374023,11288,0.9654027995738116,,
11494,22.1,69,38.855500719999995,520,165,0.001,-21.41649801080877,11376,0.5726104818639302,,
11581,22.08,70,38.81292441,524,165,0.001,-20.624545097351074,11463,1.2209048668543498,,
11669,22.06,70,38.77097058,528,165,0.001,-21.19798608259721,11551,0.8905402499696483,,
11759,22.08,71,38.796145179999996,532,165,0.001,-21.43409468910911,11641,1.1849877730659817,,
11846,22.06,71,38.769647510000006,536,165,0.001,-21.165171363136984,11728,0.5656416565179825,,
11936,22.1,72,38.838980670000005,540,165,0.001,-20.86071742664684,11817,0.6351185285526774,,
12023,22.08,72,38.803089230000005,544,165,0.001,-21.158166122436523,11905,0.9251856250422341,,
12112,22.07,73,38.797575630000004,548,164,0.001,-20.730187502774324,11993,0.8743467836276345,,
12200,22.06,74,38.776095489999996,552,164,0.001,-20.542128476229582,12082,1.169729608026418,,
12289,22.06,74,38.76970692,556,164,0.001,-21.181189155578615,12171,1.1148859986237116,,
12379,22.08,75,38.80410155,560,164,0.001,-20.936221209439363,12260,0.6275668090040033,,
12468,22.09,75,38.817658120000004,564,164,0.001,-21.346865567294035,12349,1.2355474436824971,,
12500,,,,,,0.001,-20.887167843905363,12394,1.5741457112810828,22.05,38.89948636293411
12554,22.05,76,38.7451594,568,163,0.001,-21.216374778747557,12437,0.5684350927670797,,
12645,22.09,77,38.80632683,572,162,0.001,-21.001386469060723,12527,0.4651369413603907,,
12734,22.09,78,38.824567560000006,576,162,0.001,-20.947819102894176,12615,1.1146920377557927,,
12824,22.1,78,38.84671988,580,162,0.001,-20.500919977823894,12706,1.0649986254132313,,
12912,22.07,79,38.801613970000005,584,162,0.001,-20.66550740328702,12794,0.7803972824053331,,
12998,22.05,79,38.767779790000006,588,162,0.001,-20.78374550559304,12881,0.42490298639644275,,
13086,22.06,80,38.773559660000004,592,162,0.001,-20.818403590809215,12969,1.7083545259454034,,
13174,22.07,81,38.79897404,596,162,0.001,-21.16794672879306,13056,0.5344407666813243,,
13262,22.08,81,38.81149585,600,162,0.001,-20.49955888227983,13143,0.5016054497523741,,
13351,22.08,82,38.81102544,604,162,0.001,-19.96118025346236,13233,1.122762849385088,,
13439,22.08,82,38.81610411,608,162,0.001,-20.19711060957475,13321,0.7854592962698503,,
13528,22.09,83,38.84256614,612,162,0.001,-20.747509002685547,13410,0.49919441071423615,,
13616,22.1,83,38.86414476,616,162,0.001,-20.703663392500445,13498,0.47131195948237464,,
13703,22.09,84,38.8443267,620,162,0.001,-20.27998178655451,13586,0.792579398913817,,
13793,22.12,84,38.90398894,624,162,0.001,-20.30669524452903,13674,0.5435037612915039,,
13880,22.11,85,38.89797373,628,162,0.001,-20.19087652726607,13762,0.9294413299787612,,
13971,22.12,86,38.90953374,632,162,0.001,-20.91948397954305,13852,0.4816600978374481,,
14058,22.12,86,38.9118167,636,161,0.001,-20.456010471690785,13940,0.6019269611154284,,
14148,22.12,87,38.903553669999994,640,161,0.001,-20.045016129811604,14030,0.8061509676601576,,
14237,22.14,88,38.93332615,644,161,0.001,-20.63749139959162,14119,1.8470459404316815,,
14326,22.14,88,38.93553799,648,161,0.001,-20.248317545110528,14207,0.5036563534628261,,
14416,22.16,89,38.96787171,652,161,0.001,-20.096493085225422,14298,1.0625581909780917,,
14504,22.15,89,38.94127024,656,161,0.001,-20.291067643599078,14386,1.3892048434777693,,
14594,22.15,90,38.94626642,660,161,0.001,-20.74359146753947,14476,0.7377618324497471,,
14681,22.13,91,38.91306009,664,161,0.001,-20.92554942044345,14564,1.0680184761683147,,
14770,22.16,91,38.962659439999996,668,161,0.001,-20.69619196111506,14652,0.5545671893791719,,
14859,22.14,92,38.933203510000006,672,161,0.001,-20.772992567582563,14741,0.4492040398445996,,
14946,22.12,92,38.89051382,676,161,0.001,-19.8891395222057,14828,1.1853759248148312,,
15000,,,,,,0.001,-20.027483159845527,14895,0.7902414812283083,22.05,38.89948645234108
15035,22.11,93,38.87087381,680,160,0.001,-20.410273291847922,14917,0.7339430708776821,,
15123,22.11,94,38.871337909999994,684,160,0.001,-20.73946033824574,15005,1.1992781080982902,,
15212,22.14,94,38.91638165,688,160,0.001,-20.170744115656074,15094,0.8051982183348049,,
15300,22.14,95,38.92115783,692,160,0.001,-20.447751478715375,15182,0.8073514767668464,,
15388,22.14,95,38.92500895,696,160,0.001,-20.10698751969771,15270,0.80019249802544,,
15475,22.13,96,38.905446160000004,700,160,0.001,-20.416691346602008,15358,0.8167093396186829,,
15564,22.13,96,38.91155768000001,704,160,0.001,-20.33325836875222,15446,0.7539299631660635,,
15650,22.11,97,38.87982061,708,160,0.001,-19.98493940179998,15532,0.42901305718855426,,
15739,22.11,97,38.882377,712,160,0.001,-20.05607206171209,15621,0.7600326375527815,,
15828,22.12,98,38.896652419999995,716,160,0.001,-20.460384368896484,15710,0.6188021762804552,,
15917,22.14,99,38.9360094,720,160,0.001,-20.10139135880904,15799,1.779268961061131,,
16006,22.13,99,38.915040489999996,724,160,0.001,-19.866751584139738,15887,0.5296077227050607,,
16094,22.14,100,38.92872961,728,160,0.001,-20.14971230246804,15976,1.0765938880768688,,
16183,22.12,101,38.90043077,732,160,0.001,-20.102828632701527,16064,0.5341516895727678,,
16272,22.14,101,38.93590781,736,160,0.001,-19.994774384932086,16154,0.4214731292291121,,
16357,22.09,102,38.86815307,740,160,0.001,-20.472922932017934,16240,0.41143615330968586,,
16443,22.06,102,38.82711323,744,160,0.001,-19.699357639659535,16326,0.7606754858385433,,
16532,22.06,103,38.81997624,748,159,0.001,-19.80091632496227,16414,0.4458349780602889,,
16620,22.04,103,38.789533320000004,752,159,0.001,-20.718896172263406,16502,0.45705506747419183,,
16708,22.04,104,38.78838395,756,159,0.001,-20.161971872503106,16590,0.8064835870807822,,
16796,22.02,104,38.76431015,760,159,0.001,-19.743708697232332,16678,0.7744792984290556,,
16887,22.06,105,38.82556006,764,159,0.001,-19.968388297341086,16769,0.776927510033483,,
16976,22.06,106,38.818054110000006,768,160,0.001,-20.53345350785689,16857,0.7758805182847109,,
17064,22.05,106,38.799353579999995,772,159,0.001,-19.83799795670943,16945,0.41842469573020935,,
17152,22.06,107,38.81385116,776,159,0.001,-20.033785386519,17034,0.44772490723566577,,
17240,22.05,107,38.79695502,780,159,0.001,-19.49799936467951,17122,0.5304004008119757,,
17329,22.06,108,38.81807497,784,160,0.001,-19.78712289983576,17211,0.4889459078726561,,
17417,22.05,108,38.80455191000001,788,159,0.001,-19.66663759404963,17298,0.5170564908872951,,
