rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
,,,,,60000,-3.9411176301538946,0.0919921875,290,0.8452655225992203,217.33587646484375,0.9012969732284546,0.008577798,315.18577070236205,-0.008651788749557455,0.0003,227.3000532746315,128.15,0.2
140.73,161,379,30,347.0306674499999,61440,,,,,,,,,,,,,
,,,,,62500,-3.9362070716917517,0.08359375,300,0.8946236968040466,23.12009620666504,0.8987935781478882,0.009540578,329.25761448740957,-0.005299392915912904,0.0003,135.83313784003258,132.8,0.2
140.17,168,377,31,351.48077858000005,63488,,,,,,,,,,,,,
,,,,,65000,-3.923266962915659,0.07509765625,310,0.8453381806612015,241.02500915527344,0.8940779566764832,0.008671008,627.4737956702709,-0.009959314503066707,0.0003,305.9128658413887,212.25,0.2
140.5,175,373,32,355.6902176599999,65536,,,,,,,,,,,,,
,,,,,67500,-3.915497234463692,0.0712890625,320,0.7903040796518326,49.00168228149414,0.894953191280365,0.007706924,438.7701380312443,-0.0100371688924497,0.0003,363.024995970726,154.15,0.2
140.98,181,371,33,362.4669524,67584,,,,,,,,,,,,,
147.28,185,374,34,387.8832443399999,69632,-3.9051478035748004,0.08291015625,330,0.8983380794525146,24.70125389099121,0.8861412405967712,0.00950938,,-0.008132320034201257,0.0003,174.905639564991,,0.2
,,,,,70000,-3.877962786704302,0.07255859375,340,0.8732167929410934,67.80072021484375,0.8797158598899841,0.00864022,327.8407567977905,-0.007919329461583403,0.0003,230.18751764297485,128.4,0.2
150.99,191,373,35,402.4995364500001,71680,,,,,,,,,,,,,
,,,,,72500,-3.852756553143263,0.064453125,350,0.8442596644163132,120.92424774169922,0.8717783689498901,0.007575881,429.48509173989294,-0.008981061133090407,0.0003,318.55036249160764,151.1,0.2
151.76,198,371,36,407.5045880400001,73728,,,,,,,,,,,,,
,,,,,75000,-3.837755071371794,0.060791015625,360,0.7114185094833374,289.08660888671875,0.8719789385795593,0.0064382893,474.2850357413292,-0.010672465671086684,0.0003,608.1449694633484,158.55,0.2
155.32,204,370,37,424.23199410999996,75776,,,,,,,,,,,,,
,,,,,77500,-3.852267810702324,0.110302734375,370,0.8557835221290588,139.60679626464844,0.879267156124115,0.008845529,509.82971115112304,-0.010219035079353489,0.0003,341.79259929656985,165.95,0.2
159.01,211,368,38,439.79514027,77824,,,,,,,,,,,,,
160.71,215,370,39,445.46809558,79872,-3.8653243362903593,0.10830078125,380,0.8619513064622879,27.533205032348633,0.8789905309677124,0.009326254,,-0.009365494351368398,0.0003,319.03375016450883,,0.2
,,,,,80000,-3.8577544830739496,0.105615234375,390,0.6753679513931274,226.55276489257812,0.877083420753479,0.008689294,580.1299556374549,-0.012125779021880589,0.0003,738.9726271390915,184.45,0.2
168.8,222,368,40,475.66929302000005,81920,,,,,,,,,,,,,
,,,,,82500,-3.8510798275470735,0.089453125,400,0.9423124976456165,38.588539123535156,0.874119758605957,0.008411009,650.0045840501786,-0.009247416592552326,0.0003,149.9997972726822,203.4,0.2
173.21,229,365,41,493.41396714999996,83968,,,,,,,,,,,,,
,,,,,85000,-3.836118210107088,0.12265625,410,0.8429700285196304,67.14661407470703,0.8683791160583496,0.009069921,667.7990597009659,-0.012919564721232745,0.0003,412.58465394973757,205.2,0.2
174.9,237,362,42,503.25347834000013,86016,,,,,,,,,,,,,
,,,,,87500,-3.8186513513326643,0.08525390625,420,0.922222875058651,272.2098388671875,0.8631229400634766,0.010032314,729.6107329964638,-0.008507567533524708,0.0003,219.1268363237381,223.3,0.2
178.01,244,360,43,515.7668129500001,88064,,,,,,,,,,,,,
,,,,,90000,-3.8058806367218496,0.058251953125,430,0.9000025317072868,153.56756591796875,0.8604850172996521,0.006033396,708.8782471656799,-0.00886510128621012,0.0003,275.4418421983719,218.4,0.2
181.16,251,357,44,528.80291568,90112,,,,,,,,,,,,,
187.79,255,360,45,553.2825660699999,92160,-3.800307270139456,0.0763671875,440,0.9422411471605301,80.2176742553711,0.8592240214347839,0.007858777,,-0.01033451204712037,0.0003,156.71049296855927,,0.2
,,,,,92500,-3.7895040661096573,0.050830078125,450,0.9496523179113865,52.05474090576172,0.8544700145721436,0.0063581956,670.1146178543568,-0.007237183491815813,0.0003,144.0883056163788,209.3,0.2
195.01,262,358,46,573.9299677,94208,,,,,,,,,,,,,
,,,,,95000,-3.779250441491604,0.058349609375,460,0.8027573525905609,192.2427215576172,0.8535696864128113,0.0060288543,711.8477581620216,-0.005815645202528685,0.0003,474.9520733356476,223.95,0.2
195.78,270,356,47,578.0984009700001,96256,,,,,,,,,,,,,
,,,,,97500,-3.7774302631616594,0.0896484375,470,0.8665239661931992,39.61979675292969,0.8530944585800171,0.0080898125,1329.8372703433038,-0.00741439411212923,0.0003,256.7111077785492,425.35,0.2
206.09,280,349,48,611.2637184600001,98304,,,,,,,,,,,,,
,,,,,100000,-3.772482594102621,0.0662109375,480,0.9410843104124069,73.55175018310547,0.8503915667533875,0.00829874,1146.437339222431,-0.005942734482232481,0.0003,142.11517083644867,355.4,0.2
212.03,290,345,49,632.0859090500002,100352,,,,,,,,,,,,,
211.9,294,347,50,634.1931824799999,102400,-3.7507597684860228,0.0974609375,490,0.9076829180121422,390.2204284667969,0.8417722582817078,0.009300487,,-0.010030858384561725,0.0003,277.78466173410413,,0.2
,,,,,102500,-3.7407110847532747,0.08994140625,500,0.9154708310961723,46.24797439575195,0.8440223932266235,0.008122127,787.9781104922295,-0.01089172460779082,0.0003,282.9429792165756,244.1,0.2
214.73,302,345,51,642.73669657,104448,,,,,,,,,,,,,
,,,,,105000,-3.7240326307713985,0.082958984375,510,0.9572158344089985,51.79680252075195,0.8332679271697998,0.009276104,952.4503888249398,-0.008659137741778978,0.0003,133.68994359970094,296.75,0.2
217.69,311,342,52,655.64386579,106496,,,,,,,,,,,,,
,,,,,107500,-3.702177183330059,0.073779296875,520,0.9580451063811779,51.65138626098633,0.8321421146392822,0.007535194,1257.3588982462884,-0.0038229925441555677,0.0003,141.50248596668243,395.55,0.2
223.81,321,337,53,672.1288508800001,108544,,,,,,,,,,,,,
,,,,,110000,-3.7095043294131758,0.098583984375,530,0.9602692276239395,52.06559753417969,0.8365992903709412,0.009356295,1627.5688781619072,-0.01019560033455491,0.0003,107.22396357059479,534.05,0.2
228.51,334,330,54,682.5632856699999,110592,,,,,,,,,,,,,
,,,,,112500,-3.7056669011712073,0.079638671875,540,0.8942139744758606,91.86541748046875,0.8298636674880981,0.007594054,1730.7195220768451,-0.006545402470510453,0.0003,271.0512597322464,609.45,0.2
231.1,348,323,55,691.84438402,112640,,,,,,,,,,,,,
235.58,352,325,56,704.93871217,114688,-3.689357005059719,0.0794921875,550,0.9353050738573074,88.40556335449219,0.8292505145072937,0.008353064,,-0.009976607171120122,0.0003,175.26721551418305,,0.2
,,,,,115000,-3.686271570622921,0.040771484375,560,0.8671361804008484,205.75152587890625,0.827662467956543,0.004988023,2168.441280412674,-0.004122198445838876,0.0003,402.3279098510742,1000.0,0.2
240.86,372,313,57,713.8772622399999,116736,,,,,,,,,,,,,
,,,,,117500,-3.6910916909575464,0.0814453125,570,0.7775771468877792,191.0646514892578,0.8303195834159851,0.008759196,2193.6849071145057,-0.00846602331730537,0.0003,436.91075559854505,912.95,0.2
242.69,391,303,58,717.7657946400001,118784,,,,,,,,,,,,,
,,,,,120000,-3.691991290450096,0.068017578125,580,0.7060773074626923,355.929931640625,0.828471839427948,0.007728313,2268.9178126692773,-0.00708065734943375,0.0003,738.8711042404175,1000.0,0.2
250.33,411,293,59,736.43193019,120832,,,,,,,,,,,,,
,,,,,122500,-3.6704689525067806,0.073681640625,590,0.8840833678841591,81.638671875,0.8203401565551758,0.008615341,2166.307243579626,-0.0090354706189828,0.0003,243.2744707584381,1000.0,0.2
248.36,431,284,60,728.7995138800001,122880,,,,,,,,,,,,,
262.56,435,286,61,762.1219778500001,124928,-3.6557821914553643,0.1234375,600,0.8823275044560432,34.051116943359375,0.8202136754989624,0.01016984,,-0.00816731762024574,0.0003,228.21989638805388,,0.2
,,,,,125000,-3.6488584890961646,0.108154296875,610,0.9464520961046219,31.175121307373047,0.815260112285614,0.011878828,2273.265069466829,-0.008891236237832344,0.0003,106.47515425682067,937.6,0.2
268.74,454,279,62,781.0629830700001,126976,,,,,,,,,,,,,
,,,,,127500,-3.6481450319290163,0.1576171875,620,0.9411599114537239,48.757320404052734,0.8172016143798828,0.014266933,1971.269541990757,-0.009806032257620246,0.0003,65.13626482486725,799.4,0.2
281.9,470,274,63,817.7856360999998,129024,,,,,,,,,,,,,
,,,,,130000,-3.624608866125345,0.114111328125,630,0.8855481520295143,33.38233184814453,0.8066815137863159,0.009821758,1104.805462694168,-0.006609099885099568,0.0003,320.44669605493544,374.9,0.2
282.86,480,272,64,823.45126042,131072,,,,,,,,,,,,,
