time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
2742,6.2,29,452,-4.024649579999999,93,-14.520118713378906,2641,0.0003,3.100083827972412,-9.45796012878418,0.4572727680206299,,
2760,6.14,29,456,-3.96639377,93,-14.36417007446289,2659,0.0003,4.021766185760498,-9.514413833618164,0.4548870623111725,,
2794,6.25,29,460,-4.19096916,93,-14.700321197509766,2693,0.0003,5.103177070617676,-9.38414192199707,0.45037561655044556,,
2819,6.27,30,464,-4.246839649999999,93,-14.911781311035156,2718,0.0003,4.897579669952393,-8.71932601928711,0.44708046317100525,,
2844,6.3,30,468,-4.314938969999999,93,-15.28774642944336,2743,0.0003,2.747241497039795,-8.513055801391602,0.4438008666038513,,
2883,6.38,30,472,-4.21703853,93,-15.255785942077637,2782,0.0003,3.2618961334228516,-8.566734313964844,0.4386860430240631,,
2919,6.51,31,476,-4.355294690000001,93,-15.568553924560547,2818,0.0003,4.233500957489014,-8.946410179138184,0.4340464472770691,,
2943,6.5,31,480,-4.33634012,93,-15.65128231048584,2842,0.0003,3.6915693283081055,-8.114225387573242,0.43099480867385864,,
2969,6.51,31,484,-4.33615368,93,-15.599398612976074,2868,0.0003,4.160627365112305,-8.633573532104492,0.4277110993862152,,
2992,6.55,32,488,-4.39504166,93,-15.71766471862793,2891,0.0003,3.445462226867676,-9.025358200073242,0.4248415529727936,,
3017,6.57,32,492,-4.438970470000001,93,-15.98771858215332,2916,0.0003,2.6442387104034424,-8.955533027648926,0.4217464327812195,,
3036,6.48,32,496,-4.41193768,93,-15.8349609375,2935,0.0003,3.8346805572509766,-8.541864395141602,0.419403076171875,,
3061,6.45,32,500,-4.38182948,93,-16.202835083007812,2960,0.0003,3.6858134269714355,-8.393148422241211,0.41634681820869446,,
3092,6.47,33,504,-4.369566569999999,93,-16.054933547973633,2991,0.0003,3.7286672592163086,-8.554912567138672,0.4125848710536957,,
3115,6.45,33,508,-4.37152901,93,-15.882425308227539,3014,0.0003,3.32598876953125,-8.425032615661621,0.40983402729034424,,
3139,6.42,33,512,-4.39813948,93,-16.071199417114258,3038,0.0003,2.8236231803894043,-8.419121742248535,0.407036155462265,,
3165,6.45,33,516,-4.3569228,93,-15.800193786621094,3064,0.0003,3.417802333831787,-8.103824615478516,0.40405240654945374,,
3190,6.4,34,520,-4.22200965,93,-16.30166244506836,3089,0.0003,3.70076322555542,-8.16026496887207,0.4012012183666229,,
3209,6.37,34,524,-4.23279262,93,-16.698476791381836,3108,0.0003,3.811215877532959,-7.530666828155518,0.39903488755226135,,
3233,6.33,34,528,-4.157987389999999,93,-16.595069885253906,3132,0.0003,2.765319347381592,-7.385007858276367,0.396293580532074,,
3260,6.28,35,532,-4.076952619999999,93,-17.144969940185547,3159,0.0003,2.249356746673584,-6.960119724273682,0.3931950628757477,,
3289,6.36,35,536,-4.103720409999999,92,-17.519872665405273,3188,0.0003,2.5462262630462646,-7.540893077850342,0.38984882831573486,,
3312,6.32,35,540,-4.121832779999999,92,-17.566410064697266,3211,0.0003,2.1630966663360596,-7.248499870300293,0.38719767332077026,,
3336,6.38,35,544,-4.14221033,92,-17.87791633605957,3235,0.0003,2.625115394592285,-7.016299247741699,0.3844444751739502,,
3372,6.55,36,548,-4.25690424,92,-17.947805404663086,3271,0.0003,2.628387928009033,-6.4486260414123535,0.3803257644176483,,
3402,6.6,36,552,-4.34392748,92,-17.389266967773438,3301,0.0003,2.4900803565979004,-6.826923847198486,0.37696439027786255,,
3419,6.59,36,556,-4.336573,92,-17.729114532470703,3318,0.0003,1.9714961051940918,-6.9632039070129395,0.37510669231414795,,
3445,6.51,37,560,-4.1603178199999995,92,-17.395915985107422,3344,0.0003,2.2573835849761963,-7.366218090057373,0.37231647968292236,,
3480,6.61,37,564,-4.21471442,92,-17.554458618164062,3379,0.0003,2.6568775177001953,-7.25152063369751,0.36863237619400024,,
3498,6.54,37,568,-4.154963499999999,92,-17.468040466308594,3397,0.0003,1.8968327045440674,-6.695030212402344,0.3667421042919159,,
3527,6.44,37,572,-4.19392643,92,-17.517486572265625,3426,0.0003,2.064699411392212,-6.930003643035889,0.3637448847293854,,
3559,6.4,38,576,-4.10319115,92,-17.759925842285156,3458,0.0003,1.6656509637832642,-6.774057865142822,0.3604587912559509,,
3594,6.51,38,580,-4.089015849999999,92,-18.038774490356445,3493,0.0003,1.3429428339004517,-6.310670375823975,0.35688886046409607,,
3625,6.56,39,584,-4.06866686,92,-17.99985122680664,3524,0.0003,2.2098376750946045,-6.789351463317871,0.3537313938140869,,
3660,6.68,39,588,-4.105740180000001,93,-18.710948944091797,3559,0.0003,2.1545486450195312,-6.397024631500244,0.3501758873462677,,
3692,6.75,39,592,-4.07398068,93,-18.611867904663086,3591,0.0003,1.8799915313720703,-6.295688629150391,0.3469332158565521,,
3729,6.93,40,596,-4.1435897399999995,92,-19.124431610107422,3628,0.0003,1.9156708717346191,-6.550121307373047,0.3432237207889557,,
3762,7.01,40,600,-4.136178699999999,92,-19.337295532226562,3661,0.0003,1.6309785842895508,-6.122220039367676,0.3399101197719574,,
3786,6.94,40,604,-4.11167098,92,-19.543983459472656,3685,0.0003,1.6491568088531494,-6.011412620544434,0.3375172019004822,,
3814,6.99,41,608,-4.06674893,92,-19.675180435180664,3713,0.0003,1.4027129411697388,-5.853038787841797,0.3347606360912323,,
3840,7.01,41,612,-3.9975954600000008,92,-19.47922134399414,3739,0.0003,1.2633326053619385,-6.001999855041504,0.33221903443336487,,
3864,6.99,41,616,-3.9699193499999996,92,-19.795907974243164,3763,0.0003,1.7046585083007812,-5.662372589111328,0.3298882842063904,,
3886,6.96,41,620,-3.97983826,92,-19.985326766967773,3785,0.0003,1.3439843654632568,-6.163297653198242,0.3277817964553833,,
3910,7.01,42,624,-3.8812084199999997,92,-19.891983032226562,3809,0.0003,1.6950607299804688,-5.521932601928711,0.3254975378513336,,
3934,7.01,42,628,-3.9111146100000003,92,-20.50962257385254,3833,0.0003,1.4783371686935425,-5.23042106628418,0.32321155071258545,,
3958,6.98,42,632,-3.912505050000001,92,-20.386032104492188,3857,0.0003,1.4176117181777954,-5.550671577453613,0.32092201709747314,,
3976,6.87,42,636,-3.83508385,92,-20.583984375,3875,0.0003,1.0301337242126465,-5.229388236999512,0.319216251373291,,
4002,6.9,43,640,-3.8149288700000006,92,-20.69460678100586,3901,0.0003,1.4119606018066406,-5.635990142822266,0.31675416231155396,,
4029,6.93,43,644,-3.800112239999999,92,-21.036352157592773,3928,0.0003,1.2308770418167114,-5.6585235595703125,0.3142058551311493,,
4047,6.75,43,648,-3.6736608,92,-21.437599182128906,3946,0.0003,1.3549777269363403,-5.7443342208862305,0.31250736117362976,,
4071,6.69,43,652,-3.60410455,92,-21.69454574584961,3970,0.0003,1.052872657775879,-5.3132429122924805,0.31024014949798584,,
4099,6.8,44,656,-3.6984062,92,-21.84177017211914,3998,0.0003,1.1042754650115967,-5.027331352233887,0.30761244893074036,,
4137,6.92,44,660,-3.69137681,92,-22.03982925415039,4036,0.0003,1.1410088539123535,-5.275504112243652,0.3040827214717865,,
4159,6.79,44,664,-3.4773111799999996,92,-22.014476776123047,4058,0.0003,1.0830920934677124,-4.89387321472168,0.30206453800201416,,
4181,6.83,45,668,-3.4225906599999996,92,-22.094234466552734,4080,0.0003,1.215205192565918,-5.0533576011657715,0.30006787180900574,,
4212,6.85,45,672,-3.4359462400000003,92,-22.432971954345703,4111,0.0003,1.256953477859497,-5.298649787902832,0.29728662967681885,,
4233,6.74,45,676,-3.3776373,92,-22.37630271911621,4132,0.0003,0.8617140650749207,-4.588263511657715,0.29542210698127747,,
4257,6.63,45,680,-3.3610809800000006,92,-22.07862091064453,4156,0.0003,0.8901597261428833,-4.686433792114258,0.29330334067344666,,
4286,6.61,46,684,-3.3161259500000004,92,-22.274089813232422,4185,0.0003,1.1540085077285767,-4.762554168701172,0.29077333211898804,,
4309,6.49,46,688,-3.22826478,92,-22.572677612304688,4208,0.0003,0.9902211427688599,-4.975194454193115,0.28879496455192566,,
4331,6.39,46,692,-3.1931280500000003,92,-22.369491577148438,4230,0.0003,1.1054046154022217,-5.00953483581543,0.2869199514389038,,
