time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
150,512,77200,0.04481756128370762,1544,77050,0.001,19.721519699096678,50.0,-5.384189739999999,,
150,513,77400,0.05844053853303194,1548,77250,0.001,19.68083038330078,50.0,-5.42374661,,
,,77500,0.08682853423058987,,77350,0.001,19.75686912536621,,,-5.585037699999999,50.0
150,515,77600,0.08224342539906501,1552,77450,0.001,19.74885612487793,50.0,-5.512604680000001,,
150,516,77800,0.04389193080365658,1556,77650,0.001,19.7792325592041,50.0,-5.552590220000001,,
,,78000,0.045982544384896754,,77850,0.001,19.738306884765624,,,-5.4733329500000005,50.0
150,518,78000,,1560,,,,50.0,-5.56728681,,
150,519,78200,0.04205036424100399,1564,78050,0.001,19.72787368774414,50.0,-5.558206419999998,,
150,520,78400,0.04472820084542036,1568,78250,0.001,19.744076919555663,50.0,-5.54047616,,
,,78500,0.041656367778778076,,78350,0.001,19.802075881958007,,,-5.5218823,50.0
150,522,78600,0.04772498577833176,1572,78450,0.001,19.76453582763672,50.0,-5.60773367,,
150,523,78800,0.0508002183958888,1576,78650,0.001,19.751152420043944,50.0,-5.5867408,,
,,79000,0.03868209045380354,,78850,0.001,19.742546844482423,,,-5.3068976,50.0
150,525,79000,,1580,,,,50.0,-5.49918715,,
150,526,79200,0.043386565558612346,1584,79050,0.001,19.78077217102051,50.0,-5.409851100000001,,
150,527,79400,0.041742859669029714,1588,79250,0.001,19.751684494018555,50.0,-5.318893480000001,,
,,79500,0.04851189553737641,,79350,0.001,19.752887420654297,,,-5.11556555,50.0
150,529,79600,0.057801345139741896,1592,79450,0.001,19.804760513305663,50.0,-5.381467789999999,,
150,530,79800,0.04466901656240225,1596,79650,0.001,19.738394470214843,50.0,-5.328919449999998,,
,,80000,0.0540515798330307,,79850,0.001,19.81273498535156,,,-5.36014005,50.0
150,531,80000,,1600,,,,50.0,-5.384364919999999,,
150,532,80200,0.044011976160109045,1604,80050,0.001,19.81741386413574,50.0,-5.3587827500000005,,
150,533,80400,0.046557709872722626,1608,80250,0.001,19.800768432617186,50.0,-5.340117379999999,,
,,80500,0.05165462605655193,,80350,0.001,19.766734466552734,,,-5.453581649999999,50.0
150,535,80600,0.04873265940696001,1612,80450,0.001,19.809198760986327,50.0,-5.269168120000001,,
150,536,80800,0.04047605950385332,1616,80650,0.001,19.881732864379885,50.0,-5.25668746,,
,,81000,0.04365634117275476,,80850,0.001,19.778156967163085,,,-5.086634800000001,50.0
150,538,81000,,1620,,,,50.0,-5.10556717,,
150,539,81200,0.04071110788732767,1624,81050,0.001,19.804079437255858,50.0,-5.08881036,,
150,540,81400,0.05019510462880135,1628,81250,0.001,19.826298751831054,50.0,-5.1606372,,
,,81500,0.05111634224653244,,81350,0.001,19.796658630371095,,,-5.355831749999999,50.0
150,541,81600,0.05452654242515564,1632,81450,0.001,19.867341995239258,50.0,-5.208955070000001,,
150,543,81800,0.04931426238268614,1636,81650,0.001,19.821136932373047,50.0,-5.266640280000001,,
,,82000,0.050969468764960765,,81850,0.001,19.867435760498047,,,-5.470015250000001,50.0
150,544,82000,,1640,,,,50.0,-5.28697537,,
150,545,82200,0.06794286292046309,1644,82050,0.001,19.81306083679199,50.0,-5.348152819999999,,
150,546,82400,0.040760474056005476,1648,82250,0.001,19.83701271057129,50.0,-5.31034092,,
,,82500,0.04581898674368858,,82350,0.001,19.8386124420166,,,-5.53552665,50.0
150,548,82600,0.03964365217834711,1652,82450,0.001,19.849326400756837,50.0,-5.235517769999999,,
150,549,82800,0.04366312056779861,1656,82650,0.001,19.840498962402343,50.0,-5.217917540000001,,
,,83000,0.04890525847673416,,82850,0.001,19.81503967285156,,,-5.778639700000001,50.0
150,550,83000,,1660,,,,50.0,-5.20409085,,
150,551,83200,0.04684300497174263,1664,83050,0.001,19.878235321044922,50.0,-5.14028549,,
150,553,83400,0.0407305658981204,1668,83250,0.001,19.851061630249024,50.0,-5.161570019999999,,
,,83500,0.038866481930017474,,83350,0.001,19.840170974731446,,,-5.3335393,50.0
150,554,83600,0.03957993052899837,1672,83450,0.001,19.884556503295897,50.0,-5.09765835,,
150,555,83800,0.0383600465580821,1676,83650,0.001,19.86878158569336,50.0,-5.06461652,,
,,84000,0.04247822914272547,,83850,0.001,19.889584350585938,,,-5.4528303000000005,50.0
150,557,84000,,1680,,,,50.0,-5.067764810000001,,
150,558,84200,0.0422904546931386,1684,84050,0.001,19.877127227783202,50.0,-5.105437900000001,,
150,559,84400,0.04088332541286945,1688,84250,0.001,19.907923431396483,50.0,-5.1845729899999995,,
,,84500,0.042763240933418274,,84350,0.001,19.87379699707031,,,-5.3288772,50.0
150,561,84600,0.04332642275840044,1692,84450,0.001,19.89243392944336,50.0,-5.07205041,,
150,562,84800,0.04351565923541784,1696,84650,0.001,19.858219985961913,50.0,-5.11841336,,
