time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,-127.6058770904541,,10.01928285741806,525000,0.001,,,524126,1000.0,1306.9711956928163
572,75,-127.5808288116455,981.95,10.271099135875701,528126,0.001,2104.2022385,7034,527126,,
,,-128.05225,,9.410083845376969,530000,0.001,,,529126,1000.0,2214.3882408278296
576,75,-128.68873098754884,986.51,10.256495898246765,532126,0.001,2105.52467965,7091,531126,,
,,-128.79146784973145,,10.894709859371185,535000,0.001,,,534362,948.7,2088.255322909169
580,74,,978.87,,535362,,2095.4970232799997,7138,,,
584,74,-129.83178829956054,978.89,9.83134912443161,538975,0.001,2106.74918632,7186,537975,,
,,-129.75701983642577,,10.034190669059754,540000,0.001,,,539975,1000.0,2141.5517222774215
588,74,-129.62714692687987,978.89,10.720855011701584,542975,0.001,2108.4820022100002,7242,541975,,
,,-129.87597470092774,,10.860313096761704,545000,0.001,,,544975,1000.0,2323.147660665214
592,74,-130.032390045166,978.89,10.744419296264649,546975,0.001,2110.37763437,7299,545975,,
,,-131.03202905273437,,10.793799454689026,550000,0.001,,,549975,986.7,2404.431265694555
596,74,,978.89,,550975,,2118.7278285400002,7357,,,
600,74,-132.01191510009767,982.19,10.869590219974517,554975,0.001,2142.64267719,7407,553975,,
,,-132.7305749053955,,10.817180711984635,555000,0.001,,,554975,996.0,1771.5963369952049
604,74,-131.2955266113281,976.72,10.885769100666046,558428,0.001,2131.49458919,7462,557975,,
,,-130.96477255249025,,11.303636424779892,560000,0.001,,,559428,995.8,2300.2200660193803
608,74,-131.58950720214844,976.72,11.90548992204666,562428,0.001,2126.71170429,7512,561428,,
,,-131.8193281402588,,13.795540970802307,565000,0.001,,,564428,922.6,2154.3334341410546
612,74,-131.75935981750487,976.72,10.660184231042862,566428,0.001,2112.18594132,7567,565428,,
616,74,-132.60559161376952,970.66,10.694484609365464,569822,0.001,2100.44282252,7609,568822,,
,,-132.74604872131349,,10.77895603442192,570000,0.001,,,569822,1000.0,2296.442240038142
620,74,-133.4091907043457,972.93,10.393966362237931,573822,0.001,2109.89126242,7667,572822,,
,,-133.8678371734619,,10.163846637248993,575000,0.001,,,574822,866.3,1931.9580612658988
624,74,-134.55326414489747,972.44,10.03837473320961,577370,0.001,2111.37263881,7718,576370,,
,,-134.49026496887208,,10.063115142345428,580000,0.001,,,579370,1000.0,2263.0425093924628
628,74,-134.54457261657714,972.44,10.939812627792358,581370,0.001,2112.33683117,7776,580370,,
,,-134.41171264648438,,9.596987703561783,585000,0.001,,,584370,967.4,2089.5545551354066
632,74,,972.44,,585370,,2112.89982425,7834,,,
636,74,-135.7875765828253,966.57,9.072916651464837,588783,0.001,2101.89670516,7879,587783,,
,,-135.84033659362794,,8.764989776134492,590000,0.001,,,589783,1000.0,2254.9752819488904
640,74,-136.4789056854248,963.37,10.79979794883728,592463,0.001,2063.85132732,7934,591463,,
,,-136.6255110321045,,10.69102639579773,595000,0.001,,,594463,1000.0,2221.5837829568422
644,74,-136.57095289611817,963.37,9.92088312983513,596463,0.001,2063.60676263,7992,595463,,
