time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
61440,,,30,50.0,565,-52.474834170000015,108,,,,,,,,,,,
62000,-45.34147152900696,50.0,,,,,,1.045170847326517,0.017696397,0.9909634981304407,300,-0.011109174074954353,-1.015724217519164,0.2017578125,0.2,0.400626540184021,0.0003,0.28155088424682617
63000,-45.34147152900696,50.0,,,,,,,,,,,,,,,,
63488,,,31,50.0,565,-51.62953988,112,,,,,,,,,,,
64000,-44.446509116888045,50.0,,,,,,0.6499372342601418,0.012147317,0.9932800498791039,310,-0.016941277970909142,-0.943579688668251,0.1642578125,0.2,0.3851664662361145,0.0003,0.24364539980888367
65000,-44.446509116888045,50.0,,,,,,,,,,,,,,,,
65536,,,32,50.0,566,-49.701768109999996,115,,,,,,,,,,,
66000,-43.66124466359615,50.0,,,,,,0.7097659857943655,0.017033065,0.9925468871369958,320,-0.007366677635582164,-0.8517505450174212,0.16337890625,0.2,0.3667113780975342,0.0003,0.2680947780609131
67000,-43.66124466359615,50.0,,,,,,,,,,,,,,,,
67584,,,33,50.0,566,-48.063239939999995,119,,,,,,,,,,,
68000,-43.11644204109907,50.0,,,,,,0.560929338214919,0.016969942,0.9921785425394773,330,-0.0022182532848091796,-0.7549455456435681,0.190771484375,0.2,0.3506260812282562,0.0003,0.24452799558639526
69000,-43.11644204109907,50.0,,,,,,,,,,,,,,,,
69632,,,34,50.0,564,-46.92815318,123,,,,,,,,,,,
70000,-44.18730887770653,50.0,,,,,,0.560333207435906,0.010986233,0.9934007059782743,340,-0.004885778884636238,-0.6761298678815365,0.1443359375,0.2,0.33839553594589233,0.0003,0.24410615861415863
71000,-44.18730887770653,50.0,,,,,,,,,,,,,,,,
71680,,,35,50.0,563,-47.58067964000001,127,,,,,,,,,,,
72000,-43.37032081335783,50.0,,,,,,0.42866460885852575,0.013762329,0.9947687527164817,350,-0.004676012857817114,-0.5948766743764281,0.147705078125,0.2,0.3261285126209259,0.0003,0.15952055156230927
73000,-43.37032081335783,50.0,,,,,,,,,,,,,,,,
73728,,,36,50.0,563,-47.41067577,130,,,,,,,,,,,
74000,-42.04776305705309,50.0,,,,,,0.5575899119488895,0.019574659,0.994280410464853,360,-0.009424550816765987,-0.5234212946146727,0.16416015625,0.2,0.3166186809539795,0.0003,0.20832720398902893
75000,-42.04776305705309,50.0,,,,,,,,,,,,,,,,
75776,,,37,50.0,563,-46.59691022999999,134,,,,,,,,,,,
76000,-39.399379847943784,50.0,,,,,,0.4658266673795879,0.011494696,0.9948770864866674,370,-0.010049896477721632,-0.45817319490015507,0.133349609375,0.2,0.30583566427230835,0.0003,0.19454161822795868
77000,-39.399379847943784,50.0,,,,,,,,,,,,,,,,
77824,,,38,50.0,563,-44.84013538,138,,,,,,,,,,,
78000,-39.47205879688263,50.0,,,,,,0.4050367555581033,0.01306036,0.9940571375191212,380,0.004424564487999305,-0.3841068599373102,0.243701171875,0.2,0.29369279742240906,0.0003,0.3154020309448242
79000,-39.47205879688263,50.0,,,,,,,,,,,,,,,,
79872,,,39,50.0,563,-43.30850307,141,,,,,,,,,,,
80000,-36.383423920720816,50.0,,,,,,0.4159159533679485,0.013516756,0.9923969465307891,390,-0.0045513694814871995,-0.30085445530712607,0.17548828125,0.2,0.28171783685684204,0.0003,0.15122175216674805
81000,-36.383423920720816,50.0,,,,,,,,,,,,,,,,
81920,,,40,50.0,563,-41.862027579999996,145,,,,,,,,,,,
82000,-33.65783638656139,50.0,,,,,,0.3748483716044575,0.016825639,0.9913631258532405,400,-0.015302848533610813,-0.2157685562968254,0.201904296875,0.2,0.2693747580051422,0.0003,0.11764740198850632
83000,-33.65783638656139,50.0,,,,,,,,,,,,,,,,
83968,,,41,50.0,563,-39.99275874,149,,,,,,,,,,,
