time/episodes,time/fps,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
136,110,40377,44.45517259485581,212.58,9.04516754430883,364,40437,-156.78860158000003,0.001,,
140,111,40559,44.67312367757162,197.38,9.310592664254678,365,40627,-146.43308994999998,0.001,,
144,111,40717,44.52750325202942,188.3,9.495120886600379,366,40807,-136.87447628,0.001,,
148,111,40879,44.63028132120768,167.62,9.827898613611858,368,40948,-122.71652882000002,0.001,,
152,113,41983,44.97613610161675,166.29,9.123211007369193,377,43026,-118.04622168999998,0.001,,
156,112,43151,45.25640076857347,145.98,7.564969963497585,385,43252,-104.56303091000001,0.001,,
160,112,44376,45.77610315958659,147.28,10.00015341758728,394,44438,-104.94880211,0.001,,
164,112,44531,45.90889121161567,137.15,8.809375453781296,395,44591,-96.67733592,0.001,,
168,112,44638,45.671043395996094,125.66,10.342658519744873,396,44704,-88.61675752999997,0.001,,
172,112,44736,46.06420453389486,115.47,9.623416701952616,396,44791,-78.52483598,0.001,,
176,112,44802,45.8426513671875,114.58,10.246167461077372,397,44870,-77.80198689999999,0.001,,
,,44853,46.198861598968506,,10.31952291727066,,45000,,0.001,24.4,-17.749871587846428
180,112,44960,45.82495562235514,112.59,10.999399911577456,399,45017,-75.8274223,0.001,,
184,112,45049,46.16621298539011,99.86,15.870374466243543,399,45103,-69.97428475,0.001,,
188,112,45142,46.157554149627686,98.45,15.012243366241455,400,45203,-69.16222213,0.001,,
192,112,45262,45.99163600376674,96.45,10.980818612234932,401,45319,-67.03302991000001,0.001,,
196,112,45357,46.09632364908854,94.65,12.893490277803862,402,45415,-65.50852563,0.001,,
200,112,45428,45.949113028390066,81.82,15.333821977887835,402,45493,-58.83464523000001,0.001,,
204,113,45522,46.05010713849749,81.11,10.686221344130379,403,45584,-58.41678226999999,0.001,,
208,113,46579,46.029598999023435,89.74,10.990482234954834,411,46634,-61.346839689999996,0.001,,
212,113,46693,46.0217760403951,88.5,9.419779884571932,412,46754,-60.184817810000006,0.001,,
216,113,46829,45.7791748046875,78.85,8.774666008196379,413,46882,-53.13532993,0.001,,
220,113,46949,46.11459471050062,76.37,11.877148113752666,414,47002,-51.92437682999999,0.001,,
224,113,47006,46.0005863734654,72.38,11.64281531742641,414,47063,-47.952635479999984,0.001,,
228,113,47153,46.10374755859375,71.09,14.077162222428756,415,47226,-47.35227340999999,0.001,,
