train/critic_loss,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
8.286468505859375,727.07,0.017841408029198647,-108.39166259765625,1226.69116043,214717,0.23338022828102112,82,388,2617,0.0003,214616,,
14.60821533203125,,0.01791781559586525,-118.53532409667969,,215000,0.5578051805496216,,,,0.0003,214899,531.2,1328.9058769791795
9.447265625,720.34,0.018052836880087852,-108.69091796875,1233.62237561,216460,-1.551138162612915,81,392,2641,0.0003,216359,,
11.115484237670898,720.7,0.018132032826542854,-118.21820831298828,1242.49007095,219080,-0.7846015691757202,82,396,2670,0.0003,218979,,
9.76259708404541,,0.018077965825796127,-105.47848510742188,,220000,-0.5586181282997131,,,,0.0003,219899,757.6,1999.0004189560539
9.56600570678711,733.05,0.018490148708224297,-113.02263641357422,1302.36368414,222504,0.035373419523239136,81,400,2716,0.0003,222403,,
19.586069107055664,,0.01874644123017788,-119.89910125732422,,225000,0.8131281137466431,,,,0.0003,224899,824.0,2047.3616342175578
8.881165504455566,733.59,0.018630819395184517,-115.86766052246094,1375.00904294,225820,1.7980029582977295,81,404,2761,0.0003,225719,,
10.71596908569336,733.59,0.01882902719080448,-117.61103820800781,1396.5141026499996,229820,-0.3700639307498932,81,408,2807,0.0003,229719,,
9.157106399536133,,0.018842270597815514,-119.103759765625,,230000,0.24132388830184937,,,,0.0003,229899,540.2,1503.6991011628998
10.910886764526367,739.58,0.018616195768117905,-124.3350601196289,1431.91933418,232270,1.1243994235992432,81,412,2838,0.0003,232169,,
10.706687927246094,731.84,0.018776992335915565,-120.91649627685547,1466.81106436,234524,-1.1807479858398438,81,416,2860,0.0003,234423,,
11.65162467956543,,0.018771562725305557,-127.88289642333984,,235000,0.8347867727279663,,,,0.0003,234899,892.4,2241.530252396036
13.120553970336914,741.46,0.01939871348440647,-119.29632568359375,1464.42564057,236736,-0.8859394788742065,81,420,2893,0.0003,236635,,
21.95197105407715,,0.019224440678954124,-130.28640747070312,,240000,1.2552769184112549,,,,0.0003,239899,566.0,1396.0527711933014
10.564135551452637,751.5,0.019254231825470924,-131.35302734375,1544.0543756100003,240377,0.6099269986152649,81,424,2938,0.0003,240276,,
8.109978675842285,750.58,0.019170690327882767,-120.89289855957031,1561.62653876,242678,-1.0779650211334229,81,428,2964,0.0003,242577,,
19.4451904296875,,0.019561970606446266,-128.85997009277344,,245000,0.6711274981498718,,,,0.0003,244899,908.7,2334.5656032305733
7.831214904785156,738.37,0.019419893622398376,-122.23973083496094,1538.3991235199996,245457,-0.7537418603897095,81,432,3004,0.0003,245356,,
8.062124252319336,736.07,0.019391583278775215,-131.18307495117188,1538.8547110899997,248614,-0.7483457922935486,81,436,3040,0.0003,248513,,
10.07274055480957,714.01,0.019814355298876762,-137.21939086914062,1506.41239817,249523,0.7098205089569092,81,440,3049,0.0003,249422,,
