train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
20.100866481781004,1335000,,0.001,,1334926,,,,-221.5192399597168,1000.0,3105.2140336828306
,1335926,941.63,,1440,,2948.66058776,145,9207,,,
19.713634563446046,1339926,943.92,0.001,1444,1338926,2953.75246354,145,9228,-221.65495150756837,,
17.57067515707016,1340000,,0.001,,1339926,,,,-221.68615216064453,1000.0,3043.602096750657
20.34451385450363,1343926,951.53,0.001,1448,1342926,2977.24129739,145,9257,-222.23857934570313,,
22.861225962162017,1345000,,0.001,,1344926,,,,-222.16024758911132,928.4,2897.227372114174
19.93338671207428,1346948,941.75,0.001,1452,1346926,2942.8304004900006,145,9285,-221.56140505981446,,
16.812417692661285,1350000,,0.001,,1349896,,,,-222.5225894470215,1000.0,3223.3079393364487
,1350896,948.59,,1456,,2966.0849684500004,145,9309,,,
15.106078559160233,1354896,948.59,0.001,1460,1353896,2966.0170869599997,145,9331,-222.64637301635742,,
18.89102285337448,1355000,,0.001,,1354896,,,,-223.0104619140625,1000.0,3172.613324092701
19.67275367975235,1358896,948.59,0.001,1464,1357896,2967.0803886099998,145,9360,-223.10993029785158,,
19.39163174390793,1360000,,0.001,,1359896,,,,-224.02124517822264,1000.0,3059.8382147733123
15.073410366058349,1362896,948.59,0.001,1468,1361896,2966.122551000001,145,9390,-223.88486947631836,,
17.82617962884903,1365000,,0.001,,1364896,,,,-223.4255536804199,919.6,2848.1729399759324
17.285790138721467,1366896,948.59,0.001,1472,1365896,2967.34429817,145,9418,-223.85077252197266,,
19.8236583108902,1370000,,0.001,,1369896,,,,-223.57549795532228,869.8,2690.62465846017
,1370896,956.48,,1476,,2994.064536790001,145,9447,,,
17.279342529535292,1374896,956.48,0.001,1480,1373896,2994.3108858499995,145,9468,-224.73768865966798,,
17.721548204421996,1375000,,0.001,,1374896,,,,-224.2712663269043,1000.0,3102.5855655197984
18.995899072408676,1378896,956.48,0.001,1484,1377896,2994.3974107500003,145,9497,-224.75357022094727,,
16.25354927492142,1380000,,0.001,,1379896,,,,-224.72394122314452,1000.0,3128.768160763383
17.143507952213287,1382896,956.48,0.001,1488,1381896,2991.4982596600007,145,9527,-224.6114255065918,,
18.188187015533448,1385000,,0.001,,1384422,,,,-225.08730416870117,1000.0,3155.550223168824
16.836333752155305,1386422,951.74,0.001,1492,1385422,2971.4153365500006,145,9554,-225.4108737182617,,
15.302629200935364,1390000,,0.001,,1389422,,,,-224.98744314575194,884.7,2851.2170114571927
,1390422,951.74,,1496,,2973.586653960001,145,9582,,,
17.889190008878707,1394422,951.74,0.001,1500,1393422,2971.0745500300004,145,9603,-226.00566775512695,,
18.35645785331726,1395000,,0.001,,1394422,,,,-225.35063442993163,1000.0,3233.626363399718
16.979236635923385,1398422,959.53,0.001,1504,1397422,2995.68166097,145,9633,-225.92852255249022,,
19.668678824424745,1400000,,0.001,,1399422,,,,-225.42671823120116,928.1,2849.802890870627
19.10580442047119,1402422,962.2,0.001,1508,1401422,2997.9540454,145,9662,-225.20775601196289,,
20.619698764324188,1405000,,0.001,,1404422,,,,-225.20729364013673,1000.0,3110.7672554010524
19.855060114383697,1406422,962.36,0.001,1512,1405422,2998.5601497099997,145,9691,-224.89985626220704,,
14.964237258911133,1410000,,0.001,,1409422,,,,-225.63209378051758,910.7,2813.204163365066
,1410422,976.52,,1516,,3047.6049867999996,145,9719,,,
16.954260977745058,1414422,976.52,0.001,1520,1413422,3048.3746944699997,145,9740,-225.1871410522461,,
17.692376781225203,1415000,,0.001,,1414422,,,,-225.3689291381836,1000.0,3147.6191938403995
17.23012599134445,1418422,976.52,0.001,1524,1417422,3045.6734868299995,145,9769,-226.16305841064454,,
20.568809081554413,1420000,,0.001,,1419422,,,,-225.9465901489258,917.1,2785.8266912365334
19.38803081703186,1422422,976.52,0.001,1528,1421422,3044.4404753699996,145,9798,-225.27316226196288,,
19.722851182460786,1425000,,0.001,,1424422,,,,-225.62632321166993,1000.0,3120.617044920148
16.16268308401108,1426422,984.96,0.001,1532,1425422,3073.7009739099994,145,9827,-225.5537889099121,,
18.417123146533967,1430000,,0.001,,1429422,,,,-225.04191403198243,902.8,2792.862084495648
,1430422,984.96,,1536,,3077.29654113,145,9855,,,
15.72206848025322,1434422,984.96,0.001,1540,1433422,3082.42859858,145,9876,-225.25522967529298,,
16.37673410844803,1435000,,0.001,,1434422,,,,-225.58354299926756,1000.0,3203.29772843346
15.202092514038085,1438422,984.96,0.001,1544,1437422,3084.61918901,145,9906,-225.1471312561035,,
17.364871988773345,1440000,,0.001,,1439422,,,,-225.6909412841797,1000.0,3224.619068089686
16.169740552663804,1442422,984.96,0.001,1548,1441422,3086.23571672,145,9935,-225.90247766113282,,
18.843068759918214,1445000,,0.001,,1444422,,,,-225.95729641723634,729.4,2340.7213248737157
17.788022978544234,1446422,994.74,0.001,1552,1445422,3121.29827472,145,9962,-225.94207400512695,,
15.63774599313736,1450000,,0.001,,1449422,,,,-225.8155001525879,958.4,3096.9892028910403
,1450007,991.11,,1556,,3085.6098856099998,145,9991,,,
17.627187887668608,1454007,991.11,0.001,1560,1453007,3087.6618965699995,145,10010,-225.7639587402344,,
16.00947913622856,1455000,,0.001,,1454007,,,,-225.6936116027832,892.6,2888.640355952084
16.697340837717057,1458007,991.11,0.001,1564,1457007,3091.38226307,145,10039,-225.8248212890625,,
19.11413288664818,1460000,,0.001,,1459007,,,,-225.68336221313476,1000.0,3309.381922622025
21.235324395418168,1462007,991.11,0.001,1568,1461007,3091.4941081,145,10068,-226.28849475097655,,
17.22060962891579,1465000,,0.001,,1464007,,,,-226.38374270629882,1000.0,3234.251504252199
17.7778141374588,1466007,991.11,0.001,1572,1465007,3093.4366902899997,145,10097,-226.83691287231446,,
17.106070590496063,1470000,,0.001,,1469007,,,,-227.01131210327148,1000.0,3235.7128185475244
,1470007,991.11,,1576,,3095.6750727599997,145,10126,,,
13.750441497564315,1474007,991.11,0.001,1580,1473007,3099.74647436,145,10147,-227.61760107421875,,
18.98396392560005,1475000,,0.001,,1474007,,,,-227.72615539550782,1000.0,3195.4566321299876
18.01203166627884,1477507,986.11,0.001,1584,1476507,3084.0272681799997,145,10174,-228.33826947021484,,
12.743914750814438,1480000,,0.001,,1479507,,,,-228.6103914794922,1000.0,3229.9841204038357
16.852465742349626,1481507,986.11,0.001,1588,1480507,3087.69456911,145,10204,-228.345083984375,,
19.152343500614165,1485000,,0.001,,1484507,,,,-228.76777835083007,1000.0,3074.3286776542664
,1485507,990.85,,1592,,3105.34274302,145,10233,,,
15.672597146511078,1488947,985.25,0.001,1596,1488507,3086.7929261700006,145,10254,-228.46390740966797,,
