rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
15.29,1432,10964,19.441200830000003,77,110771,110670,0.01963718980550766,0.0003,2.085193634033203,2.0916552543640137,-6.693488121032715,,
15.07,1432,10968,19.096635029999998,77,110800,110699,0.019674569368362427,0.0003,1.302570104598999,1.6273627281188965,-6.544517517089844,,
15.15,1433,10972,19.3600832,77,110853,110752,0.019703352823853493,0.0003,-1.0596940517425537,1.692729115486145,-6.2703351974487305,,
15.63,1434,10976,19.93209579,77,110947,110846,0.019671183079481125,0.0003,-0.2632960081100464,2.00899076461792,-6.273950576782227,,
15.82,1435,10980,20.191063119999995,77,111013,110912,0.019794227555394173,0.0003,4.610649108886719,2.350837469100952,-6.136349678039551,,
15.48,1436,10984,19.64159723,77,111056,110955,0.01985660195350647,0.0003,1.4706170558929443,1.647845983505249,-6.343033790588379,,
15.61,1437,10988,19.735173950000004,77,111126,111025,0.019930411130189896,0.0003,-0.42915821075439453,2.04209566116333,-6.661098003387451,,
15.59,1437,10992,19.676718199999996,77,111187,111086,0.019966349005699158,0.0003,-5.658429145812988,1.4832334518432617,-6.207135200500488,,
15.72,1438,10996,19.74745734,77,111248,111147,0.019771596416831017,0.0003,0.5900384783744812,1.8802777528762817,-6.8528218269348145,,
15.96,1439,11000,20.30388786,77,111321,111220,0.019820725545287132,0.0003,-0.10500895977020264,1.8294336795806885,-6.181038856506348,,
15.78,1439,11004,20.10597971,77,111359,111258,0.01983080618083477,0.0003,0.2288421392440796,2.0747947692871094,-5.863561630249023,,
15.57,1440,11008,19.7259355,77,111427,111326,0.019788984209299088,0.0003,3.439697265625,1.691186785697937,-6.616555690765381,,
15.62,1441,11012,19.99765892,77,111485,111384,0.01978432387113571,0.0003,1.3691258430480957,2.311033248901367,-6.7881927490234375,,
15.5,1442,11016,19.88115882,77,111547,111446,0.019736038520932198,0.0003,-1.5349986553192139,1.9763123989105225,-6.691294193267822,,
15.43,1442,11020,19.6855016,77,111603,111502,0.019758040085434914,0.0003,4.586997032165527,2.0684661865234375,-6.600140571594238,,
15.49,1443,11024,19.75253555,77,111661,111560,0.01976701058447361,0.0003,-0.37390387058258057,2.039834976196289,-6.356098651885986,,
15.32,1444,11028,19.31485456,77,111723,111622,0.019633764401078224,0.0003,0.5300953984260559,1.938926339149475,-6.35307502746582,,
15.15,1445,11032,19.10292458,77,111772,111671,0.01961325667798519,0.0003,1.3961219787597656,1.649970531463623,-6.1072564125061035,,
14.88,1445,11036,18.686183560000003,77,111804,111703,0.019726239144802094,0.0003,-0.48482900857925415,2.3263707160949707,-6.232537269592285,,
14.94,1446,11040,18.69834698,77,111864,111763,0.019763976335525513,0.0003,0.349331796169281,2.0893917083740234,-6.579756736755371,,
14.9,1446,11044,18.670097750000004,77,111919,111818,0.019748413935303688,0.0003,-0.0892454981803894,1.977767825126648,-6.341440677642822,,
14.6,1447,11048,17.978215080000002,77,111971,111870,0.01978110335767269,0.0003,0.4362756013870239,2.006169319152832,-6.692334175109863,,
14.45,1448,11052,17.74869717,77,112036,111935,0.019656553864479065,0.0003,0.250993013381958,2.213480234146118,-5.926315784454346,,
14.66,1449,11056,17.987545940000004,77,112110,112009,0.01975638046860695,0.0003,2.7312440872192383,1.7826604843139648,-5.933723449707031,,
14.53,1449,11060,17.93938201,77,112148,112047,0.019841883331537247,0.0003,1.081787109375,2.1981077194213867,-6.531223773956299,,
14.35,1450,11064,17.79085821,77,112206,112105,0.019828584045171738,0.0003,-2.7607345581054688,2.090388774871826,-6.308933258056641,,
14.62,1450,11068,18.238323910000002,77,112262,112161,0.019894979894161224,0.0003,0.3807418942451477,1.6319783926010132,-6.687795639038086,,
14.45,1451,11072,17.90894906,77,112298,112197,0.019857633858919144,0.0003,-6.083182334899902,1.799139380455017,-6.240224838256836,,
14.03,1451,11076,17.30778535,77,112350,112249,0.01991010271012783,0.0003,0.9801844954490662,1.9297773838043213,-6.603401184082031,,
14.04,1452,11080,17.14113098,77,112417,112316,0.02000531740486622,0.0003,0.7123243808746338,1.705166220664978,-6.301596641540527,,
14.19,1453,11084,17.47329731,77,112475,112374,0.019955741241574287,0.0003,-0.16866672039031982,2.3399569988250732,-6.300058364868164,,
14.2,1454,11088,17.62696983,77,112546,112445,0.020115219056606293,0.0003,-1.3034827709197998,1.6003782749176025,-6.08768892288208,,
14.0,1454,11092,17.3148973,77,112587,112486,0.020208656787872314,0.0003,0.9966233968734741,1.3981313705444336,-6.732024192810059,,
14.04,1455,11096,17.403396089999998,77,112652,112551,0.020166026428341866,0.0003,0.08340048789978027,1.6540453433990479,-6.627973556518555,,
13.65,1456,11100,16.758272039999998,77,112686,112585,0.020199773833155632,0.0003,-1.1403844356536865,1.5797057151794434,-6.341458797454834,,
13.69,1456,11104,16.791563189999998,77,112728,112627,0.020120369270443916,0.0003,-5.0759100914001465,1.6791973114013672,-6.197612285614014,,
13.61,1457,11108,16.771187219999998,77,112788,112687,0.019974451512098312,0.0003,2.355224609375,2.148895025253296,-6.246662139892578,,
13.72,1458,11112,16.74355243,77,112857,112756,0.019993329420685768,0.0003,-3.2317967414855957,1.8940625190734863,-6.300423622131348,,
13.62,1458,11116,16.4259187,77,112909,112808,0.020050043240189552,0.0003,-1.1550557613372803,1.9405465126037598,-6.492979049682617,,
13.59,1459,11120,16.537642939999998,77,112962,112861,0.020064828917384148,0.0003,4.6495819091796875,2.2618024349212646,-6.629063606262207,,
13.61,1460,11124,16.63483399,77,113022,112921,0.02014528214931488,0.0003,2.079953193664551,1.7722134590148926,-6.57645845413208,,
13.74,1461,11128,16.66509399,77,113097,112996,0.020147159695625305,0.0003,-0.9423370361328125,2.433565616607666,-5.907454490661621,,
13.73,1461,11132,16.55431694,77,113145,113044,0.020101645961403847,0.0003,0.16467836499214172,1.91997230052948,-6.405725479125977,,
13.96,1462,11136,16.809738669999998,77,113200,113099,0.020073188468813896,0.0003,-0.45308202505111694,1.9719438552856445,-6.699465274810791,,
13.99,1463,11140,16.86750008,77,113263,113162,0.02013651467859745,0.0003,-0.5962964296340942,1.6468381881713867,-6.511007308959961,,
13.98,1463,11144,16.75525877,77,113317,113216,0.020245114341378212,0.0003,-0.6034301519393921,1.7308392524719238,-6.619281768798828,,
14.26,1464,11148,17.151034099999997,77,113397,113296,0.020178280770778656,0.0003,0.8432179689407349,2.3648674488067627,-6.4240522384643555,,
14.45,1465,11152,17.509243839999996,77,113481,113380,0.020128445699810982,0.0003,-0.696965754032135,1.793913722038269,-6.440645217895508,,
14.53,1466,11156,17.811681619999998,77,113563,113462,0.020036645233631134,0.0003,0.31502312421798706,2.0075936317443848,-6.559506416320801,,
14.68,1467,11160,18.03639985,77,113616,113515,0.020063096657395363,0.0003,-1.3342430591583252,1.6181659698486328,-6.384970664978027,,
14.55,1468,11164,17.82563064,77,113661,113560,0.019974015653133392,0.0003,3.946413040161133,1.8514519929885864,-6.356339454650879,,
14.59,1468,11168,17.862076700000003,77,113721,113620,0.019862035289406776,0.0003,-1.4045270681381226,1.9704662561416626,-6.37370491027832,,
14.82,1469,11172,18.15733902,77,113780,113679,0.01990961842238903,0.0003,-2.345250129699707,1.8665924072265625,-6.140606880187988,,
15.0,1470,11176,18.35501171,77,113850,113749,0.019849615171551704,0.0003,-0.0743313729763031,2.202193021774292,-6.500378608703613,,
14.89,1471,11180,18.337448849999998,77,113906,113805,0.019894395023584366,0.0003,2.2880258560180664,2.5047812461853027,-6.487618446350098,,
15.02,1471,11184,18.43395135,77,113977,113876,0.020006567239761353,0.0003,1.2129223346710205,1.990152359008789,-6.625679016113281,,
15.01,1472,11188,18.403133469999997,77,114047,113946,0.020006127655506134,0.0003,-0.9824552536010742,2.218142509460449,-6.4649457931518555,,
15.34,1473,11192,18.71662072,77,114121,114020,0.020115157589316368,0.0003,-3.437636375427246,1.8366472721099854,-5.931339263916016,,
15.09,1474,11196,18.474088039999998,77,114161,114060,0.020129913464188576,0.0003,-1.682558536529541,1.6980245113372803,-6.403666019439697,,
15.26,1474,11200,18.70923192,77,114212,114111,0.020127901807427406,0.0003,1.1250035762786865,1.9485743045806885,-6.489209175109863,,
15.41,1475,11204,19.102693889999998,77,114269,114168,0.020148448646068573,0.0003,-1.2629066705703735,2.3465003967285156,-6.330540657043457,,
15.6,1476,11208,19.31391622,77,114348,114247,0.020129142329096794,0.0003,1.1281065940856934,2.3436245918273926,-6.1004791259765625,,
15.43,1476,11212,19.039852089999997,77,114400,114299,0.020055746659636497,0.0003,2.4246978759765625,2.1178927421569824,-6.463315010070801,,
15.53,1477,11216,19.11261294,77,114462,114361,0.020125120878219604,0.0003,0.06553709506988525,2.1190855503082275,-6.027320861816406,,
15.56,1478,11220,19.18772723,77,114518,114417,0.02016627788543701,0.0003,-1.9407339096069336,1.832512378692627,-6.540238380432129,,
15.59,1478,11224,19.17744993,77,114581,114480,0.020122893154621124,0.0003,1.9859851598739624,2.107595443725586,-5.945278167724609,,
15.24,1479,11228,18.76636533,77,114621,114520,0.020223326981067657,0.0003,0.686342716217041,1.8594350814819336,-6.237667083740234,,
15.17,1479,11232,18.76332282,77,114662,114561,0.02021617442369461,0.0003,-0.09408825635910034,2.0918960571289062,-6.615811347961426,,
15.16,1480,11236,18.746553170000002,77,114716,114615,0.02018270455300808,0.0003,-0.9010061025619507,2.459390640258789,-6.272656440734863,,
15.24,1481,11240,19.007192180000004,77,114787,114686,0.02001815102994442,0.0003,0.17459726333618164,2.1320762634277344,-6.556571006774902,,
15.27,1481,11244,19.13719459,77,114844,114743,0.020047012716531754,0.0003,1.005303144454956,1.6820275783538818,-6.830942153930664,,
14.83,1482,11248,18.50661331,77,114880,114779,0.020042086020112038,0.0003,0.20738112926483154,2.464167356491089,-6.456220626831055,,
14.65,1482,11252,18.13906471,77,114946,114845,0.01992757059633732,0.0003,-0.9927748441696167,1.6721384525299072,-6.080496788024902,,
,,,,,115000,114899,0.019986961036920547,0.0003,-1.5061430931091309,1.8040757179260254,-6.226748943328857,18.55,23.45342805744149
14.41,1484,11256,17.704435300000004,77,115004,114903,0.02000335231423378,0.0003,0.8579601049423218,2.061774492263794,-6.646527290344238,,
14.52,1485,11260,17.78852967,77,115068,114967,0.020029088482260704,0.0003,3.8804941177368164,2.0627357959747314,-6.799242973327637,,
14.98,1486,11264,18.519940549999998,77,115159,115058,0.020203690975904465,0.0003,1.0222101211547852,1.9379290342330933,-6.248507976531982,,
15.1,1487,11268,18.753642919999997,77,115231,115130,0.020046420395374298,0.0003,-0.762673020362854,2.5527398586273193,-6.671538352966309,,
15.08,1487,11272,18.86461822,77,115288,115187,0.019957710057497025,0.0003,0.08488714694976807,2.09688138961792,-6.174115180969238,,
14.84,1488,11276,18.66702347,77,115334,115233,0.01998107321560383,0.0003,-1.9447336196899414,1.9758727550506592,-6.60695743560791,,
14.89,1489,11280,18.760206189999998,77,115395,115294,0.020049244165420532,0.0003,3.7005906105041504,2.410102367401123,-6.263179779052734,,
14.62,1489,11284,18.35887537,77,115439,115338,0.02007109671831131,0.0003,1.088140845298767,2.008786678314209,-6.549285888671875,,
14.57,1490,11288,18.18556763,77,115504,115403,0.02021767944097519,0.0003,-1.8152267932891846,1.8465631008148193,-6.434155464172363,,
14.47,1491,11292,18.23991415,77,115568,115467,0.020347222685813904,0.0003,0.11550170183181763,2.2255072593688965,-6.5411295890808105,,
14.79,1492,11296,18.61883632,77,115640,115539,0.020182481035590172,0.0003,0.27380141615867615,1.854589819908142,-7.130960464477539,,
15.08,1493,11300,18.949894250000003,77,115720,115619,0.020107997581362724,0.0003,-0.4743988513946533,1.7712187767028809,-6.4026594161987305,,
15.16,1494,11304,18.93299812,77,115785,115684,0.02009204402565956,0.0003,-2.2134838104248047,2.059166431427002,-6.918925762176514,,
14.89,1495,11308,18.534045879999997,77,115837,115736,0.020061815157532692,0.0003,2.492281913757324,2.19290828704834,-6.779768943786621,,
14.95,1495,11312,18.676853150000003,77,115895,115794,0.020017631351947784,0.0003,-2.3852362632751465,1.9585683345794678,-6.292098522186279,,
14.84,1496,11316,18.526333920000003,77,115946,115845,0.020143620669841766,0.0003,-2.5544779300689697,1.9238736629486084,-6.743456840515137,,
14.91,1497,11320,18.47829031,77,116009,115908,0.02026413567364216,0.0003,1.692175030708313,2.4876208305358887,-6.459743499755859,,
14.94,1498,11324,18.46793053,77,116075,115974,0.020296500995755196,0.0003,-2.0853164196014404,1.479915976524353,-5.869721412658691,,
15.18,1499,11328,18.87883044,77,116139,116038,0.020236246287822723,0.0003,-0.48259803652763367,1.7580046653747559,-6.787690162658691,,
15.23,1499,11332,18.840808199999998,77,116185,116084,0.020273786038160324,0.0003,-1.859323263168335,2.3393921852111816,-6.670163154602051,,
15.42,1500,11336,19.20891337,77,116258,116157,0.020122984424233437,0.0003,1.7123448848724365,2.0697848796844482,-6.6695146560668945,,
15.37,1501,11340,19.07597187,77,116324,116223,0.020181087777018547,0.0003,1.296858549118042,2.505422592163086,-6.552624702453613,,
15.8,1502,11344,19.838552330000002,77,116424,116323,0.019966386258602142,0.0003,1.2394180297851562,2.34375262260437,-6.374876499176025,,
16.14,1503,11348,20.48360769,77,116494,116393,0.01993519812822342,0.0003,1.8169468641281128,1.933645248413086,-6.255255222320557,,
16.29,1504,11352,20.641568980000002,77,116575,116474,0.020015770569443703,0.0003,1.037093997001648,2.055691719055176,-5.985082149505615,,
