time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
32068,147,118.52,217,368,252.59445205999998,9.619009873250148,0.001,-65.69992886649237,31838,,
32500,,,,,,6.151168111654428,0.001,-66.16931316669171,32379,290.5482159525156,144.6
32617,146,119.14,222,372,252.91424866,,,,,,
33042,146,118.53,225,376,249.89857984000002,10.288576897330906,0.001,-65.84150822957356,32855,,
33567,146,118.84,228,380,249.93019527,12.53764685495632,0.001,-66.37105637788773,33344,,
33939,146,117.73,231,384,245.06560309,11.316402673721313,0.001,-66.11230054108992,33754,,
34323,146,116.78,233,388,240.82065251,9.72311785687571,0.001,-66.36035670404848,34124,,
34800,147,116.93,236,392,239.5157891,12.200936621070927,0.001,-67.00125036568477,34577,,
35000,,,,,,12.961248108681213,0.001,-67.09414559222282,34803,236.87324439883233,117.6
35278,146,116.93,241,396,237.86389551999997,10.945812742839488,0.001,-66.83992010263296,35050,,
35740,146,116.57,244,400,235.57156031,8.863524282972017,0.001,-67.25322008132935,35533,,
36230,146,115.6,247,404,233.56342648,8.476967558130488,0.001,-66.88281903948102,36008,,
36693,146,115.29,250,408,233.49724774999996,7.961010158061981,0.001,-67.42263892601277,36484,,
37148,146,115.25,253,412,234.32180426,12.707629680633545,0.001,-66.96601900561103,36946,,
37500,,,,,,13.20726046309007,0.001,-66.81770351476837,37394,269.58333671092987,114.7
37601,145,114.76,258,416,233.53490280999995,,,,,,
38050,145,114.61,260,420,232.92071374,12.513273960665652,0.001,-67.54536417910927,37848,,
38502,146,114.6,263,424,232.45564647,10.597650159869278,0.001,-67.34438685366982,38296,,
38958,146,114.58,266,428,232.04018213999998,9.267161548647106,0.001,-67.22593488531598,38754,,
39434,146,114.85,269,432,231.91362101,17.039472434480313,0.001,-66.36761836682336,39217,,
39917,146,115.01,272,436,231.22957208000003,12.832564263304404,0.001,-66.57442149177926,39708,,
40000,,,,,,13.509894718558101,0.001,-66.79773350085242,39826,268.864534842968,114.05
40403,145,115.31,277,440,230.95638267,9.56396482122226,0.001,-66.61916956825861,40193,,
40886,145,115.62,280,444,230.74977228999995,11.297375174593334,0.001,-66.15125224629386,40670,,
41360,145,118.06,283,448,240.52223175999998,12.091503638920821,0.001,-66.48939126729965,41154,,
41845,146,118.94,286,452,247.22238051,12.378599000355553,0.001,-66.22877308679006,41629,,
42339,146,119.21,289,456,251.59833618000005,13.860971915917318,0.001,-65.99226004178406,42119,,
42500,,,,,,13.30823736190796,0.001,-66.3697323337678,42373,266.5700539886951,113.05
42807,145,118.32,293,460,252.18428552999998,11.410493429969339,0.001,-66.29076456619521,42605,,
43286,145,117.81,296,464,254.05800538,10.755626088096982,0.001,-66.0895867120652,43082,,
43750,146,116.82,299,468,253.89649774999998,9.45746156692505,0.001,-66.39420839339968,43548,,
44214,146,115.97,302,472,253.60422641000002,15.175191021734669,0.001,-66.01018708752048,44013,,
44715,146,116.73,305,476,256.9746143,15.537195533514023,0.001,-65.96159547567368,44501,,
45000,,,,,,12.38144872246719,0.001,-65.2896945515617,44871,281.73653653860094,120.3
45211,145,116.44,310,480,257.23132072000004,12.963983217875162,0.001,-65.3569875532581,44994,,
45694,145,117.55,313,484,262.19552874,11.632607392470042,0.001,-65.65828863779704,45476,,
46190,146,118.67,316,488,266.52120776,12.439130196805861,0.001,-65.56918510061796,45983,,
46684,146,118.84,319,492,268.74439309999997,11.805860232561827,0.001,-64.74761480093002,46469,,
47188,146,119.1,322,496,270.89967515,11.908022591942235,0.001,-64.41691816898815,46967,,
47500,,,,,,14.677928403019905,0.001,-63.90599977970123,47353,258.5007758498192,111.65
47665,145,119.25,326,500,272.66143745,12.13098440257781,0.001,-64.1710561578924,47462,,
48145,146,119.15,329,504,273.54457189,12.232697831259834,0.001,-64.50848751976376,47941,,
48617,146,119.24,332,508,273.69655052999997,12.61507995505082,0.001,-64.33416868510999,48397,,
49074,146,119.26,335,512,273.85063978,13.302581867324971,0.001,-63.931351555718315,48868,,
49541,146,119.4,337,516,274.41871806,14.237884915393332,0.001,-63.08293801023249,49335,,
50000,,,,,,12.636649182412476,0.001,-62.54816349765711,49794,270.5707725703716,114.4
50002,145,119.52,342,520,274.94109399,,,,,,
50463,146,119.61,345,524,275.21422378,11.447485735541896,0.001,-62.71602175528543,50251,,
50933,146,119.75,348,528,275.38062926,13.656553587706192,0.001,-62.67215481139066,50725,,
51381,146,119.47,351,532,275.1988265,14.883377683573755,0.001,-61.94482178523623,51181,,
51859,146,119.42,353,536,275.86520293999996,13.049570320033226,0.001,-61.68606694539388,51636,,
52324,146,119.21,356,540,276.10347164,15.985368878154432,0.001,-60.89957880569717,52118,,
52500,,,,,,13.349487176963262,0.001,-60.90439217431204,52345,282.91728198230265,118.2
52793,145,119.07,361,544,276.93641556,13.31793639239143,0.001,-60.837561162312824,52582,,
53253,146,118.93,364,548,276.63760241,14.896416684501192,0.001,-59.96917987691945,53045,,
53732,146,118.87,367,552,276.84914649999996,17.0852693716685,0.001,-60.55564753214518,53525,,
54199,146,118.6,370,556,277.39082518000004,13.893477920828195,0.001,-59.54910745291874,53994,,
54682,146,118.75,373,560,278.34611917,13.376093751293118,0.001,-59.59448403827215,54470,,
55000,,,,,,15.14304926888696,0.001,-59.49007336846714,54828,290.06050095260144,124.05
55162,145,118.76,378,564,278.43246373,14.358923988957558,0.001,-58.93602205091907,54952,,
55654,145,119.04,381,568,278.1882526,15.941447687930749,0.001,-58.36868755152968,55442,,
56143,145,119.29,384,572,278.10084998,14.286644193433947,0.001,-58.37353823261876,55925,,
56647,146,119.32,387,576,277.95688208000007,12.257252396655684,0.001,-58.33910897572835,56426,,
57163,146,119.52,390,580,277.83569844,13.433301625289316,0.001,-58.076133370399475,56942,,
57500,,,,,,13.265699346556918,0.001,-57.640609914606266,57330,272.7896895110607,125.65
57675,145,119.81,396,584,277.78342935,12.964943993360476,0.001,-57.85984016187263,57463,,
58037,145,118.47,398,588,274.27068229,12.440511545740572,0.001,-57.90512073573782,57820,,
58533,145,118.49,401,592,273.65995483,12.679744568027434,0.001,-57.76165940331631,58317,,
59039,145,118.51,404,596,273.10790037,13.554855962437907,0.001,-56.867811475481304,58821,,
59561,146,118.96,407,600,273.55873543999996,12.727348375320435,0.001,-57.11267565213717,59342,,
60000,,,,,,14.226394653320312,0.001,-56.92968017824234,59833,278.04837341606617,126.35
60045,145,119.0,413,604,272.95529668,,,,,,
60555,145,119.38,417,608,272.73410792000004,13.944173812866211,0.001,-56.52921922745243,60337,,
61043,145,119.69,420,612,272.52305246,13.130859062451275,0.001,-56.8138375600179,60826,,
61518,145,119.77,423,616,271.82722277,12.251773252325544,0.001,-56.53278467210673,61306,,
62005,145,120.03,427,620,271.45812612,14.030021937167058,0.001,-56.522885557080876,61790,,
62344,145,118.81,429,624,267.65633615,14.37244845244844,0.001,-56.81179279392048,62130,,
62500,,,,,,13.935666689505943,0.001,-56.884188872117264,62305,234.51739592552184,108.9
62762,144,118.29,434,628,265.70269048,13.879627413000943,0.001,-56.51406072397701,62550,,
63245,144,118.64,438,632,265.46206093,12.212633057435353,0.001,-56.59233798980713,63031,,
63729,144,118.7,441,636,264.61247961000004,13.42950466250585,0.001,-56.38469889906586,63524,,
64208,144,118.84,444,640,263.8488495,12.99909311327441,0.001,-56.3761982753359,63995,,
64680,144,118.87,447,644,262.75644941999997,15.416230929308924,0.001,-56.22160497205011,64467,,
65000,,,,,,13.836966326159816,0.001,-56.30847610965852,64831,266.24222372472286,121.7
65169,143,119.16,453,648,262.59842923,13.378204264291902,0.001,-56.17197448976578,64954,,
65659,143,119.27,457,652,261.9703332,13.435642979361795,0.001,-56.058029619852704,65445,,
66147,143,119.48,460,656,260.90675864,12.369340230610746,0.001,-56.114617957443485,65936,,
66645,143,119.63,464,660,260.08204004,15.771863131560096,0.001,-55.84922414926382,66434,,
67123,143,119.61,467,664,259.22353861,14.23723816871643,0.001,-56.085967004299164,66911,,
67500,,,,,,17.412487987744605,0.001,-56.155877323473916,67389,220.78307132422924,102.6
