time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,,0.001,,475000,-65.16288090515137,474330,,0.20752155785635112,934.425501292944,1000.0
492,1000.0,123,0.001,3861,478330,-65.22022689056396,477330,917.8399494900001,0.1726636485569179,,
,,,0.001,,480000,-65.29968309020997,479330,,0.17614700138941408,907.1109040081501,1000.0
496,1000.0,123,0.001,3892,482330,-65.32242288970947,481330,927.1077325499999,0.16297575747221707,,
,,,0.001,,485000,-65.37089640808105,484330,,0.18320368387550115,932.5172795891762,1000.0
500,1000.0,124,0.001,3921,486330,-65.46763209533691,485330,926.1147157700001,0.1658111858740449,,
,,,0.001,,490000,-65.46051866149902,489330,,0.16105333578959108,954.5083190858364,1000.0
504,1000.0,124,,3951,490330,,,924.5293955700002,,,
508,1000.0,124,0.001,3972,494330,-65.50315380859375,493330,924.7314405799999,0.1562814468368888,,
,,,0.001,,495000,-65.564594581604,494330,,0.161179848048836,951.1167733192444,1000.0
512,1000.0,124,0.001,4001,498330,-65.56428859710694,497330,924.5203922000001,0.16881672253832222,,
,,,0.001,,500000,-65.6192594909668,499330,,0.20211470503732562,935.7367809146642,1000.0
516,1000.0,124,0.001,4032,502330,-65.61573888397217,501330,925.5136909199999,0.17977429020404817,,
,,,0.001,,505000,-65.56852060699462,504330,,0.16009711936861276,892.6580853775143,1000.0
520,1000.0,124,0.001,4062,506330,-65.52639151000976,505330,924.5732237299999,0.16287382866069675,,
,,,0.001,,510000,-65.58911331939697,509330,,0.14133239253237845,934.2082706958056,1000.0
524,1000.0,124,,4092,510330,,,923.49358077,,,
528,1000.0,125,0.001,4112,514330,-65.51431652069091,513330,924.27165142,0.15092804058268666,,
,,,0.001,,515000,-65.57318095397949,514330,,0.13812536730617284,950.2863909959793,1000.0
532,1000.0,125,0.001,4143,518330,-65.6169539794922,517330,925.0487786699999,0.15511541425809264,,
,,,0.001,,520000,-65.74404975128174,519330,,0.13331533220037817,957.5613489121199,1000.0
536,1000.0,125,0.001,4172,522330,-65.77966878509521,521330,925.6920245,0.13303145363926888,,
,,,0.001,,525000,-65.85201737213134,524330,,0.14446523445099593,959.1960210263729,1000.0
540,1000.0,125,0.001,4204,526330,-65.78549282836914,525330,925.8281785800002,0.14329108552262187,,
,,,0.001,,530000,-65.87607264709473,529330,,0.1467412038631737,930.4505041241646,1000.0
544,1000.0,125,,4234,530330,,,926.4565238699998,,,
548,1000.0,125,0.001,4256,534330,-66.15694393920899,533330,926.1077745899998,0.1248205806799233,,
,,,0.001,,535000,-66.17535697937012,534330,,0.12858862552419306,921.9072115123272,1000.0
552,1000.0,125,0.001,4288,538330,-66.30975758361816,537330,925.74340006,0.12699261700734496,,
,,,0.001,,540000,-66.36141834259033,539330,,0.13269595108553767,939.9750068604947,1000.0
556,1000.0,125,0.001,4320,542330,-66.48610080718994,541330,927.3102508700001,0.1384138887897134,,
,,,0.001,,545000,-66.50466276550293,544330,,0.13031588876619934,929.9658134996891,1000.0
560,1000.0,125,0.001,4352,546330,-66.6029561920166,545330,928.0329298999999,0.11995931297913194,,
,,,0.001,,550000,-66.65843444824219,549330,,0.1182251568324864,937.9655579686165,1000.0
564,1000.0,125,,4382,550330,,,926.6552677,,,
568,1000.0,125,0.001,4404,554330,-66.73288142395019,553330,927.4408863200001,0.12820901893824338,,
,,,0.001,,555000,-66.79136473083496,554330,,0.1354358671270311,933.8579898118973,1000.0
572,1000.0,125,0.001,4436,558330,-66.81166416931153,557330,928.3221834099999,0.12187145376577974,,
,,,0.001,,560000,-66.92757806396484,559330,,0.12928746337071062,945.2294424116611,1000.0
576,1000.0,125,0.001,4466,562330,-67.05771945190429,561330,930.63231145,0.10851156135648489,,
,,,0.001,,565000,-67.18998065185546,564330,,0.11377952240779995,914.255984956026,1000.0
580,1000.0,125,0.001,4496,566330,-67.17473454284668,565330,930.91024875,0.11469373467937112,,
,,,0.001,,570000,-67.27680464172363,569330,,0.12212812217324973,913.8093126118183,1000.0
584,1000.0,125,,4527,570330,,,930.8326998599998,,,
588,1000.0,126,0.001,4549,574330,-67.30127938842773,573330,931.0989818399999,0.12433864529430866,,
,,,0.001,,575000,-67.27833154296874,574330,,0.13416798473522068,951.4369980812073,1000.0
592,1000.0,126,0.001,4579,578330,-67.36650871276855,577330,932.18404044,0.12837731325998902,,
,,,0.001,,580000,-67.34394187927246,579330,,0.11394743691012263,973.073391532898,1000.0
596,1000.0,126,0.001,4609,582330,-67.23497036743164,581330,932.4478192199999,0.12802376526221632,,
,,,0.001,,585000,-67.15561109924316,584330,,0.12718764355778694,899.703375506401,1000.0
600,1000.0,126,0.001,4639,586330,-67.06949800109864,585330,931.57063955,0.12691843494400382,,
,,,0.001,,590000,-66.88845823669433,589330,,0.1384032536521554,957.3954134106637,1000.0
604,1000.0,126,,4670,590330,,,932.2786234500002,,,
608,1000.0,126,0.001,4692,594330,-66.95682434082032,593330,932.49953139,0.11675571597740055,,
,,,0.001,,595000,-67.05530979919433,594330,,0.1262169637978077,900.4868585765362,1000.0
612,1000.0,126,0.001,4722,598330,-67.08232347106933,597330,932.79037637,0.11618589738756419,,
,,,0.001,,600000,-67.13156762695313,599330,,0.14115484856441618,951.9872602522373,1000.0
616,1000.0,126,0.001,4752,602330,-67.20285119628906,601330,933.0654753,0.1172176240645349,,
,,,0.001,,605000,-67.28647691345215,604330,,0.10660264639183879,932.6739812374115,1000.0
620,1000.0,126,0.001,4783,606330,-67.3086837310791,605330,934.1676124600001,0.136967608936131,,
,,,0.001,,610000,-67.30801780700683,609330,,0.1207529914304614,945.9205335497857,1000.0
624,1000.0,126,,4813,610330,,,935.44323001,,,
628,1000.0,127,0.001,4835,614330,-67.48250283813476,613330,935.89653647,0.11103457795456052,,
,,,0.001,,615000,-67.50092840576171,614330,,0.11378120467439294,950.6119017779827,1000.0
632,1000.0,127,0.001,4866,618330,-67.40792994689942,617330,935.8973390000001,0.13756064180657268,,
,,,0.001,,620000,-67.48330450439452,619330,,0.12127283281460405,949.1314885556698,1000.0
636,1000.0,127,0.001,4897,622330,-67.46568559265137,621330,935.51366412,0.11783068577945233,,
,,,0.001,,625000,-67.50755574035645,624330,,0.12492808201536536,946.6283409357071,1000.0
640,1000.0,127,0.001,4926,626330,-67.40205319213867,625330,934.89128895,0.13648644548654557,,
,,,0.001,,630000,-67.39229986572266,629330,,0.11297736097499728,957.6895118296146,1000.0
644,1000.0,127,,4957,630330,,,936.62230245,,,
648,1000.0,127,0.001,4979,634330,-67.57947434997558,633330,938.4572974000001,0.11542623668536543,,
,,,0.001,,635000,-67.53000358581544,634330,,0.12197100141644478,928.8839911520481,1000.0
652,1000.0,127,0.001,5009,638330,-67.655355178833,637330,939.45870773,0.12239047389477492,,
,,,0.001,,640000,-67.70776931762695,639330,,0.13293082481622695,948.7817102223635,1000.0
656,1000.0,127,0.001,5040,642330,-67.71444346618652,641330,939.8320962700001,0.1358166587203741,,
,,,0.001,,645000,-67.86448168945313,644330,,0.1307489431798458,903.909395454824,1000.0
660,1000.0,127,0.001,5071,646330,-67.84266119384766,645330,940.18067397,0.1251306179650128,,
,,,0.001,,650000,-67.84259942626953,649330,,0.12993390253558754,959.3982302293182,1000.0
664,1000.0,127,,5100,650330,,,941.3220066900001,,,
668,1000.0,127,0.001,5120,654330,-67.8978331451416,653330,939.69486832,0.11847467342019082,,
,,,0.001,,655000,-67.95973295593262,654330,,0.12652923211082817,959.3100450068712,1000.0
672,1000.0,127,0.001,5150,658330,-67.96933432006836,657330,940.8181575699999,0.10626963993161917,,
,,,0.001,,660000,-68.03280497741699,659330,,0.10550223124399781,933.5953920722008,1000.0
