time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
15,6.16,220,-4.877725819999999,87,1333,3.5319666862487793,-16.25271224975586,0.6927324533462524,0.0003,-7.1256256103515625,1232,,
15,6.2,224,-4.8766431699999995,87,1360,4.399423122406006,-16.731525421142578,0.6872256398200989,0.0003,-7.264970779418945,1259,,
15,6.21,228,-4.85018884,87,1388,5.1734724044799805,-16.950645446777344,0.681556761264801,0.0003,-7.403000354766846,1287,,
16,6.22,232,-4.84485915,87,1409,4.095831871032715,-17.002498626708984,0.6773401498794556,0.0003,-7.580828666687012,1308,,
16,6.13,236,-4.70735387,87,1430,3.7239325046539307,-16.47101593017578,0.6731573939323425,0.0003,-7.607290744781494,1329,,
16,6.14,240,-4.65060054,87,1450,4.187715530395508,-17.036861419677734,0.6692095994949341,0.0003,-7.595297813415527,1349,,
16,6.14,244,-4.55390853,87,1475,3.3201160430908203,-15.440065383911133,0.6643171906471252,0.0003,-7.849493980407715,1374,,
17,6.09,248,-4.56336098,86,1496,3.6674861907958984,-15.64631462097168,0.6602277159690857,0.0003,-8.026615142822266,1395,,
17,6.18,252,-4.626391020000001,86,1526,4.629088401794434,-16.945171356201172,0.6544249057769775,0.0003,-8.115644454956055,1425,,
17,6.18,256,-4.51974529,86,1551,4.440089225769043,-14.35672378540039,0.6496280431747437,0.0003,-8.242176055908203,1450,,
18,6.12,260,-4.34156166,86,1573,4.178731441497803,-14.350379943847656,0.6454339027404785,0.0003,-8.293279647827148,1472,,
18,6.11,264,-4.41859586,86,1600,4.534040451049805,-15.67960262298584,0.6403270363807678,0.0003,-8.57773208618164,1499,,
18,6.09,268,-4.40724558,86,1623,4.861259460449219,-15.778159141540527,0.6360124945640564,0.0003,-8.609003067016602,1522,,
18,6.07,272,-4.338789289999999,86,1644,4.5130791664123535,-14.779525756835938,0.6320997476577759,0.0003,-8.793903350830078,1543,,
19,6.06,276,-4.3687559,86,1668,5.010796546936035,-15.049412727355957,0.62764972448349,0.0003,-8.982561111450195,1567,,
19,6.04,280,-4.31775931,86,1696,4.0958662033081055,-14.39031982421875,0.622493326663971,0.0003,-9.040120124816895,1595,,
19,6.07,284,-4.38567273,86,1726,5.22709846496582,-14.861967086791992,0.6170413494110107,0.0003,-9.212884902954102,1625,,
20,6.1,288,-4.3622839099999995,86,1748,4.356800079345703,-14.550663948059082,0.6130600571632385,0.0003,-9.421123504638672,1647,,
20,6.02,292,-4.265335779999999,86,1770,5.609783172607422,-14.354839324951172,0.6090995669364929,0.0003,-9.406179428100586,1669,,
20,6.0,296,-4.23851285,86,1791,6.673767566680908,-13.982138633728027,0.6053568124771118,0.0003,-9.571401596069336,1690,,
21,6.08,300,-4.30375835,86,1817,5.738451957702637,-15.077312469482422,0.6007554531097412,0.0003,-9.54832935333252,1716,,
21,6.14,304,-4.315498679999999,86,1842,6.981412410736084,-13.978555679321289,0.5963721871376038,0.0003,-9.70714282989502,1741,,
21,6.22,308,-4.330690059999999,86,1876,5.6744465827941895,-14.160982131958008,0.5904620289802551,0.0003,-9.999166488647461,1775,,
21,6.18,312,-4.254762929999999,86,1899,4.566678047180176,-13.479206085205078,0.5864966511726379,0.0003,-10.19805908203125,1798,,
22,6.16,316,-4.220708770000001,86,1926,7.257289886474609,-14.539788246154785,0.5818577408790588,0.0003,-10.337892532348633,1825,,
22,6.11,320,-4.14349495,86,1944,6.583689212799072,-13.997781753540039,0.5787819623947144,0.0003,-10.365249633789062,1843,,
