time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/std,train/n_updates,eval/mean_ep_length,eval/mean_reward
,1020000,,,,,0.288916015625,-0.03822980466065928,0.0003,0.6399930119514465,898.0224710702896,0.2,-20.61107579469681,0.026055673,29.595434188842773,0.683198869228363,4980,807.65,4037.441720968485
10525,1021952,97,676.71,499,3387.5960659900006,,,,,,,,,,,,,
10534,1024000,97,679.78,500,3402.5122514099994,0.43037109375,-0.052429302525706586,0.0003,0.5274974703788757,437.73696209192275,0.2,-20.620432049036026,0.06266144,14.454655647277832,0.6840256452560425,4990,,
,1025000,,,,,0.485205078125,-0.05277426722459495,0.0003,0.9592148251831532,62.25573468208313,0.2,-20.630423659086226,0.063613325,10.830954551696777,0.6827561259269714,5000,820.6,4096.724081397546
10579,1026048,96,677.12,501,3388.3316707499994,,,,,,,,,,,,,
10587,1028096,97,675.07,502,3378.2122985900005,0.425927734375,-0.05535431544994936,0.0003,0.9402040503919125,95.63215281665325,0.2,-20.580744576454162,0.05173501,18.964101791381836,0.6817459464073181,5010,,
,1030000,,,,,0.587890625,-0.02968503174779471,0.0003,0.3149423599243164,760.0467233538627,0.2,-20.550820338726044,0.12302991,729.592041015625,0.6811250448226929,5020,769.7,3842.1105488486587
10631,1030144,96,682.96,503,3417.4822881099994,,,,,,,,,,,,,
10639,1032192,97,685.44,504,3429.38435106,0.383935546875,-0.0621236676350236,0.0003,0.9111756011843681,137.46642788648606,0.2,-20.527655869722366,0.050661836,43.47336959838867,0.6802217364311218,5030,,
10648,1034240,97,681.28,505,3407.9482971399993,0.435302734375,-0.06513379749376327,0.0003,0.9728856198489666,80.69259594082833,0.2,-20.4959881067276,0.052190248,20.17881965637207,0.678702175617218,5040,,
,1035000,,,,,0.461328125,-0.06431139711057768,0.0003,0.9672925099730492,73.91169151961803,0.2,-20.462606072425842,0.070126235,10.213714599609375,0.6774126887321472,5050,793.35,3959.0274912779687
10690,1036288,96,691.43,506,3458.69080005,,,,,,,,,,,,,
10699,1038336,97,686.86,507,3435.87762285,0.392626953125,-0.041865541410516016,0.0003,0.8765342980623245,502.58650916814804,0.2,-20.427968019247054,0.035672605,97.25080871582031,0.6771194338798523,5060,,
,1040000,,,,,0.28408203125,-0.04390838582767174,0.0003,0.860760822892189,849.306642472744,0.2,-20.432863920927048,0.02770469,170.18946838378906,0.6774172186851501,5070,717.5,3579.098610776104
10741,1040384,96,682.63,508,3414.48752649,,,,,,,,,,,,,
10749,1042432,96,685.6,509,3428.5161093099996,0.421533203125,-0.06277235171583015,0.0003,0.895066924393177,146.65116792321206,0.2,-20.400623154640197,0.05513324,17.84107208251953,0.6753014922142029,5080,,
10757,1044480,97,683.64,510,3418.0793910800003,0.467626953125,-0.059506242538918744,0.0003,0.9730249475687742,80.06967133879661,0.2,-20.352743887901305,0.06971316,19.834877014160156,0.6733647584915161,5090,,
,1045000,,,,,0.639892578125,-0.04311345155292656,0.0003,0.9587314277887344,28.24363541454077,0.2,-20.32858234643936,0.15150438,4.509797096252441,0.6733039617538452,5100,712.5,3560.717861168459
10797,1046528,96,676.56,511,3381.52781434,,,,,,,,,,,,,
10805,1048576,97,676.76,512,3382.4179676400004,0.3828125,-0.06301199729496147,0.0003,0.982264831662178,66.47596430778503,0.2,-20.296064817905425,0.042674348,28.365903854370117,0.6721089482307434,5110,,
,1050000,,,,,0.3650390625,-0.05247470187168801,0.0003,0.9404333829879761,188.30357667803764,0.2,-20.25688444375992,0.037571155,12.214066505432129,0.6710730195045471,5120,675.1,3370.3212463323025
10843,1050624,96,676.8,513,3382.0796292100003,,,,,,,,,,,,,
10851,1052672,97,675.86,514,3377.55283691,0.440576171875,-0.030615104184835217,0.0003,0.7774855941534042,388.6728410422802,0.2,-20.234380185604095,0.07026079,25.123422622680664,0.6708135008811951,5130,,
10861,1054720,97,680.71,515,3401.76474957,0.440380859375,-0.05603524473553989,0.0003,0.956020575016737,70.70229042172431,0.2,-20.214490592479706,0.06454344,10.365046501159668,0.6695218086242676,5140,,
,1055000,,,,,0.3216796875,-0.05533547767845448,0.0003,0.9120081961154938,225.52324628829956,0.2,-20.175015193223953,0.03541889,72.82054138183594,0.6680604219436646,5150,858.65,4308.938675093837
10909,1056768,96,680.84,516,3402.7121443899996,,,,,,,,,,,,,
10918,1058816,96,679.04,517,3393.7747197000003,0.453662109375,-0.061564815070596524,0.0003,0.9516008645296097,71.94034005403519,0.2,-20.14919657111168,0.06135172,18.800914764404297,0.6679016351699829,5160,,
,1060000,,,,,0.59716796875,-0.024957917360006833,0.0003,0.8381744623184204,511.37688017189504,0.2,-20.145695674419404,0.08743017,18.836835861206055,0.6679993271827698,5170,981.55,4937.86135960616
10970,1060864,96,677.31,518,3385.4928028400004,,,,,,,,,,,,,
10979,1062912,96,680.16,519,3399.9402584699997,0.4966796875,-0.03856885776622221,0.0003,0.5883703231811523,915.8144659399986,0.2,-20.160372346639633,0.06334673,73.08708953857422,0.6690011620521545,5180,,
10988,1064960,96,683.0,520,3414.723600349999,0.5173828125,-0.04795621370285517,0.0003,0.956784263253212,68.96325815320014,0.2,-20.201677203178406,0.09067339,16.96571922302246,0.6708018183708191,5190,,
,1065000,,,,,0.600390625,-0.05430811214610003,0.0003,0.9867400554940104,22.398512353003024,0.2,-20.20264905691147,0.15393695,4.800722122192383,0.6695231795310974,5200,936.15,4701.443521299213
11038,1067008,96,686.48,521,3432.77062734,,,,,,,,,,,,,
11047,1069056,96,690.4,522,3452.5410657199996,0.471435546875,-0.044294791063293815,0.0003,0.9315638616681099,69.77641413807869,0.2,-20.193466871976852,0.1546136,8.367376327514648,0.6699519753456116,5210,,
,1070000,,,,,0.445166015625,-0.06038326450507157,0.0003,0.9769467040896416,41.622874066233635,0.2,-20.21653512120247,0.053975843,8.643282890319824,0.6707237362861633,5220,950.15,4769.590667706169
11097,1071104,96,692.48,523,3463.4303865900006,,,,,,,,,,,,,
11105,1073152,96,696.44,524,3483.45993574,0.63037109375,-0.035645958175882696,0.0003,0.980500053614378,14.753364859521389,0.2,-20.213351845741272,0.13018863,3.4957611560821533,0.6694127321243286,5230,,
,1075000,,,,,0.681103515625,-0.03945419189403765,0.0003,0.8365984708070755,11.58823689930141,0.2,-20.162160408496856,0.21475883,3.329493999481201,0.6684315204620361,5240,989.95,4970.538098017872
11158,1075200,96,699.8,525,3500.50793034,,,,,,,,,,,,,
11167,1077248,96,709.39,526,3548.7395361099993,0.596484375,-0.020586677175015212,0.0003,0.8933917507529259,21.875011457502843,0.2,-20.156472647190093,0.27997398,2.0189666748046875,0.6684556603431702,5250,,
11176,1079296,96,719.09,527,3597.47466378,0.8412109375,-0.02352559977443889,0.0003,0.12878447771072388,0.6388556668534875,0.2,-20.230065351724626,0.50610286,0.1228591799736023,0.6701588034629822,5260,,
,1080000,,,,,0.348486328125,-0.011130929336650297,0.0003,0.12116330862045288,455.712198074162,0.2,-20.214415788650513,0.023087896,73.79375457763672,0.6705464720726013,5270,970.85,4882.940368504077
11228,1081344,96,722.22,528,3613.58886767,,,,,,,,,,,,,
11236,1083392,96,723.23,529,3618.9851144300005,0.010400390625,-0.014122901755035855,0.0003,0.7527761161327362,270.5404754757881,0.2,-20.21810324192047,0.004799891,11.767488479614258,0.6705945730209351,5280,,
,1085000,,,,,0.009619140625,-0.01490588499000296,0.0003,0.925567202270031,195.30706805586814,0.2,-20.220744681358337,0.0044520195,22.36206817626953,0.6707450151443481,5290,980.95,4927.244083675835
11290,1085440,96,725.21,530,3629.3998821000005,,,,,,,,,,,,,
11299,1087488,96,732.97,531,3669.06234361,0.048583984375,-0.02535162347194273,0.0003,0.9529785886406898,78.52280667424202,0.2,-20.219843131303787,0.008174667,15.206466674804688,0.6704438328742981,5300,,
11307,1089536,96,732.14,532,3665.6844279800002,0.0779296875,-0.021786737369257025,0.0003,0.697227418422699,213.05964169204236,0.2,-20.21693441271782,0.011172106,4.078007698059082,0.6706889271736145,5310,,
,1090000,,,,,0.11787109375,-0.03062681466981303,0.0003,0.8776928707957268,71.44258825480938,0.2,-20.22251410484314,0.014599583,10.510430335998535,0.6707575917243958,5320,951.45,4777.072425364703
11359,1091584,96,728.44,533,3647.2178380699997,,,,,,,,,,,,,
11366,1093632,96,732.99,534,3670.16728216,0.1494140625,-0.03607970305311028,0.0003,0.8469276428222656,79.68850978016853,0.2,-20.224716252088548,0.016891595,14.804076194763184,0.6707902550697327,5330,,
,1095000,,,,,0.060546875,-0.025520937284454703,0.0003,0.8666605055332184,310.917748850584,0.2,-20.22740008831024,0.009603301,10.604888916015625,0.6709234118461609,5340,951.9,4778.375765508414
11412,1095680,96,734.72,535,3678.7241916299995,,,,,,,,,,,,,
11420,1097728,96,740.84,536,3710.06834393,0.3978515625,-0.06414865134283901,0.0003,0.6332733035087585,17.33232506364584,0.2,-20.21002733707428,0.04861962,4.494481086730957,0.669817328453064,5350,,
11427,1099776,96,748.27,537,3747.2166097200006,0.535009765625,-0.010474263693322428,0.0003,0.9064399003982544,13.968590894900263,0.2,-20.183745855093,0.13290104,1.176001787185669,0.6700899600982666,5360,,
,1100000,,,,,0.200927734375,-0.039957678329665215,0.0003,0.963802345097065,44.90173998773098,0.2,-20.190427953004836,0.01902071,7.1687164306640625,0.6694862842559814,5370,947.65,4751.14799938649
11471,1101824,96,751.34,538,3762.7420766700006,,,,,,,,,,,,,
11479,1103872,96,751.41,539,3763.0554741999995,0.127587890625,-0.02932453081011772,0.0003,0.7784948199987411,362.47630825936795,0.2,-20.183961355686186,0.015267932,18.177448272705078,0.6697407364845276,5380,,
,1105000,,,,,0.15234375,-0.02922713155276142,0.0003,0.6705241799354553,431.7158468335867,0.2,-20.189175045490266,0.02046955,11.841116905212402,0.669670045375824,5390,962.75,4827.327628847212
11522,1105920,95,752.42,540,3768.3337474999994,,,,,,,,,,,,,
11530,1107968,96,755.76,541,3785.21326306,0.246630859375,-0.04292118690282223,0.0003,0.9093642458319664,74.9131467372179,0.2,-20.172186428308486,0.031314746,9.46967601776123,0.6687706708908081,5400,,
,1110000,,,,,0.407861328125,-0.028622031427221372,0.0003,0.8120047152042389,56.15765105634928,0.2,-20.150000882148742,0.07315465,3.861623764038086,0.6680168509483337,5410,901.3,4512.894459706731
11573,1110016,95,757.17,542,3792.71090114,,,,,,,,,,,,,
11581,1112064,96,767.97,543,3846.82196159,0.260400390625,-0.03620170330395922,0.0003,0.9214400723576546,69.45135629326106,0.2,-20.139220160245895,0.026103836,8.768768310546875,0.6683918833732605,5420,,
11587,1114112,96,771.38,544,3864.7391069399996,0.29365234375,-0.04578586645366158,0.0003,0.9283599108457565,55.9171505510807,0.2,-20.129437351226805,0.030278314,7.219959735870361,0.667472243309021,5430,,
,1115000,,,,,0.18583984375,-0.044409578791237435,0.0003,0.9286015033721924,156.6430260539055,0.2,-20.113306349515916,0.019973721,42.84671401977539,0.6675195693969727,5440,946.95,4740.158558700979
11630,1116160,95,771.62,545,3866.16648129,,,,,,,,,,,,,
11638,1118208,96,776.98,546,3893.3980756999995,0.2607421875,-0.04956778338528238,0.0003,0.9693572428077459,75.2619460105896,0.2,-20.115855944156646,0.031217542,26.37619400024414,0.6678221225738525,5450,,
,1120000,,,,,0.65458984375,-0.05998354338807985,0.0003,0.5828296542167664,8.291601560264827,0.2,-20.08424703478813,0.2069427,2.0657663345336914,0.6659960746765137,5460,893.15,4483.021759275347
11679,1120256,95,775.95,547,3889.68254248,,,,,,,,,,,,,
