time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
564,8216,47603,3.4578258799999997,84,6.85,-0.7611442804336548,-2.465947151184082,47502,0.007916525937616825,0.0003,0.11011840403079987,,
564,8220,47622,3.29267182,84,6.64,-0.5415902137756348,-1.5685579776763916,47521,0.007893932051956654,0.0003,0.1272694617509842,,
564,8224,47638,3.1895606899999995,84,6.55,-0.577033519744873,-4.029941082000732,47537,0.007890288718044758,0.0003,0.14894446730613708,,
565,8228,47664,3.2129204000000002,84,6.45,-0.7454090118408203,3.031893253326416,47563,0.00788942351937294,0.0003,0.1578594148159027,,
565,8232,47690,2.9838850100000003,84,6.22,-0.6034916639328003,3.0297117233276367,47589,0.00790433119982481,0.0003,0.15724408626556396,,
565,8236,47714,2.99328544,84,6.23,-0.5391278862953186,0.3839069604873657,47613,0.007914653047919273,0.0003,0.13330985605716705,,
566,8240,47731,3.0414888799999993,84,6.24,-0.4353213608264923,-0.7137072086334229,47630,0.007898148149251938,0.0003,0.11803542077541351,,
566,8244,47762,3.0639997599999997,84,6.3,-0.6035102009773254,-1.8435969352722168,47661,0.007887971587479115,0.0003,0.1424867957830429,,
566,8248,47785,2.9942618000000003,84,6.17,-0.7431492805480957,1.6117708683013916,47684,0.007865717634558678,0.0003,0.11010953038930893,,
566,8252,47809,3.04505876,84,6.24,-0.7400126457214355,0.8900154829025269,47708,0.007837831974029541,0.0003,0.13452647626399994,,
567,8256,47847,3.0780932199999995,84,6.29,-0.637742817401886,-5.396466255187988,47746,0.007788278162479401,0.0003,0.1109185740351677,,
567,8260,47864,3.012071379999999,84,6.14,-0.6706825494766235,0.6286784410476685,47763,0.007781826425343752,0.0003,0.11265094578266144,,
567,8264,47892,3.0976798399999996,84,6.25,-0.769740641117096,3.1264920234680176,47791,0.007793936412781477,0.0003,0.15543079376220703,,
568,8268,47921,3.15972123,84,6.32,-0.5919293165206909,-1.7788761854171753,47820,0.007779889740049839,0.0003,0.12259607017040253,,
568,8272,47948,3.2224204799999994,84,6.41,-0.37430819869041443,2.0351319313049316,47847,0.007763346657156944,0.0003,0.10561878979206085,,
568,8276,47967,3.1461049099999996,84,6.35,-0.6171339750289917,1.8171391487121582,47866,0.007780301850289106,0.0003,0.15272362530231476,,
569,8280,47989,3.15733322,84,6.37,-0.5674971342086792,2.065577507019043,47888,0.007815358228981495,0.0003,0.16318827867507935,,
569,8284,48004,3.1472669400000006,84,6.37,-0.5953091382980347,-3.6078734397888184,47903,0.007831171154975891,0.0003,0.10890759527683258,,
569,8288,48031,3.0517006899999997,84,6.28,-0.5012108087539673,-2.522279739379883,47930,0.007823617197573185,0.0003,0.09299284219741821,,
569,8292,48052,2.9213008300000003,84,6.19,-0.7127599716186523,-0.1645985245704651,47951,0.007816107012331486,0.0003,0.13900084793567657,,
570,8296,48079,2.8415267900000005,84,6.09,-0.574662446975708,-1.9323995113372803,47978,0.0078066568821668625,0.0003,0.11836632341146469,,
570,8300,48103,2.8351625399999993,84,6.05,-0.6918160319328308,0.8843332529067993,48002,0.00779758719727397,0.0003,0.11284060776233673,,
570,8304,48132,2.8350248600000003,84,6.12,-0.5574823617935181,-0.8180983066558838,48031,0.007802153937518597,0.0003,0.21970844268798828,,
570,8308,48153,2.8243703800000004,84,6.07,-0.5045555830001831,1.1133090257644653,48052,0.007790023926645517,0.0003,0.1596846580505371,,
571,8312,48183,2.84068016,84,6.09,-0.47296077013015747,-4.601139545440674,48082,0.0077874017879366875,0.0003,0.11348395049571991,,
571,8316,48219,2.871169839999999,84,6.16,-0.6241092681884766,-0.8773860931396484,48118,0.007783018052577972,0.0003,0.09935766458511353,,
571,8320,48235,2.863857919999999,84,6.13,-0.4400099217891693,-2.561079740524292,48134,0.007802809122949839,0.0003,0.11677451431751251,,
572,8324,48284,3.0634470000000005,84,6.46,-0.6673722267150879,-2.3578290939331055,48183,0.007822747342288494,0.0003,0.1387138068675995,,
572,8328,48315,2.952324800000001,84,6.51,-0.6671402454376221,1.7741682529449463,48214,0.00782080739736557,0.0003,0.2001267522573471,,
572,8332,48344,3.00621486,84,6.54,-0.6631321907043457,0.061942994594573975,48243,0.007843196392059326,0.0003,0.10132571309804916,,
573,8336,48366,2.9737803400000002,84,6.52,-0.65118807554245,0.09885641932487488,48265,0.007840434089303017,0.0003,0.15744277834892273,,
573,8340,48395,3.0569523999999997,84,6.64,-0.5488548874855042,-0.231278657913208,48294,0.007858253084123135,0.0003,0.1439114809036255,,
573,8344,48412,2.9862162999999993,84,6.5,-0.7135980129241943,6.641447067260742,48311,0.007868376560509205,0.0003,0.12514033913612366,,
573,8348,48428,2.9244139899999997,84,6.43,-0.39139896631240845,1.2312930822372437,48327,0.007888596504926682,0.0003,0.1202818751335144,,
574,8352,48456,2.9151992699999996,84,6.47,-0.5334532856941223,0.2172544300556183,48355,0.007924861274659634,0.0003,0.19460517168045044,,
574,8356,48486,2.7975995399999993,84,6.39,-0.5836591720581055,-1.6249806880950928,48385,0.007942653261125088,0.0003,0.13117438554763794,,
574,8360,48514,2.8461634499999997,84,6.5,-0.46150025725364685,1.4143595695495605,48413,0.007954979315400124,0.0003,0.10500555485486984,,
575,8364,48537,2.8207096000000003,84,6.45,-0.6611000895500183,-2.29101300239563,48436,0.007961536757647991,0.0003,0.11959652602672577,,
575,8368,48578,2.91500728,84,6.57,-0.7361118793487549,-1.6284425258636475,48477,0.007972968742251396,0.0003,0.19033467769622803,,
575,8372,48604,2.8549484000000005,84,6.56,-0.46296030282974243,-0.3147006034851074,48503,0.007987089455127716,0.0003,0.13975782692432404,,
576,8376,48632,2.9344930200000006,84,6.65,-0.4917472302913666,0.11749142408370972,48531,0.007963830605149269,0.0003,0.1821599304676056,,
576,8380,48656,2.9384590500000005,84,6.67,-0.7509635090827942,0.5543742179870605,48555,0.007973325438797474,0.0003,0.14926019310951233,,
576,8384,48687,2.9846506500000007,84,6.83,-0.6387948989868164,2.3264174461364746,48586,0.00797000341117382,0.0003,0.111953005194664,,
576,8388,48718,2.9504053800000003,84,6.87,-0.6820307970046997,4.761510848999023,48617,0.0079831937327981,0.0003,0.19873541593551636,,
577,8392,48746,3.0192082600000005,84,6.94,-0.6677168607711792,1.4696909189224243,48645,0.008017818443477154,0.0003,0.12972114980220795,,
577,8396,48763,2.92996465,84,6.84,-0.7238303422927856,-2.239468574523926,48662,0.00801688153296709,0.0003,0.12910842895507812,,
577,8400,48793,2.9610697000000004,84,6.9,-0.6921285390853882,1.9035882949829102,48692,0.007983262650668621,0.0003,0.10413327813148499,,
578,8404,48830,3.08953901,84,6.98,-0.4907424747943878,1.4432060718536377,48729,0.007990727201104164,0.0003,0.10045742988586426,,
578,8408,48854,3.09347477,84,7.01,-0.5300707817077637,-3.505786418914795,48753,0.007997985929250717,0.0003,0.16313153505325317,,
578,8412,48877,3.0780245700000006,84,6.94,-0.672797679901123,-0.7596899271011353,48776,0.007983369752764702,0.0003,0.1595982164144516,,
578,8416,48899,2.98686721,84,6.8,-0.7226819396018982,2.0631139278411865,48798,0.007978703826665878,0.0003,0.14598605036735535,,
579,8420,48917,2.9946360000000003,84,6.82,-0.7304829359054565,1.542846918106079,48816,0.007982505485415459,0.0003,0.13036572933197021,,
579,8424,48938,2.80835645,84,6.54,-0.5954561233520508,3.2524337768554688,48837,0.00800324697047472,0.0003,0.13229337334632874,,
579,8428,48960,2.80743649,84,6.45,-0.6518362760543823,-0.11107560992240906,48859,0.00802578218281269,0.0003,0.10137004405260086,,
580,8432,48979,2.70204001,84,6.35,-0.623201310634613,-0.5209294557571411,48878,0.008034834638237953,0.0003,0.0916815847158432,,
580,8436,49015,2.79769386,84,6.49,-0.6368259191513062,1.9459782838821411,48914,0.008039770647883415,0.0003,0.14061854779720306,,
580,8440,49030,2.68536104,84,6.35,-0.4811333119869232,4.803337097167969,48929,0.008050769567489624,0.0003,0.12286600470542908,,
580,8444,49056,2.73635991,84,6.44,-0.7049733400344849,1.3989577293395996,48955,0.008091344498097897,0.0003,0.13930237293243408,,
581,8448,49083,2.79922864,84,6.55,-0.7790390253067017,2.0169429779052734,48982,0.008114740252494812,0.0003,0.14016196131706238,,
581,8452,49113,2.8064632299999994,84,6.57,-0.7574880719184875,1.8173127174377441,49012,0.00811050459742546,0.0003,0.11583873629570007,,
581,8456,49133,2.7595033,84,6.47,-0.4203397035598755,0.4034985303878784,49032,0.008126899600028992,0.0003,0.15975865721702576,,
582,8460,49156,2.7339241400000005,84,6.42,-0.6415272951126099,-2.6763370037078857,49055,0.008120786398649216,0.0003,0.11997130513191223,,
582,8464,49181,2.66458105,84,6.44,-0.7609278559684753,0.5103229880332947,49080,0.008101648651063442,0.0003,0.18795627355575562,,
583,8468,49212,2.56145698,84,6.34,-0.6184579133987427,-2.1821541786193848,49111,0.008072325959801674,0.0003,0.15167587995529175,,
583,8472,49238,2.58636664,84,6.34,-0.8126833438873291,-2.257802724838257,49137,0.008056990802288055,0.0003,0.1729276478290558,,
583,8476,49265,2.55302412,84,6.33,-0.5591018199920654,-3.2080929279327393,49164,0.00803899671882391,0.0003,0.12579283118247986,,
584,8480,49292,2.5460817000000002,84,6.36,-0.5324274897575378,-2.8404459953308105,49191,0.007991493679583073,0.0003,0.21441814303398132,,
584,8484,49347,2.83372105,84,6.6,-0.6722390651702881,-2.8934967517852783,49246,0.007966458797454834,0.0003,0.15163332223892212,,
585,8488,49377,2.8804794899999995,84,6.59,-0.6240570545196533,-0.49004054069519043,49276,0.007966835051774979,0.0003,0.1370164155960083,,
585,8492,49412,2.9059632,84,6.66,-0.7906551361083984,1.9782615900039673,49311,0.007985272444784641,0.0003,0.10302260518074036,,
585,8496,49448,3.1729686700000004,84,6.85,-0.6491507291793823,1.7180728912353516,49347,0.008013022132217884,0.0003,0.1485789716243744,,
586,8500,49472,3.117580079999999,84,6.79,-0.8229010105133057,5.585009574890137,49371,0.008034531958401203,0.0003,0.10577335953712463,,
586,8504,49494,2.97576254,84,6.64,-0.7284346222877502,5.2959489822387695,49393,0.008055496029555798,0.0003,0.22278475761413574,,
586,8508,49519,3.00503153,84,6.65,-0.7086747884750366,-1.1112279891967773,49418,0.00805893074721098,0.0003,0.1438540816307068,,
586,8512,49543,2.9981197399999995,84,6.66,-0.6658587455749512,1.334767460823059,49442,0.008055592887103558,0.0003,0.14228573441505432,,
587,8516,49559,2.975608790000001,84,6.6,-0.5634491443634033,0.7320466041564941,49458,0.008063286542892456,0.0003,0.14478783309459686,,
587,8520,49587,2.998172380000001,84,6.7,-0.7903152108192444,-3.2910547256469727,49486,0.008076099678874016,0.0003,0.174518421292305,,
587,8524,49608,3.0054851299999994,84,6.7,-0.5286897420883179,-2.5970609188079834,49507,0.008060737513005733,0.0003,0.127474844455719,,
587,8528,49629,3.016136660000001,84,6.69,-0.8586070537567139,0.7492899894714355,49528,0.008027014322578907,0.0003,0.11974047124385834,,
588,8532,49653,3.03372409,84,6.74,-0.6658285856246948,1.7044323682785034,49552,0.007986312732100487,0.0003,0.13018864393234253,,
588,8536,49687,3.01995424,84,6.72,-0.6675020456314087,1.4247441291809082,49586,0.007989024743437767,0.0003,0.21682265400886536,,
588,8540,49708,3.0453441,84,6.78,-0.7264195084571838,-4.2941975593566895,49607,0.008002063259482384,0.0003,0.14447544515132904,,
589,8544,49732,3.028709509999999,84,6.76,-0.8168960213661194,-1.3259947299957275,49631,0.00799588393419981,0.0003,0.11683961749076843,,
589,8548,49752,2.97737526,84,6.69,-0.6041617393493652,5.288865089416504,49651,0.007978996261954308,0.0003,0.11626570671796799,,
589,8552,49779,3.0219909700000005,84,6.66,-0.5962255001068115,0.39275112748146057,49678,0.00798849482089281,0.0003,0.15080133080482483,,
590,8556,49797,3.0211899100000004,84,6.64,-0.5870579481124878,-0.7461689114570618,49696,0.007995708845555782,0.0003,0.1010618805885315,,
590,8560,49825,3.06535723,84,6.69,-0.750669538974762,2.7042768001556396,49724,0.007964814081788063,0.0003,0.16516579687595367,,
590,8564,49840,3.0509564500000006,84,6.59,-0.8777281045913696,1.3396282196044922,49739,0.007947863079607487,0.0003,0.1468551754951477,,
590,8568,49860,3.0324527,84,6.48,-0.595800518989563,-2.179192066192627,49759,0.007946392521262169,0.0003,0.12206956744194031,,
591,8572,49904,3.1481759799999995,84,6.66,-0.7727106809616089,2.067333221435547,49803,0.007927839644253254,0.0003,0.1688045710325241,,
591,8576,49925,3.10877805,84,6.6,-0.7280388474464417,1.4322642087936401,49824,0.007931692525744438,0.0003,0.12105002254247665,,
591,8580,49942,3.063321920000001,84,6.5,-0.6551070809364319,-1.6272928714752197,49841,0.007933356799185276,0.0003,0.1186610534787178,,
592,8584,49971,2.8285630999999993,84,6.24,-0.8139755725860596,-2.6903576850891113,49870,0.007931189611554146,0.0003,0.11589459329843521,,
592,8588,49997,2.8153691899999997,84,6.2,-0.4913800358772278,-0.16704940795898438,49896,0.007938480004668236,0.0003,0.09192472696304321,,
,,50000,,,,-0.7528995871543884,2.1630969047546387,49899,0.007939851842820644,0.0003,0.18448829650878906,3.298298274097033,6.3
593,8592,50031,2.81794053,84,6.19,-0.6563405990600586,-1.3673728704452515,49930,0.00796952098608017,0.0003,0.154415100812912,,
593,8596,50056,2.6484127699999997,84,6.08,-0.49422121047973633,0.7132214903831482,49955,0.007945505902171135,0.0003,0.21431633830070496,,
593,8600,50083,2.68775516,84,6.11,-0.8431850671768188,-1.8408758640289307,49982,0.007929396815598011,0.0003,0.10333257913589478,,
594,8604,50106,2.7254447000000006,84,6.12,-0.753604531288147,1.0570344924926758,50005,0.007929064333438873,0.0003,0.15498772263526917,,
594,8608,50132,2.73830388,84,6.13,-0.7214442491531372,-0.24372708797454834,50031,0.007944406941533089,0.0003,0.22244974970817566,,
