time/total_timesteps,time/time_elapsed,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/iterations,train/n_updates,train/entropy_loss,train/std,eval/mean_ep_length,eval/mean_reward
46000,242,30.702560424804688,20.05890067,20.52,189,0.0007,-75.2139663696289,0.9242873713374138,9200,9199,-16.601362228393555,0.9677538871765137,,
46500,244,0.5254380106925964,20.642216610000002,21.19,189,0.0007,-1.557627558708191,0.6167407035827637,9300,9299,-16.591733932495117,0.9666773676872253,,
47000,247,4.81864070892334,21.16070839,21.56,189,0.0007,36.02460479736328,0.7643635421991348,9400,9399,-16.595285415649414,0.9675616025924683,,
47500,250,21.6771183013916,21.298711220000005,21.37,189,0.0007,67.5672607421875,-5.027493000030518,9500,9499,-16.611961364746094,0.968653678894043,,
48000,253,4.118691444396973,20.55073267,20.44,189,0.0007,28.671588897705078,0.07597154378890991,9600,9599,-16.582199096679688,0.9664682149887085,,
48500,256,42.002471923828125,20.66805292,20.36,189,0.0007,-98.67876434326172,0.8754551485180855,9700,9699,-16.610883712768555,0.9685888290405273,,
49000,258,12.139344215393066,20.449348349999998,20.08,189,0.0007,-48.948909759521484,-2.4751105308532715,9800,9799,-16.598037719726562,0.9675542712211609,,
49500,261,5.874914169311523,21.33472521,20.89,189,0.0007,-25.20577049255371,0.9256661906838417,9900,9899,-16.635910034179688,0.9711403846740723,,
50000,,1.6109322309494019,,,,0.0007,-16.977581024169922,0.8598810881376266,,9999,-16.619831085205078,0.9697847366333008,26.75,30.142940050052857
50000,264,,22.30105549,21.29,188,,,,10000,,,,,
50500,266,0.4331388473510742,22.469153360000004,21.31,189,0.0007,-7.399942874908447,0.8227736204862595,10100,10099,-16.61484146118164,0.9691222906112671,,
51000,268,10.576972961425781,23.818371069999998,22.42,189,0.0007,41.917110443115234,0.31473374366760254,10200,10199,-16.60255241394043,0.9683634638786316,,
51500,271,0.11910329014062881,23.51906314,22.15,189,0.0007,0.25473761558532715,0.9582301415503025,10300,10299,-16.580427169799805,0.9670600891113281,,
52000,273,1.2881706953048706,22.93567279,21.72,190,0.0007,10.820536613464355,0.7530116587877274,10400,10399,-16.606246948242188,0.9686223864555359,,
52500,275,1.8828572034835815,23.631437950000006,22.69,190,0.0007,18.84215545654297,-0.04970896244049072,10500,10499,-16.59682273864746,0.9677329063415527,,
53000,277,0.8464555740356445,22.4387922,21.37,190,0.0007,-2.2519454956054688,0.4659920930862427,10600,10599,-16.564664840698242,0.9654025435447693,,
53500,279,0.25387269258499146,21.451566359999998,20.93,191,0.0007,1.4152964353561401,0.858562245965004,10700,10699,-16.551837921142578,0.9638673663139343,,
