train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
17250,10.082558326721191,90,50.0,-10.24887119,191,348,0.001,0.057931408882141114,17400,,
17450,10.116633834838867,91,50.0,-10.22286946,191,352,0.001,0.04958460859954357,17600,,
17650,10.231527214050294,92,50.0,-10.20915603,191,356,0.001,0.044058554470539094,17800,,
17850,10.303183555603027,,,,,,0.001,0.04968732800334692,18000,-9.789899809844792,50.0
,,94,50.0,-9.93626738,191,360,,,18000,,
18050,10.328711204528808,95,50.0,-9.81318334,190,364,0.001,0.04651792991906405,18200,,
18250,10.354455413818359,96,50.0,-9.654930540000002,191,368,0.001,0.045698528066277506,18400,,
18450,10.46055549621582,97,50.0,-9.55457001,191,372,0.001,0.04636544771492481,18600,,
18650,10.556503677368164,98,50.0,-9.36549242,191,376,0.001,0.05536551833152771,18800,,
18850,10.598282432556152,,,,,,0.001,0.05568780794739723,19000,-9.410260926932096,50.0
,,99,50.0,-9.490707570000001,190,380,,,19000,,
19050,10.608528518676758,100,50.0,-9.35216362,191,384,0.001,0.06702612590044738,19200,,
19250,10.79827880859375,101,50.0,-9.186373060000001,191,388,0.001,0.046972398459911344,19400,,
19450,10.81808937072754,102,50.0,-9.049605280000002,191,392,0.001,0.04758447781205177,19600,,
19650,10.926302833557129,103,50.0,-9.02769437,191,396,0.001,0.05979940794408321,19800,,
19850,11.02643253326416,,,,,,0.001,0.055531492829322814,20000,-8.691425060108305,50.0
,,104,50.0,-8.944145110000001,190,400,,,20000,,
20050,11.037764587402343,105,50.0,-8.728817280000001,190,404,0.001,0.0568707874417305,20200,,
20250,11.11566246032715,106,50.0,-8.58695323,190,408,0.001,0.05009005934000015,20400,,
20450,11.220505485534668,107,50.0,-8.56783763,190,412,0.001,0.0507795799523592,20600,,
20650,11.280378952026368,108,50.0,-8.4079474,191,416,0.001,0.04972012899816036,20800,,
20850,11.324956283569335,,,,,,0.001,0.07489300318062306,21000,-7.591194525826722,50.0
,,110,50.0,-8.20344309,190,420,,,21000,,
21050,11.547897453308105,111,50.0,-8.26258251,190,424,0.001,0.04707027643918991,21200,,
21250,11.576180305480957,112,50.0,-8.147055399999998,190,428,0.001,0.051291922479867934,21400,,
21450,11.666548347473144,113,50.0,-8.04921996,190,432,0.001,0.04929815284907818,21600,,
21650,11.733526153564453,114,50.0,-8.058639609999998,190,436,0.001,0.06180287580937147,21800,,
21850,11.770479049682617,,,,,,0.001,0.05015168204903603,22000,-7.46608866751194,50.0
,,115,50.0,-8.04043626,190,440,,,22000,,
22050,11.938791923522949,116,50.0,-7.899537859999999,190,444,0.001,0.0738230698555708,22200,,
22250,11.911553001403808,117,50.0,-7.839144980000002,190,448,0.001,0.07116729006171227,22400,,
22450,11.985335464477538,118,50.0,-7.864937020000002,190,452,0.001,0.059941403940320014,22600,,
22650,12.085715446472168,119,50.0,-7.7569450699999996,190,456,0.001,0.054478709027171134,22800,,
22850,12.168225173950196,,,,,,0.001,0.0718061500787735,23000,-7.669145722081884,50.0
,,120,50.0,-7.85790377,190,460,,,23000,,
23050,12.200265045166015,121,50.0,-7.857184419999999,190,464,0.001,0.05422649934887886,23200,,
23250,12.319384689331054,122,50.0,-7.882753130000001,190,468,0.001,0.05595730878412723,23400,,
23450,12.371870880126954,123,50.0,-7.771243359999997,190,472,0.001,0.05743434458971024,23600,,
23650,12.47136173248291,125,50.0,-7.76640192,190,476,0.001,0.07454377859830856,23800,,
23850,12.495069427490234,,,,,,0.001,0.06323109708726406,24000,-7.1955823736265305,50.0
,,126,50.0,-7.5552556200000005,189,480,,,24000,,
24050,12.667970809936524,127,50.0,-7.59970762,189,484,0.001,0.06859524600207806,24200,,
24250,12.655439567565917,128,50.0,-7.521121230000002,189,488,0.001,0.07073805689811706,24400,,
24450,12.8069047164917,129,50.0,-7.344019070000002,189,492,0.001,0.061362960636615754,24600,,
24650,12.872496757507324,130,50.0,-7.279775739999999,189,496,0.001,0.055572977885603905,24800,,
24850,12.869531555175781,,,,,,0.001,0.06421888493001461,25000,-7.710541259683668,50.0
,,131,50.0,-7.202634,189,500,,,25000,,
25050,12.980469627380371,132,50.0,-7.23301173,189,504,0.001,0.06405954584479331,25200,,
25250,13.020423240661621,133,50.0,-7.21773137,189,508,0.001,0.06316404022276402,25400,,
25450,13.106975173950195,134,50.0,-7.141994369999999,189,512,0.001,0.0581084930151701,25600,,
25650,13.13489200592041,135,50.0,-7.061259240000002,189,516,0.001,0.06853623785078526,25800,,
25850,13.194410400390625,,,,,,0.001,0.11547120645642281,26000,-7.325647828727961,50.0
,,137,50.0,-7.023238449999999,189,520,,,26000,,
26050,13.245022506713868,138,50.0,-6.99878514,189,524,0.001,0.06262693248689175,26200,,
26250,13.400809288024902,139,50.0,-6.965916179999999,189,528,0.001,0.08297383368015289,26400,,
26450,13.417599906921387,140,50.0,-6.832290519999998,189,532,0.001,0.061655179634690284,26600,,
26650,13.42916015625,141,50.0,-6.761148940000001,189,536,0.001,0.0636158050596714,26800,,
26850,13.541417922973633,,,,,,0.001,0.06007366992533207,27000,-7.345707950834185,50.0
,,142,50.0,-6.64267728,188,540,,,27000,,
27050,13.663819580078124,143,50.0,-6.6346643,188,544,0.001,0.06818606302142144,27200,,
27250,13.651796569824219,144,50.0,-6.728990670000001,189,548,0.001,0.06521251112222672,27400,,
27450,13.749398765563965,145,50.0,-6.633263729999999,189,552,0.001,0.056679400205612185,27600,,
27650,13.86986099243164,146,50.0,-6.649700370000001,189,556,0.001,0.05809441052377224,27800,,
27850,13.872370567321777,,,,,,0.001,0.06058989442884922,28000,-6.989072414021939,50.0
,,148,50.0,-6.630864009999998,188,560,,,28000,,
28050,13.942038650512695,149,50.0,-6.533228749999999,188,564,0.001,0.06470878258347511,28200,,
28250,13.965944862365722,150,50.0,-6.461026029999999,188,568,0.001,0.05558916136622429,28400,,
28450,14.041539268493652,151,50.0,-6.47899471,188,572,0.001,0.05620211720466614,28600,,
28650,14.107919845581055,152,50.0,-6.54587599,188,576,0.001,0.06073929950594902,28800,,
28850,14.192866096496582,,,,,,0.001,0.06753385789692402,29000,-6.955482731899247,50.0
,,153,50.0,-6.54810897,188,580,,,29000,,
29050,14.235864715576172,154,50.0,-6.4743603599999995,188,584,0.001,0.06260051384568215,29200,,
29250,14.266886405944824,155,50.0,-6.5724781199999995,188,588,0.001,0.0811913227289915,29400,,
29450,14.437142372131348,156,50.0,-6.56401894,188,592,0.001,0.0676225022226572,29600,,
29650,14.40131534576416,157,50.0,-6.59038167,189,596,0.001,0.06431793905794621,29800,,
29850,14.484367027282715,,,,,,0.001,0.05774691343307495,30000,-6.845612677559257,50.0
,,158,50.0,-6.560002369999999,188,600,,,30000,,
30050,14.54449390411377,159,50.0,-6.525884520000001,188,604,0.001,0.06194323770701885,30200,,
30250,14.644122161865234,161,50.0,-6.463876190000001,188,608,0.001,0.0637268253415823,30400,,
30450,14.665068588256837,162,50.0,-6.48103333,188,612,0.001,0.06974017538130284,30600,,
30650,14.768576545715332,163,50.0,-6.38537512,188,616,0.001,0.06853363908827305,30800,,
30850,14.76998809814453,,,,,,0.001,0.11003212355077267,31000,-6.796718643803615,50.0
,,164,50.0,-6.274931379999999,188,620,,,31000,,
31050,14.864753112792968,165,50.0,-6.250551359999999,188,624,0.001,0.08222021624445915,31200,,
31250,14.933179969787597,166,50.0,-6.354624409999999,188,628,0.001,0.1198542745411396,31400,,
31450,15.026085395812988,167,50.0,-6.414281539999999,188,632,0.001,0.05942198045551777,31600,,
31650,15.06018886566162,168,50.0,-6.294034819999999,188,636,0.001,0.06319424077868462,31800,,
31850,15.081686782836915,,,,,,0.001,0.06095965422689915,32000,-7.401253846660256,50.0
,,169,50.0,-6.32825434,188,640,,,32000,,
32050,15.195339813232422,170,50.0,-6.47188347,188,644,0.001,0.09447238497436046,32200,,
32250,15.167641639709473,171,50.0,-6.362458089999999,188,648,0.001,0.08475950382649898,32400,,
32450,15.289401550292968,172,50.0,-6.456716999999998,188,652,0.001,0.06353345587849617,32600,,
32650,15.36371753692627,173,50.0,-6.51835817,188,656,0.001,0.06656480498611927,32800,,
32850,15.4077339553833,,,,,,0.001,0.0913827995210886,33000,-7.819960330799222,50.0
,,175,50.0,-6.513101639999998,188,660,,,33000,,
33050,15.43139060974121,175,50.0,-6.5290680399999985,188,664,0.001,0.06346337415277958,33200,,
33250,15.539286079406738,176,50.0,-6.5244430000000015,188,668,0.001,0.06465501688420773,33400,,
33450,15.505717620849609,177,50.0,-6.47694452,188,672,0.001,0.06680652298033238,33600,,
33650,15.585743942260741,178,50.0,-6.41833616,189,676,0.001,0.07246366664767265,33800,,
33850,15.713958930969238,,,,,,0.001,0.06710219822824001,34000,-8.101678016223014,50.0
,,179,50.0,-6.414401039999999,188,680,,,34000,,
34050,15.660352439880372,180,50.0,-6.46980369,189,684,0.001,0.068580998852849,34200,,
34250,15.701213417053223,181,50.0,-6.36508138,189,688,0.001,0.06360452964901925,34400,,
34450,15.837162170410156,182,50.0,-6.542686710000001,189,692,0.001,0.0758312326669693,34600,,
34650,15.930590705871582,183,50.0,-6.574731649999999,189,696,0.001,0.0845376804471016,34800,,
34850,15.88290184020996,,,,,,0.001,0.08585145406424999,35000,-8.094085560552776,50.0
,,185,50.0,-6.59784531,188,700,,,35000,,
35050,15.992532539367676,186,50.0,-6.603086460000001,188,704,0.001,0.060719128623604776,35200,,
35250,15.992351455688476,187,50.0,-6.688772789999999,188,708,0.001,0.06599511712789535,35400,,
35450,16.088340644836425,188,50.0,-6.747078530000001,189,712,0.001,0.08993611097335816,35600,,
35650,16.038063468933107,189,50.0,-6.80921543,189,716,0.001,0.07057421840727329,35800,,
35850,16.16637119293213,,,,,,0.001,0.06411957643926143,36000,-7.597944367863238,50.0
