time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
8178,839414,102,22716,43.52,52.36222562999999,0.001,4.853519340356191,-23.00824038187663,839253,,
8180,839587,102,22720,43.53,52.59955981000001,0.001,4.51947422360265,-23.77881976536342,839465,,
8182,839799,102,22724,44.53,54.06004997000001,0.001,4.242739190226016,-23.4447021484375,839639,,
8184,839954,102,22728,44.45,54.02188665,0.001,4.7286829120583,-23.27098200056288,839846,,
,840000,,,,,0.001,4.67333041388413,-23.201585642496745,839918,52.354873296618464,42.7
8187,840092,102,22732,43.76,53.09554315,0.001,5.118076956934399,-23.559550550248886,839990,,
8188,840253,102,22736,43.66,53.282167050000005,0.001,5.000309004928127,-23.190425087423886,840136,,
8190,840378,102,22740,43.53,53.112448380000004,0.001,5.38751891384954,-22.765930493672688,840264,,
8191,840564,102,22744,42.57,52.00594105000002,0.001,4.959972034801137,-23.951775431632996,840435,,
8193,840828,102,22748,42.97,52.839960889999986,0.001,4.537777096033096,-23.115638097127277,840681,,
8195,840942,102,22752,41.89,51.39502482999999,0.001,5.08458640575409,-23.396985244750976,840814,,
8196,841073,102,22756,41.99,51.34280816999999,0.001,4.53149455289046,-23.070447206497192,840961,,
8198,841221,102,22760,42.19,51.90195893,0.001,4.649394369125366,-23.366902284843977,841124,,
8199,841387,102,22764,41.75,51.47287086,0.001,4.412273030810886,-23.632279686305832,841274,,
8201,841618,102,22768,41.58,51.62131561,0.001,4.368766296200636,-23.197621740945955,841483,,
8203,841781,102,22772,41.75,51.971225790000005,0.001,4.111594361918313,-23.093389102390834,841611,,
8205,841937,102,22776,41.88,52.32457663000001,0.001,4.229050052926896,-23.356889088948567,841838,,
8205,842024,102,22780,41.28,51.49393747,0.001,3.962652087211609,-24.184716754489475,841929,,
8206,842151,102,22784,40.48,50.09384089000001,0.001,4.994434458868844,-23.658435474742543,842024,,
8208,842293,102,22788,40.44,50.28262177999999,0.001,4.632286787033081,-22.905706204866107,842172,,
8209,842408,102,22792,39.93,49.739036369999994,0.001,4.69860873222351,-23.003058309140414,842298,,
8210,842529,102,22796,39.87,49.534699450000005,0.001,4.950420879548596,-23.56603693962097,842426,,
8211,842721,102,22800,40.68,50.704487199999996,0.001,4.6312543749809265,-23.436883486234226,842558,,
8212,842830,102,22804,40.43,50.272505370000005,0.001,4.123502016067505,-23.173778661092122,842709,,
8213,842966,102,22808,39.98,49.53954068000001,0.001,5.814479451025686,-23.412596464157104,842856,,
8215,843125,102,22812,40.1,49.612520460000006,0.001,5.28829910159111,-22.898105907440186,843001,,
8216,843249,102,22816,38.35,46.82932088,0.001,4.455331119624051,-23.783516970547762,843123,,
8217,843447,102,22820,38.6,47.00596992,0.001,5.070952775630545,-23.095594654912535,843295,,
8219,843593,102,22824,37.94,46.204907649999996,0.001,4.944041154601357,-23.34057651866566,843491,,
8220,843769,102,22828,38.15,46.82192373000001,0.001,4.9857875259443265,-23.843862880359996,843652,,
8222,843977,102,22832,38.85,47.586782910000004,0.001,5.057189242045085,-22.93708428092625,843844,,
8224,844166,102,22836,39.13,47.760250209999995,0.001,4.825470578670502,-23.542790794372557,844039,,
8226,844347,102,22840,39.69,48.59142689,0.001,4.202999733589791,-23.408172395494248,844235,,
8227,844529,102,22844,39.65,48.76850337,0.001,5.2482624932339315,-23.078894933064777,844405,,
8229,844728,102,22848,39.0,47.59399547000001,0.001,4.954179041525897,-23.318039781907025,844619,,
8231,844891,102,22852,39.49,48.269709590000005,0.001,4.696372738590947,-23.45067808363173,844778,,
,845000,,,,,0.001,4.910729260671706,-23.60899462018694,844885,44.79828777103685,39.2
8233,845003,102,22856,39.3,48.31678887000001,,,,,,
8234,845125,102,22860,39.04,47.439506630000004,0.001,4.903755413161384,-24.052506976657444,845009,,
8235,845213,102,22864,38.26,46.55352223999999,0.001,4.543209162625399,-23.25784402735093,845114,,
8236,845332,102,22868,37.14,44.38993232999999,0.001,4.5699112227088525,-23.30139842786287,845228,,
8237,845419,102,22872,36.38,43.40291913,0.001,4.647012948989868,-23.136912875705296,845303,,
8239,845589,102,22876,36.52,43.477954600000004,0.001,4.733766856946443,-23.521931838989257,845464,,
8241,845790,102,22880,37.66,44.568905050000005,0.001,4.754462813222131,-23.207869269631125,845674,,
8241,845902,102,22884,37.51,44.384046000000005,0.001,4.666219834125403,-23.86400458391975,845776,,
8243,846056,102,22888,37.63,44.43357547999999,0.001,4.652516709055219,-23.161405236380443,845948,,
8244,846246,102,22892,38.38,45.82983701,0.001,3.7730859032383672,-23.834190955528847,846097,,
8246,846370,102,22896,38.41,46.18284920999999,0.001,4.618346452713013,-23.48826565462,846256,,
8248,846586,102,22900,38.65,46.32493796999999,0.001,4.924236942344988,-23.464639282226564,846469,,
8249,846711,102,22904,38.81,46.63731815999999,0.001,4.576954934332106,-23.265143076578777,846594,,
8251,846924,102,22908,39.58,47.45632699,0.001,4.703834370562904,-22.878244188096787,846781,,
8253,847121,102,22912,39.96,47.450419060000016,0.001,4.50928005175804,-23.451907186797172,847001,,
8254,847297,102,22916,40.48,48.11787507000001,0.001,4.650151297103527,-23.480145367709074,847168,,
8256,847475,102,22920,40.28,48.03450252,0.001,4.551672199498052,-23.356607851774797,847354,,
8257,847593,102,22924,40.0,47.48159403999999,0.001,4.879985809326172,-23.607873344421385,847478,,
8258,847784,102,22928,40.15,47.56779141999999,0.001,4.969473864581134,-23.51936992846037,847656,,
8260,847876,102,22932,38.99,45.9704853,0.001,4.798284982380114,-22.866721047295464,847773,,
8261,847976,102,22936,38.1,45.08338094999999,0.001,5.44531653324763,-23.471344153086346,847872,,
8262,848100,102,22940,37.53,44.00460680000001,0.001,4.9991536140441895,-22.562031004163956,847996,,
8263,848255,102,22944,37.26,43.770080660000005,0.001,5.030235648155212,-23.626569271087646,848135,,
8265,848421,102,22948,36.93,42.8900581,0.001,4.678954028166258,-22.93476214775672,848299,,
8267,848573,102,22952,36.82,42.77281105,0.001,4.580184555053711,-23.1982347315008,848446,,
8268,848775,102,22956,37.72,44.20574199,0.001,4.811408030784737,-22.960554186503092,848654,,
8270,849035,102,22960,39.1,47.09876708000001,0.001,4.614840142867145,-23.619988479614257,848853,,
8273,849218,102,22964,40.05,48.901445050000014,0.001,4.9454924766331505,-23.16429164674547,849105,,
8274,849344,102,22968,40.12,49.07668540999999,0.001,4.533025957289196,-23.698838996887208,849219,,
8276,849524,102,22972,41.05,50.936117990000014,0.001,4.502075339472571,-23.514815070412375,849408,,
8277,849709,102,22976,41.2,51.176879899999996,0.001,4.668678890864054,-23.581223668278874,849607,,
8279,849860,102,22980,40.7,50.690244529999994,0.001,4.929640456741931,-23.40741569519043,849761,,
