time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
240,1000.0,143,,1604,230502,,,945.9717683399998,,,
244,1000.0,144,0.001,1627,234502,-71.69902792358398,233447,944.6865172500001,0.16255074635520578,,
,,,0.001,,235000,-71.69016510009766,234447,,0.14974731517210602,952.778718662262,1000.0
248,1000.0,143,0.001,1658,238502,-71.77866996765137,237447,943.85907312,0.16737796915695072,,
,,,0.001,,240000,-71.836707321167,239447,,0.1570097360536456,909.2048848032952,1000.0
252,1000.0,143,0.001,1688,242502,-71.8938148651123,241447,942.00367778,0.1532994708791375,,
,,,0.001,,245000,-71.88386613464355,244447,,0.14227338507398962,940.160394770652,1000.0
256,1000.0,143,0.001,1716,246502,-71.96206452941894,245447,940.6311499899999,0.1421165249161422,,
,,,0.001,,250000,-72.0607689666748,249447,,0.14129009003564716,959.1614756196738,1000.0
260,1000.0,143,,1746,250502,,,940.9112209100001,,,
264,1000.0,144,0.001,1766,254502,-72.19303839111328,253447,941.0538067800001,0.13262695164605975,,
,,,0.001,,255000,-72.15838903808594,254447,,0.14402550590783358,955.288116851449,1000.0
268,1000.0,143,0.001,1795,258502,-72.1725217590332,257447,940.74117701,0.14739383324235678,,
,,,0.001,,260000,-72.09330847167969,259447,,0.13457630744948984,956.3093156695365,1000.0
272,1000.0,143,0.001,1824,262502,-72.15395872497558,261447,940.2977860400001,0.15008695006743072,,
,,,0.001,,265000,-72.06002844238282,264447,,0.14270648355409504,943.3598830968142,1000.0
276,1000.0,143,0.001,1852,266502,-72.04400532531739,265447,940.4032779099999,0.14182814155519008,,
,,,0.001,,270000,-71.98583668518066,269447,,0.1257386780269444,940.7523862361908,1000.0
280,1000.0,143,,1881,270502,,,940.9615002400001,,,
284,1000.0,144,0.001,1903,274502,-71.91014755249023,273447,941.2149086400001,0.13097513649240136,,
