rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
,12.157199377536774,,0.001,,,240000,,-113.52685418701172,238984,2212.5936832916473,891.9
874.95,,272,,1756.21637276,1930,240039,124,,,,
884.71,11.768217374801635,276,0.001,1784.17625263,1954,244039,124,-114.73896948242188,242984,,
,11.993679539680482,,0.001,,,245000,,-114.7623130645752,243984,1981.767436546646,819.9
874.89,13.042612394332886,280,0.001,1775.22722481,1987,247057,124,-115.4358494873047,246984,,
,12.685014859676361,,0.001,,,250000,,-116.2661664276123,249902,2369.420230675896,1000.0
873.89,,284,,1801.8178834999999,2017,250957,124,,,,
864.08,12.087711911452445,288,0.001,1792.2195374799996,2035,253976,124,-115.68505265977647,252921,,
,14.373937175750733,,0.001,,,255000,,-118.78082954406739,254921,2160.544210918108,1000.0
864.08,12.962538239955903,292,0.001,1808.21683606,2071,257976,124,-119.03605014038087,256921,,
,14.429213750362397,,0.001,,,260000,,-119.6748473815918,259921,2465.7228236323804,1000.0
871.68,13.411904084205627,296,0.001,1847.9123416199998,2107,261867,124,-119.99877615356445,260921,,
,13.919730655193328,,0.001,,,265000,,-120.37727546691895,264812,1527.466407794127,712.0
890.38,,300,,1908.1100856500002,2139,265867,124,,,,
876.74,14.968334368623484,304,0.001,1880.54886351,2155,268503,124,-121.41812314164524,267448,,
,14.573263959884644,,0.001,,,270000,,-121.86694323730468,269448,1883.6243888361846,905.8
881.64,15.499222298145295,308,0.001,1873.0779345499998,2191,272503,124,-121.6211726989746,271448,,
,14.799495482444764,,0.001,,,275000,,-122.6647060546875,274448,2308.7098625375424,1000.0
881.64,13.750556134700775,312,0.001,1879.10169515,2227,276503,124,-122.44499708557129,275448,,
,13.712756385803223,,0.001,,,280000,,-123.72389495849609,279448,1784.0965341961478,806.0
891.32,,316,,1911.06005222,2260,280503,124,,,,
891.32,14.354643325805664,320,0.001,1923.7756716700003,2285,284503,124,-125.11543717956543,283448,,
,13.717014636993408,,0.001,,,285000,,-125.1211209411621,284448,1694.512456331821,762.2
891.32,15.255157501220703,324,0.001,1936.5864946500003,2317,288503,124,-125.72841575622559,287448,,
,13.77372204399109,,0.001,,,290000,,-126.24393780517578,289448,2284.779429752147,903.0
891.32,14.903214908123017,328,0.001,1942.94242943,2351,292503,124,-126.94032359313965,291448,,
,14.033767377376556,,0.001,,,295000,,-128.17198037719726,294448,2202.526895924192,864.4
888.88,14.39912826538086,332,0.001,1966.8598258799998,2385,296107,124,-127.67011671447754,295448,,
,15.316180623810867,,0.001,,,300000,,-128.45786795159492,298951,1905.0835136030335,796.1
887.87,,336,,1957.25298187,2415,300006,124,,,,
887.87,14.502594238758087,340,0.001,1967.8129781200003,2440,304006,124,-129.28702374267579,302951,,
,14.55882229089737,,0.001,,,305000,,-129.55203210449218,303951,2085.644618648803,805.9
880.41,14.583093029499054,344,0.001,1951.3345479,2468,307260,124,-129.71054693603514,306205,,
,13.832480956768167,,0.001,,,310000,,-131.1856236775716,309234,2421.2035979984794,983.7
892.72,,348,,1984.3931748099997,2496,310289,124,,,,
887.03,13.82414107322693,352,0.001,2000.7196952000002,2508,312337,124,-133.59747161865235,311282,,
,16.08773612880707,,0.001,,,315000,,-130.5935366668701,314282,2443.7314018249513,902.1
887.03,15.548986857414246,356,0.001,1994.31722324,2543,316337,124,-130.3577174987793,315282,,
900.61,15.65532505273819,360,0.001,2014.4350518199997,2566,319929,124,-131.51818394470214,318874,,
,16.78564367723465,,0.001,,,320000,,-131.2678289642334,319874,1728.0363798668375,669.8
888.26,16.93487499141693,364,0.001,2006.69606158,2595,322694,124,-131.29004621887208,322517,,
,16.29294478940964,,0.001,,,325000,,-130.48969744873048,324639,1895.1212840633932,816.7
906.55,17.249631108760834,368,0.001,2011.7671982900001,2625,326694,124,-131.6237794189453,325639,,
896.72,17.635860918045044,372,0.001,2013.2150892999998,2643,329711,124,-131.04997190856935,328656,,
,14.55196418762207,,0.001,,,330000,,-131.27875518798828,329671,1275.8521964657702,605.9
886.87,17.29630067396164,376,0.001,2006.1753785900003,2668,332726,124,-131.44502522277833,331671,,
,17.598561647891998,,0.001,,,335000,,-133.1284045715332,334671,2509.1644306262956,971.6
896.69,18.439441613674163,380,0.001,2050.28059057,2704,336726,124,-132.82382516479493,335671,,
,17.500312351703645,,0.001,,,340000,,-133.63909088134767,339671,2684.5938283018536,1000.0
897.69,,384,,2061.65442233,2739,340726,124,,,,
887.9,17.851463940143585,388,0.001,2039.6750215000002,2756,342766,124,-133.86451164245605,342697,,
,17.582997198581694,,0.001,,,345000,,-133.8478811187744,344711,2614.57605290974,1000.0
887.9,16.776972982406615,392,0.001,2045.22772177,2786,346766,124,-134.57169288635254,345711,,
,17.192061627864838,,0.001,,,350000,,-134.28157820129394,349711,2656.1578961751425,1000.0
888.99,,396,,2026.5922223399998,2822,350766,124,,,,
888.99,17.792866329193114,400,0.001,2033.6654151300006,2844,354766,124,-134.59602487182616,353711,,
,17.560818700790406,,0.001,,,355000,,-134.60980009460448,354711,2151.083773622499,803.6
902.63,18.33387455177307,404,0.001,2067.6157409099997,2877,358766,124,-134.89027883911132,357711,,
,18.705332203388213,,0.001,,,360000,,-135.04267140197754,359711,2157.4268563716555,842.8
893.07,19.66156810951233,408,0.001,2077.37869082,2909,361810,124,-134.6780948638916,361711,,
,19.96026606655121,,0.001,,,365000,,-136.08507817077637,364755,2355.6337911398614,1000.0
893.07,,412,,2087.51633601,2940,365810,124,,,,
893.07,19.468290612220763,416,0.001,2086.55259454,2964,369810,124,-136.28663989257814,368755,,
,19.65958266210556,,0.001,,,370000,,-136.4388906402588,369755,2032.5315339993685,782.6
893.07,20.707174202919006,420,0.001,2086.6025265900007,2996,373810,124,-137.0663493041992,372755,,
,20.307764883995056,,0.001,,,375000,,-136.98796827697754,374755,2599.096699720132,1000.0
893.07,20.050579418182373,424,0.001,2050.25788902,3030,377810,124,-135.7818731994629,376755,,
,18.883005439281465,,0.001,,,380000,,-136.60706993103028,379755,2607.4261209305378,1000.0
893.07,18.67390497016907,428,0.001,2057.7359244199997,3065,381810,124,-136.91992137145996,380755,,
,18.50330900478363,,0.001,,,385000,,-137.41274003601075,384189,2711.3602842497116,1000.0
891.37,,432,,2085.6935943,3095,385244,124,,,,
892.38,19.275124114513396,436,0.001,2125.01585447,3119,389244,124,-137.82182102966308,388189,,
,20.913802798271178,,0.001,,,390000,,-138.41341764831543,389189,1921.4742467888786,824.1
892.38,20.94598773097992,440,0.001,2135.75412067,3154,393244,124,-139.29072061157225,392189,,
,18.436570301532747,,0.001,,,395000,,-139.5789507598877,394189,2362.1173354191938,1000.0
899.84,18.84240159845352,444,0.001,2158.26421173,3190,397244,124,-139.38351815795897,396189,,
,18.291856447855633,,0.001,,,400000,,-141.00274658203125,399204,2467.459326759167,903.3
899.7,,448,,2157.8061013599995,3219,400259,124,,,,
919.22,20.48351948261261,452,0.001,2209.31781108,3243,404259,124,-140.85252964782714,403204,,
,19.55873253726959,,0.001,,,405000,,-141.6484539489746,404204,2268.7315717024494,1000.0
919.22,19.492411311149596,456,0.001,2234.7053067200004,3278,408259,124,-141.82260144042968,407204,,
,18.4991468501091,,0.001,,,410000,,-142.27392810058595,409204,2411.557836486073,900.9
920.27,20.736103101730347,460,0.001,2262.98221927,3313,411956,124,-142.74227168273927,411204,,
,18.949561692237854,,0.001,,,415000,,-143.52213282775878,414052,2548.3274924483385,931.9
924.13,,464,,2275.93991683,3340,415107,124,,,,
924.13,18.881967173576356,468,0.001,2321.9584141100004,3365,419107,124,-144.71182704162598,418052,,
,18.79105388069153,,0.001,,,420000,,-144.66306988525392,419052,2554.487857080123,1000.0
931.31,19.825744981830624,472,0.001,2338.9032313400003,3399,422842,124,-144.7508086118776,421787,,
,17.473202102184295,,0.001,,,425000,,-146.04630027770997,424787,2200.2448058141395,830.3
941.16,19.466555735111235,476,0.001,2367.8071876800004,3433,426842,124,-146.6430476989746,425787,,
,18.217307267189025,,0.001,,,430000,,-146.47894039916991,429787,2413.4193951790685,902.6
941.16,,480,,2372.02460126,3468,430842,124,,,,
921.73,15.587579154968262,484,0.001,2321.4781319400004,3481,432899,124,-146.50918579101562,431844,,
,18.622424366950987,,0.001,,,435000,,-147.82198335266114,434844,2739.322847763798,1000.0
941.33,19.83143735408783,488,0.001,2374.89712902,3518,436899,124,-148.31829165649415,435844,,
,19.444934017181396,,0.001,,,440000,,-148.98934844970702,439844,2610.910191272572,994.2
941.33,,492,,2381.5202915100003,3554,440899,124,,,,
941.33,16.9544666056633,496,0.001,2428.11383629,3579,444899,124,-150.14318316650392,443844,,
,17.83041951751709,,0.001,,,445000,,-149.9962949371338,444844,2365.623841366806,902.5
934.14,17.18612610578537,500,0.001,2421.9879952499996,3610,448180,124,-150.40072535705568,447125,,
,19.023921655654906,,0.001,,,450000,,-150.77012577819823,449147,2490.0585498761225,1000.0
914.63,19.33338841342926,504,0.001,2367.30487468,3639,450229,123,-151.4599690246582,450147,,
914.51,16.667159497737885,508,0.001,2367.8549607000004,3653,453261,124,-148.91630840301514,452206,,
,18.708512098789214,,0.001,,,455000,,-152.107518157959,454206,2048.22046869006,803.8
914.51,19.467372484207154,512,0.001,2365.8105642100004,3688,457261,123,-152.65013354492189,456206,,
,17.92388310098648,,0.001,,,460000,,-152.70685537719726,459206,2581.1638033090157,1000.0
914.51,18.02460917377472,516,0.001,2373.87400282,3724,461261,123,-153.15124826049805,460206,,
,18.25978284549713,,0.001,,,465000,,-154.27010403442384,464206,2365.2703873804303,902.4
914.51,,520,,2378.73690082,3760,465261,123,,,,
914.51,19.68884911966324,524,0.001,2419.06175216,3785,469261,123,-153.94327392578126,468206,,
,19.117215007305145,,0.001,,,470000,,-154.0166300048828,469206,2468.3489808419718,1000.0
914.51,18.713443638324737,528,0.001,2423.3227427799998,3820,473261,123,-153.9733179321289,472206,,
,17.217054717063903,,0.001,,,475000,,-154.66461907958984,474206,2803.0200974101435,1000.0
920.17,17.207497839927672,532,0.001,2443.6739815100004,3857,477261,123,-155.48452349853517,476206,,
,17.117704070818963,,0.001,,,480000,,-154.76382813138,479780,2403.7311452888507,855.9
915.91,,536,,2440.00692477,3888,480835,123,,,,
915.91,17.897840368747712,540,0.001,2447.70400935,3913,484835,123,-156.6834952697754,483780,,
,17.68583486890793,,0.001,,,485000,,-155.89641384887696,484780,2481.126888084045,1000.0
908.06,18.1970607175827,544,0.001,2401.0589129399996,3946,488050,123,-156.62168243408203,487780,,
,19.433947201251982,,0.001,,,490000,,-157.13706994628907,489020,2355.8089521840216,887.3
908.16,17.9850834107399,548,0.001,2353.07129635,3971,491075,123,-156.32664157104492,490020,,
905.77,18.547176413059233,552,0.001,2354.06154791,3994,494836,123,-156.15394897460936,493781,,
,19.286041178703307,,0.001,,,495000,,-156.14858618164064,494781,2057.4692377139118,901.9
896.78,17.642244811105257,556,0.001,2329.91574821,4024,497937,123,-156.72101967007507,496882,,
,18.088116975784303,,0.001,,,500000,,-157.10874606323242,499772,2535.031206403789,1000.0
888.71,,560,,2307.81453415,4053,500827,123,,,,
897.2,19.463781570911408,564,0.001,2330.03145521,4078,504827,123,-157.4312742614746,503772,,
,19.96243588399887,,0.001,,,505000,,-157.92256422424316,504772,2387.0120046284515,1000.0
897.2,19.35317237329483,568,0.001,2336.6438617300005,4114,508827,123,-158.40482000732422,507772,,
,18.274071874141693,,0.001,,,510000,,-158.9158779296875,509772,2773.4899166954447,1000.0
899.85,18.577626292705535,572,0.001,2355.38997786,4151,512827,123,-157.74589569091796,511772,,
,19.477487037181856,,0.001,,,515000,,-159.12549429321288,514772,2817.476912072977,1000.0
899.85,21.163153700351714,576,0.001,2358.35108803,4187,516827,123,-158.48144714355467,515772,,
,20.17316711950302,,0.001,,,520000,,-159.24586978149415,519772,2473.8930692858876,900.9
899.85,,580,,2360.37147535,4223,520827,123,,,,
919.28,19.51811878299713,584,0.001,2417.50126991,4247,524827,123,-160.21416763305663,523772,,
,19.586458427906038,,0.001,,,525000,,-160.09148391723633,524772,1828.6519039766747,753.8
909.46,17.987742262363433,588,0.001,2393.2759800599997,4273,527845,123,-160.34444500732423,526790,,
,18.5245061044693,,0.001,,,530000,,-161.3988914794922,529790,2260.6873392010107,866.2
909.46,17.013383514881134,592,0.001,2395.2227236,4308,531845,123,-161.07599072265626,530790,,
,18.652737957954407,,0.001,,,535000,,-162.31104837036133,534790,2357.1795842120687,940.0
909.46,,596,,2401.3684660599997,4343,535845,123,,,,
906.81,18.161168536186217,600,0.001,2396.7369545,4367,538861,123,-163.14412768554686,538790,,
,16.967103353500367,,0.001,,,540000,,-163.16721585083008,539806,2741.884315139521,1000.0
926.32,20.774630980491636,604,0.001,2464.90324929,4398,542861,123,-163.26896286010742,541806,,
,19.12022032022476,,0.001,,,545000,,-163.97273300170897,544806,2678.845052381791,965.5
936.0,19.60991310930252,608,0.001,2500.5885913300003,4434,546861,123,-163.75337689208985,545806,,
,17.002466901302338,,0.001,,,550000,,-165.00245123291015,549806,2319.426871836977,832.7
936.0,,612,,2509.3935618499995,4468,550861,123,,,,
936.0,19.219082318782807,616,0.001,2518.32964488,4492,554861,123,-165.10049325561525,553806,,
,18.250246375083922,,0.001,,,555000,,-165.5984044494629,554806,2259.437609848706,803.1
936.0,16.574541895866393,620,0.001,2523.34834823,4527,558861,123,-166.2364939880371,557806,,
,18.088399562358855,,0.001,,,560000,,-166.25117974853515,559806,2544.065571305959,1000.0
930.11,19.73065818429283,624,0.001,2514.49978405,4559,562272,123,-165.4497408238853,561217,,
,17.063199936389925,,0.001,,,565000,,-165.60117904663085,564217,2695.347920736624,902.0
930.11,16.51370882368088,628,0.001,2501.52689186,4594,566272,123,-166.17097814941405,565217,,
,17.390443793773652,,0.001,,,570000,,-167.0864364013672,569217,2798.2352246085184,952.1
930.11,,632,,2503.1248963200005,4629,570272,123,,,,
924.53,16.28029943752289,636,0.001,2490.29710457,4646,573288,123,-167.6836427307129,572233,,
,17.273435954570772,,0.001,,,575000,,-167.78047689819337,574233,2376.433010927496,901.5
924.53,16.866657037734985,640,0.001,2494.9371350600004,4680,577288,123,-167.99050106811524,576233,,
,16.706976861953734,,0.001,,,580000,,-168.66546383666991,579233,2986.0188338663893,1000.0
932.38,15.971490458011628,644,0.001,2555.0451679300004,4715,581288,123,-169.00668756103516,580233,,
,16.80837774991989,,0.001,,,585000,,-169.53686572265624,584233,2841.699379281793,985.9
942.13,,648,,2642.0178113200004,4751,585288,123,,,,
944.52,17.56202165603638,652,0.001,2653.9250559300003,4776,589288,123,-169.6702731323242,588233,,
,17.89119599723816,,0.001,,,590000,,-170.114951171875,589483,2639.643894735619,901.8
946.01,18.374727180480956,656,0.001,2663.05392362,4806,592538,123,-169.97052545166017,591483,,
,17.01748683309555,,0.001,,,595000,,-170.1234425048828,594483,2865.169125640858,1000.0
957.11,16.324008922576905,660,0.001,2702.1746853299996,4843,596538,123,-170.53384826660155,595483,,
,15.356884187698364,,0.001,,,600000,,-170.952771484375,599483,2669.4035635408013,900.8
957.11,,664,,2716.2006095300003,4878,600538,123,,,,
951.53,16.686987372398377,668,0.001,2691.8732526699996,4901,603980,123,-171.33675466918945,603483,,
,16.6321112036705,,0.001,,,605000,,-171.48131341552735,604925,2662.3216874225996,905.1
951.53,16.667330017089842,672,0.001,2691.9889549399995,4933,607980,123,-171.27476654052734,606925,,
,16.77148366212845,,0.001,,,610000,,-172.20525927734374,609925,2993.843397256057,1000.0
951.53,17.19661777448654,676,0.001,2698.1115037899995,4968,611980,123,-171.66272549438477,610925,,
,16.416225861811984,,0.001,,,615000,,-173.46893427922174,614132,2865.361445250921,1000.0
943.6,,680,,2680.3180898399996,5000,615187,123,,,,
928.12,16.64148219060898,684,0.001,2641.22075166,5019,617639,123,-172.01722219848634,617432,,
,18.298154063224793,,0.001,,,620000,,-172.7551877746582,619584,2527.254188896157,900.9
937.94,18.213739822864532,688,0.001,2676.1108101599993,5050,621639,123,-172.78045596313476,620584,,
,17.30053800201416,,0.001,,,625000,,-173.1755506286621,624584,2991.6869185620917,1000.0
932.87,,692,,2665.4928274599997,5085,625132,122,,,,
932.87,17.231441174030305,696,0.001,2668.6697650499996,5107,629132,123,-173.17465771484376,628077,,
,17.854338242530822,,0.001,,,630000,,-173.6905739135742,629077,2576.866146334447,900.8
942.71,18.64589582157135,700,0.001,2698.8839951100003,5142,633132,123,-174.03668338012696,632077,,
,19.044075868606566,,0.001,,,635000,,-174.04801605224608,634077,2932.6515021335335,1000.0
942.71,17.638829237937927,704,0.001,2702.55535141,5179,637132,123,-174.14959463500978,636077,,
,17.299025988578798,,0.001,,,640000,,-174.39007717895507,639122,2960.846426167898,1000.0
933.16,,708,,2677.4899238699995,5209,640177,122,,,,
933.16,18.953457463264467,712,0.001,2683.0701661599996,5233,644177,123,-174.28477865600587,643122,,
,18.079995535850525,,0.001,,,645000,,-174.60262890625,644122,1722.4060024975101,803.2
