train/learning_rate,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
0.001,571429,570370,1644.36874914,80,592,7126,6.270412510633468,-146.53864184570313,990.08,,
0.001,575000,574370,,,,,6.178266645431519,-147.57547122192383,,1000.0,2260.14278611131
,575429,,1644.6451159599997,80,596,7183,,,990.08,,
0.001,579429,578370,1624.9022047,80,600,7220,7.1058213639259336,-147.3701519470215,990.08,,
0.001,580000,579370,,,,,6.2626350569725036,-147.25501452636718,,1000.0,2362.8514952266587
0.001,583429,582370,1630.9631073,80,604,7268,6.772078924655914,-147.56551919555665,990.08,,
0.001,585000,584370,,,,,7.0248331751823425,-148.4791787414551,,1000.0,2163.296207996848
0.001,587429,586370,1631.80791121,80,608,7317,7.031225734949112,-148.61535662841797,990.08,,
0.001,590000,589370,,,,,7.133351197719574,-148.90368908691406,,1000.0,2343.561396441696
0.001,591429,590370,1659.5403773499995,80,612,7365,6.759468887090683,-149.1569403076172,990.08,,
0.001,595000,594370,,,,,7.050679164648056,-149.81560388183593,,1000.0,2355.2801367299803
,595429,,1663.70613595,80,616,7412,,,990.08,,
0.001,599429,598370,1687.3070001799997,80,620,7445,7.4676496946811675,-149.99700634765625,990.08,,
0.001,600000,599370,,,,,7.4789685051441195,-150.20247341918946,,1000.0,2355.4270246936007
0.001,603429,602370,1689.9574267500002,80,624,7494,6.720426725625992,-150.6722048034668,990.08,,
0.001,605000,604370,,,,,7.137678272724152,-150.80372381591798,,1000.0,2319.115460388735
0.001,607429,606370,1712.1269734000002,80,628,7542,7.395409903049469,-151.32981243896484,990.08,,
0.001,610000,609370,,,,,7.602387192010879,-151.70168103027345,,1000.0,2367.405407301895
0.001,611429,610370,1714.1599992300003,80,632,7590,7.65180421423912,-152.23973684692382,990.08,,
0.001,615000,614370,,,,,8.11733668088913,-153.1386702270508,,1000.0,2440.827702555433
,615429,,1716.10223654,80,636,7638,,,990.08,,
0.001,619429,618370,1753.5287810900004,80,640,7671,8.276150221824645,-154.64318948364257,990.08,,
0.001,620000,619370,,,,,9.416038345098496,-154.6099040222168,,1000.0,2394.1213695233687
0.001,623429,622370,1802.55256897,80,644,7719,9.697217034816742,-154.95417840576172,990.08,,
0.001,625000,624874,,,,,9.636356133790244,-155.25930919344464,,1000.0,2416.584193325555
0.001,626933,625874,1829.68963543,80,648,7763,9.2345396463871,-155.81179360961914,985.12,,
0.001,630000,629874,,,,,10.292689163208008,-158.4120115966797,,902.3,1915.1357744500042
,630933,,1798.05075745,80,652,7810,,,985.12,,
0.001,634933,633874,1862.3132627900004,80,656,7842,12.313564545631408,-158.68926983642578,985.12,,
0.001,635000,634874,,,,,12.633956837654114,-159.01351510620117,,1000.0,2268.7152258665883
0.001,638933,637874,1888.0161368800002,80,660,7889,11.16261427617073,-156.4979542236328,995.04,,
0.001,640000,639874,,,,,10.933100175380707,-156.34576364135742,,1000.0,2274.711589077674
0.001,642933,641874,1937.0079903000003,80,664,7937,13.732381579875947,-157.97559274291993,995.04,,
0.001,645000,644874,,,,,14.794155819892882,-160.390174407959,,1000.0,-2.8673521879129114
0.001,646933,645874,1970.6852450699996,81,668,7985,14.928037105083465,-161.28777285766603,995.04,,
0.001,650000,649874,,,,,12.124402666568756,-161.22716534423827,,1000.0,1915.7435018911958
,650933,,2009.76398935,81,672,8033,,,995.04,,
0.001,654933,653874,2043.0617633099996,81,676,8066,10.932945475578308,-161.1765641784668,995.04,,
0.001,655000,654874,,,,,10.823969153881073,-161.67178555297852,,905.7,792.9055993707777
0.001,658933,657874,2020.1225076499998,81,680,8112,11.307644580364228,-160.82752743530273,995.04,,
0.001,660000,659874,,,,,10.383673619508743,-159.90620721435548,,1000.0,-489.0931752243778
