time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
,90000,,,,,0.9425641298294067,0.2,0.022423932,0.21904296875,430,-0.07422568766342011,723774.5,0.0003,-0.00018358230590820312,1428753.222265625,-23.116317415237425,1000.0,61399.95354862213
44,90112,763,1000.0,55079.586186399996,118,,,,,,,,,,,,,
45,92160,767,1000.0,55408.44487101086,120,0.9419284462928772,0.2,0.024885975,0.243798828125,440,-0.07553847828530706,673332.0625,0.0003,1.9669532775878906e-06,1261355.6888671876,-23.100112694501878,,
46,94208,771,1000.0,55714.00617260639,122,0.94144606590271,0.2,0.026579957,0.251171875,450,-0.07948348525678739,834300.0625,0.0003,1.6987323760986328e-05,1397116.95,-23.094136875867843,,
,95000,,,,,0.9408164024353027,0.2,0.02197541,0.2291015625,460,-0.0701050140458392,611270.875,0.0003,1.8417835235595703e-05,1267244.319921875,-23.08125496506691,1000.0,60391.04132919312
47,96256,805,1000.0,56031.6342213125,119,,,,,,,,,,,,,
48,98304,810,1000.0,56437.10825791837,121,0.9391196966171265,0.2,0.027082395,0.252099609375,470,-0.07986129627679475,612707.375,0.0003,-2.002716064453125e-05,1272339.622265625,-23.059860754013062,,
,100000,,,,,0.9366631507873535,0.2,0.021822356,0.20634765625,480,-0.06352014411531855,741843.125,0.0003,-0.0005147457122802734,1515327.42109375,-23.01991614103317,1000.0,60704.93047637939
49,100352,844,1000.0,56743.54510124001,118,,,,,,,,,,,,,
50,102400,848,1000.0,57193.431489359995,120,0.9358286261558533,0.2,0.025718179,0.2548828125,490,-0.07533901280257851,620906.375,0.0003,-0.00047981739044189453,1294246.6375,-22.994730484485626,,
51,104448,853,1000.0,57632.65552268,122,0.9341070652008057,0.2,0.03041944,0.2947265625,500,-0.08258700487203896,417280.25,0.0003,-0.00047266483306884766,809484.739453125,-22.96749403476715,,
,105000,,,,,0.9346131086349487,0.2,0.025720097,0.258447265625,510,-0.07759032815811225,624428.375,0.0003,0.0001748800277709961,1278802.3890625,-22.95849143266678,1000.0,61661.06358222962
52,106496,887,1000.0,58398.407828439995,119,,,,,,,,,,,,,
53,108544,892,1000.0,58979.91151969001,121,0.9331079125404358,0.2,0.022907235,0.222998046875,520,-0.06969976616965141,722888.3125,0.0003,3.1888484954833984e-05,1403942.458984375,-22.94655323624611,,
,110000,,,,,0.9337430596351624,0.2,0.028204337,0.25458984375,530,-0.07580349873169326,693306.875,0.0003,-0.0003629922866821289,1347833.176171875,-22.945829027891158,1000.0,62370.53362312317
54,110592,926,1000.0,59554.79064731001,119,,,,,,,,,,,,,
55,112640,931,1000.0,60193.01625323,120,0.9329417943954468,0.2,0.025891816,0.251904296875,540,-0.074133618970518,550660.8125,0.0003,7.766485214233398e-05,1209836.32890625,-22.938320833444596,,
56,114688,936,1000.0,60835.55267047,122,0.9317373633384705,0.2,0.023691185,0.22685546875,550,-0.07034779250097926,680214.9375,0.0003,-1.1920928955078125e-07,1432786.869921875,-22.925695997476577,,
,115000,,,,,0.9308252334594727,0.2,0.025164355,0.23798828125,560,-0.07109324504854157,744206.3125,0.0003,4.00543212890625e-05,1312860.165234375,-22.894414919614793,1000.0,60512.0189163208
57,116736,969,1000.0,61615.401033819995,120,,,,,,,,,,,,,
58,118784,974,1000.0,62214.82757952,121,0.9274677038192749,0.2,0.02716952,0.2583984375,570,-0.07827785855333787,798048.375,0.0003,-8.344650268554688e-07,1833668.950390625,-22.855380594730377,,
,120000,,,,,0.9253851771354675,0.2,0.025691811,0.244921875,580,-0.06710644736594987,681961.0625,0.0003,5.364418029785156e-07,1331001.1,-22.803195661306383,1000.0,60506.00234565735
59,120832,1006,1000.0,62809.021851159996,120,,,,,,,,,,,,,
60,122880,1011,1000.0,63223.26628719999,121,0.9249569177627563,0.2,0.022306554,0.22431640625,590,-0.06536030432325787,660927.5,0.0003,2.86102294921875e-06,1420367.535546875,-22.786332726478577,,
61,124928,1015,1000.0,63723.47301185001,122,0.9241971969604492,0.2,0.034949634,0.324072265625,600,-0.09041660464718007,532813.75,0.0003,0.00012439489364624023,988768.7478515625,-22.777730602025986,,
,125000,,,,,0.9228171110153198,0.2,0.027562497,0.253515625,610,-0.07062450567900669,626200.6875,0.0003,0.00010371208190917969,1302748.712890625,-22.749199676513673,1000.0,59744.00373020172
62,126976,1048,1000.0,64272.95501261001,121,,,,,,,,,,,,,
63,129024,1052,1000.0,65071.09755127001,122,0.9228728413581848,0.2,0.028340764,0.2759765625,620,-0.07355385906994343,565228.8125,0.0003,-0.0002162456512451172,1314876.534765625,-22.738431721925735,,
,130000,,,,,0.9218167662620544,0.2,0.02696038,0.26083984375,630,-0.07311775835696607,766900.6875,0.0003,-2.9802322387695312e-06,1473621.48671875,-22.733933275938035,1000.0,60195.71271209717
64,131072,1086,1000.0,65336.268471250005,120,,,,,,,,,,,,,
65,133120,1090,1000.0,65836.32456621001,122,0.9205830693244934,0.2,0.03109882,0.295947265625,640,-0.08433847313863226,543441.0625,0.0003,5.3942203521728516e-05,1172079.3171875,-22.712035685777664,,
,135000,,,,,0.9194834232330322,0.2,0.024756491,0.22509765625,650,-0.06140343546576332,702781.625,0.0003,6.556510925292969e-07,1425923.404296875,-22.689592903852464,1000.0,60248.01362781525
66,135168,1123,1000.0,66060.09842406,120,,,,,,,,,,,,,
67,137216,1128,1000.0,66449.87999868,121,0.9172724485397339,0.2,0.037077352,0.3212890625,660,-0.08569459661084693,501492.3125,0.0003,0.00010508298873901367,1030807.2318359375,-22.659554022550584,,
68,139264,1132,1000.0,66942.99908481,122,0.9163299202919006,0.2,0.026046224,0.25966796875,670,-0.06880695968866349,574068.375,0.0003,-2.2649765014648438e-06,1242906.890234375,-22.63401825428009,,
,140000,,,,,0.9150561094284058,0.2,0.027915206,0.261572265625,680,-0.07126959986635484,706364.875,0.0003,0.0,1425153.57109375,-22.61266084909439,1000.0,60794.15715885162
69,141312,1166,1000.0,67231.60573622,121,,,,,,,,,,,,,
70,143360,1170,1000.0,67637.56005024999,122,0.9128025770187378,0.2,0.03415597,0.29404296875,690,-0.07669982875231654,610854.0,0.0003,2.8789043426513672e-05,1146372.3384765624,-22.572688621282577,,
,145000,,,,,0.9120503067970276,0.2,0.030500034,0.2609375,700,-0.06866527501842938,687395.6875,0.0003,1.430511474609375e-06,1437038.746484375,-22.549711084365846,1000.0,60088.548389816286
71,145408,1202,1000.0,67989.31071095,120,,,,,,,,,,,,,
72,147456,1207,1000.0,68480.57176584999,122,0.9104037880897522,0.2,0.030665422,0.255419921875,710,-0.06740061719610821,665338.1875,0.0003,5.960464477539063e-08,1389206.35703125,-22.52688534259796,,
73,149504,1211,1000.0,68589.62461664999,123,0.9101413488388062,0.2,0.030084806,0.273974609375,720,-0.07083030527282971,735744.125,0.0003,2.8014183044433594e-06,1416023.68828125,-22.51150413751602,,
,150000,,,,,0.9094532132148743,0.2,0.037577517,0.360205078125,730,-0.08331331523368135,379573.5625,0.0003,2.682209014892578e-06,795203.5419921875,-22.501149773597717,1000.0,61540.269627189635
74,151552,1243,1000.0,68822.40565992,121,,,,,,,,,,,,,
75,153600,1247,1000.0,69133.27992714,123,0.908112108707428,0.2,0.033057485,0.282373046875,740,-0.07656983135093469,728876.1875,0.0003,1.9669532775878906e-06,1448819.80078125,-22.482834255695344,,
,155000,,,,,0.9059296250343323,0.2,0.030877938,0.303173828125,750,-0.07886348982865457,744488.625,0.0003,4.303455352783203e-05,1252177.4912109375,-22.446458435058595,1000.0,62062.31925258636
76,155648,1280,1000.0,69421.56183137,121,,,,,,,,,,,,,
77,157696,1284,1000.0,69794.45303197998,122,0.9037862420082092,0.2,0.034227464,0.29697265625,760,-0.08237031328608282,713810.25,0.0003,-1.1920928955078125e-07,1375575.384375,-22.405857837200166,,
78,159744,1288,1000.0,70010.63193060999,123,0.903430163860321,0.2,0.031626467,0.29287109375,770,-0.07567663949739653,603650.9375,0.0003,1.1920928955078125e-07,1347364.03046875,-22.386822628974915,,
,160000,,,,,0.9020760655403137,0.2,0.034047086,0.305029296875,780,-0.08161093602539041,665506.9375,0.0003,0.00010663270950317383,1346798.57890625,-22.36651946902275,1000.0,63185.634379577634
79,161792,1322,1000.0,70171.08664395,122,,,,,,,,,,,,,
80,163840,1326,1000.0,70472.41744981,123,0.9004868865013123,0.2,0.035524793,0.307275390625,790,-0.07936834732827265,629714.25,0.0003,-2.384185791015625e-07,1261153.6677734375,-22.340523153543472,,
,165000,,,,,0.8994432091712952,0.2,0.034296762,0.308056640625,800,-0.07846769015013706,632606.8125,0.0003,0.0,1280364.86171875,-22.31456214785576,1000.0,63781.00498485565
81,165888,1358,1000.0,70598.11827062,122,,,,,,,,,,,,,
82,167936,1362,1000.0,70854.01855398,123,0.8980994820594788,0.2,0.034976665,0.320068359375,810,-0.08211441014427692,612320.75,0.0003,3.3020973205566406e-05,1121889.6423828125,-22.29217334985733,,
83,169984,1367,1000.0,70871.11476498,124,0.8989768624305725,0.2,0.03539773,0.284619140625,820,-0.07038624222041108,693704.8125,0.0003,1.1920928955078125e-07,1423420.092578125,-22.29246989488602,,
,170000,,,,,0.8974466323852539,0.2,0.03896763,0.343994140625,830,-0.08500304680783302,575915.875,0.0003,4.07099723815918e-05,1175885.209375,-22.279890012741088,1000.0,62004.70521221161
84,172032,1400,1000.0,71200.74331727,122,,,,,,,,,,,,,
