time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
412,181,3.53,1502,8,21.31907175,1402,3.63248340288798,0.001,-10.569735050201416,,
416,181,3.52,1516,8,21.234574810000005,1416,3.779972791671753,0.001,-11.514769077301025,,
420,181,3.53,1531,8,21.316709259999996,1432,3.581426739692688,0.001,-9.798908233642578,,
424,181,3.52,1544,8,21.23248031,1445,4.1238657633463545,0.001,-10.5133056640625,,
428,181,3.53,1558,8,21.318524850000003,1458,3.093166987101237,0.001,-11.8081636428833,,
432,181,3.52,1572,8,21.23087469,1473,3.81290864944458,0.001,-10.512773513793945,,
436,180,3.52,1586,8,21.232001569999998,1487,3.8410012125968933,0.001,-11.164295673370361,,
440,180,3.52,1599,8,21.231871800000004,1500,5.391724109649658,0.001,-9.781846523284912,,
444,180,3.53,1613,8,21.31677521,1514,3.512488067150116,0.001,-10.146196365356445,,
448,180,3.51,1626,9,21.147046240000005,1527,3.4007089138031006,0.001,-10.323112487792969,,
452,180,3.51,1641,9,21.146027789999998,1541,2.9941487908363342,0.001,-10.335848331451416,,
456,179,3.51,1654,9,21.147215959999997,1555,3.718171755472819,0.001,-10.515597343444824,,
460,179,3.51,1669,9,21.14642164,1569,4.177897751331329,0.001,-9.73085641860962,,
464,179,3.51,1682,9,21.14561338,1582,4.235589186350505,0.001,-10.658814907073975,,
468,179,3.51,1695,9,21.14492526,1596,4.608232816060384,0.001,-9.86083173751831,,
472,179,3.51,1708,9,21.142714539999997,1609,2.7077314058939614,0.001,-10.343884468078613,,
476,179,3.49,1721,9,20.973331979999998,1622,3.2941391468048096,0.001,-10.227043628692627,,
480,178,3.49,1735,9,20.97466444,1635,4.336514314015706,0.001,-11.014388084411621,,
484,178,3.51,1750,9,21.14427627,1650,4.570991635322571,0.001,-11.256574153900146,,
488,178,3.51,1764,9,21.143749309999993,1664,4.590987801551819,0.001,-11.326826095581055,,
492,178,3.51,1780,9,21.14601877,1680,3.4746986031532288,0.001,-10.888952732086182,,
496,178,3.5,1795,10,21.063697119999997,1695,4.820198655128479,0.001,-11.619037628173828,,
500,178,3.49,1809,10,20.979594749999997,1709,3.33538826306661,0.001,-12.29014778137207,,
504,178,3.49,1823,10,20.982941819999997,1723,4.050431787967682,0.001,-10.832942962646484,,
508,177,3.5,1838,10,21.06629452,1738,3.491839110851288,0.001,-11.069175243377686,,
512,177,3.51,1853,10,21.14606368,1753,2.9390077590942383,0.001,-11.969094276428223,,
516,177,3.52,1868,10,21.23279873,1768,4.035029888153076,0.001,-11.084088325500488,,
520,177,3.52,1883,10,21.233457670000004,1783,3.541405737400055,0.001,-10.592170238494873,,
524,177,3.52,1896,10,21.236478110000004,1797,3.1433273951212564,0.001,-10.884827613830566,,
528,177,3.52,1910,10,21.232790520000002,1810,3.277857542037964,0.001,-11.402980327606201,,
532,177,3.54,1926,10,21.401780359999997,1826,3.4687418937683105,0.001,-11.397337436676025,,
536,177,3.56,1942,10,21.568576410000002,1842,3.7374778389930725,0.001,-11.060924053192139,,
540,177,3.57,1956,11,21.651663160000002,1857,3.8970390955607095,0.001,-11.276267051696777,,
544,177,3.57,1970,11,21.653047949999994,1871,2.7110203901926675,0.001,-11.540574073791504,,
548,177,3.58,1984,11,21.738509160000003,1885,4.093210856119792,0.001,-9.175599098205566,,
,,,2000,,,1900,3.0614295601844788,0.001,-11.179092407226562,3.5,21.106485509872435
552,176,3.59,2000,11,21.8243689,,,,,,
556,176,3.6,2014,11,21.910107770000003,1915,3.021537482738495,0.001,-11.476403713226318,,
560,176,3.59,2028,11,21.82818456,1929,3.8753575682640076,0.001,-10.925150871276855,,
564,176,3.61,2043,11,21.992479190000005,1943,4.1150800585746765,0.001,-10.288339138031006,,
