time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
120,15790,1896940,126460,15.0,70.91238912,0.0074526345357298854,-35.85472706386021,0.001,1896827,,
120,15790,1897000,126464,15.0,70.91073795,0.0058737720362842085,-35.287388937813894,0.001,1896887,,
120,15790,1897060,126468,15.0,70.90807939999999,0.005977289254466693,-35.3144416809082,0.001,1896947,,
120,15791,1897120,126472,15.0,70.91019933000001,0.006470395904034376,-35.2983387538365,0.001,1897007,,
120,15791,1897180,126476,15.0,70.90764039,0.005891715626542767,-35.670877184186665,0.001,1897067,,
120,15791,1897240,126480,15.0,70.90700633,0.01136941739047567,-34.91538102286203,0.001,1897127,,
120,15792,1897300,126484,15.0,70.91257797999998,0.0068022295832633976,-35.18686131068638,0.001,1897187,,
120,15792,1897360,126488,15.0,70.91234696000001,0.008757998266567786,-36.300720759800505,0.001,1897247,,
120,15792,1897420,126492,15.0,70.91207955,0.011596248826632898,-37.87439455304827,0.001,1897307,,
120,15792,1897480,126496,15.0,70.90876224,0.0075202928856015205,-35.88694681440081,0.001,1897367,,
120,15793,1897540,126500,15.0,70.91120597999999,0.008590369221443931,-34.78334535871233,0.001,1897427,,
120,15793,1897600,126504,15.0,70.91060963999999,0.006617478281259537,-34.6822885785784,0.001,1897487,,
120,15793,1897660,126508,15.0,70.90253695,0.00878257118165493,-36.10419355119978,0.001,1897547,,
120,15794,1897720,126512,15.0,70.90362323999997,0.0062112684982518354,-35.33012662615095,0.001,1897607,,
120,15794,1897780,126516,15.0,70.90412262000001,0.007002006812642018,-35.161127362932476,0.001,1897667,,
120,15794,1897840,126520,15.0,70.89759278999999,0.007685610310484966,-36.6282708304269,0.001,1897727,,
120,15795,1897900,126524,15.0,70.89909079,0.009235401513675849,-35.30091912405832,0.001,1897787,,
120,15795,1897960,126528,15.0,70.90169259999999,0.008877787552773953,-35.485755920410156,0.001,1897847,,
120,15795,1898020,126532,15.0,70.90262217,0.0063413970172405245,-35.652160099574495,0.001,1897907,,
