time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
240000,,8.444640465259551,0.001,,239412,-127.74497087097168,,,,2271.1510179608476,901.6
243412,81,9.237311028003692,0.001,982.25,242412,-129.12220472717286,2157.1444172399997,256,2983,,
245000,,9.071160913467407,0.001,,244412,-130.08040370178222,,,,2086.223251544207,802.6
246428,81,9.024996513843536,0.001,972.41,246412,-131.17576110839843,2168.7020621600004,260,3028,,
250000,,9.5677155919075,0.001,,249428,-132.54096096801757,,,,2563.8568356210367,1000.0
250428,81,,,972.41,,,2203.7945583200003,264,3070,,
253454,81,10.261674301624298,0.001,962.67,252454,-134.24271450805665,2203.66735403,268,3095,,
255000,,9.974164700031281,0.001,,254454,-135.0889476928711,,,,2491.2816382446326,1000.0
257454,81,10.37754279756546,0.001,962.67,256454,-135.82156210327148,2240.8265255300003,272,3146,,
260000,,9.958050105094909,0.001,,259454,-137.2597721862793,,,,2096.055485764332,1000.0
261454,81,10.025059846401215,0.001,962.67,260454,-137.57341261291504,2279.15805217,276,3197,,
265000,,9.429002227783203,0.001,,264454,-139.32581764221192,,,,2858.0945873519404,1000.0
265454,81,,,962.67,,,2307.31688472,280,3244,,
269454,82,10.178382237911224,0.001,962.67,268454,-141.08562783813477,2337.58572553,284,3280,,
270000,,9.842892042636871,0.001,,269454,-141.62033770751952,,,,2423.82138057258,926.6
273454,82,9.497283791542053,0.001,962.67,272454,-142.9489411010742,2368.75441537,288,3330,,
275000,,9.898649730682372,0.001,,274454,-144.0906916809082,,,,2722.978632575646,1000.0
277454,82,9.603054775714874,0.001,962.67,276454,-144.691071685791,2398.4006486199996,292,3381,,
280000,,10.019209923267365,0.001,,279454,-145.9586319580078,,,,2867.3260873142162,1000.0
281454,82,9.954876732349396,0.001,962.67,280454,-146.34980187988282,2421.32047135,296,3431,,
285000,,9.421273905277252,0.001,,284454,-147.82498611450194,,,,2695.1676980249586,1000.0
