train/critic_loss,train/ent_coef,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,time/time_elapsed,train/n_updates,time/fps,eval/mean_reward,eval/mean_ep_length
319.551513671875,0.08627358824014664,198382,-376.6051330566406,0.0003,241.29842809,47.75,-2.5461227893829346,4736,3108,198281,63,,
693.1427612304688,0.0860559344291687,198595,-372.3385009765625,0.0003,241.81359331,47.91,5.958168029785156,4740,3112,198494,63,,
297.3886413574219,0.08529860526323318,198788,-380.705322265625,0.0003,241.14401249,47.9,-1.9671825170516968,4744,3115,198687,63,,
256.9420471191406,0.08612421900033951,198987,-380.1715087890625,0.0003,242.00368658999997,48.1,-1.8212001323699951,4748,3118,198886,63,,
840.873046875,0.0856979489326477,199185,-373.16058349609375,0.0003,240.96611142999998,48.07,-3.310080051422119,4752,3121,199084,63,,
603.8531494140625,0.08331117779016495,199378,-376.03887939453125,0.0003,241.46468456000002,48.16,-1.6663614511489868,4756,3123,199277,63,,
660.3787231445312,0.08225232362747192,199567,-369.675048828125,0.0003,241.28908698000004,48.13,1.6115684509277344,4760,3126,199466,63,,
708.23974609375,0.08161061257123947,199811,-377.94488525390625,0.0003,243.76573552000002,48.66,-2.4462389945983887,4764,3130,199710,63,,
317.62841796875,0.0822853147983551,200000,-372.540283203125,0.0003,,,-1.8989675045013428,,,199899,,269.0551686912775,52.6
622.0966796875,0.08277799934148788,200062,-371.00689697265625,0.0003,246.77017713,49.32,2.6320643424987793,4768,3137,199961,63,,
495.0413818359375,0.08484946936368942,200284,-370.0430908203125,0.0003,247.63590739000003,49.59,0.6496789455413818,4772,3140,200183,63,,
566.2728271484375,0.08326031267642975,200525,-369.6628112792969,0.0003,245.58354838000005,49.21,-1.4869413375854492,4776,3144,200424,63,,
1222.154052734375,0.08059700578451157,200719,-368.0726013183594,0.0003,246.31119574000004,49.41,0.39955294132232666,4780,3147,200618,63,,
641.04150390625,0.08069902658462524,200952,-362.26239013671875,0.0003,250.97714202999995,50.32,4.496210098266602,4784,3151,200851,63,,
472.61981201171875,0.08052007853984833,201161,-369.3720397949219,0.0003,251.93161867999999,50.48,-2.094209671020508,4788,3155,201060,63,,
785.8485717773438,0.08205907046794891,201391,-363.6189270019531,0.0003,256.21867303999994,51.33,5.948275566101074,4792,3158,201290,63,,
422.3604736328125,0.08303849399089813,201654,-363.5313720703125,0.0003,260.53372025,52.17,-0.29544520378112793,4796,3162,201553,63,,
612.0137939453125,0.08098858594894409,201920,-362.029052734375,0.0003,261.56340635999993,52.42,1.3525772094726562,4800,3165,201819,63,,
333.81475830078125,0.08085854351520538,202243,-364.8815612792969,0.0003,265.11871867,53.15,-0.07360637187957764,4804,3171,202142,63,,
380.416015625,0.08044059574604034,202473,-365.92919921875,0.0003,268.87300400000004,53.79,-0.8870795965194702,4808,3174,202372,63,,
386.0256652832031,0.08079437911510468,202742,-364.07220458984375,0.0003,276.22260701,55.24,-4.792353630065918,4812,3178,202641,63,,
468.065673828125,0.08109301328659058,203018,-355.18121337890625,0.0003,279.45417404,55.94,-0.25037431716918945,4816,3182,202917,63,,
376.3995666503906,0.07898418605327606,203260,-369.1317138671875,0.0003,280.56041699,56.14,-2.438427448272705,4820,3186,203159,63,,
346.60028076171875,0.07749611139297485,203518,-353.8023986816406,0.0003,283.09133485999996,56.6,4.171045780181885,4824,3190,203417,63,,
412.5411376953125,0.07826732099056244,203705,-360.53179931640625,0.0003,284.3815702499999,56.82,-3.8185958862304688,4828,3193,203604,63,,
353.48974609375,0.07857316732406616,204029,-358.8296813964844,0.0003,292.02712334000006,58.38,-1.0491173267364502,4832,3198,203928,63,,
474.822021484375,0.07894987612962723,204281,-354.2294921875,0.0003,295.08672222,58.99,-4.742571830749512,4836,3202,204180,63,,
969.4610595703125,0.07895123213529587,204590,-357.0325927734375,0.0003,300.04194811,59.95,2.319732666015625,4840,3207,204489,63,,
401.7186584472656,0.07925999164581299,204754,-356.34375,0.0003,299.09759258,59.66,0.015638351440429688,4844,3209,204653,63,,
601.7277221679688,0.0781526267528534,204987,-345.6973876953125,0.0003,300.8060907799999,60.0,9.05054759979248,4848,3213,204886,63,,
