rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
62.16344661,9191,13.82,1052503,76168,114,0.001,0.46103589822139057,-32.18662806919643,1052396,,
62.203941920000005,9191,13.83,1052559,76172,114,0.001,0.40854447867189136,-32.37844984872,1052452,,
62.20259117,9191,13.83,1052615,76176,114,0.001,0.38554891837494715,-32.422918047223774,1052508,,
62.3462614,9192,13.86,1052671,76180,114,0.001,0.4597092555569751,-32.67698505946568,1052564,,
62.34494312000001,9192,13.86,1052726,76184,114,0.001,0.5753728552506521,-31.95709991455078,1052619,,
62.38645825000001,9193,13.87,1052782,76188,114,0.001,0.3897489735058376,-31.679257529122488,1052675,,
62.288280029999996,9193,13.85,1052836,76192,114,0.001,0.26475970103190494,-33.98425129481724,1052730,,
62.29107932,9194,13.85,1052892,76196,114,0.001,0.39564499258995056,-31.82566179547991,1052785,,
62.28776208999999,9194,13.85,1052947,76200,114,0.001,0.5411070702331406,-31.682963507516043,1052840,,
62.33977650000001,9195,13.86,1053003,76204,114,0.001,0.5405164917132684,-32.06702068873814,1052896,,
62.39143646999999,9195,13.87,1053059,76208,114,0.001,0.4619257114827633,-32.50085667201451,1052952,,
62.43958434,9196,13.88,1053115,76212,114,0.001,0.5470731928944588,-32.79357828412737,1053008,,
62.33571214,9196,13.86,1053169,76216,114,0.001,0.39390796635832104,-32.517827715192524,1053063,,
62.342145910000006,9197,13.86,1053224,76220,114,0.001,0.45654703218203324,-33.059830029805504,1053117,,
62.386854299999996,9197,13.87,1053280,76224,114,0.001,0.45759441224592073,-32.1090818132673,1053173,,
62.38502152,9198,13.87,1053336,76228,114,0.001,0.24134083996926034,-31.065726143973215,1053229,,
62.38234209,9198,13.87,1053392,76232,114,0.001,0.6597035905080182,-30.579459599086217,1053285,,
62.48247286,9199,13.89,1053448,76236,114,0.001,0.40408066367464407,-32.830230985369,1053341,,
62.39238329999999,9199,13.87,1053502,76240,114,0.001,0.579183825220053,-32.79621537526449,1053395,,
62.39187843,9200,13.87,1053558,76244,114,0.001,0.38563332946172785,-33.018106188092915,1053451,,
62.392088529999995,9200,13.87,1053614,76248,114,0.001,0.6483355898942266,-31.682047980172293,1053507,,
62.295446070000004,9201,13.85,1053668,76252,114,0.001,0.3508056164360963,-31.25338281903948,1053562,,
62.29859290000001,9201,13.85,1053723,76256,114,0.001,0.6782702505588531,-31.039444514683314,1053616,,
62.29667006,9202,13.85,1053778,76260,114,0.001,0.4639700784214905,-31.99184880937849,1053671,,
62.34603035,9202,13.86,1053834,76264,114,0.001,0.5449923763849905,-31.682533809116908,1053727,,
62.350691309999995,9203,13.86,1053889,76268,114,0.001,0.4363885968923569,-31.225440979003906,1053782,,
62.354359300000006,9203,13.86,1053945,76272,114,0.001,0.44272028787859846,-32.31148610796247,1053838,,
62.307208100000004,9204,13.85,1054000,76276,114,0.001,0.5388767751199859,-32.249188559395925,1053894,,
62.30729703999999,9204,13.85,1054056,76280,114,0.001,0.4094902396734272,-30.649163382393972,1053949,,
62.36056763999998,9205,13.86,1054112,76284,114,0.001,0.4178279044904879,-30.92230715070452,1054005,,
62.318629,9205,13.85,1054167,76288,114,0.001,0.45114252945551503,-31.11308261326381,1054060,,
62.32408114,9206,13.85,1054221,76292,114,0.001,0.45066351257264614,-32.53199441092355,1054115,,
62.324131400000006,9206,13.85,1054277,76296,114,0.001,0.6147687491029501,-31.401156289236887,1054170,,
62.37083013,9207,13.86,1054333,76300,114,0.001,0.3945548843060221,-32.13194111415318,1054226,,
62.27445137000001,9207,13.84,1054387,76304,114,0.001,0.33155649048941477,-32.15246309552874,1054281,,
62.224225270000005,9208,13.83,1054442,76308,114,0.001,0.5542304616953645,-31.220700400216238,1054335,,
62.2274077,9208,13.83,1054498,76312,114,0.001,0.615011649738465,-31.77894483293806,1054391,,
62.32852778,9209,13.85,1054554,76316,114,0.001,0.5226770868258817,-31.227227892194474,1054447,,
62.32303418000001,9209,13.85,1054609,76320,114,0.001,0.5205209021057401,-31.592073713030135,1054503,,
62.23214396,9209,13.83,1054663,76324,114,0.001,0.37844364451510565,-31.61912018912179,1054557,,
62.186821970000004,9210,13.82,1054718,76328,114,0.001,0.4618110100810344,-32.62321662902832,1054611,,
62.13904632999999,9210,13.81,1054773,76332,114,0.001,0.5620859768241644,-32.19024140494211,1054666,,
62.09031951,9211,13.8,1054828,76336,114,0.001,0.4086542941097702,-32.423666272844585,1054721,,
62.18058161000001,9211,13.82,1054884,76340,114,0.001,0.4194587176399572,-33.28145817347935,1054777,,
62.13948152,9212,13.81,1054939,76344,114,0.001,0.23646278622058722,-32.126350675310405,1054832,,
62.094706110000004,9212,13.8,1054994,76348,114,0.001,0.5715465436761196,-31.087688446044922,1054887,,
,,,1055000,,,0.001,0.34407253776277813,-32.064726965767996,1054901,61.854544025659564,13.75
62.14424227000001,9213,13.81,1055049,76352,114,0.001,0.4802868313023022,-31.551605497087753,1054942,,
62.14830085,9214,13.81,1055104,76356,114,0.001,0.5100997909903526,-32.30396270751953,1054997,,
62.151633800000006,9214,13.81,1055159,76360,114,0.001,0.49411635207278387,-32.235145568847656,1055052,,
62.151705119999995,9215,13.81,1055215,76364,114,0.001,0.5293386935123375,-30.541884558541433,1055108,,
62.152245920000006,9215,13.81,1055270,76368,114,0.001,0.5759668924978801,-31.97218758719308,1055163,,
62.10426949,9216,13.8,1055325,76372,114,0.001,0.4850644107375826,-32.153207778930664,1055219,,
62.154107249999996,9216,13.81,1055381,76376,114,0.001,0.518060701234,-31.11342975071498,1055274,,
62.15218774,9217,13.81,1055437,76380,114,0.001,0.41926027461886406,-32.04073633466448,1055330,,
62.14666144000001,9217,13.81,1055493,76384,114,0.001,0.32739236152597834,-32.46307209559849,1055386,,
62.19653592,9218,13.82,1055549,76388,114,0.001,0.4782528855970928,-30.836415427071707,1055442,,
62.28684882,9218,13.84,1055605,76392,114,0.001,0.3981174847909382,-31.392957959856307,1055498,,
62.23890876999999,9219,13.83,1055660,76396,114,0.001,0.37111544752350223,-31.648194630940754,1055553,,
62.243422820000006,9219,13.83,1055716,76400,114,0.001,0.4408259817532131,-31.2424441746303,1055609,,
62.33764219,9220,13.85,1055772,76404,114,0.001,0.4728728782917772,-31.619971139090403,1055665,,
62.38307313999999,9220,13.86,1055828,76408,114,0.001,0.48114185727068354,-32.67496027265276,1055721,,
62.38046582,9221,13.86,1055884,76412,114,0.001,0.6612037579928126,-31.923961094447545,1055777,,
62.38096077000001,9221,13.86,1055940,76416,114,0.001,0.4667843569602285,-31.5360232761928,1055833,,
62.38272247,9222,13.86,1055995,76420,114,0.001,0.48935673172984806,-31.7509640284947,1055889,,
62.382850250000004,9222,13.86,1056049,76424,114,0.001,0.49436401908418964,-31.72319221496582,1055943,,
62.37973143,9223,13.86,1056104,76428,114,0.001,0.5282109691096204,-31.21039390563965,1055997,,
62.330637620000005,9223,13.85,1056158,76432,114,0.001,0.44290517499813664,-32.58236535390218,1056051,,
62.37534412000001,9224,13.86,1056214,76436,114,0.001,0.34413147238748415,-31.089614595685685,1056107,,
62.24090196,9224,13.83,1056267,76440,114,0.001,0.3230703931588393,-30.85698636372884,1056161,,
62.23962647999999,9225,13.83,1056322,76444,114,0.001,0.5806368130903977,-31.220821062723797,1056215,,
62.29105739000001,9225,13.84,1056378,76448,114,0.001,0.48474311030336786,-31.55381829398019,1056271,,
62.29072242000001,9226,13.84,1056433,76452,114,0.001,0.4127482217378341,-32.03878566196987,1056326,,
