time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
178,13.826017761230469,50.0,29650,0.04753169871866703,29800,596,-7.114049110000001,166,0.001,,
,13.942424011230468,,29850,0.053054652512073516,30000,,,,0.001,-7.1506448979489505,50.0
180,,50.0,,,30000,600,-6.99660825,166,,,
181,14.039940071105956,50.0,30050,0.04457270257174969,30200,604,-7.047761109999999,166,0.001,,
182,14.018131523132324,50.0,30250,0.04939535647630691,30400,608,-7.053869499999999,166,0.001,,
183,14.128875465393067,50.0,30450,0.05452036365866661,30600,612,-7.02150892,166,0.001,,
184,14.21868537902832,50.0,30650,0.05414616048336029,30800,616,-7.0137285799999995,166,0.001,,
,14.237754516601562,,30850,0.056160993203520776,31000,,,,0.001,-7.5344087009551,50.0
186,,50.0,,,31000,620,-6.948074250000001,166,,,
187,14.274953956604003,50.0,31050,0.04854431342333555,31200,624,-7.046483519999999,166,0.001,,
188,14.325509223937988,50.0,31250,0.044573242105543615,31400,628,-7.023487609999998,166,0.001,,
189,14.394834365844726,50.0,31450,0.0481629803776741,31600,632,-7.00012074,166,0.001,,
191,14.486196136474609,50.0,31650,0.04693478584289551,31800,636,-6.934356600000001,166,0.001,,
,14.462245635986328,,31850,0.056438394039869305,32000,,,,0.001,-7.027825688989833,50.0
192,,50.0,,,32000,640,-7.092169089999999,165,,,
194,14.514253120422364,50.0,32050,0.048709238953888415,32200,644,-7.079677600000001,165,0.001,,
195,14.569337005615234,50.0,32250,0.05199208293110132,32400,648,-7.12364333,165,0.001,,
196,14.565076026916504,50.0,32450,0.05406520787626505,32600,652,-7.108838650000001,166,0.001,,
197,14.703036499023437,50.0,32650,0.051548710092902184,32800,656,-7.0389721,166,0.001,,
,14.719492874145509,,32850,0.060843615308403966,33000,,,,0.001,-7.033153441757895,50.0
198,,50.0,,,33000,660,-7.010526029999999,165,,,
200,14.763716621398926,50.0,33050,0.04988722577691078,33200,664,-6.912359019999999,165,0.001,,
201,14.842817344665526,50.0,33250,0.0535641410946846,33400,668,-7.0219610999999995,165,0.001,,
202,14.942693786621094,50.0,33450,0.05181860946118832,33600,672,-7.03197591,165,0.001,,
203,14.901291160583495,50.0,33650,0.07361412189900875,33800,676,-6.993085530000002,166,0.001,,
,15.045718612670898,,33850,0.05403719328343868,34000,,,,0.001,-6.839165120758116,50.0
205,,50.0,,,34000,680,-7.044309720000001,165,,,
206,15.014546279907227,50.0,34050,0.05017917081713676,34200,684,-7.059403850000001,165,0.001,,
