time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
165,21,43008,105.42,-92.96441611999998,259,46.759154504537584,0.2,0.0003,0.016267309,0.5115982592105865,-0.04214533698104787,20.06183624267578,0.8778658509254456,0.209912109375,200,-10.328073135018348,,
,,45000,,,,38.255550837516786,0.2,0.0003,0.028427158,0.4632195830345154,-0.04118414697004482,11.998756408691406,0.8641273975372314,0.245654296875,210,-10.240287512540817,901.3,827.4269681003996
179,22,45056,111.52,-98.01669878000001,251,,,,,,,,,,,,,
183,23,47104,120.61,-106.18227760999999,256,149.0178277373314,0.2,0.0003,0.011423599,0.5364916026592255,-0.03481955790048232,60.6773567199707,0.858597993850708,0.1205078125,220,-10.152615275979041,,
187,24,49152,125.68,-106.30532458999998,261,57.76640837788582,0.2,0.0003,0.014278468,0.7232702374458313,-0.039929331111488865,16.237483978271484,0.850899338722229,0.17890625,230,-10.091704699397088,,
,,50000,,,,171.95394086837769,0.2,0.0003,0.010701474,0.56381955742836,-0.033361100326874296,67.58047485351562,0.8490490317344666,0.1130859375,240,-10.050367501378059,926.0,768.9865908978994
201,25,51200,145.41,-123.91761452000003,254,,,,,,,,,,,,,
205,26,53248,153.12,-130.01975774000002,258,23.2520642131567,0.2,0.0003,0.024751194,0.4349833130836487,-0.04381095539720263,9.872159004211426,0.8368401527404785,0.241259765625,250,-9.968567171692849,,
,,55000,,,,142.44973298311234,0.2,0.0003,0.011971116,0.607365220785141,-0.032911790561047385,77.36782836914062,0.8324040174484253,0.131494140625,260,-9.905653756856918,794.5,659.6836145053152
218,27,55296,159.03,-135.97051424,253,,,,,,,,,,,,,
222,28,57344,119.1,-97.03815051,257,82.4223276734352,0.2,0.0003,0.010872608,0.7510880380868912,-0.03389568205457181,24.37781524658203,0.8260430097579956,0.1099609375,270,-9.853370317816735,,
226,29,59392,111.77,-89.17556233,262,173.2020905971527,0.2,0.0003,0.011663388,0.5135439932346344,-0.03402322155307047,58.46773910522461,0.8203407526016235,0.12255859375,280,-9.794300571084023,,
,,60000,,,,82.00140776634217,0.2,0.0003,0.013110999,0.8336452394723892,-0.04367091391468421,24.377695083618164,0.8117216229438782,0.1583984375,290,-9.72004612982273,534.1,424.03499791671385
235,30,61440,93.13,-69.97442566000001,260,,,,,,,,,,,,,
239,31,63488,92.44,-70.52798869000002,264,91.73011537790299,0.2,0.0003,0.01404104,0.8306049257516861,-0.04282690862601157,55.53668212890625,0.8063706159591675,0.160986328125,300,-9.656829234957694,,
,,65000,,,,99.87440130710601,0.2,0.0003,0.01278385,0.8146315366029739,-0.04066231831384357,37.31317901611328,0.8055486083030701,0.144580078125,310,-9.625686001777648,633.7,466.04059604495416
250,32,65536,91.28,-67.04038976,261,,,,,,,,,,,,,
254,33,67584,107.84,-80.70332911,265,100.66647264361382,0.2,0.0003,0.014158116,0.7648261338472366,-0.035741784144192934,64.88480377197266,0.800472617149353,0.16025390625,320,-9.592646104097366,,
259,34,69632,100.03,-76.54165,268,50.976205518841745,0.2,0.0003,0.016400184,0.8912878036499023,-0.04642560832435265,21.363035202026367,0.7933043241500854,0.196435546875,330,-9.525530359148979,,
,,70000,,,,197.2737539768219,0.2,0.0003,0.0106742075,0.31300127506256104,-0.033847749191045294,82.20670318603516,0.7896971702575684,0.1099609375,340,-9.476762142777442,973.3,682.213034244813
273,35,71680,108.42,-84.23327125,262,,,,,,,,,,,,,
278,36,73728,99.73,-76.70701762,265,70.47535195350648,0.2,0.0003,0.015556294,0.811143547296524,-0.04215068682242418,25.946077346801758,0.7810106873512268,0.194970703125,350,-9.40975625514984,,
,,75000,,,,83.39502404928207,0.2,0.0003,0.015913256,0.807696521282196,-0.038152418134268375,26.214982986450195,0.7791381478309631,0.167236328125,360,-9.365285009145737,1000.0,654.751500233356
292,37,75776,86.82,-66.75891030999999,258,,,,,,,,,,,,,
296,38,77824,82.65,-64.13618469,262,142.81095831394197,0.2,0.0003,0.015168601,0.7272535264492035,-0.044497707346454266,57.628318786621094,0.7754047513008118,0.164697265625,370,-9.333685594797135,,
301,39,79872,73.06,-55.127460219999996,265,127.97400814294815,0.2,0.0003,0.015293039,0.7136349678039551,-0.045503168509458194,86.40843963623047,0.769542932510376,0.174462890625,380,-9.281887179613113,,
,,80000,,,,85.15638644695282,0.2,0.0003,0.015933685,0.8339411318302155,-0.04758551904233173,33.85060119628906,0.7613942623138428,0.171533203125,390,-9.197905251383782,394.6,291.55397577700495
309,40,81920,66.13,-49.424714290000004,264,,,,,,,,,,,,,
313,41,83968,67.0,-46.91392028,267,112.33285596370698,0.2,0.0003,0.015658788,0.7631921172142029,-0.04589218466135207,58.328372955322266,0.7577205300331116,0.1625,400,-9.144534549117088,,
,,85000,,,,99.56150505542755,0.2,0.0003,0.016855357,0.7927359342575073,-0.04751926677417941,32.75360870361328,0.7542290687561035,0.182080078125,410,-9.110360705852509,384.4,292.8823789420829
321,42,86016,84.89,-58.50700628,267,,,,,,,,,,,,,
325,43,88064,94.13,-64.66622444999999,270,41.906429931521416,0.2,0.0003,0.023330985,0.8886475414037704,-0.05185094236658187,23.33775520324707,0.7463082075119019,0.2744140625,420,-9.034954813122749,,
,,90000,,,,48.5503434240818,0.2,0.0003,0.023355933,0.8633762449026108,-0.051933780417311934,8.571314811706543,0.7398890256881714,0.2708984375,430,-8.965757840871811,335.1,250.62333193429512
333,44,90112,114.61,-78.63242634000001,270,,,,,,,,,,,,,
337,45,92160,114.8,-77.05508503,272,56.88535190820694,0.2,0.0003,0.019545963,0.8824108690023422,-0.04908032562379958,17.908248901367188,0.7307326793670654,0.223583984375,440,-8.881706026196479,,
342,46,94208,116.06,-76.40775237000001,275,83.3293275654316,0.2,0.0003,0.016072612,0.8432949632406235,-0.044966485252371055,26.504539489746094,0.7242259979248047,0.181689453125,450,-8.79435112774372,,
,,95000,,,,97.1397304058075,0.2,0.0003,0.019192718,0.80528923869133,-0.05089123510406353,56.961814880371094,0.7177978754043579,0.221484375,460,-8.717848786711693,173.2,138.97919416722144
347,47,96256,77.7,-47.65189671,276,,,,,,,,,,,,,
352,48,98304,75.43,-45.572742340000005,279,135.80751535892486,0.2,0.0003,0.019502819,0.06432825326919556,-0.053301575280784164,50.586612701416016,0.7143697738647461,0.21494140625,470,-8.67235754430294,,
,,100000,,,,50.169124734401706,0.2,0.0003,0.023662135,0.776783749461174,-0.05485020849737339,18.408124923706055,0.7101536393165588,0.2537109375,480,-8.628565004467964,81.4,69.63974578843917
357,49,100352,83.5,-51.515638919999994,280,,,,,,,,,,,,,
361,50,102400,96.02,-59.18840941999999,283,71.36172186136245,0.2,0.0003,0.018260531,0.7707895636558533,-0.050286941151716745,37.013980865478516,0.7033706903457642,0.223681640625,490,-8.56300832927227,,
365,51,104448,115.06,-71.70087577,285,35.33051667511463,0.2,0.0003,0.023976907,0.7538397461175919,-0.04901979866262991,10.126291275024414,0.7001452445983887,0.270556640625,500,-8.512503695487975,,
,,105000,,,,53.89273138046265,0.2,0.0003,0.020355985,0.7461319267749786,-0.04837096652772743,18.878190994262695,0.6973705291748047,0.27236328125,510,-8.473540350794792,237.3,157.00747243261867
372,52,106496,115.42,-70.91423692000001,286,,,,,,,,,,,,,
376,53,108544,124.73,-75.72963222999999,288,126.58185114860535,0.2,0.0003,0.016420161,0.5529925525188446,-0.048421049604075964,81.76311492919922,0.6925578117370605,0.179443359375,520,-8.43254899084568,,
,,110000,,,,42.173298698663714,0.2,0.0003,0.02490902,0.8310359120368958,-0.0574239853391191,19.08413314819336,0.6839500665664673,0.28720703125,530,-8.344489216804504,190.4,141.22313870259094
382,54,110592,145.89,-87.35161846,289,,,,,,,,,,,,,
386,55,112640,128.91,-74.62522239,291,42.95058520138264,0.2,0.0003,0.022844061,0.8631504625082016,-0.05814072524517542,21.07701873779297,0.6785683631896973,0.266552734375,540,-8.262850615382195,,
391,56,114688,85.87,-44.072663629999994,293,75.96862131357193,0.2,0.0003,0.019069035,0.8032751530408859,-0.05411137750197668,31.014171600341797,0.6740108728408813,0.21376953125,550,-8.215142330527305,,
,,115000,,,,74.34350023269653,0.2,0.0003,0.017801901,0.8000751584768295,-0.05485490013670642,29.686466217041016,0.6707011461257935,0.204296875,560,-8.1656359821558,180.5,136.99696224033832
397,57,116736,101.91,-51.228600690000015,293,,,,,,,,,,,,,
