time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
88,,,,913.0681818181819,51.691974613636354,80350,511,,157,,
92,83298,0.8528200083076954,0.001,916.8478260869565,78.68969763043478,84350,530,-26.850522396087648,158,,
,84298,0.8716976551115513,0.001,,,85000,,-27.298910327911376,,695.0045434992237,1000.0
96,87298,1.029893638640642,0.001,920.3125,107.10276986458332,88350,557,-28.977422916412355,158,,
,89298,1.4492345969676972,0.001,,,90000,,-30.673456398010252,,597.6190322546288,1000.0
100,91298,1.8926071825027466,0.001,923.5,102.72542502999998,92350,588,-33.78039162445069,156,,
,94298,2.4750694313645365,0.001,,,95000,,-37.695434379577634,,-1364.2837012225762,901.1
104,95298,2.5480810995697976,0.001,923.72,98.71463731000003,95424,615,-37.585852714538575,155,,
108,96433,2.5554099408984183,0.001,904.33,186.59927287000002,97485,622,-36.684837280273435,156,,
,99433,1.9099393762350083,0.001,,,100000,,-34.6762239074707,,-127.94608285324648,1000.0
112,100433,1.8791527822613716,0.001,904.33,301.51795737000003,101485,649,-33.74353527450562,156,,
,104433,1.7192594960927963,0.001,,,105000,,-31.92143494796753,,722.6267514575972,1000.0
116,,,,923.26,379.9100223400001,105485,675,,156,,
120,108433,1.494714219391346,0.001,951.85,402.8063171,109485,694,-31.469727352142336,157,,
,109433,1.4333979467749596,0.001,,,110000,,-31.325181636810303,,584.5679188863899,1000.0
124,111609,1.4623107116222382,0.001,953.48,408.2464177200001,112661,718,-31.31116572570801,156,,
,114609,1.2933674492239953,0.001,,,115000,,-30.759402240753175,,614.6163062683797,1000.0
128,115609,1.2768585119843483,0.001,963.11,419.83651482,116661,746,-30.635453205108643,156,,
,119609,1.181992621719837,0.001,,,120000,,-31.67723641586304,,552.0172982711578,1000.0
132,,,,963.11,419.3276494400001,120661,774,,155,,
136,123609,1.1424557164609432,0.001,963.11,414.46302255999996,124661,793,-32.580228385925295,157,,
,124609,1.153765173971653,0.001,,,125000,,-32.55328436279297,,676.6860372699448,1000.0
140,127609,1.0847437380552292,0.001,963.11,417.24786135999994,128661,820,-33.204739570617676,156,,
,129609,1.0113608975410462,0.001,,,130000,,-33.63073818969727,,716.5568575794517,1000.0
144,131609,0.9769428283274174,0.001,963.11,421.65192582,132661,847,-33.97095415496826,156,,
,134609,0.9993552868962288,0.001,,,135000,,-34.14730903625488,,376.42843154804723,1000.0
148,135609,0.9505033468604088,0.001,963.11,419.4521405699999,136661,875,-34.299558868408205,156,,
,139609,0.8670229668319225,0.001,,,140000,,-34.929179065704346,,912.2760307839839,1000.0
152,,,,963.11,426.66670507000003,140661,905,,155,,
156,143609,0.7783073818683625,0.001,963.11,437.84668816000004,144661,926,-36.345997467041016,156,,
