rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-420.3788321800001,102679,13.717869745254516,244,162,633,185.36,102831,57.55992280578613,0.001,,
-419.05774241,102860,11.905571036868626,248,162,634,186.05,102986,56.35553847418891,0.001,,
-417.87272042999996,102980,11.126566505432129,252,162,634,185.97,103056,57.012793731689456,0.001,,
-360.07454071999996,103219,14.396918490781623,256,162,635,167.81,103298,56.37455959977775,0.001,,
-327.92622081,103409,14.022289390563964,260,162,636,157.81,103512,56.65016326904297,0.001,,
-319.66635033,103642,16.326517124176025,264,162,638,156.54,103740,57.557982224684494,0.001,,
-311.48342332,103790,13.43135694357065,268,162,638,154.13,103888,56.44337463378906,0.001,,
-306.03225676999995,103945,12.657302197657133,272,162,639,153.26,104056,55.719463749935755,0.001,,
-250.28196677999998,104194,20.864280093799938,276,162,640,134.37,104248,55.70363171895345,0.001,,
-222.89949819000006,104543,21.477593231201173,280,163,642,128.85,104859,57.26563262939453,0.001,,
,104828,12.686036944389343,,,,,105000,56.49042320251465,0.001,-337.11990278093145,474.3
-219.63682060000002,106030,14.665715377807617,284,163,654,144.64,107073,55.89676474761963,0.001,,
-227.00801296999998,108588,12.503168697239923,288,163,666,161.46,108831,54.708345882228166,0.001,,
-226.08708585,108994,12.683233812235404,292,163,668,162.89,109088,54.30831759908925,0.001,,
,109045,13.064751793356503,,,,,110000,54.662014923095704,0.001,-41.23111230242066,76.6
-200.70676149000008,111175,11.90456799530983,296,163,680,173.71,111346,54.3353832244873,0.001,,
-172.04048403999997,111384,11.017827734351158,300,163,681,163.4,111544,53.84739089012146,0.001,,
-154.00046786000001,111635,12.946508606274923,304,163,682,153.98,111722,53.67544428507487,0.001,,
-136.61224296,112770,12.19121932486693,308,164,687,152.72,112832,54.546035607655845,0.001,,
-112.70001346,112938,12.264625570990823,312,164,688,143.28,113065,53.842458898370914,0.001,,
-111.14904403999999,113072,14.593067082491787,316,164,689,142.72,113129,55.47503662109375,0.001,,
-110.42363007,113306,12.214677471380968,320,164,690,144.17,113370,54.350663698636566,0.001,,
,114389,11.015554544972439,,,,,115000,54.18061904907226,0.001,-32.21024873435963,56.1
-115.73500944999999,,,324,165,696,157.77,115048,,,,
-108.12197298000001,115305,11.66991789973512,328,164,700,154.21,115387,54.79135972626355,0.001,,
-105.32849141999999,115450,11.571984659161483,332,164,701,153.19,115587,55.300335588126345,0.001,,
-106.03732915999998,115753,13.784959509566024,336,165,702,155.65,115947,54.41846487257216,0.001,,
-91.55858004999999,116006,9.23621244430542,340,165,703,146.14,116279,55.80083312988281,0.001,,
-81.59129953,116314,11.248583375191203,344,165,705,135.61,116392,55.24915725708008,0.001,,
-82.0040607,116485,13.651589836393084,348,165,706,135.97,116583,55.270067487444194,0.001,,
-84.49794081999998,117001,12.133586562007938,352,165,708,140.45,117101,55.26681786283441,0.001,,
-84.81300437,117254,9.903026580810547,356,165,709,141.92,117490,55.08446267934946,0.001,,
-84.01419154999998,117564,12.489178837322799,360,165,711,141.05,117617,55.532418035691784,0.001,,
-82.55169845999998,117677,9.730944347381591,364,165,711,140.09,117749,55.324745178222656,0.001,,
-81.75702335,117790,13.748130655288696,368,165,712,140.09,117897,54.682421112060545,0.001,,
-81.49847347,118033,14.282629719802312,372,165,713,140.45,118101,55.12163407461984,0.001,,
-81.47692030999998,118280,13.920313194062974,376,165,714,140.84,118332,55.465486277704656,0.001,,
-80.31961996,118427,15.46579885482788,380,165,715,136.69,118528,54.13040771484375,0.001,,
-67.34199935,118536,14.771656426516445,384,165,715,115.33,118606,54.63335164388021,0.001,,
-58.85124286,118635,15.525376740623923,388,165,716,98.63,118694,54.45361852645874,0.001,,
-57.237328049999995,118682,11.511371439153498,392,165,716,96.47,118735,55.02449417114258,0.001,,
-53.115277889999994,118772,11.535319146655855,396,165,717,76.01,118947,55.51729274931408,0.001,,
-52.774778979999994,119012,11.323440233866373,400,165,718,76.05,119149,56.18723539872603,0.001,,
,119309,14.011308111463274,,,,,120000,55.01473752190085,0.001,-32.46856531824451,31.0
-58.333256950000006,,,404,166,720,86.3,120352,,,,
-51.288089009999986,120376,19.999644696712494,408,166,725,76.27,120459,55.17706108093262,0.001,,
-51.85115601,120557,13.464245769339549,412,166,726,75.58,120623,55.41674019949777,0.001,,
-52.34947687,120674,14.490326073434618,416,166,727,76.12,120741,55.29259098900689,0.001,,
-52.44337526,120732,13.553004438226873,420,166,727,74.49,120819,54.777615229288735,0.001,,
-43.13095812,120920,13.10587467466082,424,166,728,60.24,121072,55.46454759077592,0.001,,
-47.71268495,122048,14.10937139723036,428,166,733,67.12,122099,55.14277954101563,0.001,,
-46.687702800000004,122143,11.488133430480957,432,166,734,66.1,122197,54.75192031860352,0.001,,
-46.38422615,123232,13.121749339818955,436,166,739,73.38,123285,54.8093313369751,0.001,,
-45.82221852,123339,15.539428329467773,440,166,740,71.41,123420,54.44830474853516,0.001,,
-45.68739802000001,123447,20.401356167263454,444,166,740,71.37,123529,54.24685096740723,0.001,,
-44.52396967000001,123546,12.015111169507426,448,166,741,70.37,123620,54.5815646648407,0.001,,
-41.931598140000006,123634,12.018198683857918,452,166,741,66.42,123743,54.39453434944153,0.001,,
-41.68590427,124732,12.816849425315857,456,167,747,73.23,124813,54.66014296722412,0.001,,
-40.69161382,124803,8.374176365988594,460,167,747,72.57,124874,54.79228591918945,0.001,,
,124865,11.61075210571289,,,,,125000,54.17180274514591,0.001,-13.179175503365695,27.7
-42.56505405,125877,9.962851206461588,464,167,753,81.79,125928,54.854026794433594,0.001,,
-41.901555619999996,125921,14.132378154330784,468,167,753,80.75,125972,55.07041072845459,0.001,,
-41.880195599999986,125976,16.24425377845764,472,167,753,79.26,126027,54.61841761271159,0.001,,
-41.00706049,126037,12.001609298917982,476,167,754,79.17,126249,55.087913513183594,0.001,,
-39.79341464000001,126312,14.152028878529867,480,167,755,78.83,126411,53.7867396961559,0.001,,
-39.79788904,126402,10.443695604801178,484,167,755,78.73,126479,55.482276916503906,0.001,,
-39.801422159999994,126525,12.560660044352213,488,167,756,78.82,126576,52.178653717041016,0.001,,
-39.885773539999995,126556,12.67441041128976,492,167,756,78.73,126608,52.5059118270874,0.001,,
-39.01811727999999,126662,11.56492793560028,496,167,756,77.67,126714,52.95587158203125,0.001,,
-38.761850839999994,126701,14.455746746063232,500,167,757,76.32,126781,53.61134033203125,0.001,,
-32.8550973,126765,11.96932065486908,504,167,757,64.73,126825,53.53762149810791,0.001,,
-31.73259844,126810,15.04917844136556,508,167,757,64.03,126862,52.17212600708008,0.001,,
-31.64484857,126867,12.845731541514397,512,167,757,62.95,126918,53.94878602027893,0.001,,
-31.323088090000002,126902,14.377893686294556,516,167,758,62.41,126982,53.73230209350586,0.001,,
-30.92266693000001,126972,13.05638382651589,520,167,758,62.33,127052,54.583143870035805,0.001,,
-29.90921226,127106,13.128727628338721,524,167,759,60.86,127158,54.28083961240707,0.001,,
-23.006817509999998,127140,10.415829930986677,528,167,759,50.93,127192,55.32210063934326,0.001,,
-23.19915631,127191,11.506252857354971,532,167,759,50.47,127244,53.78593180729793,0.001,,
-22.187305279999997,127241,13.281466903686523,536,167,759,40.51,127336,55.12955633799235,0.001,,
-21.85490474,127350,12.48017498425075,540,167,760,39.81,127401,53.09342820303781,0.001,,
-21.346490350000003,127383,14.340580344200134,544,167,760,39.05,127434,52.91159725189209,0.001,,
-21.610747770000003,127426,13.425963521003723,548,167,760,38.56,127476,54.38647174835205,0.001,,
-21.37244677,127460,12.484737277030945,552,167,761,37.68,127511,53.22667121887207,0.001,,
-19.56587241,127509,12.954527199268341,556,167,761,27.46,127559,54.51116816202799,0.001,,
-19.56285032,127574,13.567561686038971,560,167,761,27.72,127646,52.76764488220215,0.001,,
-17.1517263,127627,15.551163911819458,564,167,761,17.49,127677,53.658419609069824,0.001,,
-17.28627885,127656,14.281474249703544,568,167,762,17.35,127707,53.15943908691406,0.001,,
-17.05470132,127687,12.289472103118896,572,167,762,17.12,127739,53.042894999186196,0.001,,
-16.475071409999998,127723,13.273827022976345,576,167,762,15.24,127773,53.66422367095947,0.001,,
-15.255305499999999,127793,14.213822484016418,580,167,762,14.33,127844,52.829901695251465,0.001,,
-14.7060249,127823,16.425110271998815,584,167,762,13.95,127874,55.766274770100914,0.001,,
-14.166741780000002,127855,10.166111886501312,588,167,763,13.3,127906,54.669288635253906,0.001,,
-14.207916359999999,127887,21.291881799697876,592,167,763,13.35,127943,53.812408447265625,0.001,,
-14.125223490000002,127926,15.077769160270691,596,167,763,12.63,127977,54.91445064544678,0.001,,
-20.91037773,128951,12.720769309997559,600,167,768,22.21,129002,51.97005004882813,0.001,,
-20.87446027,128983,13.103911280632019,604,167,768,22.09,129034,54.09063243865967,0.001,,
-20.98067917,129030,10.70350272314889,608,167,768,22.2,129082,55.30764579772949,0.001,,
-21.070238859999996,129063,11.682706356048584,612,167,768,21.97,129115,52.45915412902832,0.001,,
-20.84047938,129094,12.994796991348267,616,167,769,21.63,129145,52.470749855041504,0.001,,
-21.159014510000002,129190,13.008441581726075,620,167,769,22.13,129265,52.8868763263409,0.001,,
-20.916588559999994,129268,13.819539244969686,624,167,769,21.6,129318,53.95882619222005,0.001,,
-21.20961484,129359,11.156443323407855,628,168,770,22.22,129414,53.52247111002604,0.001,,
-21.485174209999997,129408,18.7636562983195,632,168,770,22.16,129460,52.52043533325195,0.001,,
-21.26115362,129440,18.627466474260604,636,168,770,21.55,129491,52.96090221405029,0.001,,
-20.945377039999997,129472,9.50054132938385,640,168,770,21.24,129525,52.12517166137695,0.001,,
-20.90548084,129505,10.134664833545685,644,168,771,21.23,129557,51.29801654815674,0.001,,
-20.88462298,129567,12.159581502278646,648,168,771,21.41,129617,50.31611156463623,0.001,,
-20.83573612,129597,19.11502516269684,652,168,771,21.37,129648,52.79367160797119,0.001,,
-20.892298540000002,129640,14.727027177810669,656,168,771,21.31,129690,53.43596076965332,0.001,,
-21.015982949999994,129677,19.234678881508962,660,168,771,20.82,129728,55.23356374104818,0.001,,
-21.386784459999994,129758,14.5649921243841,664,168,772,21.31,129808,52.397066289728336,0.001,,
-21.386265119999997,129805,15.274209431239537,668,168,772,21.48,129855,52.22972651890346,0.001,,
