time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
375000,,0.07078021137043834,374135,0.001,,,,22.30029405593872,,937.5405882056803,1000.0
376194,380,0.06944900439679623,375135,0.001,128,2917,-51.56025859,22.316105449676513,1000.0,,
380000,,0.07102579123526812,379135,0.001,,,,22.388458755493165,,929.3428809821605,1000.0
380194,384,,,,129,2946,-53.20108416,,1000.0,,
384194,388,0.09516708127036691,383135,0.001,129,2966,-55.470436069999984,22.659936252593994,1000.0,,
385000,,0.09737604416906834,384135,0.001,,,,22.749224494934083,,904.9981473565101,1000.0
388194,392,0.13222265136986971,387135,0.001,129,2994,-58.81937047,23.43681723022461,1000.0,,
390000,,0.11735077695548535,389135,0.001,,,,23.765796489715576,,840.2389874994755,1000.0
392194,396,0.10948422576114536,391135,0.001,129,3026,-63.79584347,23.991810497283936,1000.0,,
395000,,0.11317351522945589,394290,0.001,,,,24.449730408497345,,447.1289208009839,550.2
395349,400,,,,129,3050,-69.85966106,,991.55,,
399349,404,0.10446734951436519,398290,0.001,129,3073,-75.64752087999999,24.631135326385497,991.55,,
400000,,0.1098821445852518,399290,0.001,,,,24.721801658630373,,925.1637713551521,1000.0
403349,408,0.09974671857431532,402290,0.001,129,3106,-78.13760101,25.007812747955324,991.55,,
405000,,0.11371960464492441,404290,0.001,,,,25.26174118423462,,856.4662311926484,1000.0
407349,412,0.11171490305289626,406290,0.001,129,3140,-79.41526116,25.513382858276366,991.55,,
410000,,0.12726454713568092,409290,0.001,,,,25.583949504852296,,868.8502737045288,1000.0
411349,416,0.14584253488481044,410290,0.001,129,3174,-82.27078510999999,25.63218084335327,991.55,,
415000,,0.16652718606591224,414290,0.001,,,,25.823543479919433,,871.947281716764,1000.0
415349,420,,,,129,3206,-86.45955211,,991.55,,
419349,424,0.195676526196301,418290,0.001,129,3229,-94.69879131000002,26.244916873931885,991.55,,
420000,,0.19649822399765254,419290,0.001,,,,26.331310676574706,,566.8249566416256,1000.0
423349,428,0.23536836270987987,422290,0.001,129,3263,-100.23896778,26.543376121520996,991.55,,
425000,,0.241547618560493,424290,0.001,,,,26.69033596420288,,755.9286544222617,1000.0
427349,432,0.29609270960092543,426290,0.001,129,3295,-112.56516219999999,27.09181997680664,991.55,,
430000,,0.4268083911240101,429290,0.001,,,,28.074888874053954,,910.243275976181,1000.0
431349,436,0.428553109690547,430290,0.001,129,3328,-116.62359991999998,28.292794521331786,991.55,,
435000,,0.3216223070770502,434290,0.001,,,,28.057350914001464,,684.9202541351318,1000.0
435349,440,,,,129,3362,-124.08848891000001,,991.55,,
439349,444,0.38112914738059045,438290,0.001,129,3384,-131.46773066,28.75758026123047,991.55,,
440000,,0.3449046492278576,439290,0.001,,,,28.717628845214843,,659.1244696816896,1000.0
443349,448,0.31378384517133234,442290,0.001,129,3418,-135.37266743,28.803951023101806,991.55,,
445000,,0.4669588260501623,444290,0.001,,,,28.82986572647095,,762.5207896776498,1000.0
447349,452,0.48994654378294944,446290,0.001,129,3451,-141.04944039999998,28.993822734832765,991.55,,
450000,,0.5113887357711792,449290,0.001,,,,29.935706844329832,,845.5204631567001,1000.0
451349,456,0.5033736745864152,450290,0.001,129,3484,-152.82139615999998,30.251969478607176,991.55,,
455000,,0.6495246534347534,454290,0.001,,,,31.572609062194825,,877.5888413351961,1000.0
455349,460,,,,129,3515,-154.55803248,,991.55,,
459349,464,0.5699480063021183,458290,0.001,129,3536,-157.33029963,31.645380348205567,991.55,,
460000,,0.528915304094553,459290,0.001,,,,31.8095025100708,,805.466373942187,1000.0
463349,468,0.9164628365933896,462290,0.001,129,3574,-171.60316680000003,32.83021957015991,991.55,,
465000,,0.8202161762416362,464624,0.001,,,,33.782720138549806,,701.6938999454258,1000.0
466683,472,0.6117682539820671,465624,0.001,129,3608,-179.37737708,33.71592977142334,984.89,,
469717,476,0.6463175871074199,468658,0.001,129,3623,-189.98401407,33.362489547729496,975.23,,
470000,,0.6375875436365604,469658,0.001,,,,33.448652084350584,,697.5409748549573,1000.0
473717,480,0.7777592137157917,472658,0.001,129,3661,-204.60352809,33.60705493927002,975.23,,
475000,,0.6584141618013382,474658,0.001,,,,33.37471270751953,,817.7487055062608,1000.0
477717,484,0.5794772666394711,476658,0.001,129,3696,-213.44622689000005,32.999719131469725,975.23,,
480000,,0.43135780991613865,479658,0.001,,,,32.734312496185304,,604.018424892053,808.9
481717,488,0.43000394411385057,480658,0.001,129,3730,-229.45584345000003,32.782428028106686,975.23,,
485000,,0.40113151919841766,484658,0.001,,,,32.71072929763794,,585.7219281787023,1000.0
485637,492,,,,128,3768,-241.57904840999998,,974.43,,
487845,496,0.4644948583841324,486786,0.001,128,3782,-239.76496579999994,33.01814712524414,956.51,,
490000,,0.5817809989452362,489786,0.001,,,,33.41466608428955,,674.772754083667,917.8
491845,500,0.6130817362964154,490786,0.001,128,3818,-255.13522385,33.53222896575928,964.96,,
495000,,0.4398032122552395,494786,0.001,,,,32.94413440704346,,693.4322199508548,1000.0
495845,504,,,,128,3856,-255.78294834,,964.96,,
499845,508,0.5240880919396878,498786,0.001,128,3882,-260.01499663000004,33.23942585754394,964.96,,
500000,,0.5179851362199495,499819,0.001,,,,33.39693331718445,,732.1376101790462,907.8
502878,512,0.5430026270747185,501819,0.001,128,3910,-265.13365732,33.59445909118652,955.29,,
505000,,0.6721813993020491,504874,0.001,,,,34.38517011914934,,824.8813225421123,1000.0
505933,516,,,,128,3936,-266.2870616899999,,945.84,,
509933,520,0.4940293464362621,508874,0.001,128,3958,-271.47226308999996,34.364357055664065,945.84,,
510000,,0.48963275174796583,509874,0.001,,,,34.307886192321774,,590.2428585618734,1000.0
513933,524,0.47330331203341486,512874,0.001,128,3992,-272.99257918,34.21635120391846,945.84,,
515000,,0.4031156242340803,514874,0.001,,,,34.238553955078125,,880.6670111499727,1000.0
517933,528,0.3628590659946203,516874,0.001,128,4023,-271.05246288,33.99115173339844,945.84,,
520000,,0.35117140221595766,519874,0.001,,,,33.493780883789064,,895.0274728845804,1000.0
521933,532,0.32362194487452506,520874,0.001,128,4053,-261.93651815,33.33859656524658,945.84,,
525000,,0.3470271840542555,524874,0.001,,,,33.23421349334717,,806.1571274235845,955.4
525933,536,,,,128,4082,-270.75171455,,945.84,,
529933,540,0.3482037960588932,528874,0.001,129,4103,-268.60182905,32.82706014251709,945.84,,
530000,,0.36909271746873856,529874,0.001,,,,32.84926677703857,,623.5545027846587,1000.0
533933,544,0.3192807977050543,532874,0.001,129,4134,-273.51611129,32.99229709625244,945.84,,
535000,,0.33770270441472533,534874,0.001,,,,32.89391983795166,,577.028572703863,1000.0
537933,548,0.3466367091089487,536874,0.001,129,4166,-283.96070745,32.38386296081543,945.84,,
540000,,0.28045460249483584,539874,0.001,,,,31.873726093292237,,825.8613147214055,1000.0
541933,552,0.291051172748208,540874,0.001,129,4199,-287.72134025,31.68387257385254,945.84,,
545000,,0.22752237248420715,544874,0.001,,,,31.010423370361327,,923.6322948634624,1000.0
545933,556,,,,129,4231,-278.74180868,,945.84,,
549933,560,0.2149112798422575,548874,0.001,129,4253,-277.06404823,30.56079008102417,945.84,,
550000,,0.21108728523552417,549874,0.001,,,,30.501061824798583,,869.3042329095304,1000.0
553933,564,0.22627475922554732,552874,0.001,129,4286,-277.52362982,30.34978896331787,945.84,,
555000,,0.2627134165167809,554874,0.001,,,,30.266118629455566,,724.1366988932714,1000.0
557933,568,0.3464149059653282,556874,0.001,129,4318,-271.27990508999994,30.348464904785157,945.84,,
560000,,0.4428627450466156,559899,0.001,,,,30.96368920516968,,578.2153056822717,903.1
560958,572,,,,129,4344,-271.37266216999996,,942.75,,
564069,576,0.5908125326037407,563010,0.001,129,4361,-275.26761913999997,31.332529403686525,943.52,,
565000,,0.5786887950897217,564010,0.001,,,,31.35392763519287,,174.09377087708464,901.8
568069,580,0.5396290645003319,567010,0.001,129,4392,-301.96227504,31.586957260131836,943.52,,
570000,,0.42516549924016,569010,0.001,,,,31.84915092468262,,655.9598100333708,1000.0
572069,584,0.4805356877297163,571010,0.001,129,4425,-316.69421452999995,31.970897468566896,943.52,,
575000,,0.3539562172889709,574010,0.001,,,,31.727578914642333,,829.9288519038353,1000.0
576069,588,0.3748505884408951,575010,0.001,129,4456,-311.66593908000004,31.6024547996521,943.52,,
580000,,0.3705574545711279,579010,0.001,,,,31.47993948364258,,883.2015945464373,1000.0
580069,592,,,,129,4488,-302.30816212999997,,944.32,,
584069,596,0.280052843734622,583010,0.001,129,4510,-302.77130079,31.00266353225708,962.24,,
585000,,0.2628441816791892,584010,0.001,,,,30.842125087738037,,890.9246284097433,1000.0
588069,600,0.2522723992243409,587010,0.001,129,4542,-284.38198168,30.614245903015135,962.24,,
590000,,0.2613044924288988,589010,0.001,,,,30.79144874191284,,753.9032020419836,1000.0
592069,604,0.26421964140981435,591010,0.001,129,4575,-283.76667241,31.167434436798096,962.24,,
595000,,0.2404072967544198,594010,0.001,,,,31.259147201538084,,864.8972767977044,1000.0
596069,608,0.30695410767197606,595010,0.001,129,4608,-280.7115424,31.324049995422364,962.24,,
600000,,0.3516814380139113,599010,0.001,,,,31.361078979492188,,881.8442007809878,1000.0
600069,612,,,,129,4640,-275.27079241,,971.91,,
604069,616,0.30946854801476004,603010,0.001,129,4662,-275.44553993,31.38313911819458,981.36,,
605000,,0.2632160180211067,604010,0.001,,,,31.347914657592774,,655.6289104908705,1000.0
608069,620,0.23039505337178706,607010,0.001,129,4694,-272.62309794,31.41337446975708,981.36,,
610000,,0.2570190248936415,609010,0.001,,,,31.339334777832033,,743.819483935833,1000.0
612069,624,0.22604755326360465,611010,0.001,129,4725,-270.73269874,31.278156059265136,981.36,,
615000,,0.25320451367646457,614010,0.001,,,,31.231843311309813,,894.0636789679527,1000.0
616069,628,0.2535705614462495,615010,0.001,129,4758,-278.45925367999996,31.193548206329346,981.36,,
620000,,0.2902195334136486,619010,0.001,,,,31.417666862487792,,803.6839311635122,1000.0
620069,632,,,,129,4791,-279.43339613000006,,981.36,,
624069,636,0.36311744806170465,623010,0.001,129,4813,-275.19612205,31.84016228866577,981.36,,
625000,,0.3852134772092104,624010,0.001,,,,31.975498504638672,,810.1415416136384,1000.0
628069,640,0.43842423404753206,627010,0.001,129,4845,-281.17738429,32.52700220870972,981.36,,
630000,,0.40881970170140264,629010,0.001,,,,32.56328749084473,,753.382396504283,1000.0
631297,644,0.5400546132773161,631010,0.001,129,4877,-275.87228888000004,32.75428731536865,973.64,,
635000,,0.4426899266988039,634238,0.001,,,,32.89870924758911,,461.9209930455778,555.6
635297,648,,,,129,4902,-265.53897505,,973.64,,
638438,652,0.38280637821555136,638238,0.001,129,4924,-261.97809316999997,32.99587479400635,965.05,,
640000,,0.4118783526718616,639379,0.001,,,,33.07765090942383,,286.95611815783195,525.3
642438,656,0.535038707613945,641379,0.001,129,4949,-265.13289001,33.32690229797363,965.05,,
645000,,0.5283539086729289,644379,0.001,,,,33.249575294494626,,509.7204281231854,608.1
646438,660,0.5369174901247025,645379,0.001,129,4979,-265.03967343,33.26317980957031,965.05,,
650000,,0.4769127036780119,649379,0.001,,,,33.36404544067383,,638.4049980139825,804.7
650259,664,,,,129,5011,-267.15903152,,963.26,,
653296,668,0.4399514005035162,652237,0.001,129,5027,-270.08703697,33.44295164489746,953.63,,
655000,,0.46008899646997453,654237,0.001,,,,33.75088607788086,,525.457833333686,926.1
656030,672,0.4534671830374803,655371,0.001,129,5052,-266.89074207,33.752491737479595,950.72,,
660000,,0.44220663790404796,658971,0.001,,,,33.75759038543701,,550.2121796946973,904.2
660030,676,,,,129,5078,-263.01472845,,959.61,,
664030,680,0.41999566239118574,662971,0.001,130,5098,-231.47216824999998,34.18831944274903,959.61,,
665000,,0.41791241550445557,663971,0.001,,,,34.251701171875,,683.9006783917546,1000.0
668030,684,0.4428517027646303,666971,0.001,130,5125,-214.16400222999997,34.406569190979006,959.61,,
670000,,0.4527680107951164,668971,0.001,,,,34.44433625030518,,858.2429070014507,1000.0
672030,688,0.3995328152477741,670971,0.001,130,5154,-206.86682943999998,34.269922508239745,959.61,,
