time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
877,-39.98958304,158,139264,68,85.32,0.6334595084190369,0.019454023,-7.692859420180321,0.0003,64.90306578278542,0.2,0.224365234375,0.7981701195240021,-0.054715044103795664,670,27.816892623901367,,
,,,140000,,,0.6261717081069946,0.041594293,-7.625033369660377,0.0003,14.815315297245979,0.2,0.411279296875,0.879450149834156,-0.05774002342659514,680,8.523181915283203,153.6,101.08798092601937
886,-36.6976004,159,141312,69,79.17,,,,,,,,,,,,,
894,-41.44124661,160,143360,70,89.43,0.6227133274078369,0.016711365,-7.56710199713707,0.0003,80.80715470314026,0.2,0.1853515625,0.6809570789337158,-0.05092415918916231,690,38.857025146484375,,
,,,145000,,,0.6163859963417053,0.026508521,-7.497998690605163,0.0003,26.615818697214127,0.2,0.285888671875,0.905071310698986,-0.05817353447200731,700,10.662166595458984,70.6,66.30092769388575
903,-45.25455066000001,160,145408,71,98.98,,,,,,,,,,,,,
911,-23.699185079999996,161,147456,72,74.23,0.6108819246292114,0.03077475,-7.430287989974022,0.0003,28.11198629438877,0.2,0.30712890625,0.8695326894521713,-0.059006159023556395,710,10.3374605178833,,
918,-15.24010309,162,149504,73,56.72,0.6087555885314941,0.02106125,-7.374895079433918,0.0003,52.13875815272331,0.2,0.221484375,0.8406405299901962,-0.05397045070421882,720,18.705219268798828,,
,,,150000,,,0.6068965792655945,0.016470157,-7.354958316683769,0.0003,98.15715554952621,0.2,0.1759765625,0.5398338139057159,-0.05218455472495407,730,38.734066009521484,26.9,33.45432194235036
927,-13.274395780000003,163,151552,74,48.64,,,,,,,,,,,,,
934,-24.599687439999997,164,153600,75,68.3,0.6005418300628662,0.029883334,-7.29070535004139,0.0003,24.552642589807512,0.2,0.30849609375,0.8664058297872543,-0.06011297813092824,740,6.134960651397705,,
