train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,592,19165,35.75,127,-47.43347239494324,19037,150,176.89090427000002,3.4443013559688223,,
0.001,596,19297,35.63,127,-47.6429443359375,19173,151,176.30217887999999,3.74395215511322,,
0.001,600,19430,35.52,127,-46.501249874339386,19304,151,175.69819602000004,3.8617149555321895,,
0.001,604,19566,35.47,127,-46.63324221442728,19440,152,175.32707999,4.472916140700832,,
0.001,608,19698,35.35,127,-46.808989132151886,19573,153,174.70492677,3.319706012220944,,
0.001,612,19826,35.2,128,-46.294899702072144,19702,154,173.83105113000005,3.323365278542042,,
0.001,616,19957,35.07,128,-47.8717799467199,19833,155,173.17026977999998,7.633844501831952,,
0.001,,20000,,,-46.98785624784582,19899,,,3.643152349135455,161.04990758877247,32.85
0.001,620,20090,34.94,127,-45.61566972732544,19965,158,172.49365257000002,3.6238997705055005,,
0.001,624,20220,34.78,127,-45.63529992103577,20095,159,171.64579893999996,3.496293783187866,,
0.001,628,20349,34.63,127,-46.68001937866211,20225,160,170.84730370999998,3.946062600973881,,
0.001,632,20476,34.44,127,-47.08052635192871,20353,161,169.81838119,4.089029639959335,,
0.001,636,20607,34.29,127,-47.02360534667969,20481,161,169.02904725999997,3.588195360068119,,
0.001,640,20737,34.15,127,-47.20621804630055,20613,162,168.30378935000002,4.609713315963745,,
0.001,644,20865,33.96,127,-47.24691820144653,20741,163,167.25601373,3.936075657606125,,
0.001,648,20994,33.81,127,-46.45188307762146,20870,165,166.50169846,3.6627487801015377,,
0.001,652,21107,33.51,127,-47.191519546508786,20983,165,164.92803398,3.8972103028070357,,
0.001,656,21219,33.17,127,-47.14139834317294,21105,166,163.19029298,3.8778033581647007,,
0.001,660,21306,32.6,127,-46.616296005249026,21192,167,160.11402916999998,4.801402957815873,,
0.001,664,21382,31.93,127,-46.185987854003905,21272,168,156.58788629,16.306539485329075,,
0.001,668,21454,31.2,127,-47.523651885986325,21344,168,152.74619418999998,24.105741701628034,,
0.001,672,21525,30.48,127,-48.89120960235596,21415,169,148.96003839,12.215027809143066,,
0.001,676,21596,29.75,127,-51.18769454956055,21486,169,145.0824285,11.148322974934297,,
0.001,680,21674,29.17,127,-62.58703842163086,21562,170,141.883722,21.053340196609497,,
0.001,684,21756,28.61,127,-67.0976490020752,21644,170,138.85769984,36.89445414543152,,
0.001,688,21839,28.07,127,-62.85441346602006,21726,171,135.81323137,44.605783825828915,,
0.001,692,21925,27.6,127,-74.84934026544744,21812,172,133.17101109,63.04063268141313,,
0.001,696,22008,27.11,127,-74.3221768465909,21894,172,130.44857822000003,71.05590184529622,,
0.001,700,22090,26.6,127,-77.17044206099077,21978,173,127.65194514999999,63.57811092195057,,
0.001,704,22170,26.04,127,-86.53595733642578,22058,174,124.67105713000001,62.516539528256374,,
0.001,708,22252,25.54,127,-84.39440501819958,22140,174,121.94060559999998,81.35562442597889,,
0.001,712,22333,25.07,127,-81.70727767944337,22221,175,119.41013744999998,39.52478862944103,,
0.001,716,22415,24.58,127,-88.26340831409802,22302,175,116.70706612,56.34275045849028,,
0.001,720,22500,24.1,127,-85.72949295043945,22387,176,114.06332816000003,64.47144072396415,,
0.001,724,22582,23.62,127,-90.54959182739258,22469,177,111.44606509,55.41024671282087,,
0.001,728,22667,23.18,127,-96.80329686945134,22554,177,109.0264135,46.63797042483375,,
0.001,732,22748,22.72,127,-100.41611709594727,22636,178,106.54769573000002,41.995584106445314,,
0.001,736,22831,22.24,127,-99.96121292114258,22719,179,103.91062551,50.58840760730562,,
0.001,740,22913,21.76,127,-102.55353775024415,22800,179,101.29392130000001,58.589992141723634,,
0.001,744,22995,21.3,127,-104.37796173095703,22883,180,98.80652192000001,54.21261051722935,,
0.001,748,23072,20.78,127,-109.53486887613933,22961,181,96.05464688,62.15163772984555,,
0.001,752,23149,20.42,127,-104.1017852783203,23039,181,94.13602121999999,62.33039016723633,,
0.001,756,23227,20.08,127,-108.71902465820312,23115,182,92.27798006,53.36189937591553,,
0.001,760,23306,20.0,127,-117.48370590209962,23194,182,91.90034613000002,57.07863292694092,,
0.001,764,23384,20.02,127,-116.73239059448242,23272,183,92.02549615000002,58.587759780883786,,
0.001,768,23461,20.07,127,-115.53867797851562,23350,184,92.29436653,86.62376233151085,,
0.001,772,23540,20.15,127,-122.89909362792969,23428,184,92.71586888000002,61.25178604125976,,
0.001,776,23619,20.23,127,-124.34873453776042,23507,185,93.14342452999998,71.60031710172954,,
0.001,780,23698,20.24,127,-121.42658462524415,23587,185,93.2682896,70.07026443481445,,
0.001,784,23776,20.2,127,-126.5125633239746,23665,186,93.15552289000003,74.30409965515136,,
0.001,788,23856,20.17,127,-123.52741622924805,23745,187,93.12802123000002,65.63331040881928,,
0.001,792,23935,20.1,127,-130.71299591064454,23823,187,92.88396017000001,73.90848007202149,,
0.001,796,24011,20.03,127,-133.92787265777588,23899,188,92.64878200000001,74.18964587940889,,
0.001,800,24087,19.97,127,-135.42854766845704,23976,188,92.44570534999998,78.95390560752467,,
0.001,804,24164,19.94,127,-129.6829750061035,24052,189,92.39459755,73.36521670692845,,
0.001,808,24241,19.89,127,-127.60421218872071,24130,190,92.24087417999999,79.35383726421155,,
0.001,812,24318,19.85,127,-130.76529693603516,24206,190,92.13443874000001,75.0318667763158,,
0.001,816,24395,19.8,127,-136.8035193549262,24283,191,91.99317915999998,67.79092226530376,,
0.001,820,24472,19.72,127,-141.85064773559571,24362,192,91.69663249000001,77.35564308166504,,
0.001,824,24548,19.66,127,-129.8766960144043,24438,192,91.49015715999998,65.86689858687551,,
0.001,828,24626,19.59,127,-140.97322421603732,24515,193,91.24789445999998,71.27039678473221,,
0.001,832,24703,19.55,127,-132.5579704284668,24592,193,91.13207751,62.67922992706299,,
0.001,836,24778,19.47,127,-135.04827957153321,24668,194,90.84439056,76.72701303582443,,
0.001,840,24855,19.42,127,-134.61940307617186,24744,195,90.68249102,73.84141118902909,,
0.001,844,24931,19.36,127,-135.37989654541016,24820,195,90.48910941000003,73.83903302644428,,
0.001,,25000,,,-138.2369384765625,24895,,,72.6913202073839,91.22244570255279,19.5
,848,25006,19.34,126,,,196,90.39633989000002,,,
0.001,852,25082,19.33,126,-135.12453291151257,24971,197,90.33752142000003,78.18180867245323,,
0.001,856,25158,19.31,127,-133.34695281982422,25046,197,90.23530683999999,75.43567657470703,,
0.001,860,25236,19.3,127,-134.74619979858397,25124,198,90.18891402999999,72.98723501908152,,
0.001,864,25312,19.28,127,-132.85800857543944,25200,199,90.08293413000001,65.80415364315635,,
0.001,868,25390,19.29,127,-133.25671895345053,25279,199,90.13155913,70.85453957005551,,
