time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
73,65336.694363099996,1000.0,1400,106,149504,0.2,1351506.717578125,0.901481568813324,-0.07077785142173525,3.993511199951172e-06,720,0.029791996,0.0003,691943.5,-22.357664889097215,0.27216796875,,
,,,,,150000,0.2,1073713.4076171876,0.8999617695808411,-0.07668471174838487,0.00014573335647583008,730,0.034282487,0.0003,526976.375,-22.33079074025154,0.3015625,66644.28701858521,1000.0
74,65567.92720065,1000.0,1438,105,151552,,,,,,,,,,,,,
75,65675.35216341999,1000.0,1442,106,153600,0.2,1173627.5189453126,0.8991066217422485,-0.07640790582518094,-0.0002961158752441406,740,0.03551469,0.0003,590228.0625,-22.311995589733122,0.297802734375,,
,,,,,155000,0.2,1071856.6701171875,0.8981401324272156,-0.07536199961614329,-2.4199485778808594e-05,750,0.03303156,0.0003,477801.90625,-22.290353655815125,0.297509765625,63960.74483947754,1000.0
76,66078.07812077999,1000.0,1478,105,155648,,,,,,,,,,,,,
77,66502.3564272,1000.0,1483,106,157696,0.2,1587788.71484375,0.8968296051025391,-0.0776932483946439,2.4259090423583984e-05,760,0.0329666,0.0003,809477.25,-22.268009233474732,0.29375,,
78,66832.32629321999,1000.0,1488,107,159744,0.2,1258673.77265625,0.8944417238235474,-0.07415881401393562,4.76837158203125e-07,770,0.032984417,0.0003,646085.5,-22.230752497911453,0.292919921875,,
,,,,,160000,0.2,1146653.219921875,0.891478419303894,-0.08023885458824224,-2.384185791015625e-07,780,0.036049157,0.0003,561078.8125,-22.177305382490157,0.317724609375,81848.25384082794,1000.0
79,67140.25524532999,1000.0,1532,105,161792,,,,,,,,,,,,,
80,67260.1886275,1000.0,1538,106,163840,0.2,949989.19375,0.8889333009719849,-0.07810825648921309,-2.2649765014648438e-06,790,0.037896857,0.0003,470669.9375,-22.125038033723833,0.327880859375,,
