train/ent_coef_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
2.1966938972473145,1569704,0.015679124742746353,1569805,-267.892578125,4660,27911,5.627412796020508,641.66,56,0.0003,2020.2378922300004,,
-1.4242228269577026,1569899,0.0158107727766037,1570000,-271.1084289550781,,,99.39028930664062,,,0.0003,,2893.9446329593657,818.9
0.5635766983032227,1573188,0.015601377002894878,1573289,-271.5421447753906,4664,27972,2.8448662757873535,649.28,56,0.0003,2052.2880585499997,,
-3.683866024017334,1574899,0.015910906717181206,1575000,-271.365966796875,,,2.9194228649139404,,,0.0003,,2106.155961751938,675.6
1.40653657913208,1576247,0.015541286207735538,1576348,-272.93243408203125,4668,28024,3.9294660091400146,662.2,56,0.0003,2098.9219249499997,,
-0.017719507217407227,1578299,0.015268849208950996,1578400,-269.04241943359375,4672,28051,4.862745761871338,655.12,56,0.0003,2080.44965883,,
0.8841731548309326,1579899,0.015557613223791122,1580000,-271.63427734375,,,3.662907600402832,,,0.0003,,2881.374842351675,866.4
-2.3584437370300293,1580530,0.016126863658428192,1580631,-270.6598815917969,4676,28097,4.062005996704102,643.66,56,0.0003,2045.9322913299998,,
3.143005847930908,1582460,0.016085829585790634,1582561,-269.00189208984375,4680,28123,6.001102447509766,640.41,56,0.0003,2039.21159067,,
0.21289044618606567,1584899,0.01594461500644684,1585000,-269.7528076171875,,,4.141788005828857,,,0.0003,,2917.4505995571612,869.9
-3.023758888244629,1584907,0.015931040048599243,1585008,-271.7117919921875,4684,28172,4.220232963562012,632.45,56,0.0003,2019.26297671,,
3.509239673614502,1588366,0.016296187415719032,1588467,-271.7809143066406,4688,28217,5.51749324798584,641.06,56,0.0003,2050.84987319,,
-0.23847466707229614,1589899,0.015895133838057518,1590000,-271.1396484375,,,6.064669609069824,,,0.0003,,3100.599634844065,910.2
3.7353484630584717,1590971,0.015863703563809395,1591072,-270.75677490234375,4692,28269,5.747681617736816,643.9,56,0.0003,2064.5366816200003,,
-2.345951557159424,1594054,0.016163332387804985,1594155,-277.8334655761719,4696,28309,5.695528984069824,635.24,56,0.0003,2040.8650897300001,,
0.6088552474975586,1594899,0.016306689009070396,1595000,-273.86883544921875,,,7.024852752685547,,,0.0003,,3165.099090591073,905.2
-0.9367799758911133,1596515,0.016200216487050056,1596616,-274.91400146484375,4700,28359,6.074130058288574,638.24,56,0.0003,2055.8833086299996,,
-0.9234858751296997,1597796,0.017023896798491478,1597897,-274.5999755859375,4704,28376,3.3755669593811035,619.83,56,0.0003,1995.0661033,,
-3.001188039779663,1599899,0.016078084707260132,1600000,-274.9988098144531,,,4.222219944000244,,,0.0003,,2720.1616716504095,791.2
0.1774427890777588,1600061,0.015795867890119553,1600162,-274.31365966796875,4708,28420,5.3655900955200195,623.44,56,0.0003,2006.7067569899998,,
