time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
19000,0.0007,78,0.651551365852356,0.4078483283519745,243,-6.991559028625488,3800,142.51,0.5798466205596924,3799,-0.7260215282440186,-105.05710384999999,,
19500,0.0007,79,3.8413760662078857,1.0275589227676392,245,-6.820234775543213,3900,142.51,0.5677706599235535,3899,0.059992313385009766,-105.05710384999999,,
20000,0.0007,,2.4636991024017334,0.42376595735549927,,-6.6147637367248535,,,0.5534875392913818,3999,0.12744605541229248,,1000.0,955.3237845718861
20000,,91,,,218,,4000,152.19,,,,-106.23667819,,
20500,0.0007,92,0.703577995300293,0.18409323692321777,221,-6.441143035888672,4100,154.02,0.5416792631149292,4099,-0.7578502893447876,-103.54302779000001,,
21000,0.0007,93,32.93586349487305,65.15152740478516,224,-6.274497032165527,4200,157.82,0.5306392908096313,4199,0.05062609910964966,-101.91912500000002,,
21500,0.0007,94,0.027248812839388847,0.2620452046394348,226,-6.083383560180664,4300,157.83,0.5177106857299805,4299,-1.3060684204101562,-101.35336480000002,,
22000,0.0007,95,-1.54036545753479,0.6542009711265564,229,-5.872329235076904,4400,157.83,0.5045766234397888,4399,-12.496750831604004,-101.35336480000002,,
22500,0.0007,97,0.23917360603809357,0.47360363602638245,231,-5.710961818695068,4500,167.7,0.49432986974716187,4499,-0.32566213607788086,-101.2141249,,
23000,0.0007,98,0.9509794116020203,0.3197183609008789,234,-5.523049354553223,4600,167.7,0.48297932744026184,4599,-0.4000260829925537,-101.2141249,,
23500,0.0007,99,1.5215859413146973,0.40830013155937195,236,-5.324010372161865,4700,179.7,0.4710756540298462,4699,0.23055195808410645,-98.64297648999998,,
24000,0.0007,100,3.520364761352539,0.7422139048576355,238,-5.115507125854492,4800,174.07,0.4589686989784241,4799,0.13325655460357666,-86.18318613,,
24500,0.0007,101,-1.8963037729263306,0.1224106177687645,241,-4.90669059753418,4900,174.07,0.4468388855457306,4899,-0.1696641445159912,-86.18318613,,
25000,0.0007,,3.0131051540374756,1.206190586090088,,-4.717352390289307,,,0.4364869296550751,4999,-0.5451771020889282,,1000.0,969.1891497492791
25000,,114,,,217,,5000,183.65,,,,-84.12654249999997,,
