rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
,,,45000,,,416034.90625,0.0003,0.2,-0.06116693379590288,0.962140679359436,864772.1029296875,0.16015625,210,-23.46964101791382,0.016441524,-0.00037539005279541016,73222.54479122162,1000.0
1000.0,46077.01295073334,22,45056,389,115,,,,,,,,,,,,,
1000.0,46482.541880340425,23,47104,394,119,540227.375,0.0003,0.2,-0.06188633207348175,0.9611780643463135,1098800.2908203125,0.151220703125,220,-23.45124563574791,0.015800847,-0.0001430511474609375,,
1000.0,46655.63403328572,24,49152,399,122,412560.9375,0.0003,0.2,-0.06213860700663645,0.9578031897544861,849948.563671875,0.181005859375,230,-23.410373109579087,0.01826551,-0.0007582902908325195,,
,,,50000,,,357262.90625,0.0003,0.2,-0.06613660274888389,0.956356942653656,747301.3642578125,0.195068359375,240,-23.370401430130006,0.018350672,-2.181529998779297e-05,69531.16359062195,1000.0
1000.0,47790.31408007843,25,51200,436,117,,,,,,,,,,,,,
1000.0,48813.51228999999,26,53248,441,120,878689.0,0.0003,0.2,-0.06722680056118406,0.9539501070976257,1712075.33671875,0.177880859375,250,-23.337030577659608,0.017749736,3.057718276977539e-05,,
,,,55000,,,786040.9375,0.0003,0.2,-0.06266571327578277,0.9524197578430176,1476954.217578125,0.168017578125,260,-23.300862538814545,0.01649667,0.0001049041748046875,69388.45597457886,1000.0
1000.0,49437.63850129091,27,55296,479,115,,,,,,,,,,,,,
1000.0,50051.59760410526,28,57344,484,118,524704.1875,0.0003,0.2,-0.07049218620959437,0.9515937566757202,1070161.301171875,0.187353515625,270,-23.282636439800264,0.018426085,0.00015610456466674805,,
1000.0,50626.9303459661,29,59392,489,121,664421.6875,0.0003,0.2,-0.07021842422545888,0.9490403532981873,1255060.7623046874,0.185791015625,280,-23.247075808048248,0.018437825,0.0003662109375,,
,,,60000,,,753659.0,0.0003,0.2,-0.06962553728953935,0.9476660490036011,1309497.0982421874,0.19970703125,290,-23.21765911579132,0.019251943,-0.0005327463150024414,69632.86929225922,1000.0
1000.0,50789.306108901634,30,61440,525,116,,,,,,,,,,,,,
1000.0,51206.610502968244,31,63488,530,119,542359.0,0.0003,0.2,-0.07154503441997803,0.9459956884384155,993732.3890625,0.21806640625,300,-23.185285604000093,0.020398539,0.00035446882247924805,,
,,,65000,,,556610.5625,0.0003,0.2,-0.07093577502819244,0.9451517462730408,1093995.8603515625,0.19951171875,310,-23.168214958906173,0.019459775,5.841255187988281e-05,68459.12922935486,1000.0
1000.0,51526.77363078461,32,65536,566,115,,,,,,,,,,,,,
1000.0,51963.025597895525,33,67584,571,118,605737.5,0.0003,0.2,-0.06774365855962969,0.9429745674133301,1138968.01875,0.197705078125,320,-23.13603068590164,0.019401234,9.894371032714844e-06,,
1000.0,52175.94055331885,34,69632,576,120,602593.75,0.0003,0.2,-0.07181370290927588,0.9415716528892517,1158487.5919921875,0.20771484375,330,-23.10481503009796,0.020401588,-1.4901161193847656e-05,,
,,,70000,,,506347.8125,0.0003,0.2,-0.07155868550762534,0.938285231590271,986850.5439453125,0.225634765625,340,-23.057699143886566,0.022656461,2.4020671844482422e-05,69137.35478610992,1000.0
1000.0,52611.979712901404,35,71680,612,117,,,,,,,,,,,,,
1000.0,52875.53804378083,36,73728,616,119,663934.25,0.0003,0.2,-0.06393001977412496,0.9382534027099609,1195892.4767578125,0.1908203125,350,-23.033127611875535,0.018681262,2.4497509002685547e-05,,
