rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
5.69,19,-5.37326236,224,1235,63,0.0003,-16.088172912597656,5.891613006591797,1134,0.7121363878250122,-6.597786903381348,,
5.66,19,-5.28601323,228,1251,63,0.0003,-16.081974029541016,4.923040390014648,1150,0.7087950110435486,-6.7002458572387695,,
5.63,20,-5.311586329999999,232,1268,63,0.0003,-15.668439865112305,5.055305480957031,1167,0.7052559852600098,-6.737552642822266,,
5.66,20,-5.283589869999999,236,1292,63,0.0003,-15.217781066894531,6.376133441925049,1191,0.7002897262573242,-6.903899192810059,,
5.75,20,-5.360587509999999,240,1320,62,0.0003,-15.006235122680664,4.799241542816162,1219,0.6945291757583618,-7.1027140617370605,,
5.72,21,-5.376629960000002,244,1343,62,0.0003,-14.260625839233398,5.838161468505859,1242,0.6898404955863953,-7.262246608734131,,
5.71,21,-5.387755689999999,248,1363,62,0.0003,-15.507871627807617,5.178330421447754,1262,0.6857774257659912,-7.314069747924805,,
5.8,22,-5.461130969999999,252,1388,62,0.0003,-16.23670196533203,7.317562580108643,1287,0.6807321310043335,-7.4033308029174805,,
5.81,22,-5.4371107499999995,256,1410,62,0.0003,-15.083192825317383,4.14962100982666,1309,0.676332950592041,-7.5189995765686035,,
5.75,22,-5.32275981,260,1426,62,0.0003,-14.237028121948242,5.349309921264648,1325,0.6731591820716858,-7.6222381591796875,,
5.72,23,-5.25710416,264,1443,62,0.0003,-14.424036026000977,4.5057196617126465,1342,0.669799268245697,-7.6942458152771,,
5.75,23,-5.14668325,268,1469,62,0.0003,-14.923543930053711,5.610522270202637,1368,0.6646900773048401,-7.909686088562012,,
5.76,23,-5.10888683,272,1490,62,0.0003,-14.879044532775879,6.979633331298828,1389,0.6605824828147888,-8.047186851501465,,
5.74,24,-5.12523386,276,1509,62,0.0003,-14.039021492004395,3.727055072784424,1408,0.656886875629425,-8.101095199584961,,
5.62,24,-5.05846035,280,1527,62,0.0003,-14.329141616821289,5.831254959106445,1426,0.6534039974212646,-8.238037109375,,
5.61,24,-5.03870173,284,1550,62,0.0003,-14.182230949401855,9.119579315185547,1449,0.6489718556404114,-8.329744338989258,,
5.6,25,-5.04048513,288,1575,62,0.0003,-14.262076377868652,5.3403120040893555,1474,0.6442063450813293,-8.485466003417969,,
5.54,25,-4.9460033800000005,292,1600,62,0.0003,-13.65621566772461,5.8785295486450195,1499,0.6394621133804321,-8.615180969238281,,
5.53,25,-4.993399429999999,296,1622,62,0.0003,-14.055413246154785,7.733602523803711,1521,0.6353219151496887,-8.689273834228516,,
5.58,26,-5.1002456899999995,300,1648,62,0.0003,-13.971681594848633,6.083484172821045,1547,0.630468487739563,-8.919751167297363,,
5.48,26,-5.031796670000001,304,1667,62,0.0003,-13.752119064331055,7.099757194519043,1566,0.6269469857215881,-8.90680980682373,,
5.42,26,-5.00541747,308,1682,62,0.0003,-13.720078468322754,6.088967323303223,1581,0.6241865158081055,-9.024831771850586,,
5.44,27,-4.99915931,312,1709,62,0.0003,-13.096574783325195,6.069551944732666,1608,0.6192563772201538,-9.129828453063965,,
5.55,27,-5.03892202,316,1736,62,0.0003,-13.39579963684082,10.88459300994873,1635,0.6143514513969421,-9.315071105957031,,
5.49,28,-5.03325946,320,1759,62,0.0003,-13.312421798706055,7.630575180053711,1658,0.6102041006088257,-9.3743257522583,,
5.43,28,-4.95064301,324,1778,62,0.0003,-13.63455581665039,6.940512657165527,1677,0.6068131327629089,-9.510177612304688,,
5.47,28,-5.04853025,328,1798,62,0.0003,-12.786758422851562,6.092389106750488,1697,0.603264331817627,-9.699941635131836,,
5.52,29,-5.03125977,332,1820,62,0.0003,-13.16608715057373,7.838299751281738,1719,0.5993691086769104,-9.879789352416992,,
5.56,29,-5.0612572,336,1848,62,0.0003,-12.301971435546875,7.3471527099609375,1747,0.5944415926933289,-9.950194358825684,,
5.51,29,-4.99516984,340,1871,62,0.0003,-13.216723442077637,6.5737714767456055,1770,0.5904291272163391,-10.044614791870117,,
5.54,30,-4.996717620000001,344,1897,62,0.0003,-12.23198127746582,8.736700057983398,1796,0.5859281420707703,-10.183805465698242,,
5.59,30,-4.978471679999999,348,1922,62,0.0003,-12.219940185546875,8.272241592407227,1821,0.5816256999969482,-10.402814865112305,,
5.52,31,-4.921315790000001,352,1940,62,0.0003,-11.656760215759277,7.717092037200928,1839,0.5785447955131531,-10.44053840637207,,
5.56,31,-4.91028601,356,1966,62,0.0003,-12.989774703979492,10.44440746307373,1865,0.5741144418716431,-10.601957321166992,,
5.68,31,-4.90894336,360,1994,62,0.0003,-12.584667205810547,8.314226150512695,1893,0.5693790316581726,-10.728452682495117,,
5.66,32,-4.92630972,364,2009,62,0.0003,-10.56403923034668,6.523430824279785,1908,0.5668662786483765,-10.889726638793945,,
5.61,32,-4.794206159999999,368,2030,62,0.0003,-11.79135513305664,5.735118865966797,1929,0.5633604526519775,-11.009744644165039,,
5.57,32,-4.71239421,372,2047,62,0.0003,-11.686141967773438,4.5219550132751465,1946,0.5605261921882629,-11.160518646240234,,
5.54,33,-4.629923360000001,376,2063,62,0.0003,-11.251709938049316,5.606264114379883,1962,0.5578612089157104,-11.283197402954102,,
5.59,33,-4.62158305,380,2086,62,0.0003,-11.83961296081543,7.050092697143555,1985,0.5540482997894287,-11.47260856628418,,
5.52,33,-4.51515741,384,2102,62,0.0003,-11.54159927368164,6.676337242126465,2001,0.5514041185379028,-11.428572654724121,,
5.52,34,-4.514165940000001,388,2127,62,0.0003,-11.220325469970703,6.76400089263916,2026,0.5473030805587769,-11.707047462463379,,
5.52,34,-4.55146365,392,2152,62,0.0003,-11.12075424194336,7.210432052612305,2051,0.5432402491569519,-11.801473617553711,,
5.46,34,-4.46978692,396,2168,62,0.0003,-10.97568130493164,5.6052350997924805,2067,0.540651798248291,-11.918453216552734,,
5.41,35,-4.41481852,400,2189,62,0.0003,-11.271663665771484,6.660665035247803,2088,0.5372684597969055,-12.031793594360352,,
5.49,35,-4.39512653,404,2216,62,0.0003,-10.892833709716797,5.021007061004639,2115,0.5329554677009583,-12.179397583007812,,
5.56,35,-4.44944022,408,2238,62,0.0003,-10.770369529724121,6.08425235748291,2137,0.529466450214386,-12.239862442016602,,
5.54,36,-4.427901190000001,412,2263,62,0.0003,-10.505486488342285,5.162357330322266,2162,0.5255388617515564,-12.390687942504883,,
5.47,36,-4.3815189100000005,416,2283,62,0.0003,-10.135149955749512,6.639583587646484,2182,0.5224128365516663,-12.598306655883789,,
5.46,36,-4.38380009,420,2305,62,0.0003,-10.211822509765625,4.968283653259277,2204,0.5190023183822632,-12.654529571533203,,
5.47,37,-4.41171537,424,2325,62,0.0003,-10.45891284942627,5.971882343292236,2224,0.5159206986427307,-12.609047889709473,,
5.5,37,-4.365549510000001,428,2348,62,0.0003,-10.190528869628906,4.93437385559082,2247,0.5124121308326721,-12.821849822998047,,
5.53,37,-4.3182946300000005,432,2373,62,0.0003,-10.059930801391602,4.866884231567383,2272,0.5086292028427124,-12.995582580566406,,
5.42,38,-4.24595035,436,2390,62,0.0003,-9.59471321105957,7.605226516723633,2289,0.5060659646987915,-13.025357246398926,,
5.41,38,-4.19912778,440,2412,62,0.0003,-9.984624862670898,3.76381254196167,2311,0.5027645230293274,-13.186182022094727,,
5.4,38,-4.16099179,444,2437,62,0.0003,-9.986743927001953,4.652782440185547,2336,0.49903157353401184,-13.341703414916992,,
5.31,39,-4.122334019999999,448,2453,62,0.0003,-9.621023178100586,3.95827054977417,2352,0.49665236473083496,-13.45662784576416,,
5.3,39,-4.055531430000001,452,2470,62,0.0003,-10.037174224853516,5.5142951011657715,2369,0.49413999915122986,-13.535998344421387,,
5.31,39,-4.072348160000001,456,2497,62,0.0003,-10.01333236694336,4.907827377319336,2396,0.49018314480781555,-13.579532623291016,,
5.26,40,-4.14375117,460,2520,62,0.0003,-9.255363464355469,4.908891201019287,2419,0.4868364930152893,-13.780752182006836,,
5.4,40,-4.15480711,464,2549,62,0.0003,-9.775333404541016,7.538644313812256,2448,0.4826609790325165,-13.88349437713623,,
5.4,40,-4.230405859999999,468,2570,62,0.0003,-8.671250343322754,5.239743232727051,2469,0.4796726703643799,-13.981033325195312,,
5.4,41,-4.1969233500000005,472,2587,62,0.0003,-10.060723304748535,4.526411533355713,2486,0.47727805376052856,-14.112367630004883,,
5.45,41,-4.201611639999999,476,2608,62,0.0003,-9.009563446044922,3.8692798614501953,2507,0.4743398129940033,-14.023585319519043,,
5.43,41,-4.18159092,480,2629,62,0.0003,-8.874821662902832,3.9668898582458496,2528,0.47141513228416443,-14.13520336151123,,
5.43,42,-4.17926702,484,2645,62,0.0003,-9.176376342773438,4.928714752197266,2544,0.4692044258117676,-14.179275512695312,,
5.45,42,-4.05412726,488,2672,62,0.0003,-8.416369438171387,2.2968831062316895,2571,0.4654933512210846,-14.641340255737305,,
5.51,42,-4.10400866,492,2703,62,0.0003,-9.38145637512207,3.9297823905944824,2602,0.4612513780593872,-14.746780395507812,,
5.58,43,-4.16302112,496,2726,62,0.0003,-8.069683074951172,3.6340341567993164,2625,0.4581325650215149,-14.794988632202148,,
5.66,43,-4.22464036,500,2755,62,0.0003,-8.534112930297852,3.983706474304199,2654,0.4542354345321655,-14.817253112792969,,
5.55,44,-4.16343874,504,2771,62,0.0003,-8.734956741333008,4.255063056945801,2670,0.45210954546928406,-14.994088172912598,,
5.52,44,-4.07784526,508,2790,62,0.0003,-8.525989532470703,3.205414295196533,2689,0.449603408575058,-15.089180946350098,,
5.5,44,-4.02836573,512,2813,62,0.0003,-7.855557441711426,2.352242946624756,2712,0.4465968906879425,-15.232437133789062,,
5.54,45,-4.13852873,516,2837,62,0.0003,-7.535167694091797,3.672466278076172,2736,0.44348442554473877,-15.346214294433594,,
5.51,45,-4.05383448,520,2856,62,0.0003,-7.5994062423706055,3.1240923404693604,2755,0.44103768467903137,-15.220683097839355,,
5.54,45,-4.102785989999999,524,2879,63,0.0003,-8.311660766601562,3.3972318172454834,2778,0.4380866587162018,-15.463891983032227,,
5.5,45,-4.14672375,528,2898,63,0.0003,-8.389719009399414,3.239861488342285,2797,0.43564173579216003,-15.755642890930176,,
5.43,46,-4.114126420000001,532,2916,63,0.0003,-7.306363582611084,3.880359172821045,2815,0.43332263827323914,-15.867288589477539,,
