time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
432,88,9719,41.41,374.6395209799999,109,-112.54881009188566,0.001,47.6634598645297,9587,,
436,89,9883,41.76,377.9081795899999,109,-114.13248920440674,0.001,44.61467103035219,9716,,
,,10000,,,,-114.1308457510812,0.001,44.36432792400492,9897,47.5,431.5802879214287
440,91,10030,41.8,378.30831200999995,109,,,,,,
444,93,10168,41.91,379.33149546999994,109,-115.72730879350142,0.001,46.54238633049859,10041,,
448,94,10336,42.27,382.68506899,109,-115.6018624986921,0.001,49.815798360651186,10198,,
452,95,10468,41.84,378.66574104,109,-116.32534942626953,0.001,53.72148447036743,10325,,
456,97,10683,42.33,383.23220461,109,-117.0582758585612,0.001,56.15031852722168,10519,,
460,98,10829,42.73,386.93362599,109,-115.4951171875,0.001,66.98346722126007,10687,,
464,100,10980,42.67,386.39113973,109,-117.86513731214735,0.001,57.28194051175504,10853,,
,,11000,,,,-121.40311649867466,0.001,52.24164002029984,10880,47.6,432.14709463119505
468,102,11160,42.99,389.36297310000003,109,-120.93480371545863,0.001,66.64896302656693,11019,,
472,103,11305,42.67,386.37544565,109,-120.81183381514116,0.001,70.83727357652452,11159,,
476,105,11531,43.54,394.46342581,109,-120.85926600864956,0.001,67.14367294311523,11357,,
480,106,11682,43.4,393.14338567000004,109,-123.27182887150691,0.001,69.59323919736423,11545,,
484,108,11873,43.37,392.8585861600001,109,-123.96040864424272,0.001,79.93912639837156,11734,,
,,12000,,,,-123.69027964274089,0.001,85.24317670549665,11882,48.9,444.1892639756203
488,109,12008,43.43,393.40270831999993,109,,,,,,
492,111,12196,43.53,394.3316009100001,109,-126.10826110839844,0.001,78.86310614479913,12052,,
496,113,12335,43.43,393.39366435999995,109,-125.91932067871093,0.001,82.21543977698501,12208,,
500,114,12516,43.51,394.12156064000004,109,-131.12175750732422,0.001,95.97518204197739,12334,,
504,116,12681,43.33,392.43991100000005,109,-127.29418518066406,0.001,91.64996462452169,12530,,
508,118,12905,43.96,398.29221084000005,109,-132.2062000093006,0.001,90.92684464227585,12748,,
,,13000,,,,-129.09734562465124,0.001,80.3009695755808,12805,61.7,563.8236169338227
512,121,13191,44.4,402.3827370800001,108,-129.63798065185546,0.001,84.12551612854004,13024,,
516,123,13429,44.16,400.16123802000004,108,-131.53469257354737,0.001,104.01028890609741,13268,,
520,125,13655,44.31,401.5485250900001,108,-131.44141118666704,0.001,124.39633992139031,13500,,
524,127,13851,44.84,406.4836211799999,108,-132.82150110705146,0.001,103.09672878528464,13718,,
,,14000,,,,-134.76055653889975,0.001,137.18111114501954,13819,72.9,668.8011803507804
528,129,14097,45.36,411.33405250000004,108,-130.5587702906409,0.001,116.91356057559743,13904,,
532,133,14496,47.77,433.82596339,108,-138.60425131661552,0.001,122.40790782655988,14352,,
536,135,14799,49.16,446.78544614000003,108,-136.73456252248664,0.001,139.6051873156899,14611,,
,,15000,,,,-136.9579800975566,0.001,140.0222931678849,14839,56.0,510.90836218595507
540,138,15052,50.22,456.67386393999993,108,-139.27527598845654,0.001,155.21477107512646,14917,,
544,141,15344,51.76,471.03022794000003,108,-141.50914605458578,0.001,151.76836936790627,15202,,
548,143,15638,53.02,482.7641711200001,108,-142.75487278529576,0.001,149.82916823677394,15470,,
,,16000,,,,-143.4275543778031,0.001,146.22068356600676,15765,73.7,675.8391203641892
552,147,16037,55.69,507.65230826000004,108,,,,,,
556,150,16273,55.9,509.60763204,108,-145.24247360229492,0.001,172.78580273638715,16146,,
560,151,16478,56.49,515.11712545,108,-145.45626351492746,0.001,182.05176678509778,16327,,
,,17000,,,,-145.1745044605152,0.001,163.86315356074152,16452,277.3,2574.3160964131357
564,159,17216,62.36,569.84114105,107,-150.55031495935776,0.001,196.3360389595601,17042,,
568,161,17420,62.6,572.08709625,107,-151.18662588936942,0.001,170.39221155920694,17265,,
572,163,17633,63.28,578.43816809,107,-150.84806291447129,0.001,156.91796524580135,17507,,
576,166,17972,64.41,588.97220341,108,-154.11472778320314,0.001,181.95055586568427,17754,,
,,18000,,,,-154.77276210461633,0.001,183.7001792778403,17872,285.9,2655.733221256733
580,170,18258,65.76,601.5621280899999,107,-154.61642698808149,0.001,205.68696384215622,18041,,
,,19000,,,,-160.46471956041125,0.001,194.56288115183511,18857,673.7,6276.30811201334
584,182,19592,77.19,708.14602333,107,,,,,,
588,190,19907,78.99,724.9388036500001,104,-164.05129623413086,0.001,208.15180447227075,19709,,
,,20000,,,,-165.18795844184027,0.001,211.15771963331434,19897,79.5,729.6696735024452
,,21000,,,,-167.1178830774819,0.001,248.2196447791123,19979,1000.0,9323.678228855133
592,208,21271,90.75,834.6872904500001,101,-168.80865051269532,0.001,218.42876821899415,20979,,
,,22000,,,,-171.59034729003906,0.001,219.9363286336263,21246,1000.0,9321.100001430512
,,23000,,,,-181.52737458546957,0.001,231.0412916203135,22343,1000.0,9320.201374912262
596,234,23443,111.08,1024.4065950200002,99,,,,,,
,,24000,,,,-186.81163790893555,0.001,231.30294134902954,23343,1000.0,9324.508014774323
,,25000,,,,-195.91417951912715,0.001,210.8615258841679,24633,1000.0,9321.951941013336
,,26000,,,,-204.8398101196289,0.001,226.425311088562,25633,1000.0,9319.9678399086
600,284,26733,142.17,1314.5837605200004,94,,,,,,
,,27000,,,,-210.24396923828124,0.001,249.2525834312439,26633,1000.0,9319.97118358612
,,28000,,,,-217.33940466308593,0.001,266.11723238372804,27633,1000.0,9320.67076253891
,,29000,,,,-224.37115600585938,0.001,260.2643341217041,28633,1000.0,9320.523411369324
,,30000,,,,-231.4980625,0.001,276.0314729309082,29633,1000.0,9321.883145427704
604,345,30733,180.52,1672.4957977500003,88,,,,,,
,,31000,,,,-237.1916273803711,0.001,283.36167665100095,30633,1000.0,9321.750289344787
,,32000,,,,-240.5860153198242,0.001,299.0066918487549,31633,1000.0,9320.68829421997
,,33000,,,,-247.6298362426758,0.001,301.70731560516356,32633,1000.0,9320.582407093048
,,34000,,,,-251.70394421386717,0.001,306.06729777526857,33633,1000.0,9321.221839141846
608,409,34733,218.28,2024.9319800100002,84,,,,,,
,,35000,,,,-256.96457635498047,0.001,290.4404442977905,34633,1000.0,9320.505836772918
,,36000,,,,-261.32722744750976,0.001,320.6053335113525,35633,1000.0,9319.894863414764
,,37000,,,,-266.0207745361328,0.001,331.5226362686157,36633,1000.0,9320.451509571076
,,38000,,,,-270.6018133544922,0.001,352.1073702011108,37633,1000.0,9319.091562461854
612,468,38733,255.42,2371.52630213,82,,,,,,
,,39000,,,,-274.30959396362306,0.001,352.4889214096069,38633,1000.0,9320.274594402314
,,40000,,,,-275.77584045410157,0.001,385.303806892395,39633,1000.0,9320.07985343933
,,41000,,,,-280.2913160095215,0.001,369.8841527557373,40633,1000.0,9320.613825798035
,,42000,,,,-282.0845051574707,0.001,369.0097552642822,41633,1000.0,9320.560341644286
616,532,42733,293.04,2722.5944192800007,80,,,,,,
,,43000,,,,-284.5690925292969,0.001,368.0062450714111,42633,1000.0,9319.84961156845
,,44000,,,,-286.42741189575196,0.001,400.00317429351804,43633,1000.0,9321.049983310699
,,45000,,,,-288.4728824462891,0.001,393.39281007385256,44633,1000.0,9319.873458099366
,,46000,,,,-290.7935461425781,0.001,408.7930449447632,45633,1000.0,9319.702633190154
620,595,46733,330.78,3074.78991757,78,,,,,,
,,47000,,,,-290.67038970947266,0.001,378.6700799560547,46633,1000.0,9320.134207630157
,,48000,,,,-291.08442416381837,0.001,392.53605752563476,47633,1000.0,9319.49568901062
,,49000,,,,-293.40857873535157,0.001,371.20215467071534,48633,1000.0,9319.103360462188
,,50000,,,,-292.8796163330078,0.001,380.82330199432374,49633,1000.0,9320.85137348175
624,655,50733,368.82,3429.7747649099997,77,,,,,,
,,51000,,,,-294.4416246948242,0.001,404.32273249816893,50633,1000.0,9320.124979782104
,,52000,,,,-295.93633938598634,0.001,389.3956567382813,51633,1000.0,9319.901767539977
,,53000,,,,-296.74927026367186,0.001,385.6802793426514,52633,1000.0,9320.19200592041
,,54000,,,,-296.2965442504883,0.001,374.5469433670044,53633,1000.0,9320.049147224427
628,715,54733,406.36,3780.0950534500003,76,,,,,,
,,55000,,,,-296.1468181762695,0.001,379.05449920654297,54633,1000.0,9319.663847064972
,,56000,,,,-296.5138576660156,0.001,364.25518925476075,55633,1000.0,9319.2931016922
,,57000,,,,-297.3075168457031,0.001,323.3425304946899,56633,1000.0,9320.738431835174
,,58000,,,,-299.17228424072266,0.001,351.9285041885376,57633,1000.0,9320.231611061095
632,774,58733,442.37,4116.128966,75,,,,,,
,,59000,,,,-299.8510952758789,0.001,345.21620736694337,58633,1000.0,9319.763012599946
,,60000,,,,-300.688707824707,0.001,342.9174007339478,59633,1000.0,9319.819679641723
,,61000,,,,-300.79260406494143,0.001,339.13839695739745,60633,1000.0,9320.766527271271
,,62000,,,,-301.11390826416016,0.001,361.2591063232422,61633,1000.0,9321.288032150269
636,834,62733,479.34,4461.15185649,75,,,,,,
,,63000,,,,-301.0734051513672,0.001,356.80246545410154,62633,1000.0,9319.726474189758
,,64000,,,,-302.528408996582,0.001,345.33500961303713,63633,1000.0,9319.656343841552
,,65000,,,,-302.6154357910156,0.001,357.5749949645996,64633,1000.0,9319.688473796845
,,66000,,,,-302.5040299682617,0.001,357.48951036834717,65633,1000.0,9320.744846725464
640,894,66733,516.81,4810.8196880000005,74,,,,,,
,,67000,,,,-302.67713513183594,0.001,326.69680784606936,66633,1000.0,9320.194116210938
,,68000,,,,-303.2852974243164,0.001,316.9552179946899,67633,1000.0,9319.717053985596
,,69000,,,,-302.2801574707031,0.001,333.89262866973877,68633,1000.0,9320.475134277343
,,70000,,,,-304.5667841186523,0.001,289.0840357055664,69633,1000.0,9320.452018356324
644,954,70733,553.89,5156.868020919999,74,,,,,,
,,71000,,,,-305.0756007080078,0.001,304.2569239501953,70633,1000.0,9320.90919675827
,,72000,,,,-305.83267419433594,0.001,305.8297110977173,71633,1000.0,9319.907812786103
