time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
2473,29,480,82,5.04,4.36502165,0.0003,-13.041135787963867,2372,11.098514556884766,-15.084537506103516,0.49468106031417847,,
2493,30,484,82,5.06,4.402244980000001,0.0003,-13.21744155883789,2392,7.652958869934082,-14.106266021728516,0.49180319905281067,,
2511,30,488,82,5.07,4.398845119999999,0.0003,-13.142951011657715,2410,9.945812225341797,-14.982749938964844,0.48925086855888367,,
2532,30,492,82,5.1,4.415990519999999,0.0003,-13.262101173400879,2431,10.609668731689453,-14.843225479125977,0.4862969219684601,,
2551,30,496,82,5.04,4.3155325,0.0003,-13.285513877868652,2450,9.848739624023438,-15.840696334838867,0.4836164712905884,,
2570,31,500,82,5.0,4.22702042,0.0003,-13.531538009643555,2469,6.980539321899414,-13.611635208129883,0.4809602200984955,,
2596,31,504,82,5.05,4.26748545,0.0003,-13.743873596191406,2495,7.132026672363281,-14.204275131225586,0.4773302376270294,,
2615,31,508,82,5.05,4.24563015,0.0003,-13.917803764343262,2514,11.026185989379883,-15.231258392333984,0.4746688902378082,,
2634,31,512,82,5.06,4.276573330000001,0.0003,-14.277254104614258,2533,8.179265975952148,-13.866830825805664,0.47201383113861084,,
2659,32,516,82,5.13,4.350700209999999,0.0003,-14.222227096557617,2558,7.447971343994141,-13.933183670043945,0.4685326814651489,,
2678,32,520,82,5.08,4.32714686,0.0003,-14.044204711914062,2577,10.354612350463867,-13.499354362487793,0.4659190773963928,,
2694,32,524,82,5.04,4.32809887,0.0003,-14.000971794128418,2593,7.7477006912231445,-13.522546768188477,0.4637424647808075,,
2714,32,528,82,5.01,4.28947112,0.0003,-13.812836647033691,2613,9.950187683105469,-14.625226020812988,0.4610600173473358,,
2740,33,532,82,5.01,4.2963057,0.0003,-14.333694458007812,2639,7.994845867156982,-13.683652877807617,0.45761436223983765,,
2766,33,536,82,5.09,4.338590729999999,0.0003,-14.058343887329102,2665,7.502870082855225,-14.509763717651367,0.45419323444366455,,
2788,33,540,82,5.11,4.351147,0.0003,-14.604669570922852,2687,6.832620620727539,-13.561287879943848,0.4513239860534668,,
2811,34,544,82,5.18,4.42573576,0.0003,-14.589289665222168,2710,7.245676040649414,-13.521982192993164,0.4483438730239868,,
2834,34,548,82,5.27,4.4957053700000005,0.0003,-14.601011276245117,2733,6.355889797210693,-13.209562301635742,0.44537195563316345,,
2859,34,552,82,5.36,4.56772206,0.0003,-15.106914520263672,2758,6.0389509201049805,-12.218253135681152,0.44217002391815186,,
2874,34,556,82,5.35,4.54702425,0.0003,-14.817760467529297,2773,6.703583717346191,-12.507734298706055,0.44025862216949463,,
2897,35,560,82,5.27,4.43917455,0.0003,-15.229883193969727,2796,7.330336570739746,-13.502248764038086,0.4373498857021332,,
2927,35,564,82,5.39,4.507633009999999,0.0003,-15.287090301513672,2826,5.9519453048706055,-13.088441848754883,0.43353819847106934,,
2942,35,568,82,5.32,4.4277991199999995,0.0003,-15.587873458862305,2841,5.253890514373779,-12.389627456665039,0.4316311180591583,,
2965,35,572,82,5.32,4.390171359999999,0.0003,-15.684330940246582,2864,5.213872909545898,-12.606115341186523,0.4287126064300537,,
2989,36,576,82,5.36,4.43818906,0.0003,-15.759684562683105,2888,7.017724990844727,-12.548337936401367,0.42567792534828186,,
3016,36,580,82,5.43,4.45323356,0.0003,-16.105274200439453,2915,4.571283340454102,-12.306387901306152,0.42229968309402466,,
3041,36,584,82,5.48,4.4930952600000005,0.0003,-16.378009796142578,2940,4.012951850891113,-12.601064682006836,0.41916927695274353,,
3062,37,588,82,5.51,4.542202720000001,0.0003,-16.50966453552246,2961,4.92309045791626,-11.685165405273438,0.4165356457233429,,
3091,37,592,82,5.59,4.602364849999999,0.0003,-16.563615798950195,2990,5.267200469970703,-11.821898460388184,0.4129360616207123,,
3114,37,596,82,5.63,4.6324511,0.0003,-16.602542877197266,3013,4.920207500457764,-12.4061279296875,0.41011056303977966,,
3134,38,600,82,5.64,4.666755630000001,0.0003,-16.63230323791504,3033,5.273270606994629,-12.694195747375488,0.40768423676490784,,
3157,38,604,82,5.61,4.59656383,0.0003,-16.703447341918945,3056,3.4904723167419434,-11.6427001953125,0.4049190580844879,,
3179,38,608,82,5.64,4.6257486,0.0003,-16.85748291015625,3078,3.5150022506713867,-11.738192558288574,0.4023069739341736,,
3201,38,612,82,5.67,4.6193425900000005,0.0003,-16.518104553222656,3100,4.856011867523193,-13.14803695678711,0.3997171223163605,,
3216,39,616,82,5.57,4.4977902499999995,0.0003,-16.73516082763672,3115,4.501620292663574,-12.313730239868164,0.39796018600463867,,
3234,39,620,82,5.56,4.44319354,0.0003,-17.00836944580078,3133,4.884339332580566,-12.043293952941895,0.3958565592765808,,
3252,39,624,82,5.58,4.42122802,0.0003,-16.800811767578125,3151,3.007336139678955,-11.863449096679688,0.3937670886516571,,
3271,39,628,82,5.57,4.37554888,0.0003,-16.914443969726562,3170,3.3718831539154053,-12.285723686218262,0.39160144329071045,,
3294,40,632,82,5.54,4.32093889,0.0003,-16.621274948120117,3193,4.271553039550781,-11.753340721130371,0.3890380561351776,,
3308,40,636,82,5.42,4.23795872,0.0003,-16.82966423034668,3207,3.3142800331115723,-12.097246170043945,0.3874896764755249,,
3329,40,640,82,5.41,4.17909989,0.0003,-16.537437438964844,3228,3.372180938720703,-12.385885238647461,0.38518252968788147,,
3355,40,644,82,5.44,4.217349059999999,0.0003,-17.229522705078125,3254,3.072862148284912,-11.832820892333984,0.3823462724685669,,
3371,41,648,82,5.37,4.16375993,0.0003,-17.03394889831543,3270,3.3993005752563477,-10.556253433227539,0.3806045651435852,,
3392,41,652,82,5.33,4.10926009,0.0003,-17.408241271972656,3291,3.73130202293396,-10.323577880859375,0.3783135414123535,,
3414,41,656,82,5.4,4.15265044,0.0003,-17.615163803100586,3313,2.796175479888916,-11.196457862854004,0.3759095072746277,,
3436,41,660,82,5.39,4.125583860000001,0.0003,-17.657108306884766,3335,2.7807443141937256,-10.323078155517578,0.37351861596107483,,
3454,42,664,82,5.27,4.066389890000001,0.0003,-17.844005584716797,3353,3.1637587547302246,-10.912405967712402,0.3715701103210449,,
3471,42,668,82,5.29,4.10679714,0.0003,-18.257793426513672,3370,2.6862707138061523,-11.357612609863281,0.3697255551815033,,
3492,42,672,82,5.27,4.0723927,0.0003,-18.177827835083008,3391,3.187954902648926,-10.590263366699219,0.3674517869949341,,
