time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
21853,170.46849302999996,0.001,115,21733,-50.07932513693105,188,86.72,656,15.738430584254472,,
22221,171.57370538000004,0.001,115,22102,-50.51387173196544,191,86.79,660,14.82566842666039,,
22500,,0.001,,22383,-50.74708533287048,,,,12.971973184496164,94.05,194.29238269925116
22597,172.34729086,0.001,114,22477,-51.28059111250208,197,86.93,664,16.568458962947766,,
22979,172.87743407999997,0.001,114,22856,-51.24528846740723,200,87.09,668,16.930117267550845,,
23363,173.63122539,0.001,114,23239,-52.591023569521695,203,87.37,672,11.122039305266513,,
23749,174.47250330999995,0.001,114,23625,-52.253169775009155,206,87.68,676,13.184255005170902,,
24130,174.76956513999997,0.001,114,24012,-52.83350380261739,210,87.77,680,8.607885051518679,,
24524,175.61093499999998,0.001,114,24399,-53.660422007242836,213,88.13,684,13.018408477920847,,
24909,176.10892377000008,0.001,114,24784,-54.61819060643514,216,88.26,688,11.006051316857338,,
25000,,0.001,,24882,-53.98777155973473,,,,11.620057135212178,96.0,189.28121431469918
25292,176.45241913,0.001,113,25167,-54.53249533971151,222,88.33,692,13.356028387943903,,
25678,177.05611564999998,0.001,113,25554,-55.53523347815689,225,88.56,696,10.829905677814873,,
26062,177.46579252,0.001,113,25940,-56.07411575317383,228,88.73,700,10.193410734540409,,
26454,178.62306465,0.001,113,26329,-55.61749951044718,232,89.21,704,5.892662886491756,,
26846,178.96520632000002,0.001,114,26720,-56.71687278747559,235,89.45,708,11.56485383272171,,
27239,180.81960956999998,0.001,114,27116,-57.327215347290036,238,90.3,712,9.869313537472426,,
27500,,0.001,,27407,-57.68576248486837,,,,10.23988481403626,97.35,193.64561648964883
27629,184.08499936999996,0.001,113,27507,-58.2356941986084,244,91.73,716,9.050302724838257,,
28027,187.5330845,0.001,113,27899,-57.932642411212534,247,93.24,720,8.589939222043874,,
