time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
83968,41,357,291.67590383000004,61.55,235,0.0003,0.018597547,400,0.9463817477226257,0.2,-23.17446145415306,301.7419128417969,0.163525390625,0.674361914396286,860.7360551834106,-0.04999139054853004,,
85000,,,,,,0.0003,0.013219398,410,0.9457612633705139,0.2,-23.160867631435394,285.38763427734375,0.1072265625,0.6576981544494629,902.0874771118164,-0.04285601621522801,59.8,313.5341864645481
86016,42,356,286.12473833,60.69,241,,,,,,,,,,,,,
88064,43,357,299.43924158000004,63.39,246,0.0003,0.019284975,420,0.9448423981666565,0.2,-23.148931282758713,309.7374267578125,0.15615234375,0.6986023187637329,819.4505085945129,-0.050138084587524646,,
90000,,,,,,0.0003,0.017296549,430,0.9437637329101562,0.2,-23.128754359483718,337.29034423828125,0.131005859375,0.6700304746627808,854.6665037155151,-0.044621859001927076,64.15,333.94130996093156
90112,44,356,305.12807712,64.71,253,,,,,,,,,,,,,
92160,45,356,305.6568792,65.43,258,0.0003,0.017573599,440,0.9437949061393738,0.2,-23.11743321418762,410.0401611328125,0.143408203125,0.6899738311767578,876.8363179206848,-0.04826321823638864,,
94208,46,356,309.78628339999995,66.02,263,0.0003,0.017827343,450,0.9425426125526428,0.2,-23.104874151945115,358.98065185546875,0.142236328125,0.6717934906482697,946.2720567703248,-0.04937361218035221,,
95000,,,,,,0.0003,0.016254708,460,0.9421032071113586,0.2,-23.090798336267472,349.13018798828125,0.1333984375,0.7114288806915283,836.2759701728821,-0.047345690825022754,65.95,343.14473766833544
96256,47,355,306.84739157,65.07,270,,,,,,,,,,,,,
98304,48,357,300.70216149,62.71,274,0.0003,0.01670802,470,0.9423273801803589,0.2,-23.090777653455735,306.0598449707031,0.136474609375,0.7559589892625809,776.5822150230408,-0.04417714990559034,,
100000,,,,,,0.0003,0.016701657,480,0.9405800104141235,0.2,-23.073356407880784,250.0608673095703,0.132177734375,0.7703226208686829,626.7401412010192,-0.045309830992482605,61.2,315.16470340844245
100352,49,357,310.68773008,64.81,280,,,,,,,,,,,,,
102400,50,357,313.8580666,65.54,286,0.0003,0.016166752,490,0.9397426843643188,0.2,-23.0494786798954,257.8086242675781,0.12958984375,0.7324850857257843,689.672412109375,-0.0432003441179404,,
104448,51,358,320.30089662000006,67.37,291,0.0003,0.013725754,500,0.9393249154090881,0.2,-23.0392238676548,289.93475341796875,0.107373046875,0.7182049751281738,732.885267162323,-0.04117043851583731,,
105000,,,,,,0.0003,0.014223956,510,0.9396651983261108,0.2,-23.039206939935685,314.01373291015625,0.1140625,0.7868893146514893,632.3379839897156,-0.040848690312122925,61.05,316.3582774707582
106496,52,357,318.33045859000003,67.44,298,,,,,,,,,,,,,
108544,53,357,321.61141567000004,68.18,303,0.0003,0.011701623,520,0.9391894936561584,0.2,-23.035718435049056,237.54693603515625,0.0875,0.7324326634407043,763.7316420555114,-0.03870816366106737,,
110000,,,,,,0.0003,0.015718102,530,0.9387525916099548,0.2,-23.03006159067154,242.46351623535156,0.121142578125,0.791248545050621,655.4280317306518,-0.041376175245386546,57.5,297.4173737592995
110592,54,357,319.04732648999993,67.45,309,,,,,,,,,,,,,
112640,55,358,320.51271982,67.63,314,0.0003,0.0162157,540,0.9384782314300537,0.2,-23.021778815984725,171.9048309326172,0.130517578125,0.7901911735534668,583.7660722732544,-0.045806056214496495,,
114688,56,359,320.98595234,67.1,319,0.0003,0.017143238,550,0.9382300972938538,0.2,-23.016382390260695,233.13319396972656,0.12314453125,0.7883982509374619,638.5924117088318,-0.041498931517708115,,
115000,,,,,,0.0003,0.015323997,560,0.9381940960884094,0.2,-23.01257759332657,221.7398223876953,0.114892578125,0.7759153097867966,574.2839299201966,-0.04039243895676918,54.15,277.8949410717934
116736,57,358,317.86397456,66.65,326,,,,,,,,,,,,,
118784,58,358,333.04199431000006,69.52,331,0.0003,0.014188436,570,0.9382168650627136,0.2,-23.01154072880745,284.8201904296875,0.112451171875,0.7842846661806107,624.0556449890137,-0.04167768012266606,,
120000,,,,,,0.0003,0.014613183,580,0.9388967156410217,0.2,-23.017300802469254,231.7928924560547,0.108642578125,0.7833016663789749,559.7914048194885,-0.0396658901750925,52.35,266.48327302895484
120832,59,357,332.96999442,70.19,337,,,,,,,,,,,,,
122880,60,358,331.95482028,69.88,342,0.0003,0.014729546,590,0.9379123449325562,0.2,-23.01242744922638,258.8840637207031,0.1158203125,0.7807275801897049,632.4729254722595,-0.04094778319413308,,
124928,61,359,334.25892309000005,69.8,347,0.0003,0.015443711,600,0.9366483688354492,0.2,-22.99423604607582,243.88711547851562,0.112841796875,0.8021949380636215,576.0277079582214,-0.0410842591751134,,
125000,,,,,,0.0003,0.017443296,610,0.935793936252594,0.2,-22.97377192378044,144.6516876220703,0.13642578125,0.8470856994390488,489.7400991439819,-0.04244552046584431,52.9,267.61493025645615
126976,62,358,340.08464405,70.73,354,,,,,,,,,,,,,
129024,63,359,338.06496943999997,70.03,359,0.0003,0.015166943,620,0.935640811920166,0.2,-22.965619844198226,206.7639617919922,0.11181640625,0.7778612077236176,675.6298789978027,-0.0394108239619527,,
130000,,,,,,0.0003,0.015073028,630,0.9351878762245178,0.2,-22.958380061388016,268.54473876953125,0.118505859375,0.8190252184867859,536.3880855560303,-0.04038370843918528,57.7,293.9660061314702
131072,64,358,322.17863050000005,67.19,365,,,,,,,,,,,,,
133120,65,358,323.89378883000006,68.0,370,0.0003,0.016914014,640,0.9357247948646545,0.2,-22.9581602871418,210.23593139648438,0.133349609375,0.8178511708974838,520.6194645881653,-0.04482681424997281,,
135000,,,,,,0.0003,0.0147774685,650,0.936410665512085,0.2,-22.969830906391145,188.65985107421875,0.11337890625,0.822110116481781,481.52882232666013,-0.040346656201290895,55.4,282.3534846611321
135168,66,358,320.19866428,67.45,376,,,,,,,,,,,,,
137216,67,359,331.65386712,69.91,381,0.0003,0.01536899,660,0.9358408451080322,0.2,-22.96966034770012,169.46510314941406,0.13564453125,0.8483010828495026,429.5340127468109,-0.0429067132237833,,
139264,68,359,322.56336129,67.86,386,0.0003,0.016451372,670,0.9355881214141846,0.2,-22.962024128437044,143.33120727539062,0.120458984375,0.8432369381189346,459.32144351005553,-0.04434082013904117,,
140000,,,,,,0.0003,0.015646443,680,0.9356119632720947,0.2,-22.95835949778557,235.42263793945312,0.116943359375,0.8506248444318771,447.57533807754515,-0.042049434644286524,55.8,285.7072075307369
141312,69,358,326.56828198,67.9,393,,,,,,,,,,,,,
143360,70,359,331.41114251,68.79,398,0.0003,0.0126912035,690,0.9344285726547241,0.2,-22.947218972444535,188.03903198242188,0.1013671875,0.8100697845220566,601.2851010322571,-0.037380653631407766,,
145000,,,,,,0.0003,0.016876688,700,0.933343768119812,0.2,-22.92590736746788,123.9567642211914,0.131640625,0.858460009098053,426.37078485488894,-0.0435861439735163,57.8,300.36600332856176
145408,71,358,342.84685862999993,71.84,405,,,,,,,,,,,,,
147456,72,358,337.82456787,70.66,410,0.0003,0.01583844,710,0.9340139031410217,0.2,-22.919483405351638,147.47906494140625,0.123828125,0.8541927337646484,443.9549650669098,-0.040562069401494226,,
149504,73,360,330.68067284000006,69.76,415,0.0003,0.013153137,720,0.9349710941314697,0.2,-22.934267365932463,191.90797424316406,0.094482421875,0.8272581994533539,553.3323152542114,-0.0361525580228772,,
150000,,,,,,0.0003,0.015346187,730,0.9347810745239258,0.2,-22.942052936553956,142.3444366455078,0.114111328125,0.8275808691978455,443.9516139507294,-0.04145577785675414,56.85,293.8627424262464
151552,74,359,328.73206921,69.05,421,,,,,,,,,,,,,
