time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
162,6145,22.15,37.709878849999996,37,288,6031,0.6984065771102905,0.001,-15.21781063079834,,
163,6234,22.15,37.70446813999999,38,292,6121,0.3692710047418421,0.001,-15.91833478754217,,
163,6323,22.17,37.728620809999995,38,296,6209,0.4369560900059613,0.001,-15.457850542935459,,
163,6413,22.17,37.7194663,39,300,6300,0.4617729593407024,0.001,-15.303058537569912,,
163,6503,22.19,37.752201539999994,39,304,6390,0.6099496820698613,0.001,-16.127912521362305,,
163,6591,22.19,37.75114464,40,308,6478,0.7255557965148579,0.001,-15.666232802651145,,
163,6678,22.17,37.72116518,40,312,6565,0.4619052452700479,0.001,-15.511189842224121,,
164,6767,22.19,37.74426479,41,316,6653,0.6335896632888101,0.001,-15.69461813839999,,
164,6856,22.18,37.72143551,41,320,6743,0.5586279850939045,0.001,-16.15608969601718,,
164,6946,22.2,37.75343734,42,324,6833,0.7551953006874431,0.001,-16.189971923828125,,
164,7033,22.19,37.73430328,42,328,6920,0.648055149750276,0.001,-15.732711358503861,,
165,7121,22.19,37.72849713000001,43,332,7008,0.7739032764326442,0.001,-15.668303749778055,,
165,7210,22.2,37.74908889,43,336,7097,0.648784959858114,0.001,-15.780143737792969,,
165,7301,22.23,37.79718678,44,340,7187,0.9814390960064802,0.001,-15.67851075259122,,
165,7388,22.2,37.76318922,44,344,7276,0.6335510056127202,0.001,-15.610727483575994,,
165,7477,22.19,37.73231335,45,348,7364,0.4457257390022278,0.001,-15.85942181673917,,
,7500,,,,,7408,0.47766367955641315,0.001,-16.093547994440254,22.15,37.802464643120764
164,7566,22.17,37.71695965999999,46,352,7452,0.48767118426886474,0.001,-16.26765962080522,,
164,7654,22.15,37.68804206,46,356,7541,0.5434290002221647,0.001,-16.020771633494984,,
164,7741,22.13,37.66182001000001,47,360,7628,0.7304744110866026,0.001,-15.73408048803156,,
164,7830,22.15,37.700533560000004,47,364,7716,0.6045788106593218,0.001,-15.97655573758212,,
164,7918,22.15,37.691005010000005,48,368,7806,0.537932276725769,0.001,-15.996565558693625,,
164,8004,22.13,37.6581891,48,372,7892,0.7229735539073036,0.001,-16.255627372048117,,
164,8092,22.14,37.67872498,49,376,7979,0.5800632536411285,0.001,-15.952065988020463,,
164,8180,22.14,37.68725632,49,380,8068,0.4714137058366429,0.001,-15.963065147399902,,
164,8268,22.15,37.69241993,50,384,8155,0.5205496089024977,0.001,-15.88268973610618,,
165,8355,22.1,37.62940295000001,50,388,8243,0.7896467257629741,0.001,-16.413967912847344,,
165,8441,22.07,37.58267181,51,392,8328,0.7716988637333825,0.001,-15.83731495250355,,
165,8529,22.06,37.56208255000001,51,396,8416,1.0218807808730914,0.001,-15.756982008616129,,
165,8616,22.03,37.52871160000001,52,400,8504,0.6235573129220442,0.001,-16.021446834911,,
165,8704,22.01,37.498930179999995,52,404,8591,0.49884293431585486,0.001,-16.36541357907382,,
165,8794,22.03,37.517043599999994,53,408,8680,0.5971644683317705,0.001,-16.2903453653509,,
165,8885,22.07,37.57389143,53,412,8771,0.6552171512790348,0.001,-15.850743467157537,,
165,8974,22.07,37.57324872000001,54,416,8860,0.4976738379760222,0.001,-16.313354665582832,,
165,9061,22.05,37.548256380000005,54,420,8949,0.92664616164707,0.001,-16.289066314697266,,
165,9149,22.03,37.5217406,55,424,9036,0.8929567594419826,0.001,-15.88177472894842,,
165,9236,22.03,37.52789919,55,428,9123,0.4854460656642914,0.001,-15.898366061123935,,
165,9324,22.03,37.53292,56,432,9211,0.6083211356943304,0.001,-15.737584981051358,,
