time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
6903,391.73,684433,825.91078714,99,2484,0.001,683972,-104.73013218470982,6.219554190155414,,
,,685000,,,,0.001,684608,-104.66385108837183,11.036065491446614,309.0,899.9099233865738
6922,392.05,685283,828.3242929400002,98,2488,0.001,684922,-104.56275784437824,8.108425822607272,,
6930,388.85,686144,820.12482719,98,2492,0.001,685947,-105.73806359551169,9.199668756940149,,
6938,389.23,687322,824.2922609699999,99,2496,0.001,686777,-106.44352144944041,7.673995364653437,,
,,687500,,,,0.001,687223,-106.74688532534202,8.315767692610821,426.85,1131.757839420438
6966,393.7,688791,838.1854237000001,98,2500,0.001,688496,-108.03631033548494,8.54975348492948,,
,,690000,,,,0.001,689260,-108.47805665984868,7.59408310656491,435.2,1130.2511571466923
6994,401.68,690392,858.37002046,98,2504,0.001,690260,-108.06687600708008,7.7612303699254985,,
6997,394.34,690871,837.2390798100001,98,2508,0.001,690486,-108.49648952484131,8.229183673858643,,
7007,388.92,692077,847.0947405699999,98,2512,0.001,691662,-108.90671906854115,9.568614340176547,,
,,692500,,,,0.001,692364,-109.12303490638733,8.402721692994238,159.75,347.83267942368985
7018,380.8,692760,827.34360797,98,2516,0.001,692526,-109.54387203263647,10.041876688415622,,
7026,363.38,693673,815.1631045600001,98,2520,0.001,693393,-109.85431704109098,8.12385403042958,,
7035,342.44,694898,814.5586018399999,98,2524,0.001,694477,-110.81895910335493,9.721788119442456,,
,,695000,,,,0.001,694799,-110.736760536336,7.440839852235332,310.9,993.0376097500324
7056,329.25,696123,817.74976357,98,2528,0.001,695717,-111.60864369353355,6.980813066861783,,
7067,333.0,697399,833.5197507099999,98,2532,0.001,697011,-112.26715003639643,8.388962478083572,,
,,697500,,,,0.001,697300,-112.60275610562029,10.409084884765651,245.75,636.3534147143364
7085,320.09,698485,819.08679241,98,2536,0.001,698090,-112.02618533750123,8.191827682754662,,
7094,297.87,699703,819.0682032700001,98,2540,0.001,699179,-112.02267579109439,8.862063361999185,,
