time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
1703936,1000.0,162,832,10512,75111.28871333999,0.40917617082595825,0.730615234375,144150.96875,-0.05587479485548101,0.0003,267707.89580078126,8310,1.0967381,-8.562897270917892,0.0,0.2,,
1705000,,,,,,0.40875932574272156,0.796337890625,211468.375,-0.04066160703659989,0.0003,273433.463671875,8320,1.2747418,-8.550306484103203,7.033348083496094e-06,0.2,1000.0,75907.213818264
1705984,1000.0,161,833,10534,74957.53840135,,,,,,,,,,,,,
1708032,1000.0,162,834,10538,74828.65226966998,0.40824589133262634,0.73544921875,174862.734375,-0.043137963037588635,0.0003,270213.0852050781,8330,1.1237913,-8.530696150660514,0.0,0.2,,
1710000,,,,,,0.40812066197395325,0.746533203125,135959.65625,-0.05553403882076964,0.0003,306420.492578125,8340,1.2194076,-8.520489582419396,-1.1920928955078125e-07,0.2,1000.0,74462.17574911118
1710080,1000.0,161,835,10560,74979.65475001998,,,,,,,,,,,,,
1712128,1000.0,162,836,10564,74950.08520533,0.4076024293899536,0.7541015625,192658.265625,-0.05394215321866795,0.0003,355144.3283203125,8350,1.153375,-8.508726853132249,7.152557373046875e-07,0.2,,
1714176,1000.0,162,837,10568,74853.31579544999,0.4071381092071533,0.856640625,87732.7109375,-0.006889679774758406,0.0003,180722.6731689453,8360,2.3159547,-8.49966981112957,2.980232238769531e-07,0.2,,
1715000,,,,,,0.4068734347820282,0.780908203125,74847.953125,-0.051531323813833296,0.0003,248720.30524902343,8370,1.6669652,-8.474785321950913,7.748603820800781e-07,0.2,1000.0,73912.68066463471
1716224,1000.0,162,838,10590,74730.11452378001,,,,,,,,,,,,,
1718272,1000.0,162,839,10594,74863.96960644,0.4066888689994812,0.915087890625,62206.1328125,0.03637147758563515,0.0003,131157.37801513672,8380,3.86806,-8.481432935595512,2.9802322387695312e-06,0.2,,
1720000,,,,,,0.4064458906650543,0.67646484375,146673.78125,-0.06644901449908502,0.0003,266963.7088867187,8390,0.77075714,-8.467474952340126,1.7881393432617188e-06,0.2,1000.0,76750.11128063202
1720320,1000.0,162,840,10616,74839.02201877999,,,,,,,,,,,,,
1722368,1000.0,162,841,10619,74766.24226562999,0.4062480330467224,0.69521484375,115375.1796875,-0.05453722052043304,0.0003,265969.364453125,8400,0.8832036,-8.460213044285775,0.002041637897491455,0.2,,
1724416,1000.0,162,842,10623,75008.17759935999,0.4061354398727417,0.736328125,157363.3125,-0.05985012964229099,0.0003,270958.4115966797,8410,0.9978364,-8.447712317109108,-0.0003045797348022461,0.2,,
1725000,,,,,,0.4052780866622925,0.715576171875,154011.25,-0.07465786549146287,0.0003,423511.7095703125,8420,0.9632174,-8.42983732521534,-0.0026644468307495117,0.2,1000.0,76529.68884782791
1726464,1000.0,162,843,10646,74917.70410104998,,,,,,,,,,,,,
1728512,1000.0,162,844,10650,74895.06074449,0.40481483936309814,0.755615234375,140593.03125,-0.05837170036684256,0.0003,350910.0333984375,8430,1.1753641,-8.408123221993446,5.960464477539062e-07,0.2,,
1730000,,,,,,0.4039115011692047,0.78544921875,117202.8828125,-0.04773962696781382,0.0003,223985.2057861328,8440,1.4313786,-8.379161009192467,0.0004075169563293457,0.2,1000.0,74108.59743566513
1730560,1000.0,162,845,10673,74919.45358902,,,,,,,,,,,,,
1732608,1000.0,162,846,10676,75054.63014873999,0.40374961495399475,0.75859375,188589.53125,-0.07366925870301202,0.0003,270367.28999023436,8450,1.0938927,-8.35497118830681,2.9802322387695312e-06,0.2,,
1734656,1000.0,162,847,10680,75222.35434369,0.4040137231349945,0.74716796875,89867.296875,-0.06403036319534294,0.0003,320140.6246582031,8460,1.0258285,-8.357162201404572,-5.626678466796875e-05,0.2,,
1735000,,,,,,0.4035174548625946,0.76787109375,135306.6875,-0.04984297190385405,0.0003,268508.306640625,8470,1.3705151,-8.345386895537377,-0.20444095134735107,0.2,1000.0,77619.29760227204
1736704,1000.0,162,848,10702,75135.66305257002,,,,,,,,,,,,,
1738752,1000.0,162,849,10706,75091.75882792001,0.402748167514801,0.7673828125,131685.765625,-0.05418234372045845,0.0003,263530.61540527345,8480,1.1729815,-8.311228129267693,1.1920928955078125e-07,0.2,,
1740000,,,,,,0.40206974744796753,0.800830078125,82935.59375,-0.03422349403554108,0.0003,226410.22404785157,8490,1.4422283,-8.293578785657882,3.516674041748047e-06,0.2,1000.0,81863.49207916259
1740800,1000.0,162,850,10728,74852.17624716001,,,,,,,,,,,,,
1742848,1000.0,162,851,10731,74922.27567817,0.4011401832103729,0.795654296875,84306.9921875,-0.03816483637492638,0.0003,241325.500390625,8500,1.3617198,-8.25581764280796,-0.025572657585144043,0.2,,
1744896,1000.0,162,852,10735,75047.11908746998,0.400266170501709,0.77421875,154638.578125,-0.05940975669363979,0.0003,323011.9839355469,8510,1.3230987,-8.215968415141106,1.895427703857422e-05,0.2,,
1745000,,,,,,0.39990881085395813,0.776220703125,185439.015625,-0.051283410051837564,0.0003,330384.59194335935,8520,1.2275494,-8.18616055548191,-0.03161358833312988,0.2,1000.0,79724.98169097901
1746944,1000.0,162,853,10757,75252.54779248,,,,,,,,,,,,,
1748992,1000.0,162,854,10760,75112.729541,0.39978572726249695,0.788330078125,110191.5859375,-0.0413247074582614,0.0003,258888.01479492188,8530,1.2630535,-8.174814277887345,-8.845329284667969e-05,0.2,,
1750000,,,,,,0.399295449256897,0.6712890625,84045.6484375,-0.039651966787641865,0.0003,300697.9781738281,8540,1.0155258,-8.161099004745484,0.002564549446105957,0.2,1000.0,80303.29574260712
1751040,1000.0,162,855,10783,75298.03608911998,,,,,,,,,,,,,
1753088,1000.0,162,856,10787,75264.42928404,0.39898139238357544,0.7423828125,277734.84375,-0.0648157768388046,0.0003,412463.27802734374,8550,1.0042038,-8.144933730363846,0.00036281347274780273,0.2,,
1755000,,,,,,0.3979807198047638,0.758984375,153412.09375,-0.05376654060964938,0.0003,305877.6998535156,8560,1.0943835,-8.116741526126862,0.0014255642890930176,0.2,1000.0,76908.25668735504
1755136,1000.0,162,857,10809,75157.13588975,,,,,,,,,,,,,
1757184,1000.0,162,858,10814,75440.71196519998,0.39799490571022034,0.816064453125,54128.12109375,-0.023753674034378492,0.0003,186550.7537109375,8570,1.9937547,-8.08903206884861,-0.0023783445358276367,0.2,,
1759232,1000.0,162,859,10818,75650.01032164,0.39769139885902405,0.76474609375,168401.28125,-0.06653618092823307,0.0003,401831.92822265625,8580,1.1860217,-8.082151648402213,7.849931716918945e-05,0.2,,
1760000,,,,,,0.39756259322166443,0.7740234375,128558.734375,-0.040863314553280364,0.0003,273289.3666503906,8590,1.1715221,-8.077412435412407,-3.5762786865234375e-06,0.2,1000.0,80351.13580713273
1761280,1000.0,162,860,10840,75523.15765478,,,,,,,,,,,,,
1763328,1000.0,162,861,10844,75593.41954796,0.3982541263103485,0.841650390625,101776.96875,0.020374462369363754,0.0003,256092.98754882812,8600,2.219325,-8.094705986976624,0.0003606081008911133,0.2,,
1765000,,,,,,0.3979372978210449,0.738623046875,167309.875,-0.04925520760880318,0.0003,255332.00244140625,8610,1.2750713,-8.089401921629905,-0.0005981922149658203,0.2,1000.0,79207.61268568039
1765376,1000.0,162,862,10867,75689.58736969001,,,,,,,,,,,,,
1767424,1000.0,162,863,10870,75913.13044089,0.39728468656539917,0.739013671875,193258.125,-0.05657199994602706,0.0003,338984.3142089844,8620,1.2441483,-8.07460484802723,5.960464477539063e-08,0.2,,
1769472,1000.0,162,864,10875,75894.94269553,0.3970605432987213,0.843798828125,148360.125,-0.018541684551746585,0.0003,228577.14916992188,8630,2.0271168,-8.065028434991836,0.0011854171752929688,0.2,,
1770000,,,,,,0.39672207832336426,0.764599609375,167261.265625,-0.03783686848473735,0.0003,239715.43784179687,8640,1.3328621,-8.049321874976158,0.0003439188003540039,0.2,1000.0,80405.50026035309
1771520,1000.0,162,865,10897,76086.05059787,,,,,,,,,,,,,
1773568,1000.0,162,866,10901,76277.16194695,0.39594459533691406,0.756298828125,146563.59375,-0.04975641580531374,0.0003,306437.987109375,8650,1.2944322,-8.01691110432148,1.5020370483398438e-05,0.2,,
1775000,,,,,,0.39581793546676636,0.77802734375,88717.5859375,-0.04998164317803457,0.0003,233698.20043945312,8660,1.3674793,-8.00375510752201,2.0325183868408203e-05,0.2,1000.0,80399.10908765793
1775616,1000.0,162,867,10923,76514.58042060999,,,,,,,,,,,,,
1777664,1000.0,162,868,10927,76745.30920787,0.3959115445613861,0.7478515625,126029.046875,-0.054750485374825075,0.0003,294040.88588867185,8670,1.0955286,-7.999590277671814,0.00010442733764648438,0.2,,
1779712,1000.0,162,869,10932,76787.09835967999,0.3960261046886444,0.76259765625,102412.2734375,-0.043988779484061526,0.0003,196599.23720703126,8680,1.178201,-8.002111960947513,8.016824722290039e-05,0.2,,
1780000,,,,,,0.39585310220718384,0.7740234375,128786.078125,-0.0506289405428106,0.0003,215500.97055664062,8690,1.218519,-8.00185644030571,-2.7060508728027344e-05,0.2,1000.0,79862.36951761246
1781760,1000.0,162,870,10954,76675.0254721,,,,,,,,,,,,,
1783808,1000.0,162,871,10958,76475.33423205,0.39542248845100403,0.837451171875,40222.04296875,0.0040754221467068415,0.0003,137037.04051513673,8700,2.201139,-7.99719824641943,0.0011783242225646973,0.2,,
1785000,,,,,,0.39505258202552795,0.802490234375,73706.40625,-0.010329511814052238,0.0003,174658.05666503907,8710,1.4191068,-7.965296977758408,-1.1920928955078125e-07,0.2,1000.0,80412.2631023407
1785856,1000.0,162,872,10981,76269.89750247999,,,,,,,,,,,,,
1787904,1000.0,162,873,10984,76467.60344983,0.39511141180992126,0.768115234375,76362.765625,-0.03365837168239523,0.0003,175679.59274902343,8720,1.1749067,-7.963744594156742,4.172325134277344e-07,0.2,,
1789952,1000.0,162,874,10989,76730.14647231,0.39496877789497375,0.752001953125,145348.8125,-0.048381168345804325,0.0003,237772.83461914063,8730,1.1158243,-7.964797297120095,7.748603820800781e-06,0.2,,
1790000,,,,,,0.3940470814704895,0.7861328125,133221.890625,-0.04531445089960471,0.0003,279915.0972167969,8740,1.3681345,-7.946384175121784,0.0008386969566345215,0.2,1000.0,78802.37363910675
1792000,1000.0,162,875,11011,76924.61613635998,,,,,,,,,,,,,
1794048,1000.0,162,876,11015,76942.58192658,0.3937336504459381,0.74931640625,96924.8125,-0.06014554718858563,0.0003,259487.34990234376,8750,0.9482571,-7.915052157640457,-3.933906555175781e-06,0.2,,
1795000,,,,,,0.3944569230079651,0.818798828125,91857.8125,-0.03698898267175536,0.0003,159604.52504882813,8760,1.8329172,-7.934592701494694,6.002187728881836e-05,0.2,1000.0,78278.93988046647
1796096,1000.0,162,877,11037,77056.52988078,,,,,,,,,,,,,
1798144,1000.0,162,878,11041,77254.86598741001,0.3944232165813446,0.765478515625,181594.578125,-0.060577197870588864,0.0003,270996.0848632812,8770,1.2006946,-7.938135035336018,0.0,0.2,,
