train/n_updates,time/iterations,train/learning_rate,train/std,train/entropy_loss,train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
8299,8300,0.0007,0.4229303002357483,-4.460877418518066,4.006969451904297,41500,-33.42042866,393,-0.956326961517334,213.81,1.3709055185317993,105,,
8399,8400,0.0007,0.41660916805267334,-4.342058181762695,-6.8178629875183105,42000,-30.86430964,396,-0.40913403034210205,223.2,2.8029303550720215,105,,
8499,8500,0.0007,0.41471433639526367,-4.302346229553223,5.8829345703125,42500,-28.75804483,398,-1.4757893085479736,226.63,3.0226752758026123,106,,
8599,8600,0.0007,0.41009682416915894,-4.213286876678467,-9.178110122680664,43000,-27.8214093,401,-10.753503799438477,228.55,3.3688302040100098,107,,
8699,8700,0.0007,0.406222403049469,-4.138978004455566,-10.75128173828125,43500,-27.8214093,404,-26.342453002929688,228.55,5.758338928222656,107,,
8799,8800,0.0007,0.40460532903671265,-4.104387283325195,-8.48741340637207,44000,-24.484156669999997,407,-0.4542330503463745,237.67,9.22412395477295,108,,
8899,8900,0.0007,0.4048117399215698,-4.103765487670898,-0.6443312764167786,44500,-21.99567644,409,0.08164417743682861,242.95,2.883633613586426,108,,
8999,,0.0007,0.4006071984767914,-4.029228210449219,-6.431848049163818,45000,,,-17.39096450805664,,1.7852720022201538,,908.8910433381795,1000.0
,9000,,,,,45000,-21.99567644,436,,242.95,,103,,
9099,9100,0.0007,0.3947758674621582,-3.908398389816284,-1.7342100143432617,45500,-19.148609529999998,438,-0.5844713449478149,252.49,1.3739988803863525,103,,
9199,9200,0.0007,0.3934541344642639,-3.882106065750122,-1.3488825559616089,46000,-17.031501900000002,442,-9.047201156616211,256.51,2.1170716285705566,104,,
9299,9300,0.0007,0.39081016182899475,-3.8255555629730225,3.5020580291748047,46500,-16.619916189999998,445,-0.783035159111023,258.92,0.9846577048301697,104,,
9399,9400,0.0007,0.38592132925987244,-3.727576494216919,-0.5661928057670593,47000,-16.619916189999998,447,-1.8888063430786133,258.92,0.15188661217689514,104,,
9499,9500,0.0007,0.38129550218582153,-3.6272385120391846,-4.829116344451904,47500,-12.874795789999997,450,-16.254165649414062,269.09,4.351449489593506,105,,
9599,9600,0.0007,0.3764132857322693,-3.530299425125122,-14.670022964477539,48000,-12.874795789999997,453,-6.054638862609863,269.09,9.383776664733887,105,,
9699,9700,0.0007,0.3723331093788147,-3.44140625,8.936601638793945,48500,-6.8405209000000005,455,-11.686054229736328,277.39,7.811143398284912,106,,
9799,9800,0.0007,0.3704734444618225,-3.4030978679656982,-10.925834655761719,49000,-5.877714779999999,458,-1.0058672428131104,276.81,8.076128959655762,106,,
9899,9900,0.0007,0.36882704496383667,-3.36258864402771,-8.443531036376953,49500,-2.6397993999999994,461,-14.153529167175293,282.17,28.180419921875,107,,
9999,,0.0007,0.36815351247787476,-3.354529619216919,3.176985740661621,50000,,,-7.271137237548828,,3.566169023513794,,763.5410363635747,1000.0
,10000,,,,,50000,-1.3841524199999986,489,,284.86,,102,,
10099,10100,0.0007,0.36656588315963745,-3.318075180053711,-13.481073379516602,50500,2.1308132,492,-2.9317948818206787,291.6,16.40205192565918,102,,
10199,10200,0.0007,0.3651154637336731,-3.2824699878692627,11.438770294189453,51000,7.022491280000002,494,-31.43682098388672,291.77,19.696781158447266,103,,
10299,10300,0.0007,0.3630978763103485,-3.2415168285369873,-1.1520313024520874,51500,18.07768781,497,-6.429863929748535,273.0,2.2957959175109863,103,,
10399,10400,0.0007,0.35999399423599243,-3.1720104217529297,-2.494957447052002,52000,19.30259492,499,-0.3239572048187256,272.79,1.038016676902771,104,,
10499,10500,0.0007,0.3563528060913086,-3.094419479370117,3.7261123657226562,52500,19.30259492,502,-0.7893127202987671,272.79,4.305802345275879,104,,
10599,10600,0.0007,0.3528467118740082,-3.0142836570739746,-5.7757248878479,53000,25.01579996,505,-0.3025031089782715,285.74,5.001613616943359,104,,
10699,10700,0.0007,0.3513305187225342,-2.9812064170837402,-3.5565953254699707,53500,25.900375689999997,507,-1.77976393699646,287.9,3.3160979747772217,105,,
10799,10800,0.0007,0.349368155002594,-2.9327797889709473,-3.9480130672454834,54000,31.34238364999999,510,-1.0346639156341553,291.62,2.842480421066284,105,,
10899,10900,0.0007,0.3447691798210144,-2.828953981399536,-2.6613705158233643,54500,31.34238364999999,513,-11.482324600219727,291.62,14.449545860290527,106,,
10999,,0.0007,0.34246882796287537,-2.7730700969696045,-1.1905019283294678,55000,,,-44.606224060058594,,2.4248108863830566,,881.6241955659352,1000.0
,11000,,,,,55000,35.66202143,538,,301.19,,102,,
11099,11100,0.0007,0.34110406041145325,-2.7457990646362305,8.42838191986084,55500,40.490930799999994,541,-64.92279052734375,295.59,41.1981315612793,102,,
11199,11200,0.0007,0.3388257324695587,-2.6889472007751465,1.2157716751098633,56000,40.490930799999994,543,-1.0320188999176025,295.59,0.5112399458885193,103,,
11299,11300,0.0007,0.3371161222457886,-2.6499440670013428,-3.898362398147583,56500,44.95611288,546,-0.7892880439758301,304.25,1.5785155296325684,103,,
11399,11400,0.0007,0.3337765336036682,-2.570774793624878,0.632182776927948,57000,44.95611288,548,-0.5625759363174438,304.25,0.2742185890674591,103,,
11499,11500,0.0007,0.3312315344810486,-2.5100183486938477,-2.242377519607544,57500,48.79390068,551,-12.911986351013184,314.09,0.916946530342102,104,,
11599,11600,0.0007,0.3287891745567322,-2.448936939239502,-0.16211466491222382,58000,51.001064529999994,553,-0.4069002866744995,317.49,0.2648397386074066,104,,
11699,11700,0.0007,0.32697367668151855,-2.4072329998016357,-5.433095932006836,58500,51.001064529999994,556,-1.4912700653076172,317.49,2.513643741607666,105,,
11799,11800,0.0007,0.32424917817115784,-2.337007522583008,7.137609958648682,59000,60.06774898,558,-8.450742721557617,317.12,7.923702239990234,105,,
11899,11900,0.0007,0.32226166129112244,-2.28686261177063,-3.0055911540985107,59500,60.06774898,561,-5.712133884429932,317.12,2.6422011852264404,105,,
11999,,0.0007,0.3193206191062927,-2.212451696395874,-2.7229983806610107,60000,,,-0.5999559164047241,,3.7170612812042236,,611.9129356101155,1000.0
,12000,,,,,60000,65.85220206,587,,317.12,,102,,
12099,12100,0.0007,0.31682831048965454,-2.152371406555176,1.2564440965652466,60500,65.85220206,589,-2.1137802600860596,317.12,2.3841285705566406,102,,
12199,12200,0.0007,0.3149019479751587,-2.098780632019043,7.740360260009766,61000,72.35268935,592,0.3099913001060486,316.34,4.411401748657227,102,,
12299,12300,0.0007,0.31323322653770447,-2.0563912391662598,14.63670825958252,61500,72.35268935,594,-13.43946361541748,316.34,39.15082931518555,103,,
12399,12400,0.0007,0.3109869956970215,-2.0000782012939453,-9.048013687133789,62000,77.41729493,597,-2.4819746017456055,325.95,13.685729026794434,103,,
12499,12500,0.0007,0.30782949924468994,-1.917150855064392,1.648004174232483,62500,77.41729493,599,-2.472320556640625,325.95,1.6900440454483032,104,,
12599,12600,0.0007,0.3051806688308716,-1.846796989440918,3.465419054031372,63000,82.78281150999999,602,-0.1802126169204712,335.25,5.83174991607666,104,,
12699,12700,0.0007,0.30326610803604126,-1.794638991355896,11.746912956237793,63500,82.78281150999999,604,-20.21471405029297,335.25,15.899383544921875,104,,
12799,12800,0.0007,0.3013899326324463,-1.7509044408798218,-1.323697566986084,64000,87.04273477999999,607,-1.041795015335083,342.26,0.7279782295227051,105,,
12899,12900,0.0007,0.2984663248062134,-1.668484091758728,1.472725749015808,64500,87.04273477999999,610,-17.271743774414062,342.26,1.2938657999038696,105,,
12999,,0.0007,0.29898062348365784,-1.6880778074264526,-1.0787006616592407,65000,,,-1.2026736736297607,,0.6297948360443115,,464.6773975893855,1000.0
,13000,,,,,65000,93.70195839999998,637,,342.26,,102,,
13099,13100,0.0007,0.29749739170074463,-1.6459137201309204,1.4469177722930908,65500,98.08033168999998,639,-3.232041835784912,350.38,1.4060362577438354,102,,
13199,13200,0.0007,0.2952553927898407,-1.5827009677886963,3.3030478954315186,66000,98.08033168999998,641,-0.5791897773742676,350.38,2.3178515434265137,102,,
13299,13300,0.0007,0.29261720180511475,-1.513806700706482,0.61246258020401,66500,104.86424998999999,644,-2.077364921569824,350.38,1.3663777112960815,103,,
13399,13400,0.0007,0.29090115427970886,-1.4651615619659424,1.2296167612075806,67000,104.86424998999999,646,0.11672806739807129,350.38,0.9083928465843201,103,,
13499,13500,0.0007,0.2877865135669708,-1.3839101791381836,-0.6491209268569946,67500,110.32694955999999,648,-0.8092889785766602,360.05,2.9194858074188232,104,,
13599,13600,0.0007,0.28566974401474,-1.318416953086853,2.1072938442230225,68000,110.86357686999997,650,0.21332216262817383,360.59,3.4795949459075928,104,,
13699,13700,0.0007,0.2836756110191345,-1.2635735273361206,-0.3621061444282532,68500,110.86357686999997,653,0.6114816963672638,360.59,0.04219365119934082,104,,
13799,13800,0.0007,0.2816188931465149,-1.205149531364441,-0.00854260940104723,69000,115.88677444000001,655,-1.5796918869018555,369.52,0.5609362721443176,105,,
13899,13900,0.0007,0.27732640504837036,-1.080039381980896,0.170247420668602,69500,115.88677444000001,657,-1.670856237411499,369.52,0.506604015827179,105,,
13999,,0.0007,0.2741923928260803,-0.9901502728462219,-0.7849287390708923,70000,,,0.26687175035476685,,5.223959445953369,,905.7318547327071,1000.0
,14000,,,,,70000,121.47775102000001,688,,378.79,,101,,
14099,14100,0.0007,0.2729877233505249,-0.9530441164970398,-2.844862699508667,70500,125.56779905000002,691,-1.9666883945465088,385.76,2.104228973388672,101,,
14199,14200,0.0007,0.2723117470741272,-0.9291269183158875,0.18999677896499634,71000,125.56779905000002,694,-11.926600456237793,385.76,0.2938048243522644,102,,
14299,14300,0.0007,0.26976412534713745,-0.8564518094062805,0.02710503712296486,71500,131.75255493,696,-45.05392837524414,394.38,0.21262376010417938,102,,
14399,14400,0.0007,0.2675025463104248,-0.7867660522460938,-0.4696798324584961,72000,131.75255493,700,0.20565557479858398,394.38,2.500699758529663,102,,
14499,14500,0.0007,0.26401305198669434,-0.6769185066223145,1.0137202739715576,72500,138.92658452,703,-14.413053512573242,404.06,1.3154760599136353,103,,
14599,14600,0.0007,0.2599514126777649,-0.5549441576004028,0.04374127835035324,73000,138.92658452,705,-0.37469208240509033,404.06,0.03256140276789665,103,,
14699,14700,0.0007,0.2566707134246826,-0.4548477232456207,-0.07735992968082428,73500,144.98787094000002,708,-1.28920316696167,412.93,0.3745483458042145,103,,
14799,14800,0.0007,0.25235515832901,-0.31979501247406006,0.07355501502752304,74000,144.98787094000002,710,0.1330890655517578,412.93,0.11451386660337448,104,,
14899,14900,0.0007,0.24966828525066376,-0.2353959083557129,-0.15657387673854828,74500,151.71136949,713,-0.023663043975830078,422.78,1.3732389211654663,104,,
14999,,0.0007,0.2468220442533493,-0.14592790603637695,-1.2301092147827148,75000,,,-0.418876051902771,,0.3975594639778137,,855.3960786685348,1000.0
