train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
124600,100.0,57.003478927612306,1187,1248,105,124800,0.001,0.1281010365486145,-44.190247740000004,,
124800,,56.894607315063475,,,,125000,0.001,0.1416471866518259,,-48.14295919999999,100.0
125000,100.0,57.02177749633789,1191,1252,105,125200,0.001,0.12966703042387961,-44.16601094,,
125300,,57.09021339416504,,,,125500,0.001,0.11446833215653897,,-50.63715714999999,100.0
125400,100.0,57.042488174438475,1195,1256,105,125600,0.001,0.11854139000177383,-44.03668278,,
125800,,56.93968940734863,,,,126000,0.001,0.12655492439866067,,-45.8092591,100.0
,100.0,,1199,1260,105,126000,,,-44.08542377,,
126200,100.0,56.920018157958985,1202,1264,105,126400,0.001,0.1456518342345953,-43.84451314999999,,
126300,,57.073672485351565,,,,126500,0.001,0.13011132813990117,,-42.99118475,100.0
126600,100.0,56.90055206298828,1206,1268,105,126800,0.001,0.14293695129454137,-43.50480298,,
126800,,56.75762153625488,,,,127000,0.001,0.11679681625217199,,-45.325589150000006,100.0
127000,100.0,56.92311767578125,1210,1272,105,127200,0.001,0.12444037407636642,-43.40858977999999,,
127300,,56.951258697509765,,,,127500,0.001,0.11589355796575546,,-44.4472023,100.0
127400,100.0,56.846585998535154,1215,1276,105,127600,0.001,0.14815986782312393,-43.37826397999999,,
127800,,56.80901657104492,,,,128000,0.001,0.116927969455719,,-42.7949493,100.0
,100.0,,1219,1280,104,128000,,,-43.33642648,,
128200,100.0,56.94662979125977,1221,1284,105,128400,0.001,0.1074232378974557,-43.53767426,,
128300,,56.82588325500488,,,,128500,0.001,0.0965986406058073,,-45.145500150000004,100.0
128600,100.0,56.87784446716309,1226,1288,105,128800,0.001,0.11471168205142021,-43.73703635,,
128800,,56.93373779296875,,,,129000,0.001,0.12292523868381977,,-44.85668045,100.0
129000,100.0,57.03208587646484,1230,1292,104,129200,0.001,0.11873116347938777,-43.372243190000006,,
129300,,56.95214393615723,,,,129500,0.001,0.14478596404194832,,-60.74054205000001,100.0
129400,100.0,57.08939025878906,1234,1296,104,129600,0.001,0.1307993471622467,-43.7943105,,
129800,,56.89523750305176,,,,130000,0.001,0.09859310548752546,,-45.7584045,100.0
,100.0,,1239,1300,104,130000,,,-44.006181870000006,,
130200,100.0,56.73630126953125,1241,1304,105,130400,0.001,0.09550587933510542,-44.20214743,,
130300,,56.75946159362793,,,,130500,0.001,0.09356949668377638,,-49.5998922,100.0
130600,100.0,56.64526466369629,1245,1308,104,130800,0.001,0.10215241935104132,-44.22744193,,
130800,,56.68730041503906,,,,131000,0.001,0.15986861273646355,,-45.105090700000005,100.0
131000,100.0,56.72837577819824,1250,1312,104,131200,0.001,0.09211547221988439,-43.976773810000005,,
131300,,56.68276748657227,,,,131500,0.001,0.09055795036256313,,-45.33560375,100.0
131400,100.0,56.59968437194824,1254,1316,104,131600,0.001,0.08575186517089606,-43.972992070000004,,
131800,,56.58924209594726,,,,132000,0.001,0.08297148697078228,,-45.85819795,100.0
,100.0,,1258,1320,104,132000,,,-43.76792862000001,,
132200,100.0,56.52833557128906,1261,1324,104,132400,0.001,0.08791311010718346,-43.82724779000001,,
132300,,56.43623657226563,,,,132500,0.001,0.10379676226526499,,-43.119590849999994,100.0
132600,100.0,56.4760262298584,1265,1328,104,132800,0.001,0.09730913236737251,-43.76150597000001,,
132800,,56.520038757324215,,,,133000,0.001,0.10881043631583452,,-47.19375205,100.0
133000,100.0,56.50452934265137,1269,1332,104,133200,0.001,0.0816943995282054,-43.57045943,,
133300,,56.39913436889648,,,,133500,0.001,0.08899247024208307,,-43.238286800000004,100.0
133400,100.0,56.4338264465332,1274,1336,104,133600,0.001,0.0987801292911172,-43.62894260000001,,
133800,,56.44599533081055,,,,134000,0.001,0.0799798621609807,,-44.3921973,100.0
,100.0,,1278,1340,104,134000,,,-43.21103226,,
134200,100.0,56.37342300415039,1280,1344,104,134400,0.001,0.09557202711701393,-43.44960687,,
134300,,56.46647987365723,,,,134500,0.001,0.09998071365058422,,-41.31916794999999,100.0
134600,100.0,56.367280883789064,1285,1348,104,134800,0.001,0.08702939193695784,-43.26053099,,
134800,,56.393169174194334,,,,135000,0.001,0.08467439867556095,,-44.18097995000001,100.0
135000,100.0,56.343532485961916,1289,1352,104,135200,0.001,0.13088363528251648,-43.132650999999996,,
135300,,56.319040603637696,,,,135500,0.001,0.10548643622547388,,-41.06986735,100.0
135400,100.0,56.28470443725586,1294,1356,104,135600,0.001,0.08981685779988766,-42.76871258999999,,
135800,,56.29315742492676,,,,136000,0.001,0.11576794028282165,,-42.044376750000005,100.0
,100.0,,1298,1360,104,136000,,,-42.45888479999999,,
136200,100.0,56.23544715881348,1301,1364,104,136400,0.001,0.08462426524609327,-42.578568690000004,,
136300,,56.269552841186524,,,,136500,0.001,0.11017752915620804,,-41.127044299999994,100.0
136600,100.0,56.11162055969238,1305,1368,104,136800,0.001,0.09213492896407843,-42.647270129999995,,
136800,,56.19643440246582,,,,137000,0.001,0.08045746978372335,,-42.54507755,100.0
137000,100.0,56.2078857421875,1310,1372,104,137200,0.001,0.09266545429825783,-42.75277634,,
137300,,56.261398468017575,,,,137500,0.001,0.08830545637756586,,-44.248050850000006,100.0
137400,100.0,56.28713661193848,1314,1376,104,137600,0.001,0.11889008011668921,-42.67318087000002,,
137800,,56.22476425170898,,,,138000,0.001,0.08747680641710759,,-42.92604635,100.0
,100.0,,1319,1380,104,138000,,,-42.80911067000001,,
138200,100.0,56.001508178710935,1321,1384,104,138400,0.001,0.09280804898589849,-42.37468587,,
138300,,55.9683625793457,,,,138500,0.001,0.09198192100971937,,-46.918434,100.0
138600,100.0,56.03205963134766,1326,1388,104,138800,0.001,0.09385154288262129,-42.45526099,,
138800,,56.063050994873045,,,,139000,0.001,0.08985861256718636,,-45.48659715,100.0
139000,100.0,55.962141036987305,1330,1392,104,139200,0.001,0.12728003326803447,-42.692202390000006,,
139300,,55.99770881652832,,,,139500,0.001,0.0747781140357256,,-45.04926275,100.0
139400,100.0,56.06467704772949,1334,1396,104,139600,0.001,0.09084695033729076,-42.294409509999994,,
139800,,56.05432594299317,,,,140000,0.001,0.09872224919497967,,-47.3970644,100.0
,100.0,,1338,1400,104,140000,,,-41.96257201,,
140200,100.0,55.93271339416504,1341,1404,104,140400,0.001,0.08493503358215093,-41.701458120000005,,
140300,,55.96644157409668,,,,140500,0.001,0.07697472535073757,,-44.74788185,100.0
140600,100.0,55.93499618530274,1345,1408,104,140800,0.001,0.08825404018163681,-41.76927732,,
140800,,55.8694189453125,,,,141000,0.001,0.07519388489425183,,-44.271097100000006,100.0
141000,100.0,55.827969512939454,1349,1412,104,141200,0.001,0.09148326586931944,-41.87983602,,
141300,,55.74665771484375,,,,141500,0.001,0.10461659695953131,,-42.24340285000001,100.0
141400,100.0,55.89214828491211,1354,1416,104,141600,0.001,0.10968850631266833,-41.59184172000001,,
141800,,55.7366641998291,,,,142000,0.001,0.08591341532766819,,-42.47939204999999,100.0
,100.0,,1358,1420,104,142000,,,-41.628835099999996,,
142200,100.0,55.74330177307129,1361,1424,104,142400,0.001,0.08332091122865677,-41.65455166000001,,
142300,,55.82211410522461,,,,142500,0.001,0.07902874745428562,,-44.364563649999994,100.0
142600,100.0,55.63425849914551,1365,1428,104,142800,0.001,0.08401782274246215,-41.41539844,,
142800,,55.58467544555664,,,,143000,0.001,0.08171666137874127,,-42.49729005,100.0
143000,100.0,55.574615020751956,1369,1432,104,143200,0.001,0.08352979838848114,-41.36476922,,
143300,,55.70291732788086,,,,143500,0.001,0.08331822741776705,,-47.78575465,100.0
143400,100.0,55.52019058227539,1373,1436,104,143600,0.001,0.08651194572448731,-41.29891659,,
143800,,55.580692749023434,,,,144000,0.001,0.10135184157639741,,-44.12703905,100.0
,100.0,,1378,1440,104,144000,,,-41.48672784,,
144200,100.0,55.543586349487306,1380,1444,104,144400,0.001,0.09274006433784962,-41.239375360000004,,
144300,,55.56464256286621,,,,144500,0.001,0.0824290044978261,,-43.1576886,100.0
144600,100.0,55.486129150390624,1385,1448,104,144800,0.001,0.08856151830404997,-41.39086548,,
144800,,55.50964164733887,,,,145000,0.001,0.08704423334449529,,-44.6695516,100.0
145000,100.0,55.45925025939941,1389,1452,104,145200,0.001,0.08165711510926485,-41.48280608,,
145300,,55.48961250305176,,,,145500,0.001,0.07705619558691978,,-44.5535379,100.0
145400,100.0,55.42551856994629,1393,1456,104,145600,0.001,0.08396806836128234,-41.69958819000001,,
145800,,55.51815521240234,,,,146000,0.001,0.08662878394126892,,-42.81185994999999,100.0
,100.0,,1398,1460,104,146000,,,-41.76854955000001,,
146200,100.0,55.3322412109375,1400,1464,104,146400,0.001,0.0898612442612648,-41.77663109,,
146300,,55.40617576599121,,,,146500,0.001,0.07810132004320622,,-46.82435735,100.0
146600,100.0,55.384052963256835,1404,1468,104,146800,0.001,0.08530093301087618,-41.563043459999996,,
146800,,55.42884994506836,,,,147000,0.001,0.10141960512846708,,-44.7376048,100.0
147000,100.0,55.3311328125,1408,1472,104,147200,0.001,0.08689023576676845,-41.4327647,,
147300,,55.40472732543945,,,,147500,0.001,0.09827447570860386,,-43.11870145,100.0
147400,100.0,55.333395614624024,1412,1476,104,147600,0.001,0.08048787463456392,-41.386726859999996,,
147800,,55.283630447387694,,,,148000,0.001,0.08129973743110895,,-44.4238543,100.0
,100.0,,1417,1480,104,148000,,,-41.34150375,,
148200,100.0,55.429250717163086,1419,1484,104,148400,0.001,0.0782435842230916,-41.482727950000005,,
148300,,55.39372512817383,,,,148500,0.001,0.09246531426906586,,-44.1518595,100.0
148600,100.0,55.2268187713623,1423,1488,104,148800,0.001,0.10038724221289158,-41.237737960000004,,
148800,,55.37512809753418,,,,149000,0.001,0.12248005773872137,,-44.351801800000004,100.0
149000,100.0,55.240585556030275,1428,1492,104,149200,0.001,0.0824788722768426,-41.35616714999999,,
149300,,55.19676155090332,,,,149500,0.001,0.09714055307209492,,-46.5871104,100.0
149400,100.0,55.2538491821289,1432,1496,104,149600,0.001,0.0958549490571022,-41.45631744,,
149800,,55.32036773681641,,,,150000,0.001,0.1468835072219372,,-45.1442682,100.0
,100.0,,1436,1500,104,150000,,,-41.478855180000004,,
150200,100.0,55.261097564697266,1439,1504,104,150400,0.001,0.10456136841326952,-41.48305589,,
150300,,55.19535224914551,,,,150500,0.001,0.10003240317106248,,-42.13656485,100.0
150600,100.0,55.25902137756348,1443,1508,104,150800,0.001,0.10389113459736109,-41.45788608,,
150800,,55.17391006469727,,,,151000,0.001,0.09545883264392614,,-43.27531745,100.0
151000,100.0,55.02163124084473,1447,1512,104,151200,0.001,0.09308060213923454,-41.31694867,,
151300,,55.28062995910645,,,,151500,0.001,0.09727274145931006,,-42.332509949999995,100.0
151400,100.0,55.23035453796387,1451,1516,104,151600,0.001,0.10772076372057199,-41.54786494,,
151800,,55.33235595703125,,,,152000,0.001,0.09976573683321475,,-43.65886549999999,100.0
,100.0,,1456,1520,104,152000,,,-41.43726854,,
152200,100.0,55.206883850097654,1458,1524,104,152400,0.001,0.09987108465284109,-41.38399113,,
152300,,55.299881286621094,,,,152500,0.001,0.09039666652679443,,-41.283410450000005,100.0
152600,100.0,55.19903411865234,1463,1528,104,152800,0.001,0.1629620672017336,-41.32953299,,
152800,,55.14162414550781,,,,153000,0.001,0.09186647810041905,,-42.5089605,100.0
153000,100.0,55.38616401672363,1467,1532,104,153200,0.001,0.08811479300260544,-41.17524512,,
153300,,55.22846687316895,,,,153500,0.001,0.09783550009131431,,-42.955412499999994,100.0
153400,100.0,55.17011505126953,1471,1536,104,153600,0.001,0.07931166417896747,-41.00110904,,
153800,,55.06783386230469,,,,154000,0.001,0.10483053475618362,,-43.65221235,100.0
,100.0,,1476,1540,104,154000,,,-41.0369756,,
154200,100.0,55.10209190368652,1478,1544,104,154400,0.001,0.10439230926334858,-41.42515147,,
154300,,55.17597557067871,,,,154500,0.001,0.08769189640879631,,-47.033296400000005,100.0
154600,100.0,55.01703170776367,1483,1548,104,154800,0.001,0.09345452480018139,-41.367510790000004,,
154800,,55.08542587280274,,,,155000,0.001,0.09564805705100297,,-44.2378596,100.0
155000,100.0,55.050166625976566,1487,1552,104,155200,0.001,0.0871047743409872,-41.23855978,,
155300,,54.984421005249025,,,,155500,0.001,0.09790499433875084,,-49.758739750000004,100.0
155400,100.0,55.02755485534668,1491,1556,104,155600,0.001,0.09027288030833006,-41.13855665,,
155800,,54.95450263977051,,,,156000,0.001,0.09039273254573345,,-46.988577750000005,100.0
,100.0,,1495,1560,104,156000,,,-41.17107486999999,,
156200,100.0,54.98260513305664,1498,1564,104,156400,0.001,0.09760951280593871,-41.04144366,,
156300,,54.93373573303223,,,,156500,0.001,0.0834980046749115,,-43.08146215,100.0
156600,100.0,54.86786598205566,1502,1568,104,156800,0.001,0.0950250819325447,-41.245428700000005,,
156800,,55.028707885742186,,,,157000,0.001,0.08828009068965911,,-48.813761799999995,100.0
157000,100.0,54.99235221862793,1506,1572,104,157200,0.001,0.1230099105834961,-41.27276655,,
157300,,55.035732650756835,,,,157500,0.001,0.10042359750717879,,-42.3092539,100.0
