rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
927.7182351600001,50,-0.18337929248809814,0.08087374269962311,437773,437874,0.014409897848963737,8725,500,-80.3823471069336,998.49,0.0003,,
,,-0.2990409731864929,0.284048855304718,439899,440000,0.014704753644764423,,,-80.1379165649414,,0.0003,969.562937824754,1000.0
927.9787227600002,50,-0.3593648374080658,0.16133621335029602,441773,441874,0.01379835419356823,8804,504,-80.37889099121094,998.49,0.0003,,
,,-0.10220789909362793,0.22492240369319916,444899,445000,0.014028028585016727,,,-80.62582397460938,,0.0003,970.3390835924074,1000.0
931.1556612,50,0.6346260905265808,0.17313070595264435,445773,445874,0.014323791489005089,8882,508,-80.38813018798828,1000.0,0.0003,,
920.6789486599998,50,-0.01067379117012024,0.6941846609115601,448860,448961,0.014739694073796272,8928,512,-80.4922103881836,990.87,0.0003,,
,,-0.042560458183288574,0.13758760690689087,449899,450000,0.015103479847311974,,,-80.48245239257812,,0.0003,926.3987820226408,1000.0
921.1198618800001,50,-0.724883496761322,0.07173024117946625,452860,452961,0.014289694838225842,9006,516,-80.6502685546875,990.87,0.0003,,
,,0.13322341442108154,0.4799041152000427,454899,455000,0.014125761575996876,,,-80.60982513427734,,0.0003,959.1381639940431,1000.0
924.7116708199999,50,0.34886524081230164,0.2893044352531433,456860,456961,0.014221678487956524,9083,520,-80.05648803710938,990.87,0.0003,,
,,0.5167821645736694,0.1536063849925995,459899,460000,0.014689160510897636,,,-80.66909790039062,,0.0003,964.0305608028546,1000.0
926.81138938,50,-0.5068749189376831,0.12306162714958191,460860,460961,0.01462473627179861,9161,524,-80.71669006347656,990.87,0.0003,,
927.86850998,50,0.7678233981132507,0.2054389864206314,464860,464961,0.014935643412172794,9221,528,-80.82411193847656,990.87,0.0003,,
,,0.017887234687805176,0.15816712379455566,464899,465000,0.014938329346477985,,,-80.73667907714844,,0.0003,969.4836810138543,1000.0
928.74681884,50,0.3385290503501892,0.19073936343193054,468860,468961,0.01486083772033453,9299,532,-81.17616271972656,990.87,0.0003,,
,,0.2250053584575653,0.17728954553604126,469899,470000,0.014543094672262669,,,-80.19261169433594,,0.0003,972.1871001985855,1000.0
924.53024364,50,0.36388662457466125,0.14145252108573914,472860,472961,0.01499044056981802,9377,536,-80.77198791503906,990.87,0.0003,,
,,-0.02316388487815857,0.09953265637159348,474899,475000,0.01502779871225357,,,-81.10523986816406,,0.0003,978.550081993267,1000.0
926.4434213499999,50,-0.925057590007782,0.12258455157279968,476860,476961,0.015238060615956783,9455,540,-81.10690307617188,990.87,0.0003,,
,,1.5670037269592285,0.16673192381858826,479899,480000,0.014788473024964333,,,-80.72308349609375,,0.0003,973.3387125764042,1000.0
927.71156722,50,-0.021449565887451172,0.125197172164917,480860,480961,0.014621451497077942,9533,544,-81.34495544433594,990.87,0.0003,,
926.52670584,50,-0.44745683670043945,0.16772180795669556,484860,484961,0.01462639681994915,9591,548,-81.05862426757812,990.87,0.0003,,
,,-0.050428569316864014,0.14430378377437592,484899,485000,0.014592651277780533,,,-80.63716125488281,,0.0003,972.5038951355964,1000.0
928.0031447700001,50,0.7266855239868164,0.06854083389043808,488860,488961,0.014670023694634438,9671,552,-81.7066421508789,990.87,0.0003,,
,,-0.8900175094604492,0.16019117832183838,489899,490000,0.014339844696223736,,,-81.15396118164062,,0.0003,978.4466371130198,1000.0
929.05718314,50,-0.6103038787841797,0.1040879637002945,492860,492961,0.014519639313220978,9752,556,-81.4990234375,990.87,0.0003,,
,,0.3172118663787842,0.206668883562088,494899,495000,0.014357442036271095,,,-81.49515533447266,,0.0003,964.5771133692936,1000.0
930.6397791399999,50,0.587219774723053,0.12410572171211243,496860,496961,0.014120711013674736,9838,560,-81.37784576416016,990.87,0.0003,,
,,-0.34270259737968445,0.11520643532276154,499899,500000,0.015067284926772118,,,-81.34213256835938,,0.0003,966.5330098000355,1000.0
932.4814411800002,50,0.17091774940490723,0.27805060148239136,500860,500961,0.014718994498252869,9931,564,-81.58731079101562,990.87,0.0003,,
932.98587145,50,-0.041629403829574585,0.19908329844474792,504860,504961,0.0152175547555089,9998,568,-81.51959228515625,990.87,0.0003,,
,,1.1601016521453857,0.1559767872095108,504899,505000,0.015324326232075691,,,-81.51531219482422,,0.0003,983.6300473758951,1000.0
932.8929918600002,50,0.490299254655838,0.11883674561977386,508860,508961,0.015398029237985611,10094,572,-81.27191162109375,990.87,0.0003,,
,,0.10554706305265427,0.1953626126050949,509899,510000,0.01479228213429451,,,-82.10478210449219,,0.0003,961.6331651665271,1000.0
934.1962748700003,50,0.24372340738773346,0.38605278730392456,512860,512961,0.015570104122161865,10202,576,-81.63948822021484,990.87,0.0003,,
,,0.8102098107337952,0.1734933704137802,514899,515000,0.01531175710260868,,,-81.50965118408203,,0.0003,977.7584236852824,1000.0
935.9926658299999,50,0.09067001938819885,0.13692745566368103,516860,516961,0.01633765734732151,10296,580,-82.06448364257812,990.87,0.0003,,
,,-1.1089131832122803,0.1066463515162468,519899,520000,0.01627057045698166,,,-81.36114501953125,,0.0003,994.6055470359395,1000.0
936.1940244499998,50,-0.4139270484447479,0.6875261068344116,520860,520961,0.015680843964219093,10387,584,-82.2469482421875,990.87,0.0003,,
936.3039132899999,50,-1.3959712982177734,0.198435977101326,524860,524961,0.015872880816459656,10448,588,-81.27827453613281,990.87,0.0003,,
,,0.13411414623260498,0.13516178727149963,524899,525000,0.015881013125181198,,,-82.44784545898438,,0.0003,983.3589754164219,1000.0
936.2576057999999,50,-0.6111792325973511,0.11425359547138214,528860,528961,0.015790581703186035,10532,592,-82.14382934570312,990.87,0.0003,,
,,-0.3118799030780792,0.23456139862537384,529899,530000,0.015499805100262165,,,-81.72160339355469,,0.0003,1001.0545870469883,1000.0
940.94200259,50,-0.4092710018157959,0.16599918901920319,532860,532961,0.015042410232126713,10614,596,-82.0407485961914,990.87,0.0003,,
,,-0.2226817011833191,0.1488184630870819,534899,535000,0.016478966921567917,,,-82.25372314453125,,0.0003,1071.7676705778576,1000.0
937.8968135299998,50,-0.37088873982429504,0.16496241092681885,536218,536319,0.016292007640004158,10688,600,-82.40176391601562,984.45,0.0003,,
,,-0.9803511500358582,0.11512767523527145,539899,540000,0.016573553904891014,,,-82.60659790039062,,0.0003,1141.079285934847,1000.0
941.5297459,50,0.4265211224555969,0.17522042989730835,540218,540319,0.015733543783426285,10769,604,-82.41314697265625,984.45,0.0003,,
948.31688013,50,0.32862919569015503,0.1606672704219818,544218,544319,0.01614350639283657,10832,608,-82.94184875488281,984.45,0.0003,,
,,0.5755606889724731,0.1520877182483673,544899,545000,0.016336675733327866,,,-83.10621643066406,,0.0003,1165.2714581670239,1000.0
966.1445389200001,50,0.443075954914093,0.16882216930389404,548218,548319,0.01617303118109703,10914,612,-83.33145141601562,993.58,0.0003,,
,,1.029543161392212,0.16730067133903503,549899,550000,0.017106611281633377,,,-83.29380798339844,,0.0003,1158.7207870763493,1000.0
973.08476758,50,-0.23167842626571655,0.20858457684516907,552218,552319,0.016945410519838333,10998,616,-84.38719177246094,993.58,0.0003,,
,,0.7005718350410461,0.34171923995018005,554899,555000,0.017347026616334915,,,-84.44673919677734,,0.0003,1190.6813242839648,1000.0
981.4261346000002,50,0.7529909014701843,0.16439643502235413,556218,556319,0.017484914511442184,11081,620,-83.810546875,993.58,0.0003,,
,,0.09651771187782288,0.15248282253742218,559899,560000,0.018065279349684715,,,-85.33843994140625,,0.0003,1166.046583464736,1000.0
