train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
12.360612443447113,546977,992.3,0.001,568,545934,3082.87248872,150,3643,-217.43975271606445,,
11.809950160503387,550000,,0.001,,549934,,,,-217.6444468688965,1000.0,3135.887637346424
,550977,992.3,,572,,3087.0794392,150,3671,,,
12.122355981826782,554977,992.3,0.001,576,553934,3092.2538322799996,150,3692,-218.5630588684082,,
11.100026056289673,555000,,0.001,,554934,,,,-218.49030459594726,1000.0,3262.7501059059055
11.642882300376892,558977,992.3,0.001,580,557934,3095.19919406,150,3720,-219.01317141723632,,
11.47645069360733,560000,,0.001,,559934,,,,-219.65193887329102,1000.0,3079.9460872873665
11.52584651517868,562977,992.3,0.001,584,561934,3080.84953482,150,3749,-219.5726041870117,,
12.106927969455718,565000,,0.001,,564934,,,,-219.53077493286133,1000.0,3096.5251407573933
11.990458581924438,566977,992.3,0.001,588,565934,3085.7201348500002,150,3777,-219.96665533447265,,
12.31206116914749,570000,,0.001,,569934,,,,-220.06459204101563,1000.0,3145.8884366487155
,570977,992.3,,592,,3087.2944187,150,3805,,,
12.873988931655884,574977,992.3,0.001,596,573934,3086.48072895,150,3825,-220.2287848815918,,
13.11330523109436,575000,,0.001,,574934,,,,-220.59974676513673,902.2,2726.230639481079
12.400110233783723,578977,992.3,0.001,600,577934,3091.1960262400007,150,3853,-221.16532525634764,,
12.569672790527344,580000,,0.001,,579934,,,,-220.5829140625,905.4,2307.955229602754
12.524536940097809,582490,987.43,0.001,604,581934,3076.33551487,150,3880,-220.00512533569335,,
12.43397010087967,585000,,0.001,,584447,,,,-220.38191204833984,1000.0,3055.9791562440573
13.240739134073257,586490,987.43,0.001,608,585447,3076.39750575,150,3906,-221.1820088195801,,
12.11989927482605,590000,,0.001,,589447,,,,-221.37592724609374,1000.0,3161.8227072381414
,590490,987.43,,612,,3080.0554372600004,150,3934,,,
12.763857574462891,594490,987.43,0.001,616,593447,3080.8586139500003,150,3954,-221.65721716308593,,
12.411240384101868,595000,,0.001,,594447,,,,-221.7247088317871,1000.0,3204.6359358991963
13.16586955499649,598490,987.43,0.001,620,597447,3083.26788901,150,3982,-222.01245718383788,,
12.568071012973785,600000,,0.001,,599447,,,,-222.41617599487304,1000.0,3214.4679669740144
11.832931696891785,602490,987.43,0.001,624,601447,3085.4202621499994,150,4011,-221.86159857177734,,
12.523529349803924,605000,,0.001,,604852,,,,-222.82438711547852,943.0,2822.0518866649827
,605895,989.18,,628,,3087.89239021,150,4036,,,
12.260809622764587,609895,989.18,0.001,632,608852,3088.7246329199993,150,4056,-223.12641622924804,,
11.766285196781158,610000,,0.001,,609852,,,,-223.37470715332032,1000.0,3206.964643063722
12.8859955701828,613895,989.18,0.001,636,612852,3091.6435146399995,150,4085,-223.92568185424804,,
11.719015560388565,615000,,0.001,,614852,,,,-223.9981960144043,1000.0,3119.0706502140733
12.493574265003204,617895,989.18,0.001,640,616852,3091.57961117,150,4114,-223.99841131591796,,
11.841055465698242,620000,,0.001,,619852,,,,-223.8913332824707,1000.0,3211.276331069507
11.969308574199676,621895,989.18,0.001,644,620852,3092.69883804,150,4142,-224.3901220703125,,
11.488933359146118,625000,,0.001,,624852,,,,-224.94463845825194,1000.0,3298.4808843574488
,625895,989.18,,648,,3092.21199539,150,4170,,,
11.535462128639221,629895,989.18,0.001,652,628852,3096.53697291,150,4190,-224.838268157959,,
11.843226059913635,630000,,0.001,,629852,,,,-224.55166165161134,1000.0,3204.202581269294
13.638263372898102,633895,989.18,0.001,656,632852,3097.2450137399996,150,4218,-225.24494818115235,,
11.89031416940689,635000,,0.001,,634852,,,,-225.2852841796875,1000.0,3253.5805644192733
12.379561841487885,637895,989.18,0.001,660,636852,3102.03447725,150,4247,-225.70414920043945,,
11.975066049575805,640000,,0.001,,639852,,,,-225.74628479003906,1000.0,3188.184677887184
11.762189515590668,641895,989.18,0.001,664,640852,3103.75329966,150,4275,-226.36289208984374,,
12.0176621966362,645000,,0.001,,644852,,,,-226.0899405822754,879.5,2739.2558227613335
,645895,989.18,,668,,3105.05639403,150,4303,,,
12.313007256507873,649895,989.18,0.001,672,648852,3106.7736258500004,150,4323,-226.9845344543457,,
12.382120998382568,650000,,0.001,,649852,,,,-227.2219951171875,1000.0,3167.05444181934
11.735654316186904,653895,989.18,0.001,676,652852,3106.0682538900014,150,4351,-226.73242156982423,,
12.556180057525635,655000,,0.001,,654852,,,,-226.8922847290039,1000.0,2723.445612383401
11.857664139270783,657895,989.18,0.001,680,656852,3051.5005133,150,4379,-227.06387692260742,,
12.214051964282989,660000,,0.001,,659852,,,,-226.54999731445312,1000.0,3189.9146218284964
12.487878960609436,661895,989.18,0.001,684,660852,3069.88355203,150,4407,-226.44623461914063,,
12.605326879501343,665000,,0.001,,664852,,,,-226.56338079833984,1000.0,3003.2544104897997
,665895,989.18,,688,,3069.44255285,150,4436,,,
11.717864918708802,669895,989.18,0.001,692,668852,3069.7075743200003,150,4456,-226.9744058532715,,
12.217301837444305,670000,,0.001,,669852,,,,-226.97588763427734,1000.0,3120.968296853127
