time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
672,63.38885312,9474,14.0,48,195,0.13868088807378495,9370,-32.40229824611119,0.001,,
676,63.38914289,9530,14.0,48,195,0.18232348135539464,9426,-31.622844696044922,0.001,,
680,63.385429290000005,9586,14.0,48,195,0.196430753916502,9482,-31.560756955827987,0.001,,
684,63.38341642,9642,14.0,49,195,0.10866250443671431,9538,-31.505056926182338,0.001,,
688,63.382232640000005,9698,14.0,49,195,0.21220532485416957,9594,-31.2447509765625,0.001,,
692,63.383563820000006,9754,14.0,49,196,0.13084419843341624,9650,-31.036399023873464,0.001,,
696,63.38402521,9810,14.0,50,195,0.1779059379228524,9706,-31.880810601370676,0.001,,
700,63.38118569,9866,14.0,50,195,0.1561152432113886,9762,-31.004985536847794,0.001,,
704,63.380010340000005,9922,14.0,50,195,0.16808282317859785,9818,-31.102809361049108,0.001,,
708,63.38491239,9978,14.0,50,195,0.14353041643542902,9874,-30.48609597342355,0.001,,
,,10000,,,,0.1636280534522874,9902,-30.530019215175084,0.001,14.0,63.383593785762784
712,63.38693345000001,10034,14.0,51,195,0.2527295100901808,9930,-31.875048228672572,0.001,,
716,63.39137667,10090,14.0,51,195,0.2752846593835524,9986,-30.721158163888113,0.001,,
720,63.3894566,10146,14.0,52,195,0.4748347433550017,10042,-31.02991921561105,0.001,,
724,63.387931229999985,10202,14.0,52,195,0.6961755997368267,10098,-31.772938592093332,0.001,,
728,63.389968889999984,10258,14.0,52,195,0.19920235872268677,10154,-32.45884377615793,0.001,,
732,63.38551157999999,10314,14.0,52,195,0.2250000030866691,10210,-31.241544451032365,0.001,,
736,63.37904388,10370,14.0,53,195,0.24421322904527187,10266,-31.347480501447404,0.001,,
740,63.381410100000004,10426,14.0,53,195,0.27677825731890543,10322,-31.293406622750418,0.001,,
744,63.38488433999999,10482,14.0,53,195,0.23757053672202996,10378,-32.34146799360003,0.001,,
748,63.37904009999999,10538,14.0,54,195,0.38850458871041027,10434,-31.31132779802595,0.001,,
752,63.37798021,10594,14.0,54,194,0.27145129814743996,10490,-31.429818562098912,0.001,,
756,63.37596693,10650,14.0,54,194,0.5457451215812138,10546,-31.625492095947266,0.001,,
760,63.37426294,10706,14.0,54,194,0.18947255238890648,10602,-30.599540982927596,0.001,,
764,63.386734770000004,10762,14.0,55,194,0.4280637114175728,10658,-31.864658900669642,0.001,,
768,63.38587573999999,10818,14.0,55,194,0.21540016680955887,10714,-30.709733145577566,0.001,,
