time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
100386,9084,17.53,1320,75,21.168491669999998,1.4030919075012207,-0.5706974267959595,100285,0.02025490067899227,-5.566324234008789,0.0003,,
100479,9088,17.77,1322,76,21.26252611,1.4426473379135132,-0.3687119483947754,100378,0.02024831436574459,-5.586728572845459,0.0003,,
100548,9092,17.7,1322,76,21.181610130000003,1.6157817840576172,1.8339128494262695,100447,0.020120816305279732,-5.946809768676758,0.0003,,
100595,9096,17.44,1323,76,20.57993867,1.355283260345459,0.42810797691345215,100494,0.02006310597062111,-6.0222978591918945,0.0003,,
100646,9100,17.15,1324,76,20.222532100000002,1.4098925590515137,1.7686100006103516,100545,0.020161503925919533,-5.950497150421143,0.0003,,
100709,9104,16.87,1325,76,19.9880317,1.2816106081008911,0.6399055123329163,100608,0.020225314423441887,-5.413072109222412,0.0003,,
100799,9108,17.08,1326,76,20.446597720000003,1.2767138481140137,1.6715878248214722,100698,0.020161442458629608,-5.5051045417785645,0.0003,,
100861,9112,17.0,1326,76,20.19328291,1.2666923999786377,-3.6025924682617188,100760,0.020022079348564148,-5.257776260375977,0.0003,,
100953,9116,17.39,1328,76,20.505216809999997,1.3057429790496826,-2.026252269744873,100852,0.020032411441206932,-5.700760841369629,0.0003,,
101017,9120,17.21,1328,76,20.270137419999998,1.5564507246017456,-2.6576988697052,100916,0.020090434700250626,-5.731401443481445,0.0003,,
101096,9124,17.13,1329,76,20.320601379999996,1.619779109954834,2.3641109466552734,100995,0.020149149000644684,-5.3827409744262695,0.0003,,
101161,9128,16.88,1330,76,19.790251970000003,1.7310386896133423,-2.179976463317871,101060,0.020231429487466812,-5.892927169799805,0.0003,,
101224,9132,17.0,1331,76,20.039400160000003,1.3637597560882568,-0.6107960939407349,101123,0.020289873704314232,-5.584169387817383,0.0003,,
101281,9136,16.93,1332,76,20.0012201,1.722642183303833,-2.0456132888793945,101180,0.020409109070897102,-5.688044548034668,0.0003,,
101332,9140,16.82,1333,76,19.76574254,1.4501230716705322,-1.5384358167648315,101231,0.02039583958685398,-5.526759147644043,0.0003,,
101398,9144,16.66,1334,76,19.56544495,1.4753590822219849,-0.1684281826019287,101297,0.020445607602596283,-5.706960678100586,0.0003,,
101455,9148,16.66,1334,76,19.49214189,1.4994664192199707,0.6511664390563965,101354,0.02042229473590851,-5.89607048034668,0.0003,,
101515,9152,16.77,1335,76,19.594807799999998,1.4815860986709595,1.9222090244293213,101414,0.020564498379826546,-6.3918657302856445,0.0003,,
101578,9156,16.48,1336,75,19.350129190000004,1.4488086700439453,1.3689751625061035,101477,0.020638469606637955,-5.772057056427002,0.0003,,
101634,9160,16.42,1337,75,19.30155553,1.4749133586883545,4.065829277038574,101533,0.02073843963444233,-5.774313926696777,0.0003,,
101717,9164,16.66,1338,75,19.68996904,1.4484361410140991,0.8160371780395508,101616,0.020661279559135437,-5.614656925201416,0.0003,,
101767,9168,16.59,1339,75,19.77366854,1.421388030052185,3.637593984603882,101666,0.020665308460593224,-6.026272773742676,0.0003,,
101829,9172,16.48,1340,75,19.465505000000004,1.6422467231750488,-2.7540810108184814,101728,0.020691057667136192,-5.3101348876953125,0.0003,,
101888,9176,16.28,1341,75,19.08199001,1.3075522184371948,-0.3886255621910095,101787,0.02070213109254837,-5.770888805389404,0.0003,,
101966,9180,16.24,1342,75,19.21793011,1.883941411972046,0.09392395615577698,101865,0.020791541785001755,-5.648408889770508,0.0003,,
102011,9184,16.25,1343,75,19.25118932,1.3680825233459473,-1.2094354629516602,101910,0.020795196294784546,-5.515898704528809,0.0003,,
102070,9188,15.91,1344,75,18.93631253,1.4440641403198242,-2.9100940227508545,101969,0.02084178850054741,-5.294020175933838,0.0003,,
102114,9192,15.66,1344,75,18.5499566,1.1494741439819336,-3.4393978118896484,102013,0.02074110507965088,-5.504884243011475,0.0003,,
102180,9196,15.85,1345,75,18.677313679999997,1.4376267194747925,3.4553351402282715,102079,0.020660845562815666,-5.929996490478516,0.0003,,
102265,9200,16.19,1346,75,18.94027503,1.4650663137435913,-0.7746716737747192,102164,0.02084191143512726,-5.6947736740112305,0.0003,,
102330,9204,16.21,1347,75,18.80808741,1.5315313339233398,0.015517354011535645,102229,0.020847011357545853,-5.994935512542725,0.0003,,
102413,9208,16.14,1349,75,18.48389054,1.140564203262329,1.9109585285186768,102312,0.0208476223051548,-5.806395053863525,0.0003,,
102488,9212,16.27,1350,75,18.86954011,1.2777122259140015,-5.109899044036865,102387,0.02070159651339054,-5.644641876220703,0.0003,,
102573,9216,16.2,1351,75,18.800385939999998,1.4336776733398438,1.442497730255127,102472,0.020491641014814377,-6.148087501525879,0.0003,,
102641,9220,16.24,1352,75,19.11796971,1.6366593837738037,-1.3053486347198486,102540,0.02041027694940567,-5.297632694244385,0.0003,,
102713,9224,16.17,1353,75,18.77344022,1.4235050678253174,2.208089828491211,102612,0.02043502777814865,-5.830536365509033,0.0003,,
102769,9228,16.08,1354,75,18.662436890000002,1.2559466361999512,0.4735928177833557,102668,0.02051020972430706,-5.677592754364014,0.0003,,
102847,9232,16.23,1355,75,18.84745053,1.221515417098999,-1.3638858795166016,102746,0.02057858742773533,-5.561943531036377,0.0003,,
102900,9236,16.19,1356,75,18.706841150000002,1.6501474380493164,0.4012230634689331,102799,0.020494699478149414,-5.633929252624512,0.0003,,
