rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
94.02,660,120,18305,94.02,151,0.001,18033,0.849147901262926,-26.004216277081035,,
96.57,664,124,18872,96.57,150,0.001,18656,1.0794548615813255,-26.17196564755197,,
,,,19000,,,0.001,18773,0.8372487890669423,-26.551646594343513,144.7,144.7
99.14,668,128,19424,99.14,150,0.001,19198,0.920427159708462,-26.986569454795436,,
,,,20000,,,0.001,19741,0.9149155854968958,-27.361544676229986,180.2,180.2
101.99,672,133,20017,101.99,150,,,,,,
107.05,676,138,20845,107.05,150,0.001,20558,1.2717150630983147,-27.82908220188592,,
,,,21000,,,0.001,20887,0.9158950233501746,-28.055989973885673,133.7,133.7
,,,22000,,,0.001,21020,0.8915058554787385,-28.107871326047984,753.0,753.0
118.28,680,150,22270,118.28,147,0.001,22020,0.9442824039384723,-29.005129726409912,,
,,,23000,,,0.001,22327,1.122112433067881,-29.398955809764374,1000.0,1000.0
,,,24000,,,0.001,23327,1.0359706085175275,-30.2878936958313,1000.0,1000.0
,,,25000,,,0.001,24327,1.3059259439855815,-31.284107788085937,1000.0,1000.0
146.78,684,174,25426,146.78,145,,,,,,
,,,26000,,,0.001,25500,1.347296249918166,-32.77778016013661,802.3,802.3
,,,27000,,,0.001,26500,1.3973273562192916,-33.54336499404907,878.8,878.8
,,,28000,,,0.001,27500,1.4160610406920313,-34.56180240249634,1000.0,1000.0
175.46,688,203,28599,175.46,140,,,,,,
,,,29000,,,0.001,28500,1.422560288593173,-35.52119775009155,1000.0,1000.0
,,,30000,,,0.001,29500,1.392216702952981,-36.64225272750854,1000.0,1000.0
,,,31000,,,0.001,30500,1.2095924150645734,-37.5023352432251,1000.0,1000.0
,,,32000,,,0.001,31500,1.2794828039631247,-38.63265880584717,1000.0,1000.0
212.06,692,241,32599,212.06,134,,,,,,
,,,33000,,,0.001,32500,1.3471181914806365,-39.539991188049314,1000.0,1000.0
,,,34000,,,0.001,33500,1.316914008796215,-40.709694938659666,1000.0,1000.0
,,,35000,,,0.001,34500,1.2043948028087617,-41.65784512329102,1000.0,1000.0
,,,36000,,,0.001,35500,1.2182126331478358,-42.72166230010986,1000.0,1000.0
248.76,696,278,36599,248.76,131,,,,,,
,,,37000,,,0.001,36500,1.077743312627077,-43.91977589416504,1000.0,1000.0
,,,38000,,,0.001,37500,1.0475776500478386,-44.90730354309082,1000.0,1000.0
,,,39000,,,0.001,38500,1.2378746684193611,-46.067367889404295,1000.0,1000.0
,,,40000,,,0.001,39500,1.2283150328844785,-46.963115913391114,1000.0,1000.0
285.85,700,316,40599,285.85,128,,,,,,
,,,41000,,,0.001,40500,1.3525567541196943,-48.097986801147464,1000.0,1000.0
,,,42000,,,0.001,41500,1.247543524414301,-49.03219290924072,1000.0,1000.0
,,,43000,,,0.001,42500,1.534798485264182,-49.936533531188964,1000.0,1000.0
,,,44000,,,0.001,43500,1.5567156598642469,-50.83622660827637,1000.0,1000.0
323.0,704,353,44599,323.0,126,,,,,,
,,,45000,,,0.001,44500,1.3956098987013101,-51.76024864196777,1000.0,1000.0
,,,46000,,,0.001,45500,1.494483815535903,-52.57477563476562,1000.0,1000.0
,,,47000,,,0.001,46500,1.7165833736658096,-53.39492513275147,1000.0,1000.0
,,,48000,,,0.001,47500,1.584625365562737,-54.26908177185059,1000.0,1000.0
360.3,708,391,48599,360.3,124,,,,,,
,,,49000,,,0.001,48500,1.4769741387218236,-55.06690421295166,1000.0,1000.0
,,,50000,,,0.001,49500,1.4524075636714697,-55.69036157989502,524.5,524.5
,,,51000,,,0.001,50028,1.1827986512728261,-56.06551605282408,1000.0,1000.0
,,,52000,,,0.001,51028,1.240025655142963,-56.6353218460083,1000.0,1000.0
392.63,712,424,52127,392.63,122,,,,,,
,,,53000,,,0.001,52028,1.3788847436010838,-57.33629576873779,1000.0,1000.0
,,,54000,,,0.001,53028,1.4469762066677212,-57.87410440826416,1000.0,1000.0
,,,55000,,,0.001,54028,1.5597453096210956,-58.49557239532471,1000.0,1000.0
