train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,119303,0.34798235844820735,,,,120000,-70.88179489135742,,,912.391197669506,1000.0
0.001,122303,0.40055645973980425,128,972.74,1230,123303,-71.19838670349121,668.10460737,100,,
0.001,124375,0.06864558920885126,,,,125000,-71.48138215806749,,,939.9689827501774,1000.0
0.001,125375,0.455173345901072,132,970.47,1274,126375,-71.47523570251465,666.0780475000001,99,,
0.001,129375,0.1901874515004456,,,,130000,-71.70025132751465,,,916.1453048169612,1000.0
,,,136,970.47,1326,130375,,664.8980548400001,98,,
0.001,133375,0.364846029303968,140,970.47,1360,134375,-71.87195091247558,663.47997574,98,,
0.001,134375,0.3028779235780239,,,,135000,-71.93673373413085,,,921.9817799031734,1000.0
0.001,137375,0.37086514941602944,144,970.47,1412,138375,-72.05440495300293,661.56748863,97,,
0.001,139375,0.21156594122946262,,,,140000,-72.11219204711914,,,954.5905719399452,1000.0
0.001,141233,0.19073504123836757,148,969.05,1464,142233,-72.15809846496582,660.66292676,97,,
0.001,144233,0.11442734877765179,,,,145000,-72.24453833007813,,,934.1591500461102,1000.0
0.001,145233,0.4274672147482634,152,969.05,1517,146233,-72.30510099792481,659.5590634499999,96,,
0.001,149233,0.2008146447762847,,,,150000,-72.46373287963867,,,929.3325436472893,1000.0
,,,156,978.67,1569,150233,,664.2661905500001,95,,
0.001,153233,0.2883306290432811,160,978.67,1604,154233,-72.57542668151855,663.21018374,96,,
0.001,154233,0.2370585238188505,,,,155000,-72.62969934082031,,,923.3840430140496,1000.0
0.001,157233,0.19130619785934685,164,978.67,1658,158233,-72.72067665100097,662.1764588899999,95,,
0.001,159233,0.21246887594088912,,,,160000,-72.7644147644043,,,921.0621116280556,1000.0
0.001,161233,0.22284504962712526,168,975.17,1711,161767,-72.79962818908692,658.1887492100001,94,,
0.001,164767,0.2438802118897438,,,,165000,-72.78130938720703,,,923.0960742413997,1000.0
,,,172,975.17,1761,165767,,656.64265822,94,,
0.001,168767,0.20873514068871737,176,975.17,1797,169767,-72.8319427947998,655.72331598,94,,
0.001,169767,0.2204230708926916,,,,170000,-72.83597961425781,,,952.2585195839405,1000.0
0.001,172767,0.24836418762430548,180,975.17,1848,173767,-72.95105085754395,655.56392275,93,,
0.001,174767,0.15006399047747254,,,,175000,-73.03724343872071,,,949.3469808042049,1000.0
0.001,176767,0.22901264125481247,184,975.17,1897,177767,-73.12482170104981,655.40312561,93,,
0.001,179767,0.16312462635710837,,,,180000,-73.21989016723633,,,937.6873942315578,1000.0
0.001,180767,0.29355345365777613,188,975.17,1945,181767,-73.24313902282715,654.23156525,93,,
0.001,184767,0.16060049371048807,,,,185000,-73.42058261108399,,,947.9551607906818,1000.0
,,,192,975.17,1995,185767,,653.9437334899999,93,,
0.001,188767,0.20733040745928882,196,978.46,2028,189767,-73.56610556030273,655.36826219,93,,
0.001,189767,0.2735735179297626,,,,190000,-73.5655145111084,,,950.349025464058,1000.0
0.001,192767,0.15164324859902262,200,978.46,2077,193767,-73.59705749511718,654.90245193,93,,
0.001,194767,0.179675155390054,,,,195000,-73.61764825439454,,,947.3370692312717,1000.0
0.001,196767,0.09848831698670983,204,978.46,2126,197767,-73.67881098937988,654.8640940900001,92,,
0.001,199767,0.12921735079959035,,,,200000,-73.78889199829102,,,937.9044543385505,1000.0
0.001,200767,0.1812626738511026,208,978.46,2175,201767,-73.84079287719726,654.8741353400001,92,,
0.001,204767,0.18454350850731135,,,,205000,-73.85052633666992,,,908.0433548092842,1000.0
,,,212,978.46,2224,205767,,654.5414455,92,,
