eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1000.0,-143.4537025985308,152000,0.001,151000,29.213224323272705,0.10786807967349887,,,,,
,,152000,,,,,1679,152,90,-161.10748403,1000.0
1000.0,-151.95238086385652,153000,0.001,152000,29.240186042785645,0.11107301042601467,,,,,
1000.0,-137.43051227377728,154000,0.001,153000,29.279746990203858,0.11057010482251645,,,,,
1000.0,-134.9205600194633,155000,0.001,154000,29.31374505996704,0.11204355541989207,,,,,
1000.0,-149.67242978420109,156000,0.001,155000,29.311206726074218,0.11902354211732745,,,,,
,,156000,,,,,1721,156,90,-165.83964962,1000.0
1000.0,-153.92659464050084,157000,0.001,156000,29.315961402893066,0.11936129816621542,,,,,
1000.0,-146.1565702266991,158000,0.001,157000,29.390505661010742,0.1207811392955482,,,,,
1000.0,-149.50698798419907,159000,0.001,158000,29.441963531494142,0.11903791555017233,,,,,
1000.0,-158.85810997467487,160000,0.001,159000,29.510466651916502,0.12353044104203582,,,,,
,,160000,,,,,1763,160,90,-169.86412996,1000.0
1000.0,-154.6810746046016,161000,0.001,160000,29.57302495574951,0.12166907702386379,,,,,
1000.0,-161.39516380215065,162000,0.001,161000,29.61467013168335,0.1244626375362277,,,,,
1000.0,-154.02761787786147,163000,0.001,162000,29.671180812835694,0.1251526207961142,,,,,
1000.0,-154.20146505851298,164000,0.001,163000,29.752569763183594,0.12580019111186266,,,,,
,,164000,,,,,1804,164,90,-169.84334388999997,1000.0
1000.0,-140.33813602244481,165000,0.001,164000,29.811759349823,0.1296637359932065,,,,,
1000.0,-147.24471639934927,166000,0.001,165000,29.880732444763183,0.13696895008534193,,,,,
1000.0,-154.70750572755932,167000,0.001,166000,29.959744140625,0.1328636667430401,,,,,
1000.0,-174.66615097164177,168000,0.001,167000,30.069192798614502,0.13833470894396305,,,,,
,,168000,,,,,1846,168,90,-169.84394711000002,1000.0
1000.0,-160.33687836192547,169000,0.001,168000,30.122453201293947,0.14097183763980867,,,,,
1000.0,-154.4534443047829,170000,0.001,169000,30.19019869232178,0.13709459554404022,,,,,
1000.0,-149.76598697397858,171000,0.001,170000,30.253269912719727,0.12985695903375744,,,,,
1000.0,-156.99027204820885,172000,0.001,171000,30.270215259552003,0.1284276368394494,,,,,
,,172000,,,,,1887,172,91,-166.19821045,1000.0
1000.0,-158.62681960556657,173000,0.001,172000,30.29658465576172,0.12964353775978088,,,,,
1000.0,-149.78253892101347,174000,0.001,173000,30.33094750213623,0.1249301868006587,,,,,
1000.0,-149.26843147575855,175000,0.001,174000,30.397959003448488,0.1315791447982192,,,,,
1000.0,-145.01676916703582,176000,0.001,175000,30.41572165298462,0.12952077937871218,,,,,
,,176000,,,,,1929,176,91,-165.80722456,1000.0
1000.0,-140.74904070943595,177000,0.001,176000,30.44446466064453,0.1394038264900446,,,,,
1000.0,-151.52182001136242,178000,0.001,177000,30.512865951538085,0.14464934436231852,,,,,
1000.0,-129.61864740871823,179000,0.001,178000,30.582022148132324,0.15647330125421285,,,,,
1000.0,-120.08074625013396,180000,0.001,179000,30.667612480163573,0.16012484350055456,,,,,
,,180000,,,,,1970,180,91,-164.617155,1000.0
1000.0,-142.49400021247567,181000,0.001,180000,30.71219776916504,0.1603918170258403,,,,,
1000.0,-140.09076947681606,182000,0.001,181000,30.784314105987548,0.14620265662670134,,,,,
1000.0,-133.41176538141445,183000,0.001,182000,30.80579035949707,0.14485586231946945,,,,,
1000.0,-143.71882431861013,184000,0.001,183000,30.80478612136841,0.13879592787474393,,,,,
,,184000,,,,,2012,184,91,-159.80039840999999,1000.0
1000.0,-126.62280219867826,185000,0.001,184000,30.801341747283935,0.13521192290633915,,,,,
1000.0,-152.98495985027404,186000,0.001,185000,30.839154258728026,0.13694802612811327,,,,,
1000.0,-140.4700125579722,187000,0.001,186000,30.83076788330078,0.13410542447119952,,,,,
1000.0,-144.62938194647433,188000,0.001,187000,30.843608959197997,0.13627965550124646,,,,,
,,188000,,,,,2054,188,91,-158.39060242,1000.0
1000.0,-128.68933689240367,189000,0.001,188000,30.855045093536376,0.13850718040019275,,,,,
1000.0,-116.65508627332747,190000,0.001,189000,30.888004707336425,0.1385754861459136,,,,,
1000.0,-135.0991217673756,191000,0.001,190000,30.913735538482666,0.13434910890460014,,,,,
1000.0,-128.29568950124084,192000,0.001,191000,30.91164945602417,0.14060963405668736,,,,,
,,192000,,,,,2097,192,91,-155.27632458,1000.0
1000.0,-146.25587227931246,193000,0.001,192000,30.906500789642333,0.138066919028759,,,,,
1000.0,-143.55534908254631,194000,0.001,193000,30.919713375091554,0.13177178413420915,,,,,
1000.0,-117.23032950107009,195000,0.001,194000,30.885216972351074,0.13101388315856458,,,,,
1000.0,-127.63145979549736,196000,0.001,195000,30.85889984512329,0.12896779692173005,,,,,
,,196000,,,,,2142,196,91,-151.87640915999998,1000.0
1000.0,-120.68515863148495,197000,0.001,196000,30.79287370300293,0.12403891811519861,,,,,
1000.0,-116.35167027199641,198000,0.001,197000,30.719624797821044,0.12484311306476593,,,,,
1000.0,-127.01874577477574,199000,0.001,198000,30.67049461364746,0.12139800552278757,,,,,
1000.0,-141.32791704386472,200000,0.001,199000,30.612060344696044,0.12629503066837788,,,,,
,,200000,,,,,2183,200,91,-151.31136526999998,1000.0
1000.0,-160.19039970487356,201000,0.001,200000,30.60730974197388,0.13929745134711266,,,,,
1000.0,-178.62593485875988,202000,0.001,201000,30.618540603637694,0.14768962934613228,,,,,
1000.0,-127.16719341727439,203000,0.001,202000,30.64898689651489,0.15007303971797228,,,,,
1000.0,-112.65733011576813,204000,0.001,203000,30.679662410736086,0.153962253049016,,,,,
,,204000,,,,,2226,204,91,-148.74047581000002,1000.0
1000.0,-115.68043171511962,205000,0.001,204000,30.7209143409729,0.15361668825894595,,,,,
1000.0,-129.81478741820902,206000,0.001,205000,30.73034312057495,0.16129128210246563,,,,,
1000.0,-118.34988376731053,207000,0.001,206000,30.744284519195556,0.14949658617377282,,,,,
1000.0,-120.705025213724,208000,0.001,207000,30.778197368621825,0.15345996113866567,,,,,
,,208000,,,,,2268,208,91,-149.65885037,1000.0
1000.0,-125.94890745556913,209000,0.001,208000,30.74945703125,0.15113509273529052,,,,,
1000.0,-103.90127583949361,210000,0.001,209000,30.72985008621216,0.14668832979351282,,,,,
1000.0,-130.76758482758888,211000,0.001,210000,30.70232512283325,0.14626571635901928,,,,,
1000.0,-104.0990997200599,212000,0.001,211000,30.712858386993407,0.1369926656037569,,,,,
,,212000,,,,,2309,212,91,-149.95626350999999,1000.0
1000.0,-134.68560557519086,213000,0.001,212000,30.71051290893555,0.13099804624915123,,,,,
1000.0,-136.5269554419443,214000,0.001,213000,30.702268657684325,0.12757174534350635,,,,,
1000.0,-119.86550763580017,215000,0.001,214000,30.658666873931885,0.13174546056240796,,,,,
1000.0,-115.63249116255902,216000,0.001,215000,30.59305094909668,0.12937552519142628,,,,,
,,216000,,,,,2352,216,91,-147.12719889,1000.0
1000.0,-138.7892795876134,217000,0.001,216000,30.597840110778808,0.13524918660521507,,,,,
1000.0,-120.25481177167967,218000,0.001,217000,30.565927108764647,0.13525327279418706,,,,,
1000.0,-102.03777509632054,219000,0.001,218000,30.550203372955323,0.13877313999831675,,,,,
1000.0,-97.83694036845118,220000,0.001,219000,30.50312144088745,0.15003569273650647,,,,,
,,220000,,,,,2394,220,91,-146.25803237999997,1000.0
1000.0,-81.13756666779518,221000,0.001,220000,30.457686073303222,0.14822316598892213,,,,,
1000.0,-118.37818028177135,222000,0.001,221000,30.43744181442261,0.14848377706110477,,,,,
1000.0,-116.34379042387009,223000,0.001,222000,30.408198097229004,0.14796719876676798,,,,,
1000.0,-90.53718502698466,224000,0.001,223000,30.377726600646973,0.14393840151280166,,,,,
,,224000,,,,,2436,224,91,-147.21022004999998,1000.0
1000.0,-102.84978905792813,225000,0.001,224000,30.32435452270508,0.13985966939479114,,,,,
1000.0,-97.09820983195678,226000,0.001,225000,30.275401100158692,0.12903050711750985,,,,,
1000.0,-92.26462043616921,227000,0.001,226000,30.25861884689331,0.1328981858640909,,,,,
1000.0,-133.82982243327424,228000,0.001,227000,30.2537603263855,0.12288619313761592,,,,,
,,228000,,,,,2478,228,91,-144.19814075,1000.0
1000.0,-115.59353129910305,229000,0.001,228000,30.23224100112915,0.12250806349515915,,,,,
1000.0,-119.6627127841115,230000,0.001,229000,30.24231382751465,0.12126588133722543,,,,,
1000.0,-113.94779357840306,231000,0.001,230000,30.20429383087158,0.12467599998414516,,,,,
1000.0,-107.31837336132303,232000,0.001,231000,30.196125915527343,0.12503525571525098,,,,,
,,232000,,,,,2521,232,92,-141.33360901,1000.0
1000.0,-115.29024692513049,233000,0.001,232000,30.14273416900635,0.1220700169838965,,,,,
1000.0,-115.60212086495012,234000,0.001,233000,30.12567315673828,0.12265731511637569,,,,,
1000.0,-121.06212119609117,235000,0.001,234000,30.08870991897583,0.11766724763810635,,,,,
1000.0,-118.06990901487879,236000,0.001,235000,30.05685327911377,0.11722695879638195,,,,,
,,236000,,,,,2562,236,92,-139.47932213,1000.0
1000.0,-109.96425987659022,237000,0.001,236000,29.99420397186279,0.11361379591003061,,,,,
1000.0,-113.92039158754051,238000,0.001,237000,29.957107772827147,0.1161353084743023,,,,,
1000.0,-301.45319145154207,239000,0.001,238000,29.90212926864624,0.11864803847298026,,,,,
1000.0,-123.06524939406663,240000,0.001,239000,29.901052169799804,0.1184377685599029,,,,,
,,240000,,,,,2603,240,92,-140.53318989000002,1000.0
1000.0,-461.4039898233488,241000,0.001,240000,29.843385173797607,0.11037145413458348,,,,,
1000.0,-298.84930599881335,242000,0.001,241000,29.78680844116211,0.10280445620790124,,,,,
1000.0,-111.97722194232047,243000,0.001,242000,29.734276622772217,0.10344661620631813,,,,,
1000.0,-110.32516090981662,244000,0.001,243000,29.668724056243896,0.10598022694885731,,,,,
,,244000,,,,,2644,244,92,-138.07873552000004,1000.0
1000.0,-94.69937381111086,245000,0.001,244000,29.652000915527342,0.10290380954742431,,,,,
1000.0,-287.7972753702663,246000,0.001,245000,29.596946285247803,0.10041539543494582,,,,,
1000.0,-99.99553194977344,247000,0.001,246000,29.496600299835205,0.09790195767581462,,,,,
1000.0,-90.71818408602849,248000,0.001,247000,29.396387962341308,0.0961248398385942,,,,,
,,248000,,,,,2687,248,92,-138.61347884999998,1000.0
1000.0,-97.22403979627416,249000,0.001,248000,29.36865716934204,0.0979624990709126,,,,,
1000.0,-75.07853375640698,250000,0.001,249000,29.254911418914794,0.09521768071874977,,,,,
1000.0,-92.72462808480486,251000,0.001,250000,29.155964618682862,0.09297832595929503,,,,,
1000.0,-92.31789599112236,252000,0.001,251000,29.13452507019043,0.09217039100453257,,,,,
,,252000,,,,,2730,252,92,-136.41520699,1000.0
1000.0,-101.39170346669853,253000,0.001,252000,29.079839416503905,0.09402603020519018,,,,,
1000.0,-288.3686106081121,254000,0.001,253000,28.991927070617677,0.0940420721322298,,,,,
1000.0,-100.89502807459795,255000,0.001,254000,28.955517101287843,0.08879034988582134,,,,,
1000.0,-79.64052391303703,256000,0.001,255000,28.907306049346925,0.09624499124661089,,,,,
,,256000,,,,,2771,256,92,-131.10379412,1000.0
1000.0,-287.6867871132912,257000,0.001,256000,28.891075298309325,0.10213166520372033,,,,,
