rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
57.137655920000014,4378,541,1107968,253,48.41,0.7648599743843079,0.72470703125,-0.07542647729278543,7.977478504180908,0.3452739715576172,5400,0.2,0.24662262,27.80365947782993,0.0003,-4.1635867461562155,,
,,,1110000,,,0.7817743718624115,0.715087890625,-0.07538682512822562,7.472893714904785,0.345447301864624,5410,0.2,0.24383873,28.055071458220482,0.0003,-4.1706325396895405,58.093003576085906,49.95
54.18986500999999,4389,542,1110016,252,46.91,,,,,,,,,,,,,
52.72341923999999,4398,543,1112064,252,46.41,0.7441779673099518,0.70166015625,-0.06685010174405762,13.3709077835083,0.3437763452529907,5420,0.2,0.20323935,33.237076711654666,0.0003,-4.136556945741177,,
52.83625407999999,4406,544,1114112,252,46.77,0.7223964333534241,0.6935546875,-0.07725838222540915,11.31350326538086,0.3428472876548767,5430,0.2,0.2339972,33.814035123586656,0.0003,-4.094493880867958,,
,,,1115000,,,0.8098655790090561,0.723828125,-0.07049574527190998,7.390036582946777,0.3433985412120819,5440,0.2,0.24902734,24.842600080370904,0.0003,-4.101538218557835,50.34820751864463,42.55
51.634290119999996,4416,545,1116160,252,46.22,,,,,,,,,,,,,
53.28018548,4424,546,1118208,252,47.75,0.7906244695186615,0.695068359375,-0.07262125525739975,8.592876434326172,0.34254011511802673,5450,0.2,0.22700351,27.56868936419487,0.0003,-4.088996143639088,,
,,,1120000,,,0.7686584442853928,0.67353515625,-0.07870764925901312,19.484739303588867,0.34146595001220703,5460,0.2,0.21465427,36.506705820560455,0.0003,-4.05468664765358,60.086266790609805,52.15
52.28729738000001,4435,547,1120256,252,46.91,,,,,,,,,,,,,
53.191130380000004,4443,548,1122304,252,46.25,0.6857861578464508,0.65810546875,-0.07455528619466349,13.989567756652832,0.34068363904953003,5470,0.2,0.1725002,40.68172196745873,0.0003,-4.025146351754666,,
